[16] 15:17:28 | Boston College Law Review           | Starting real collection (10 articles)
[16] 15:17:28 | Boston College Law Review           | Article 1: Fetching HTML...
[16] 15:17:29 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (397KB)
[16] 15:17:29 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3222/files/688bae96e04fc
[16] 15:17:30 | Boston College Law Review           |   ✓ PDF saved (325KB)
[16] 15:17:33 | Boston College Law Review           | Article 2: Fetching HTML...
[16] 15:17:35 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (1253KB)
[16] 15:17:35 | Boston College Law Review           |   ⚠️  No PDF link found
[16] 15:17:35 | Boston College Law Review           | Article 3: Fetching HTML...
[16] 15:17:35 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (403KB)
[16] 15:17:35 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3212/files/68939c1ea4339
[16] 15:17:36 | Boston College Law Review           |   ✓ PDF saved (603KB)
[16] 15:17:39 | Boston College Law Review           | Article 4: Fetching HTML...
[16] 15:17:40 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (199KB)
[16] 15:17:40 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3222/files/688bae96e04fc
[16] 15:17:41 | Boston College Law Review           |   ✓ PDF saved (325KB)
[16] 15:17:44 | Boston College Law Review           | Article 5: Fetching HTML...
[16] 15:17:45 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (199KB)
[16] 15:17:45 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3222/files/688bae96e04fc
[16] 15:17:45 | Boston College Law Review           |   ✓ PDF saved (325KB)
[16] 15:17:48 | Boston College Law Review           | Article 6: Fetching HTML...
[16] 15:17:49 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (195KB)
[16] 15:17:49 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3221/files/688ba9fa5ccce
[16] 15:17:50 | Boston College Law Review           |   ✓ PDF saved (320KB)
[16] 15:17:53 | Boston College Law Review           | Article 7: Fetching HTML...
[16] 15:17:54 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (195KB)
[16] 15:17:54 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3221/files/688ba9fa5ccce
[16] 15:17:55 | Boston College Law Review           |   ✓ PDF saved (320KB)
[16] 15:17:58 | Boston College Law Review           | Article 8: Fetching HTML...
[16] 15:17:58 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (200KB)
[16] 15:17:58 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3220/files/688b8e064b99b
[16] 15:17:59 | Boston College Law Review           |   ✓ PDF saved (324KB)
[16] 15:18:02 | Boston College Law Review           | Article 9: Fetching HTML...
[16] 15:18:03 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (200KB)
[16] 15:18:03 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3220/files/688b8e064b99b
[16] 15:18:04 | Boston College Law Review           |   ✓ PDF saved (324KB)
[16] 15:18:07 | Boston College Law Review           | Article 10: Fetching HTML...
[16] 15:18:07 | Boston College Law Review           |   Saved: boston_college_law_review_Boston_College_Law_Review.html (193KB)
[16] 15:18:07 | Boston College Law Review           |   PDF URL: https://bclawreview.bc.edu/articles/3219/files/688b8d2922a7b
[16] 15:18:08 | Boston College Law Review           |   ✓ PDF saved (379KB)
[16] 15:18:11 | Boston College Law Review           | Done: 9 downloaded, 0 failed (44s)
