[13] 15:17:05 | Northwestern University Law Review  | Starting real collection (10 articles)
[13] 15:17:06 | Northwestern University Law Review  | Article 1: Fetching HTML...
[13] 15:17:06 | Northwestern University Law Review  |   Saved: northwestern_law_review_Issues.html (317KB)
[13] 15:17:06 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:06 | Northwestern University Law Review  | Article 2: Fetching HTML...
[13] 15:17:06 | Northwestern University Law Review  |   Saved: northwestern_law_review________________Issues___________.html (45KB)
[13] 15:17:06 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:06 | Northwestern University Law Review  | Article 3: Fetching HTML...
[13] 15:17:06 | Northwestern University Law Review  |   Saved: northwestern_law_review________________Issues___________.html (48KB)
[13] 15:17:06 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:06 | Northwestern University Law Review  | Article 4: Fetching HTML...
[13] 15:17:06 | Northwestern University Law Review  |   Saved: northwestern_law_review________________Issues___________.html (46KB)
[13] 15:17:06 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:06 | Northwestern University Law Review  | Article 5: Fetching HTML...
[13] 15:17:07 | Northwestern University Law Review  |   Saved: northwestern_law_review________________Issues___________.html (46KB)
[13] 15:17:07 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:07 | Northwestern University Law Review  | Article 6: Fetching HTML...
[13] 15:17:07 | Northwestern University Law Review  |   Saved: northwestern_law_review________________Issues___________.html (45KB)
[13] 15:17:07 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:07 | Northwestern University Law Review  | Article 7: Fetching HTML...
[13] 15:17:07 | Northwestern University Law Review  |   Saved: northwestern_law_review__________________________NULR_Online______________.html (44KB)
[13] 15:17:07 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:07 | Northwestern University Law Review  | Article 8: Fetching HTML...
[13] 15:17:08 | Northwestern University Law Review  |   Saved: northwestern_law_review__________________________NULR_Online______________.html (47KB)
[13] 15:17:08 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:08 | Northwestern University Law Review  | Article 9: Fetching HTML...
[13] 15:17:08 | Northwestern University Law Review  |   Saved: northwestern_law_review__________________________NULR_Online______________.html (44KB)
[13] 15:17:08 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:08 | Northwestern University Law Review  | Article 10: Fetching HTML...
[13] 15:17:08 | Northwestern University Law Review  |   Saved: northwestern_law_review________________Issues___________.html (46KB)
[13] 15:17:08 | Northwestern University Law Review  |   ⚠️  No PDF link found
[13] 15:17:08 | Northwestern University Law Review  | Done: 0 downloaded, 0 failed (3s)
