[ 6] 15:15:43 | NYU Law Review                      | Starting real collection (10 articles)
[ 6] 15:15:44 | NYU Law Review                      | Article 1: Fetching HTML...
[ 6] 15:15:45 | NYU Law Review                      |   Saved: nyu_law_review_Issues.html (50KB)
[ 6] 15:15:45 | NYU Law Review                      |   ⚠️  No PDF link found
[ 6] 15:15:45 | NYU Law Review                      | Article 2: Fetching HTML...
[ 6] 15:15:46 | NYU Law Review                      |   Saved: nyu_law_review_Volume_99__Number_6.html (52KB)
[ 6] 15:15:46 | NYU Law Review                      |   PDF URL: https://nyulawreview.org/wp-content/uploads/2024/12/99-NYU-L
[ 6] 15:15:46 | NYU Law Review                      |   ✓ PDF saved (477KB)
[ 6] 15:15:49 | NYU Law Review                      | Article 3: Fetching HTML...
[ 6] 15:15:50 | NYU Law Review                      |   Saved: nyu_law_review_Issues.html (50KB)
[ 6] 15:15:50 | NYU Law Review                      |   ⚠️  No PDF link found
[ 6] 15:15:50 | NYU Law Review                      | Done: 1 downloaded, 0 failed (7s)
