[15] 15:17:13 | University of Pennsylvania Law Revi | Starting real collection (10 articles)
[15] 15:17:14 | University of Pennsylvania Law Revi | Article 1: Fetching HTML...
[15] 15:17:15 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_Nino_s_Paradox.html (218KB)
[15] 15:17:15 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:15 | University of Pennsylvania Law Revi | Article 2: Fetching HTML...
[15] 15:17:15 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_The_Past_is_Always_Changing__A_Story_in_Three_Part.html (219KB)
[15] 15:17:15 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:15 | University of Pennsylvania Law Revi | Article 3: Fetching HTML...
[15] 15:17:16 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_Originalist_Framing_of_Free_Speech_Doctrine.html (224KB)
[15] 15:17:16 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:16 | University of Pennsylvania Law Revi | Article 4: Fetching HTML...
[15] 15:17:17 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_The_Democratic_Deficit_of_Living_Originalism.html (225KB)
[15] 15:17:17 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:17 | University of Pennsylvania Law Revi | Article 5: Fetching HTML...
[15] 15:17:17 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_The_Abuses_of_History_in_Constitutional_Interpreta.html (218KB)
[15] 15:17:17 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:17 | University of Pennsylvania Law Revi | Article 6: Fetching HTML...
[15] 15:17:18 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_Why_We_Should_Stop_Saying__The_Founders_.html (219KB)
[15] 15:17:18 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:18 | University of Pennsylvania Law Revi | Article 7: Fetching HTML...
[15] 15:17:19 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_Ameliorative_Constitutionalism.html (229KB)
[15] 15:17:19 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:19 | University of Pennsylvania Law Revi | Article 8: Fetching HTML...
[15] 15:17:19 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_Constitutions_of_Ice_and_Fire.html (218KB)
[15] 15:17:19 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:19 | University of Pennsylvania Law Revi | Article 9: Fetching HTML...
[15] 15:17:20 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_Erasing_Slavery__The_Uses_and_Misuses_of_the_Histo.html (223KB)
[15] 15:17:20 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:20 | University of Pennsylvania Law Revi | Article 10: Fetching HTML...
[15] 15:17:21 | University of Pennsylvania Law Revi |   Saved: upenn_law_review_History_and_Fetishism_in_the_New_Separation_of_Pow.html (224KB)
[15] 15:17:21 | University of Pennsylvania Law Revi |   ⚠️  No PDF link found
[15] 15:17:21 | University of Pennsylvania Law Revi | Done: 0 downloaded, 0 failed (8s)
