[ 3] 15:15:15 | Yale Law Journal                    | Starting real collection (10 articles)
[ 3] 15:15:16 | Yale Law Journal                    | Article 1: Fetching HTML...
[ 3] 15:15:16 | Yale Law Journal                    |   Saved: yale_law_journal___.html (698KB)
[ 3] 15:15:16 | Yale Law Journal                    |   ⚠️  No PDF link found
[ 3] 15:15:16 | Yale Law Journal                    | Article 2: Fetching HTML...
[ 3] 15:15:17 | Yale Law Journal                    |   Saved: yale_law_journal___.html (188KB)
[ 3] 15:15:17 | Yale Law Journal                    |   ⚠️  No PDF link found
[ 3] 15:15:17 | Yale Law Journal                    | Article 3: Fetching HTML...
[ 3] 15:15:17 | Yale Law Journal                    |   Saved: yale_law_journal___.html (93KB)
[ 3] 15:15:17 | Yale Law Journal                    |   PDF URL: https://www.yalelawjournal.org/pdf/134.8.HathawayKhanRevkin_
[ 3] 15:15:18 | Yale Law Journal                    |   ✓ PDF saved (3043KB)
[ 3] 15:15:21 | Yale Law Journal                    | Article 4: Fetching HTML...
[ 3] 15:15:21 | Yale Law Journal                    |   Saved: yale_law_journal___.html (188KB)
[ 3] 15:15:21 | Yale Law Journal                    |   ⚠️  No PDF link found
[ 3] 15:15:21 | Yale Law Journal                    | Article 5: Fetching HTML...
[ 3] 15:15:22 | Yale Law Journal                    |   Saved: yale_law_journal___.html (96KB)
[ 3] 15:15:22 | Yale Law Journal                    |   PDF URL: https://www.yalelawjournal.org/pdf/134.8.Stone_ke5qw31k.pdf
[ 3] 15:15:22 | Yale Law Journal                    |   ✓ PDF saved (1823KB)
[ 3] 15:15:25 | Yale Law Journal                    | Article 6: Fetching HTML...
[ 3] 15:15:26 | Yale Law Journal                    |   Saved: yale_law_journal___.html (188KB)
[ 3] 15:15:26 | Yale Law Journal                    |   ⚠️  No PDF link found
[ 3] 15:15:26 | Yale Law Journal                    | Article 7: Fetching HTML...
[ 3] 15:15:26 | Yale Law Journal                    |   Saved: yale_law_journal___.html (112KB)
[ 3] 15:15:26 | Yale Law Journal                    |   PDF URL: https://www.yalelawjournal.org/pdf/134.7.Baumann_ow3c1zr6.pd
[ 3] 15:15:27 | Yale Law Journal                    |   ✓ PDF saved (1291KB)
[ 3] 15:15:30 | Yale Law Journal                    | Article 8: Fetching HTML...
[ 3] 15:15:30 | Yale Law Journal                    |   Saved: yale_law_journal___.html (188KB)
[ 3] 15:15:30 | Yale Law Journal                    |   ⚠️  No PDF link found
[ 3] 15:15:30 | Yale Law Journal                    | Article 9: Fetching HTML...
[ 3] 15:15:31 | Yale Law Journal                    |   Saved: yale_law_journal___.html (47KB)
[ 3] 15:15:31 | Yale Law Journal                    |   PDF URL: https://www.yalelawjournal.org/pdf/134.7.GonzalesRoseBhasinP
[ 3] 15:15:31 | Yale Law Journal                    |   ✓ PDF saved (1053KB)
[ 3] 15:15:34 | Yale Law Journal                    | Article 10: Fetching HTML...
[ 3] 15:15:35 | Yale Law Journal                    |   Saved: yale_law_journal___.html (11KB)
[ 3] 15:15:35 | Yale Law Journal                    |   ⚠️  No PDF link found
[ 3] 15:15:35 | Yale Law Journal                    | Done: 4 downloaded, 0 failed (19s)
