pdf_filename,page_1_type,page_2_type,page_3_type,detected_platform,platform_confidence,true_article_start_page,page_count,extracted_status
michigan_law_review_law_enforcement_privilege.pdf,article_body,article_body,article_body,heinonline,1.00,1,59,success
harvard-law-review_codify-gardner.pdf,article_body,article_body,article_body,unknown,0.00,1,22,success
texas_hershkoff_beleaguered_sovereign.pdf,article_body,article_titlepage,article_body,unknown,0.00,2,51,success
nyu_first_black_jurors.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,63,success
nyu_labor_mobility_policing.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,74,success
harvard_law_review_Background_Principles_And_The_General_Law_Of_Property.pdf,article_body,article_body,article_body,proquest,0.60,1,22,success
nyu_generative_interpretation.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,64,success
texas_fan_big_data_searches.pdf,article_body,article_body,article_titlepage,heinonline,0.20,3,60,success
duke_law_journal_discretionary_immigration_detention.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,91,success
columbia_layered_constitutionalism.pdf,article_body,article_titlepage,article_body,unknown,0.00,2,68,success
yale_law_journal___.pdf,article_titlepage,article_titlepage,unknown,unknown,0.00,1,99,success
boston_college_law_review_Untitled.pdf,article_titlepage,article_body,article_body,proquest,0.60,1,20,success
california_law_review_Lovings_Borders.pdf,article_titlepage,article_body,article_body,publisher_direct,1.00,1,20,success
georgetown_heydari_sheriffs_constitution.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,0.60,1,66,success
duke_law_journal_slowing_the_burn.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,38,success
harvard_law_review_Unwarranted_Warrants__An_Empirical_Analysis_of_Jud.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
minnesota_law_review_Water_Flowing_Down_Wall_Street.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,90,success
columbia_new_outlawry.pdf,article_body,article_body,article_body,unknown,0.00,1,74,success
boston_university_law_review_Volume_105__Issue_4.pdf,unknown,,,unknown,0.00,,0,failed
duke_law_journal_illegal_corporate_cultures.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,59,success
harvard_law_review_Unwarranted_Warrants_An_Empirical_Analysis_Of_Judicial_Review_In_Search_And_Seizure.pdf,article_titlepage,article_body,article_titlepage,heinonline,0.60,1,89,success
yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism.pdf,article_body,article_body,article_body,unknown,0.00,1,113,success
fordham_law_review_Emotionally_Unstable___Addressing_Emotional_Distre.pdf,article_body,article_body,article_titlepage,heinonline,0.20,3,41,success
minnesota_law_review_____The_Four_Horsemen_of_the_New_Separation_of_Pow.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,109,success
harvard-law-review_equal-protection-protect.pdf,article_body,article_body,article_body,proquest,0.60,1,8,success
georgetown_kagan_asylum_procedures.pdf,article_titlepage,article_body,article_body,publisher_direct,0.60,1,40,success
columbia_law_review_the_sankofa_principle_in_protest_law.pdf,article_body,article_body,article_body,proquest,0.60,1,20,success
columbia_law_review_overbroad_protest_laws.pdf,article_body,article_body,article_body,proquest,0.60,1,80,success
harvard_law_review_Making_Equal_Protection_Protect.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
georgetown_law_journal_selective_enforcement.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,58,success
stanford-law-review_general-law-fourteenth-amendment.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,69,success
ucla_social_movements_in_american_legal_theory.pdf,article_titlepage,article_body,article_body,unknown,0.00,1,106,success
