text,label,source,extraction_method
## DATE DOWNLOADED: Sat Sep  6 15:31:57 2025,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
SOURCE: Content Downloaded from,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
Please note: citations are provided as a general guideline. Users should consult their preferred citation format's style manual for proper citation formatting.,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
## Bluebook 21st ed.GLYPH&lt;10&gt;GLYPH&lt;9&gt;GLYPH&lt;9&gt;GLYPH&lt;9&gt;,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"The Paradox of Progressive Prosecution, 132 HARV. L. REV. 748 (December 2018).",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
", The Paradox of Progressive Prosecution, 132 Harv. L. Rev. 748 (2018).",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"(2018). The paradox of progressive prosecution. Harvard Law Review, 132(2), 748-770.",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"""The Paradox of Progressive Prosecution,"" Harvard Law Review 132, no. 2 (December 2018): 748-770",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
## McGill Guide 10th ed.,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"""The Paradox of Progressive Prosecution"" (2018) 132:2 Harv L Rev 748.",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
'The Paradox of Progressive Prosecution' (2018) 132(2) Harvard Law Review 748,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"""The Paradox of Progressive Prosecution."" Harvard Law Review, vol. 132, no. 2, December 2018, pp. 748-770. HeinOnline.",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
'The Paradox of Progressive Prosecution' (2018) 132 Harv L Rev 748               x Please note: citations are provided as a general guideline. Users should consult their preferred citation format's style manual for proper citation formatting. Cite this document,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
PinCite this document,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
- -- Your use of this HeinOnline PDF indicates your acceptance of HeinOnline's Terms and Conditions of the license agreement available at,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
https://heinonline.org/HOL/License,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
- -- The search text of this PDF is generated from  uncorrected OCR text.,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"## THE PARADOX  OF ""PROGRESSIVE  PROSECUTION""",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"When  Freddie  Gray woke  up  on  April  12, 2015, he  surely  did  not know  that  he  would  soon  enter a coma  only  to  die  a week  later. That morning,  he  walked  to  breakfast  in  his  old  West  Baltimore  neighborhood with two of his best  friends. 1 The  restaurant  they wanted  to visit was closed,  however,  so  they left. 2 At some  point on the  way home, they encountered police officers on  bicycles. 3 After a  brief  chase,  Gray stopped voluntarily,  at which point officers  arrested him. 4 Video  footage shows  the  officers  savagely  shoving  Gray's face  into  the  sidewalk  and twisting his arms and legs. 5 Unable to stand  or walk,  Gray was dragged to the  back of a police  van where he would  spend the next forty minutes handcuffed,  shackled,  unbuckled,  and, while  conscious,  begging  for  his twenty-five-year-old  life  as  the  officers  drove  around  the  city  making several  stops. 6 Eventually,  Gray  emerged  unconscious  with  a  nearly severed  spinal  cord  and  a crushed  voice  box. 7 Paramedics  later  transferred  him  to  the  Maryland  Shock  Trauma  Center,  where  he  remained comatose  for a week  before dying. 8",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"For  five  consecutive  days,  protesters  took  to  the  streets,  City  Hall, and  the  police  headquarters  to  denounce  Gray's death  at  the  hands  of the Baltimore  police  officers 9 Citizens and  community  leaders  demanded that the  city fire  the officers  and  press  criminal  charges  against them. 10 After  over  a  week  of  intensifying  protests  and  national  attention,11  State's Attorney  Marilyn J.  Mosby filed  criminal  charges  against",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"1 See Catherine  Rentz, New Details Emerge About Morning Freddie Gray Was Arrested, BALT. SUN (Nov. 13,  2015, 5:o6  PM),  https://www.baltimoresun.com/news/maryland/freddie-gray/bs-mdfreddie-gray-friends-20151  113-story.html  [https://perma.cc/BY4D-VYNN].",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"4  See  Timeline:  Freddie Gray's Arrest,  Death  and  the  Aftermath, BALT. SUN,  http://data. baltimoresun.com/news/freddie-gray/ [https://perma.cc/RXG8-6CZS]  [hereinafter Timeline].",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
