pdf_filename,pdf_path,platform_detected,confidence,classification,text_snippet,text_length,status,error
bu_law_review_beyond_vawa.pdf,data/raw_pdf/bu_law_review_beyond_vawa.pdf,None,0.0,semantic_cover,"305  BEYOND VAWA: LOCALISM AS AN ARGUMENT FOR  FULL TRIBAL CRIMINAL JURISDICTION  Deanna Tamborelli  ABSTRACT  American Indian and Alaskan Native (“AI/AN” or “Native”) women have  faced disproportionately high rates of violence since colonists first arrived in  North America. But, while non-Native communities have had the power, rooted  primarily in criminal jurisdiction, to experiment and develop innovative,  culturally appropriate programs aimed at eliminating domestic violence, a  series o",2790,success,
bu_law_review_interest_convergence_working_class.pdf,data/raw_pdf/bu_law_review_interest_convergence_working_class.pdf,None,0.0,semantic_cover,"148  DOES INTEREST CONVERGENCE TODAY OFFER  OPPORTUNITIES FOR THE WORKING CLASS, MUCH AS  IT DID FOR MINORITIES IN THE FIFTIES AND SIXTIES?  A COMMENT ON SPENCER BOWLEY  RICHARD DELGADO* & JEAN STEFANCIC**  INTRODUCTION  In a recent issue of this Review , Spencer Bowley explains why interest  convergence, which once improved Black American fortunes, now stands to  benefit the working class in the United States. 1 Bowley reviews historical  parallels,2 current international conditions,3 and cas",2503,success,
bu_law_review_internet_grows_up.pdf,data/raw_pdf/bu_law_review_internet_grows_up.pdf,None,0.0,semantic_cover,"33  THE INTERNET GROWS UP?  NEIL M. RICHARDS  Danielle Citron’s Hate Crimes in Cyberspace 1 is one of the most important  publications to date in the emerging fields of privacy and cybe rlaw. In her  thoughtful and insightful book, Citron explains the uneven play ing field and  frequently shocking acts of abuse that women face online, and d emonstrates  practical steps that we can take to remedy the problem of onlin e hate through  law, education, and the development of better, more inclusive",2858,success,
bu_law_review_law_and_culture.pdf,data/raw_pdf/bu_law_review_law_and_culture.pdf,None,0.0,semantic_cover,"157  LAW AND CULTURE TAMAR FRANKEL* & TOMASZ BRAUN**  INTRODUCTION We often speak of law and culture in one breath. That may be so because both systems impose on each person and organization required rules of behavior. Yet, law and culture are quite different, though they relate to and affect each other. Therefore, it is desirable to examine their similarities and differences and their relationship. While the structures of law and culture are more similar than we might expect, their difference",2583,success,
bu_law_review_learning_from_history.pdf,data/raw_pdf/bu_law_review_learning_from_history.pdf,None,0.0,semantic_cover,125  LEARNING FROM HISTORY:   PREDICTING THE DEVELOPMENT OF   CLASS-BASED INTEREST CONVERGENCE  Spencer Bowley*  CONTENTS  INTRODUCTION ............................................................................................... 125   I. CLASS DISMISSED?: THE LACK OF A  CLASS-BASED INTEREST- CONVERGENCE THEORY ...................................................................... 127   II. TRACING THE EMERGING PARALLELS ................................................. 132  A. China’s Pover,2650,success,
bu_law_review_nil_compliance.pdf,data/raw_pdf/bu_law_review_nil_compliance.pdf,None,0.0,semantic_cover,"69  NIL COMPLIANCE  JOSH LENS, J.D.  ABSTRACT  The transformative name, image, and likeness (“NIL”) era of college athletics  is in its infancy yet one cannot overstate its impact on college athletics. While  student-athletes have largely benefited from NCAA rules changes permitting  their newfound ability to earn remuneration from their NIL, uncertainty exists  regarding the rules and enforcement of them.  While the NCAA’s guidelines regulating student-athletes’ use of their NIL are  minimal",2408,success,
bu_law_review_online_harassment_intermediary_immunity.pdf,data/raw_pdf/bu_law_review_online_harassment_intermediary_immunity.pdf,,0.0,unknown,,0,failed,No text extracted
bu_law_review_rediscovering_jacobson.pdf,data/raw_pdf/bu_law_review_rediscovering_jacobson.pdf,None,0.0,semantic_cover,117  REDISCOVERING JACOBSON IN THE ERA OF COVID-19 WENDY E. PARMET*  CONTENTS INTRODUCTION ................................................................................................ 118  I. THE PUBLIC HEALTH SETTING ............................................................. 119  II.  THE CASE ............................................................................................ 120  III.  JACOBSON’S LEGACY .........................................................................,789,success,
bu_law_review_standing_privacy_harms.pdf,data/raw_pdf/bu_law_review_standing_privacy_harms.pdf,None,0.0,semantic_cover,"62  STANDING AND PRIVACY HARMS: A CRITIQUE OF TRANSUNION V. RAMIREZ DANIEL J. SOLOVE* & DANIELLE KEATS CITRON**  In this term, the U.S. Supreme Court has significantly undermined the effectiveness of many privacy laws. Through the standing doctrine, the U.S. Supreme Court essentially nullified a key enforcement component of many privacy laws—private rights of action. The decision in TransUnion LLC v. Ramirez1 revisits the issue of standing and privacy harms under the Fair Credit Reporting Act",2695,success,
bu_law_review_suing_china_covid.pdf,data/raw_pdf/bu_law_review_suing_china_covid.pdf,None,0.0,semantic_cover,"91  SUING CHINA OVER COVID-19 PAUL J. LARKIN, JR.*  CONTENTS INTRODUCTION .................................................................................................. 92  I. SUING A FOREIGN NATION IN THE UNITED STATES ............................... 93 A. The Foreign Sovereign Immunity Doctrine ................................... 93 B. The Foreign Sovereign Immunity Act of 1976 ............................... 94  II. THE MISSOURI LAWSUIT ..................................................",1501,success,
california_law_review_affirmative-asylum.pdf,data/raw_pdf/california_law_review_affirmative-asylum.pdf,None,0.0,semantic_cover,"1095  Reimagining Affirmative Asylum Faiza W. Sayed* In 2022, the Biden Administration finalized regulations that overhauled procedures for asylum claims for the first time since 1996. These regulations transferred the duty to decide asylum claims in expedited removal from immigration courts to the Asylum Office. While advocates criticized the proposal for its extreme procedural deficiencies, they supported its basic premise: Expanding the jurisdiction of the Asylum Office would be a positive",2586,success,
california_law_review_amazon-trademark.pdf,data/raw_pdf/california_law_review_amazon-trademark.pdf,ProQuest,0.7,platform_cover,"1169  Amazon’s Quiet Overhaul of the Trademark System Jeanne C. Fromer* & Mark P. McKenna** Amazon’s dominance as a platform is widely documented. But one aspect of that dominance has not received sufficient attention—the Amazon Brand Registry’s sweeping influence on firm behavior, particularly in relation to the formal trademark system. Amazon’s Brand Registry serves as a shadow trademark system that dramatically affects businesses’ incentives to seek legal registration of their marks. The re",2914,success,
california_law_review_incoherence-colorblind-constitution.pdf,data/raw_pdf/california_law_review_incoherence-colorblind-constitution.pdf,ProQuest,0.7,platform_cover,"997  The Incoherence of the “Colorblind Constitution” Russell K. Robinson* The Students for Fair Admissions, Inc. v. President & Fellows of Harvard College (SFFA) majority opinion has been widely misunderstood as a victory for those who believe in the “colorblind Constitution.” By juxtaposing the opinion’s main rule with the exception for admitting students based on essays that discuss students’ lived experiences with race, I reveal the opinion’s fundamental incoherence, as well as its furtive",2533,success,
california_law_review_indeterminacy-separation.pdf,data/raw_pdf/california_law_review_indeterminacy-separation.pdf,None,0.0,semantic_cover,"1251  Structural Indeterminacy and the Separation of Powers Joshua C. Macey* & Brian M. Richardson**     DOI: https://doi.org/10.15779/Z387P8TG0V   Copyright © 2025 Joshua C. Macey and Brian M. Richardson  *  Associate Professor, Yale Law School.  **  Associate Professor, Cornell Law School. Thanks for helpful comments to Anya Bernstein, Chris Havasy, Michael Dorf, Ketan Ramakrishnan, Shalev Roisman, Jed Shugerman, and Mila Sohoni. For terrific editorial assistance, we are grateful to Eleanor",553,success,
california_law_review_judiciary-ada.pdf,data/raw_pdf/california_law_review_judiciary-ada.pdf,None,0.0,semantic_cover,"1495  Access Without the ADA: The Implications of the Federal Judiciary’s Exemption from Following the Disability Rights Statute It Upholds CG Mahajan* For over thirty years, the Americans with Disabilities Act (ADA) has been the main federal protection against discrimination for disabled people. Although ADA protections are ensured in the federal legislative branch and in state courthouses, this pivotal disability rights statute does not cover the federal judiciary. ADA claims are consequentl",2154,success,
california_law_review_loving-borders.pdf,data/raw_pdf/california_law_review_loving-borders.pdf,None,0.0,semantic_cover,"1079  Loving’s Borders  Jennifer M. Chacón*  In a term filled with high -profile cases, Department of State v.  Muñoz1 did not receive high -profile treatment. But the case was a  critically important successor to Dobbs v. Jackson Women’s Health  Organization.2 In Muñoz, the Court continued efforts, launched in  Dobbs, to shrink the protective force of the Due Process Clause. Even  more significantly, in Muñoz, the Court launched another attack on the  equality principle undergirding Loving v.",2818,success,
california_law_review_morgan-democracy.pdf,data/raw_pdf/california_law_review_morgan-democracy.pdf,None,0.0,semantic_cover,"1471  Revisiting City of Morgan Hill: Fixing California’s Direct Democracy Preemption Test Ben Pearce* California has a housing crisis. Despite the state government’s best efforts to build more homes, local governments and local voters are finding new ways to circumvent those requirements. One such loophole allows California voters to propose non-compliant housing plans through the ballot initiative process or effectively veto their local governments’ housing allocation decisions through a ref",2468,success,
california_law_review_new-conservationism.pdf,data/raw_pdf/california_law_review_new-conservationism.pdf,None,0.0,semantic_cover,1389  Crafting a New Conservationism Natalie Jacewicz* Environmental law has an animal problem. It lacks an account of whether and how animals’ interests matter. Case in point: The agencies tasked with protecting wild animals cannot stop killing them. The National Oceanic and Atmospheric Administration slays sea lions to reduce predation on endangered salmon. The Fish and Wildlife Service shoots barred owls to curb competition with northern spotted owls. These widespread “removals” reflect a t,2471,success,
california_law_review_social-justice-conflicts.pdf,data/raw_pdf/california_law_review_social-justice-conflicts.pdf,None,0.0,semantic_cover,"1315  Social Justice Conflicts in Public Law Christopher S. Havasy*  “Social justice” is everywhere in public law. Scholars and activists are calling for racial justice, climate justice, and health justice, among other claims. When commentators speak about multiple different social justice claims, it is often through an intersectional lens that views these claims as co-constitutive with one another, such as, “There is no climate justice without racial justice.” These justice claims are importa",2880,success,
california_law_review_voter-pay.pdf,data/raw_pdf/california_law_review_voter-pay.pdf,None,0.0,semantic_cover,"801  Pay the Voter: A Legal, Economic, and Policy Analysis of Financially Incentivizing Political Participation Andrew Albright* This Note explores the idea of paying Americans to cast their ballots as a mechanism to increase electoral participation among lower income voters and rebalance the influence that wealthy Americans have on policy outcomes. The Note begins by exploring the rationale behind the idea, drawing on political science, economic, and legal literature to argue that subsidizing",2403,success,
chicago_law_review_ai-business-judgment-rule-heightened-information-duty.pdf,data/raw_pdf/chicago_law_review_ai-business-judgment-rule-heightened-information-duty.pdf,None,0.0,semantic_cover,"01/15/25 U. Chi. L. Rev. Online *1  AI & The Business Judgment Rule: Heightened Information  Duty  Geneviève Helleringer & Florian Möslein* * * *  I. Introduction  Board members are required to make informed and reasonable  decisions in the best interest of the company , and their failure to do so  is grounds for liability . In most jurisdictions, however, corporate law  shields board members from liability for poor business decisions under  the business judgment rule (BJR) or its functional equ",2131,success,
chicago_law_review_blueprint-protecting-us-companies-unfair-competition-fueled-forced-labor.pdf,data/raw_pdf/chicago_law_review_blueprint-protecting-us-companies-unfair-competition-fueled-forced-labor.pdf,None,0.0,semantic_cover,"09/20/25 U. Chi. L. Rev. Online *1 A Blueprint for Protecting U.S. Companies from Unfair Competition Fueled by Forced Labor By T. Markus Funk and the Hon. Virginia M. Kendall Abstract In today’s competitive global economy, U.S. companies upholding strict labor and human rights standards increasingly face unfair competition from foreign firms that exploit forced labor. In this Essay, we argue that this exploitation is not just a grave human rights crisis but also a serious market distortion that",2164,success,
chicago_law_review_children-and-cars-watch-them.pdf,data/raw_pdf/chicago_law_review_children-and-cars-watch-them.pdf,None,0.0,semantic_cover,"10/14/25 U. Chi. L. Rev. Online *1 CHILDREN AND THE CARS THAT WATCH THEM Nila Bala* *  *  * Parents are turning to autonomous vehicles (AVs) to shuttle their children around, seeing them as a safe and convenient option. AVs promise increased mobility for children but bring with them unparalleled surveillance risks. As parents embrace in-cabin monitoring and location tracking to enhance safety, they also—often unknowingly—authorize the mass collection, retention, and potential disclosure of their",2382,success,
chicago_law_review_college-athletes-employees-implications-title-ix-and-unequal-pay.pdf,data/raw_pdf/chicago_law_review_college-athletes-employees-implications-title-ix-and-unequal-pay.pdf,None,0.0,semantic_cover,"06/11/25 U. Chi. L. Rev. Online *1  COLLEGE ATHLETES AS EMPLOYEES: IMPLICATIONS FOR   TITLE IX AND (UN)EQUAL PAY  Hana Ferrero* * * *  I. Introduction  Recent legal decisions have rapidly reshaped the world of college  athletics. In 2021, the Supreme Court unanimously held in NCAA v.  Alston (2021) that the National Collegiate Athletics Association  (NCAA) cannot limit the education-related benefits colleges offer their  athletes, such as postgraduate scholarships and study abroad  expenses. Few",2434,success,
chicago_law_review_concept-common-law.pdf,data/raw_pdf/chicago_law_review_concept-common-law.pdf,None,0.0,semantic_cover,"09/26/25 U. Chi. L. Rev. Online *1  *  *  * The Concept of the Common Law Samuel L. Bray*  The common law is, among other things, a mode of legal development. In this mode, judges develop the law yet simultaneously act as if they were only discovering law that already existed. This sketch of the common law introduces contemporary readers to a way of thinking and talking about law that was once instinctive for judges. The common law as a mode of development may seem alien at certain points, yet i",770,success,
chicago_law_review_constitutional-amendment-state-statute-case-dual-sovereignty-illinois.pdf,data/raw_pdf/chicago_law_review_constitutional-amendment-state-statute-case-dual-sovereignty-illinois.pdf,None,0.0,semantic_cover,"08/07/25 U. Chi. L. Rev. Online *1  Constitutional Amendment by State Statute? The Case of Dual  Sovereignty in Illinois  Luke Henkel* * * *  Introduction  One often-repeated cliché about U.S. states is that they are  “laboratories of democracy.” This phrase comes from Justice Louis  Brandeis’s dissent in New State Ice Co. v. Liebmann (1932), a case that  struck down a state licensing requirement. Brandeis wrote that “[i]t is  one of the happy incidents of the federal system that a single  coura",2330,success,
chicago_law_review_digital-authoritarianism.pdf,data/raw_pdf/chicago_law_review_digital-authoritarianism.pdf,None,0.0,semantic_cover,"mm/dd/yy U. Chi. L. Rev. Online *1  DIGITAL AUTHORITARIANISM Danielle Keats Citron* Ari Ezra Waldman * * *  Introduction Antidemocratic forces rely on intimidation tactics to silence criticism and opposition. Recall how J. Edgar Hoover’s FBI warned civil rights leader Dr. Martin Luther King that secret recordings of his extramarital affairs would be made public unless he committed suicide.1 In the digital age, online abuse is a go-to intimidation tactic for authoritarians and their allies. For i",2208,success,
chicago_law_review_search-strategy-sampling-and-competition-law.pdf,data/raw_pdf/chicago_law_review_search-strategy-sampling-and-competition-law.pdf,None,0.0,semantic_cover,"06/16/25 U. Chi. L. Rev. Online *1 SEARCH STRATEGY, SAMPLING, AND COMPETITION LAW Saul Levmore1 * * * Introduction  Search costs matter and are reflected in many areas of law. For example, most disclosure requirements economize on search costs. A homeowner who must disclose the presence of termites saves a potential buyer, and perhaps many such buyers, from spending money to search, or inspect, the property. Similarly, requirements to reveal expected miles per gallon, or risks posed by a drug, e",2370,success,
chicago_law_review_snow-rain-and-theft-limits-us-postal-service-liability-under-federal-tort-claims-act.pdf,data/raw_pdf/chicago_law_review_snow-rain-and-theft-limits-us-postal-service-liability-under-federal-tort-claims-act.pdf,None,0.0,semantic_cover,"04/23/25 U. Chi. L. Rev. Online *1  Snow, Rain, and Theft: The Limits of U.S. Postal Service  Liability Under the Federal Tort Claims Act  Margaret Schaack* * * *  The U.S. Postal Service’s (USPS) unofficial motto is “neither snow  nor rain nor heat nor gloom of night stays these couriers from the swift  completion of their appointed rounds.” Chiseled into the granite over the  entrance to the New York Post Office, th is quote from Herodotus’s The  Persian Wars  represents the USPS’s dedication",2731,success,
chicago_law_review_specter-circuit-split-isaacson-bankshot-and-ss-1983.pdf,data/raw_pdf/chicago_law_review_specter-circuit-split-isaacson-bankshot-and-ss-1983.pdf,None,0.0,semantic_cover,"05/02/2025 U. Chi. L. Rev. Online *1  The Specter of a Circuit Split: Isaacson, Bankshot, and § 1983  Quinten J. Rimolde* * * *  Introduction  At first glance, the Ninth Circuit’s decision in Isaacson v. Mayes  (2023) set the stage for the perfect law review student comment. It called  out the Eleventh Circuit’s decision in Bankshot Billiards, Inc. v. City of  Ocala (2011) by name. A nd the Congressional Research Service listed  Bankshot and Isaacson among 2023’s circuit splits. By all accounts,",2606,success,
chicago_law_review_tiktok-bans-takings-clause-blunder.pdf,data/raw_pdf/chicago_law_review_tiktok-bans-takings-clause-blunder.pdf,None,0.0,semantic_cover,"05/12/2025 U. Chi. L. Rev. Online *1  TIKTOK BANS: A TAKINGS CLAUSE BLUNDER?   Bridget Gilchrist* * * *  Introduction  TikTok is safe—for now. But one by one, its defenses are  winnowing. In TikTok Inc. v. Garland (2025), the Supreme Court held  that the latest ban on the app does not constitute a Free Speech Clause  violation under the First Amendment. Thirty-nine states now ban  TikTok on state government devices. And the app’s survival is  currently holding onto President Donald Trump’s negot",2394,success,
chicago_law_review_trump-20-removal-cases-new-shadow-docket.pdf,data/raw_pdf/chicago_law_review_trump-20-removal-cases-new-shadow-docket.pdf,None,0.0,semantic_cover,"09/23/2025 U. Chi. L. Rev. Online *1 TRUMP 2.0 REMOVAL CASES & THE NEW SHADOW DOCKET William N. Eskridge Jr.** * * Introduction O.C.G. is a gay man who fled his home in Guatemala because of private death threats and official persecution. The Department of Homeland Security (DHS) rejected his petition for asylum and deported him back to Guatemala, from which O.C.G. fled to Mexico, where he was raped and held hostage. O.C.G. re-entered the United States; DHS officers issued a reinstatement-of-remo",2504,success,
chicago_law_review_united-states-v-harris-hard-sell-involuntary-medication-defendants.pdf,data/raw_pdf/chicago_law_review_united-states-v-harris-hard-sell-involuntary-medication-defendants.pdf,None,0.0,semantic_cover,"06/11/25 U. Chi. L. Rev. Online *1  UNITED STATES V. HARRIS: A HARD SELL FOR INVOLUNTARY  MEDICATION OF DEFENDANTS  Rachel Caldwell* * * *  In February 2020, police arrested Bryant Lamont Harris for  threatening to assault a federal judge.1 A court then ordered Mr.  Harris to undergo an involuntary psychological examination.2 The  examination suggested that Mr. Harris has schizophrenia, delusional  disorder, or schizoaffective disorder, and the district court deemed him  incompetent to stand tri",2510,success,
chicago_law_review_venue-transfers-administrative-litigation-and-neglected-percolation-argument.pdf,data/raw_pdf/chicago_law_review_venue-transfers-administrative-litigation-and-neglected-percolation-argument.pdf,None,0.0,semantic_cover,"05/02/2025 U. Chi. L. Rev. Online *1  VENUE TRANSFERS OF ADMINISTRATIVE LITIGATION AND THE  NEGLECTED PERCOLATION ARGUMENT  Andrew Meyer* *  *  *  Introduction   A local business brings an action against a federal regulator ,  alleging that the agency’s actions are unlawful. The business properly  brings the action in federal district court in its home district. But the  regulator files a motion to transfer the action, under 28 U.S.C. § 1404(a),  to the U.S. District Court for the District of Co",2624,success,
chicago_law_review_who-are-they-judge-scope-absolute-immunity-applied-parole-psychologists.pdf,data/raw_pdf/chicago_law_review_who-are-they-judge-scope-absolute-immunity-applied-parole-psychologists.pdf,None,0.0,semantic_cover,"04/23/25 U. Chi. L. Rev. Online *1  Who Are They to Judge? The Scope of Absolute Immunity as  Applied to Parole Psychologists  Zoë Lewis Ewing* * * *  In September 2015, after twenty-six years of incarceration,  Omar Sharrieff Gay attended a mandatory psychological interview as  part of his parole proceedings. Such interviews formally serve as  expert, objective assessments of incarcerated individuals’ future risk of  violence. But what transpired in Gay’s interview was far from  objective. Per",2538,success,
columbia_law_review_a_right_of_peaceable_assembly.pdf,data/raw_pdf/columbia_law_review_a_right_of_peaceable_assembly.pdf,None,0.0,semantic_cover,1049 SYMPOSIUM PIECES  A RIGHT OF PEACEABLE ASSEMBLY  Tabatha Abu El-Haj *  The functional absence of the Assembly Clause in First Amendment  law and constitutional discourse fundame ntally distorts our analysis of  the proper scope of constitutional protection for political assemblies. This  Symposium Piece develops a much-needed independent Assembly Clause  doctrine. An independent Assembly Clause doctrine would not only be  consistent with the text and original understanding of the Founder,2653,success,
columbia_law_review_afrofuturism_in_protest_dissent_and_revolution.pdf,data/raw_pdf/columbia_law_review_afrofuturism_in_protest_dissent_and_revolution.pdf,None,0.0,semantic_cover,"1375 AFROFUTURISM IN PROTEST: DISSENT AND  REVOLUTION  Etienne C. Toussaint *  In an era of reckoning and resistance, this Symposium Piece jour- neys through the rich terrain of Black protest and Afrofuturist  imagination, uncovering a radical legal tradition rooted in historical  deﬁance and visionary possibility. By  analyzing Black resistance—from  insurrections against slavery to today’s racial justice movements— through an Afrofuturist lens, it identiﬁes three key dimensions of Black  pr",2621,success,
columbia_law_review_guaranteed_the_federal_education_duty.pdf,data/raw_pdf/columbia_law_review_guaranteed_the_federal_education_duty.pdf,None,0.0,semantic_cover,"1467 NOTES  GUARANTEED: THE FEDERAL EDUCATION DUTY  Bennett Lunn *  The Supreme Court has long emphasized state and local supremacy  over public schooling. This theory of education federalism has been at the  heart of the Court’s decisions pulling back on school desegregation and  refusing to ﬁnd a federal fundamental right to education. Today,  America’s schools are as segregated as  they were in the 1970s and often  fail to prepare Americans for demo cratic participation. Despite the  natio",2460,success,
columbia_law_review_overbroad_protest_laws.pdf,data/raw_pdf/columbia_law_review_overbroad_protest_laws.pdf,ProQuest,0.7,platform_cover,"1197  OVERBROAD PROTEST LAWS  Rachel Moran *  Protests are woven into the history and social fabric of the United  States. Whether the topic involves racial inequity, abortion, police brutal- ity, oil and gas pipelines, war, or a llegedly stolen el ections, Americans  will voice their opposition—occasionally, in frightening or destructive  ways. Politicians, in turn, have a history of using their lawmaking power  to discourage protest by creating crimes like unlawful assembly, riot, civil  dis",2799,success,
columbia_law_review_policing_campus_protest.pdf,data/raw_pdf/columbia_law_review_policing_campus_protest.pdf,None,0.0,semantic_cover,"1277  POLICING CAMPUS PROTEST  Sunita Patel *  College campuses across the country celebrate their legacies of creat- ing free speech guarantees following student protests from the mid-1960s  to early 1970s, even though colleges had minimal tolerance of such pro- tests at the time. As part of the New Left’s vision for a different society,  students, sometimes joined by faculty, demanded an end to the Vietnam  War and war industry research, foug ht for Black and ethnic studies  departments, and",2966,success,
columbia_law_review_private_prison_healthcare_as_public_accommodation_leveraging_federal_and_state_p.pdf,data/raw_pdf/columbia_law_review_private_prison_healthcare_as_public_accommodation_leveraging_federal_and_state_p.pdf,None,0.0,semantic_cover,"1509  PRIVATE PRISON HEALTHCARE AS PUBLIC  ACCOMMODATION: LEVERAGING FEDERAL AND STATE  PUBLIC ACCOMMODATIONS LAW IN PRISON DISABILITY  LITIGATION  Mark Scaggs *  The growth of private companies in the realm of carceral healthcare  services has significant implications for plaintiffs seeking to challenge  disability discrimination perpetrated during their incarceration. As the  face of disability discrimination changes in carceral facilities, so should  the legal remedies that hold them to acc",2784,success,
columbia_law_review_the_right_to_protest_in_indian_country.pdf,data/raw_pdf/columbia_law_review_the_right_to_protest_in_indian_country.pdf,None,0.0,semantic_cover,"1139  THE RIGHT TO PROTEST IN INDIAN COUNTRY  Grant Christensen *  From April 2016 until February 2017,  thousands of people gath- ered along the Cannonball River on the border of the Standing Rock  Sioux Reservation to protest the construction of the Dakota Access  Pipeline. In response, state officials tried to close down roads leading to  the Reservation, considered legislation that would immunize drivers who  struck protesters with vehicles, and arrested hundreds of peaceful demon- strato",2725,success,
duke_law_journal_burdens_of_proof.pdf,data/raw_pdf/duke_law_journal_burdens_of_proof.pdf,None,0.0,semantic_cover,"PRIMUS IN PRINTER FINAL (DO NOT DELETE) 9/16/2025  9:43 AM    BURDENS OF PROOF IN CRIMINAL PROCEDURE   EVE BRENSIKE PRIMUS †    ABSTRACT    The Supreme Court’s haphazard approach to allocating burdens of  proof in criminal procedure has crea ted a system in which constitutional  rights can be rendered meaningless simply because defendants are  required to prove things they c annot possibly know. Even though  allocations of the burden of proof often drive litigation outcomes, the Court  has faile",2593,success,
