text,label,source
...........................................,cover,Luna and Wade - 2010 - Prosecutors as Judges Prosecutorial Power A Transnational Symposium.pdf
## Carolyn  B. Ramsey*,cover,Ramsey - 2002 - The Discretionary Power of Public Prosecutors in Historical Perspective.pdf
"Barry Friedman, Secret Policing , 2016 U. CHI. LEGAL F. 99, 100-05.",footnote,michigan_law_review_law_enforcement_privilege
Discussed supra in Section I.B.,footnote,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
38 . See infra Section IV.A.,footnote,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"(c) After notice required by this section, the agency shall give interested persons an opportunity to participate in the rule making through submission of written data, views, or arguments with or without opportunity for oral presentation. After consideration of the relevant matter presented, the agency shall incorporate in the rules adopted a concise general statement of their basis and purpose. 20",body_text,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"AGLC 4th ed. Albert W. Alschuler, 'Courtroom Misconduct by Prosecutors and Trial Judges' (1972) 50(4) Texas Law Review 629",cover,Alschuler - 1971 - Courtroom Misconduct by Prosecutors and Trial Judges.pdf
"Ratner, supra note 29, at 572-73.",footnote,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"Cf. Edward K. Cheng, G. Alexander Nunn & Julia Simon-Kerr, Bending the Rules of Evidence , 118 NW. U. L. REV. 295 (2023).",footnote,michigan_law_review_law_enforcement_privilege
"145 Prestonwood Ests. W. Homeowners Ass'n v. City of Arlington, No. 02 -21 -00362 -CV, 2022 WL 3097374 , at * 6 n. 8 (Tex. App. Aug. 4 , 2022 ); see also Carlson v. City of Houston, 401 S.W. 3 d 725 , 733 (Tex. App. 2013 ) (recognizing that, under the Texas Constitution's Takings Clause, 'when the City takes action 'because of real or supposed public emergency,' the action is 'for the public use'' (quoting City of Houston v. Crabb, 905 S.W. 2 d 669 , 674 (Tex. App. 1995 )) (citing Patel v. City of Everman, 179 S.W. 3 d 1 , 8 (Tex. App. 2004 ))).",footnote,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"When the stunned Senator Henry Allen (R-KS) demanded that Reed name his authority, 12 Reed responded that he reached this conclusion after consulting an opinion prepared by the Office of the Legislative Counsel for the U.S. Senate. 13",body_text,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"59 . Cf. Jedediah Britton-Purdy, David Singh Grewal, Amy Kapczynski & K. Sabeel Rahman, Building a Law-and-Political-Economy Framework: Beyond the Twentieth-Century Synthesis , 129 Yale L.J. 1784, 1792 (2020) (pivoting away from the usage of 'political economy' in economics departments, which refers to 'the application of rational-choice models to governmental actors and institutions, ' and toward a usage that 'investigates the relation of politics to the economy').",body_text,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"26 Tyler , 143 S. Ct. at 1379 (citing Phillips v. Wash. Legal Found., 524 U.S. 156 , 167 ( 1998 )); see also Claeys, supra note 22 (manuscript at 14 -15 ). See generally id. (concluding that courts 'consult the 'common law' understood in the broad sense,' id. (manuscript at 34) , when they suspect that a state has manipulated property rights such that the 'federal right' protected by the Takings Clause has been 'convert[ed] . . . into a dead letter,' id. (manuscript at 32)) .",footnote,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"Woolhandler & Mahoney, supra note 147, at 303.",footnote,michigan_law_review_spending_clause_standing
"15. See Steve Vladeck, 16. When Can States Sue the Federal Government? , ONE FIRST (Feb. 27, 2023), https://stevevladeck.com/p/16-when-can-states-sue-the-federal [perma.cc/XE9LNM97] (noting the frequency of state challenges to Biden administration policies); Our Story: About the Alliance , GOVERNORS SAFEGUARDING DEMOCRACY, https://govsfordemocracy.org/about-us [perma.cc/Z5FE-YKW5] (reflecting the same litigious ambition of Democratic Governors J.B. Pritzker and Jared Polis in the second Trump administration).",footnote,michigan_law_review_spending_clause_standing
SOURCE: Content Downloaded from,cover,Hasbrouck - 2021 - The Just Prosecutor.pdf
https://heinonline.org/HOL/License,cover,Levine - 2020 - Police Prosecutions and Punitive Instincts.pdf
"Chicago 17th ed. Michael Pierce, ""The Court and Overcriminalization,"" Stanford Law Review Online 68 (2015-2016): 50-60",cover,P35HYYZ6_Pierce_2015_The Court and Overcriminalization.pdf
"121. Id. at 102, 105 (describing arguments in a newspaper published by William Keteltas while he was in debtor's prison).",footnote,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"212. Missouri v. Yellen, 39 F.4th at 1069 n.5, 1070. Missouri's alleged injury was to its 'constitutional right to clarity regarding the conditions of congressional appropriations.' Id. at 1069 n.5. Even though the court does not describe it as a sovereign injury, it compares its decision to the Ninth Circuit's in Arizona v. Yellen . Id.",footnote,michigan_law_review_spending_clause_standing
