page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,ACADEMIC LIMBO: REFORMING CAMPUS SPEECH GOVERNANCE FOR STUDENTS,section_header,section_header,,,56.07476635514019,unmatched
1,C HENG -CHI (K IRIN ) C HANG * & Y INN -CHING L U †,section_header,body_text,Cheng-chi (Kirin) Chang & Yinn-Ching Lu,,82.05128205128204,matched
1,"This  essay  examines  the  structural  inequalities  in  academic  freedom protections between faculty and students at private universities, highlighted by  the  2023  Gaza-related  campus  protests.  While  faculty  members  enjoy multiple layers of protection through tenure, contracts, and legal precedents, students must rely solely on discretionary university policies interpreted by the  administrators  who  restrict  their  speech.  Through  analysis  of  recent campus conflicts, this essay argues that current frameworks for protecting student academic freedom in private universities are fundamentally inadequate and proposes establishing institutional oversight boards inspired by  social  media  governance  models.  Unlike  temporary  committees,  these boards  would  provide  consistent,  transparent  adjudication  processes  while building precedent for future cases. This essay demonstrates why university implementation of such oversight mechanisms offers distinct advantages over social  media  models,  including  manageable  case  volumes  and  clearer contextual  standards.  By  creating  institutional  separation  of  powers,  these reforms would help align administrative actions with stated commitments to academic freedom while maintaining necessary operational control.",text,text,,,58.57605177993528,unmatched
1,"* Associate  Director  &  Academic  Fellow,  AI  and  the  Future  of  Work Program at Emory University School of Law.",footnote,body_text,"Associate Director & Academic Fellow, AI and the Future of Work Program at Emory University School of Law.",,91.42857142857143,matched
1,"† Research  Scholar,  AI  and  the  Future  of  Work  Program  at  Emory University  School  of  Law.  Doctoral  Candidate  at  Emory  University  School  of  Law; LL.M., University of Chicago Law School.",footnote,body_text,"Research Scholar, AI and the Future of Work Program at Emory University School of Law. Doctoral Candidate at Emory University School of Law; LL.M., University of Chicago Law School.",,89.69359331476323,matched
1,"We extend our appreciation to Dr. Ifeoma Ajunwa, Alex Chu, Rachel Cohen, Yilin (Jenny) Lu, Nanfeng Li, Yenpo Tseng, Jeffrey Chang, Wolf (Chun-Ting) Cho, Zih-Ting You, Youyang Zhong, Ssu-Yuan (Iris) Yang, Arron Fang, Edison Li, Shijie Xu, and Yizhang  (Yilia)  Shen  for  their  valuable  insights  and  feedback  on  this  article.  Their contributions have significantly enhanced this work. We are grateful to Sumner Pitt and the other editors of the Wisconsin Law Review for their diligent efforts in bringing this article to publication. Any errors or oversights are our sole responsibility. The views expressed in this essay are solely our own and do not represent those of any affiliated institutions.",footnote,body_text,"We extend our appreciation to Dr. Ifeoma Ajunwa, Alex Chu, Rachel Cohen, Yilin (Jenny) Lu, Nanfeng Li, Yenpo Tseng, Jeffrey Chang, Wolf (Chun-Ting) Cho, Zih-Ting You, Youyang Zhong, Ssu-Yuan (Iris) Yang, Arron Fang, Edison Li, Shijie Xu, and Yizhang (Yilia) Shen for their valuable insights and feedback on this article. Their contributions have significantly enhanced this work. We are grateful to Sumner Pitt and the other editors of the Wisconsin Law Review for their diligent efforts in bringing this article to publication. Any errors or oversights are our sole responsibility. The views expressed in this essay are solely our own and do not represent those of any affiliated institutions.",,98.26839826839827,matched
2,I NTRODUCTION,section_header,section_header,,,69.23076923076923,unmatched
2,"In October 2023, students erected protest encampments across major university  campuses  -  from  Columbia  to  Georgetown. 1 Within  days, Columbia's administration suspended two student groups, setting off a chain  reaction  of  protests  and  administrative  crackdowns  nationwide. 2 This  moment  crystallized  a  fundamental  paradox:  while  universities celebrate  academic  freedom  in  principle,  their  responses  to  student expression often reveal a starkly different reality.",text,body_text,"In October 2023, students erected protest encampments across major university campuses – from Columbia to Georgetown. 1 Within days, Columbia’s administration suspended two student groups, setting off a chain reaction of protests and administrative crackdowns nationwide. 2 This moment crystallized a fundamental paradox: while universities celebrate academic freedom in principle, their responses to student expression often reveal a starkly different reality.",,93.69565217391305,matched
2,"Consider  the  stark  disparity  in  speech  protections.  When  faculty members  take  controversial  positions,  they  enjoy  multiple  layers  of security - tenure, contracts, and established legal precedent. Students, however, must rely on malleable university policies interpreted by the very  administrators  restricting  their  speech.  At  private  institutions beyond  Constitutional  reach,  this  power  imbalance  proves  especially acute.  When  Columbia  dismantled  protest  encampments  or  Harvard struggled to balance competing speech interests, students found themselves without meaningful recourse to challenge these decisions. 3",text,body_text,"Consider the stark disparity in speech protections. When faculty members take controversial positions, they enjoy multiple layers of security – tenure, contracts, and established legal precedent. Students, however, must rely on malleable university policies interpreted by the very administrators restricting their speech. At private institutions beyond Constitutional reach, this power imbalance proves especially acute. When Columbia dismantled protest encampments or Harvard struggled to balance competing speech interests, students found themselves without meaningful recourse to challenge these decisions. 3",,94.77124183006535,matched
2,"This  essay  argues  that  current  frameworks  for  protecting  student academic freedom in private universities are fundamentally broken. The stakes extend far beyond individual disputes - they touch the core mission of higher education itself. Each time administrators shut down controversial  expression  without  principled  justification  or  meaningful review,  they  signal  that  institutional  convenience  trumps  the  robust discourse essential for knowledge creation and truth-seeking.",text,body_text,"This essay argues that current frameworks for protecting student academic freedom in private universities are fundamentally broken. The stakes extend far beyond individual disputes – they touch the core mission of higher education itself. Each time administrators shut down controversial expression without principled justification or meaningful review, they signal that institutional convenience trumps the robust discourse essential for knowledge creation and truth-seeking.",,96.0,matched
2,"Drawing  inspiration  from  recent  experiments  in  social  media governance,  this  Article  proposes  establishing  permanent  oversight boards within private universities to adjudicate speech-related conflicts. Unlike  temporary  committees  formed  after  controversies  erupt,  these boards would provide consistent, transparent processes while building",text,body_text,"Drawing inspiration from recent experiments in social media governance, this Article proposes establishing permanent oversight boards within private universities to adjudicate speech-related conflicts. Unlike temporary committees formed after controversies erupt, these boards would provide consistent, transparent processes while building precedent to guide future cases. The timing for such reform proves especially advantageous – unlike social media platforms dealing with billions of content decisions, universities face manageable case volumes allowing careful consideration of each dispute’s broader implications.",,97.134670487106,matched
2,"1. Kasprzak, supra note 1 ('Columbia University students rally in support of Palestine on October 12, 2023, in New York City. Pro-Palestinian groups are staging boycotts on Black Friday.').",footnote,footnote,,"26 Kasprzak, supra note 1 (“Columbia University students rally in support of Palestine on October 12, 2023, in New York City. Pro-Palestinian groups are staging boycotts on Black Friday.”).",99.45652173913044,matched
2,"2. Johanna  Alonso, Columbia  Suspends  2  Pro-Palestine  Groups ,  I NSIDE H IGHER E D (Nov. 10, 2023), https://www.insidehighered.com/news/students/freespeech/2023/11/10/columbia-suspends-two-pro-palestinian-groups  (last  visited  Nov  8, 2024)  [https://perma.cc/H2W9-YRTZ];  Liset  Cruz  &  Claire  Fahy, Columbia  Faces Protests  After  Suspending  2  Pro-Palestinian  Groups ,  N.Y. T IMES (Nov.  15,  2023) https://www.nytimes.com/2023/11/15/nyregion/columbia-university-ban-studentgroups-israel-hamas-war.html [https://perma.cc/JPJ8-L8MR].",footnote,footnote,,"1 Johanna Alonso, Columbia Suspends 2 Pro-Palestine Groups, Inside Higher Ed (Nov. 10, 2023), https://www.insidehighered.com/news/students/free-speech/2023/11/10/columbia-suspends-two-pro-palestinian-groups (last visited Nov 8, 2024) [https://perma.cc/H2W9-YRTZ]; Liset Cruz & Claire Fahy, Columbia Faces Protests After Suspending 2 Pro-Palestinian Groups, N.Y. Times (Nov. 15, 2023) https://www.nytimes.com/2023/11/15/nyregion/columbia-university-ban-student-groups-israel-hamas-war.html [https://perma.cc/JPJ8-L8MR].",94.37984496124031,matched
2,"3. Andrew Marantz, How Columbia's Campus Was Torn Apart Over Gaza , N EW Y ORKER (Apr. 25, 2024), https://www.newyorker.com/news/daily-comment/howcolumbias-campus-was-torn-apart-over-gaza [https://perma.cc/CR2H-P4KA] (arguing that students lacked meaningful recourse when universities took action - facing arrest, suspension,  or  eviction,  while  university  leadership  made  decisions  under  external pressure without student input.).",footnote,footnote,,"2 Andrew Marantz, How Columbia’s Campus Was Torn Apart Over Gaza, New Yorker (Apr. 25, 2024), https://www.newyorker.com/news/daily-comment/how-columbias-campus-was-torn-apart-over-gaza [https://perma.cc/CR2H-P4KA] (arguing that students lacked meaningful recourse when universities took action – facing arrest, suspension, or eviction, while university leadership made decisions under external pressure without student input.).",97.16981132075472,matched
3,"precedent  to  guide  future  cases.  The  timing  for  such  reform  proves especially  advantageous  -  unlike  social  media  platforms  dealing  with billions of content decisions, universities face manageable case volumes allowing careful consideration of each dispute's broader implications.",text,body_text,"Drawing inspiration from recent experiments in social media governance, this Article proposes establishing permanent oversight boards within private universities to adjudicate speech-related conflicts. Unlike temporary committees formed after controversies erupt, these boards would provide consistent, transparent processes while building precedent to guide future cases. The timing for such reform proves especially advantageous – unlike social media platforms dealing with billions of content decisions, universities face manageable case volumes allowing careful consideration of each dispute’s broader implications.",,96.86411149825784,matched
3,"Part  II  examines  why  current  approaches  to  student  academic freedom prove structurally inadequate, particularly in private institutions beyond Constitutional reach. Part III analyzes the specific vulnerabilities that  subject  students  to  administrative  overreach,  using  recent  campus protests as illustrative case studies. Part IV develops the oversight board proposal,  explaining  why  university  implementation  offers  distinct advantages over social media models while addressing potential challenges to adoption.",text,body_text,"Part II examines why current approaches to student academic freedom prove structurally inadequate, particularly in private institutions beyond Constitutional reach. Part III analyzes the specific vulnerabilities that subject students to administrative overreach, using recent campus protests as illustrative case studies. Part IV develops the oversight board proposal, explaining why university implementation offers distinct advantages over social media models while addressing potential challenges to adoption.",,96.37610186092067,matched
3,I. S TRUCTURAL D ISPARITIES IN A CADEMIC F REEDOM P ROTECTIONS,section_header,section_header,,,62.903225806451616,unmatched
3,"Academic  freedom  encompasses  three  fundamental  principles: member independence  from  university  control,  institutional  autonomy from state interference, and university's duty to safeguard both. 4 Within university  communities, student academic freedom warrants particular attention due to its unique vulnerabilities.",text,body_text,"Academic freedom encompasses three fundamental principles: member independence from university control, institutional autonomy from state interference, and university’s duty to safeguard both. 4 Within university communities, student academic freedom warrants particular attention due to its unique vulnerabilities.",,96.81528662420382,matched
3,"Students contribute essential elements to university education despite their developing expertise. 5 First, their willingness to receive information from  instructors  drives  intellectual  growth. 6 The  right  to  learn  and exchange  ideas  with  teachers  embodies  academic  freedom. 7 Second, student engagement through questioning and debate forms an essential part  of  the  educational  process  itself.  When  students  from  varied backgrounds challenge assumptions and propose alternative viewpoints, they expand the scope of academic inquiry. A university that suppresses",text,body_text,"Students contribute essential elements to university education despite their developing expertise. 5 First, their willingness to receive information from instructors drives intellectual growth. 6 The right to learn and exchange ideas with teachers embodies academic freedom. 7 Second, student engagement through questioning and debate forms an essential part of the educational process itself. When students from varied backgrounds challenge assumptions and propose alternative viewpoints, they expand the scope of academic inquiry. A university that suppresses student voices risks creating an echo chamber antithetical to genuine scholarship. 8",,97.99126637554585,matched
3,"4. See Jogchum Vrielink, Paul Lemmens & Stephan Parmentier, Academic Freedom as a Fundamental Right , 13 P ROCEDIA -S OC . & B EHAV . S CI . 117, 117 (2011) ('Academic freedom can be considered to comprise . . . individual rights to expressive freedoms  for  members  of  the  academic  community  [both  staff  and  students]  .  .  . institutional autonomy . . .'); T HOMAS M ILES & T OM G INSBURG , F REEDOM OF A CADEMIC E XPRESSION : A U NIVERSITY OF C HICAGO P ERSPECTIVE 6  (2024)  ('[I]t  comprises  three related principles: (1) the individual rights of professors and students to hold and express opinions; (2) the institutional autonomy of the university from direct state interference; and (3) the state's obligation to protect and enable (1) and (2).').",footnote,footnote,,"3 See Jogchum Vrielink, Paul Lemmens & Stephan Parmentier, Academic Freedom as a Fundamental Right, 13 Procedia – Soc. & Behav. Sci. 117, 117 (2011) (“Academic freedom can be considered to comprise . . . individual rights to expressive freedoms for members of the academic community [both staff and students] . . . institutional autonomy . . .”); Thomas Miles & Tom Ginsburg, Freedom of Academic Expression: A University of Chicago Perspective 6 (2024) (“[I]t comprises three related principles: (1) the individual rights of professors and students to hold and express opinions; (2) the institutional autonomy of the university from direct state interference; and (3) the state’s obligation to protect and enable (1) and (2).”).",94.88243430152143,matched
3,"5. See D AVID M. R ABBAN , A CADEMIC F REEDOM : F ROM P ROFESSIONAL N ORM TO F IRST A MENDMENT R IGHT 283 (2024) (comparing students with faculty about different justifications to exercise academic freedom).",footnote,footnote,,"4 See David M. Rabban, Academic Freedom: From Professional Norm to First Amendment Right 283 (2024) (comparing students with faculty about different justifications to exercise academic freedom).",94.27083333333334,matched
3,"6. See Sweezy v. New Hampshire , 354 U.S. 234, 250 (1957) ('Teachers and students must always remain free to inquire, to study and to evaluate, to gain new maturity and understanding; otherwise our civilization will stagnate and die.').",footnote,footnote,,"5 See Sweezy v. New Hampshire, 354 U.S. 234, 250 (1957) (“Teachers and students must always remain free to inquire, to study and to evaluate, to gain new maturity and understanding; otherwise our civilization will stagnate and die.”).",99.56521739130434,matched
3,"7. See Bd. of Regents of Univ. of Wis. Sys. v. Southworth , 529 U.S. 217, 237 (Souter, J., concurring) (2000) ('Academic freedom thrives . . . on the independent and uninhibited exchange of ideas among teachers and students . . .').",footnote,footnote,,"6 See Bd. of Regents of Univ. of Wis. Sys. v. Southworth, 529 U.S. 217, 237 (Souter, J., concurring) (2000) (“Academic freedom thrives . . . on the independent and uninhibited exchange of ideas among teachers and students . . .”).",99.5475113122172,matched
4,student  voices  risks  creating  an  echo  chamber  antithetical  to  genuine scholarship. 8,text,body_text,"Students contribute essential elements to university education despite their developing expertise. 5 First, their willingness to receive information from instructors drives intellectual growth. 6 The right to learn and exchange ideas with teachers embodies academic freedom. 7 Second, student engagement through questioning and debate forms an essential part of the educational process itself. When students from varied backgrounds challenge assumptions and propose alternative viewpoints, they expand the scope of academic inquiry. A university that suppresses student voices risks creating an echo chamber antithetical to genuine scholarship. 8",,94.91525423728814,matched
4,"Yet despite their importance to academic discourse, students occupy a  structurally  inferior  position  regarding  speech  protections.  Faculty members enjoy multiple layers of security - tenure, employment contracts, and often union representation - allowing them to express controversial views with relative safety. 9 When universities take adverse action against faculty speech, established legal frameworks on employment contract, contract law, and civil procedures provide clear paths for challenge and review.",text,body_text,"Yet despite their importance to academic discourse, students occupy a structurally inferior position regarding speech protections. Faculty members enjoy multiple layers of security – tenure, employment contracts, and often union representation – allowing them to express controversial views with relative safety. 9 When universities take adverse action against faculty speech, established legal frameworks on employment contract, contract law, and civil procedures provide clear paths for challenge and review.",,98.62475442043221,matched
4,"Students face a markedly different reality. When facing disciplinary decisions, students must rely primarily on internal university procedures to  address  speech-related  grievances. 10 These  procedures  often  grant broad  discretion  to  the  same  administrators  who  initiated  the  original restrictions, creating an inherent conflict of interest. The consequences of speech-related sanctions also weigh more heavily on students. While the  contract  relationship  between  the  private  university  and  student permits legal action, 11 students rarely succeed because courts typically defer to institutional policy interpretations. Also, while faculty members dismissed from one institution can often secure positions elsewhere based on their established reputations and credentials, students face potentially career-ending consequences from expulsions or disciplinary actions that permanently mark their academic records.",text,body_text,"Students face a markedly different reality. When facing disciplinary decisions, students must rely primarily on internal university procedures to address speech-related grievances. 10 These procedures often grant broad discretion to the same administrators who initiated the original restrictions, creating an inherent conflict of interest. The consequences of speech-related sanctions also weigh more heavily on students. While the contract relationship between the private university and student permits legal action, 11 students rarely succeed because courts typically defer to institutional policy interpretations. Also, while faculty members dismissed from one institution can often secure positions elsewhere based on their established reputations and credentials, students face potentially career-ending consequences from expulsions or disciplinary actions that permanently mark their academic records.",,97.4669603524229,matched
4,"8. See Report of the Ad Hoc Committee on Protest and Dissent , U NIV . OF C HI . (Jan. 13, 2014), https://provost.uchicago.edu/sites/default/files/documents/reports/Report%20Protest%2 0and%20Dissent.pdf [https://perma.cc/CR2H-P4KA] ('Especially in a university community,  the  absence  of  dissent  and  protest-not  its  presence-is  a  cause  for concern.').",footnote,footnote,,"7 See Report of the Ad Hoc Committee on Protest and Dissent, Univ. of Chi. (Jan. 13, 2014), https://provost.uchicago.edu/sites/default/files/documents/reports/Report%20Protest%20and%20Dissent.pdf [https://perma.cc/CR2H-P4KA] (“Especially in a university community, the absence of dissent and protest—not its presence—is a cause for concern.”).",95.57522123893806,matched
4,"9. While  we  here  emphasize  students'  position  relative  to  faculty  within academic freedom, we are aware of and share concerns about recent university politics undermining institutional protections for faculty, such as tenure. See Joan Wallach Scott, Academic Freedom & the Politics of the University ,  153  D AEDALUS 149,  160  (2024) ('The current move in red states to outlaw tenure entirely, driven by a desire to get rid of troublesome critical faculty and not necessarily motivated by workforce calculations, will surely finish the job.').",footnote,footnote,,"8 While we here emphasize students’ position relative to faculty within academic freedom, we are aware of and share concerns about recent university politics undermining institutional protections for faculty, such as tenure. See Joan Wallach Scott, Academic Freedom & the Politics of the University, 153 Daedalus 149, 160 (2024) (“The current move in red states to outlaw tenure entirely, driven by a desire to get rid of troublesome critical faculty and not necessarily motivated by workforce calculations, will surely finish the job.”).",97.65698219306466,matched
