page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,LEARNING FROM HISTORY: PREDICTING THE DEVELOPMENT OF CLASS-BASED INTEREST CONVERGENCE,section_header,body_text,"Tracing this history shows how the development of a racial interest-convergence, one which first yielded some favorable court decisions and followed with the passage of the Civil Rights Act of 1964, [44] was dependent on two factors that have not seemed to operate in the same way with class. First, there was a significant foreign adversary well-positioned to exploit the United States’ civil rights weak point. [45] Second, there was an easily identifiable and easily magnifiable minority interest at stake.",,71.95121951219512,matched
1,Spencer Bowley *,section_header,body_text,Spencer Bowley 101 B.U. L. Rev. Online 125 (2021) PDF,,100.0,matched
1,CONTENTS,section_header,footnote,,"[74] hooks, supra note 71, at 117 (“Ruling class interests have a stake in reinforcing a politics of [W]hite supremacy, which continues to try to socialize [W]hite working-class and poor people to blame their economic plight on [B]lack people or people of color globally.”); Robinson, supra note 71, at 204-05; Michelle Alexander, The New Jim Crow: Mass Incarceration in the Age of Colorblindness 42 (Rev. ed. 2020). Trump strategist Steve Bannon believed that the Democratic Party’s focus on racial divisions in American society would help Republicans if they kept their focus on economic nationalism. See Robert Kuttner, Steve Bannon, Unrepentant , Am. Prospect (Aug. 16, 2017), https://prospect.org/power/steve-bannon-unrepentant/ [https://perma.cc/7T5T-ZG5U]. Russian attempts to inflame racial discontent in the United States provide a geopolitical analogy for a powerful actor sowing discord to keep a rival divided. Julian E. Barnes & Adam Goldman, Russia Trying to Stoke U.S. Racial Tensions Before Election, Officials Say , N.Y. Times (Mar. 16, 2021), https://www.nytimes.com/2020/03/10/us/politics/russian-interference-race.html.",87.5,matched
1,INTRODUCTION,section_header,body_text,Introduction,,100.0,matched
1,"As the Critical Race Theory movement nears fifty years of age, 1  the reach and breadth of the project continues to expand ambitiously. While the experiences of Black Americans in the United States may have been one of the most central influences to the development of this theory, 2  Critical Race Theory has both",text,body_text,"As the Critical Race Theory movement nears fifty years of age, [1] the reach and breadth of the project continues to expand ambitiously. While the experiences of Black Americans in the United States may have been one of the most central influences to the development of this theory, [2] Critical Race Theory has both contributed to and learned from critical legal movements focused on feminism, Latino/a/x people, Asian Americans, queer people, Native Americans, and even Whiteness. [3] However, even as studies of race, ethnicity, gender, and sexuality became entwined within Critical Race Theory, the study and analysis of the U.S. class system was largely not undertaken under the Critical Race Theory umbrella until relatively recently. [4]",,99.36305732484077,matched
1,"* J.D.  Candidate,  University  of  Alabama  School  of  Law,  May  2022;  A.B.,  Politics, Princeton University 2011. Thank you especially  to Professors Richard Delgado and Jean Stefancic: for your guidance during the paper-writing process, for your encouragement to seek publication, and for your mentorship and positive examples of radical lawyering. Thank you also  to  Haley,  Erica,  Ryne,  Tyler,  Matthew,  Brandon,  Sam,  and  Bre  for  your  helpful comments  and  suggestions.  To  Bonnie,  Karissa,  Austin,  Sophia,  and  James:  you  are collectively and continually my strength.",footnote,body_text,"* J.D. Candidate, University of Alabama School of Law, May 2022; A.B., Politics, Princeton University 2011. Thank you especially to Professors Richard Delgado and Jean Stefancic: for your guidance during the paper-writing process, for your encouragement to seek publication, and for your mentorship and positive examples of radical lawyering. Thank you also to Haley, Erica, Ryne, Tyler, Matthew, Brandon, Sam, and Bre for your helpful comments and suggestions. To Bonnie, Karissa, Austin, Sophia, and James: you are collectively and continually my strength.",,94.23423423423424,matched
1,"1 See Richard Delgado & Jean Stefancic, Critical Race Theory: Past, Present, and Future , 51 CURRENT LEGAL PROBS. 467, 467 (1998) (discussing origins of Critical Race Theory in the 1970s and its development).",footnote,footnote,,"[1] See Richard Delgado & Jean Stefancic, Critical Race Theory: Past, Present, and Future , 51 Current Legal Probs. 467, 467 (1998) (discussing origins of Critical Race Theory in the 1970s and its development).",99.7566909975669,matched
1,"2 See Athena D. Mutua, The Rise, Development and Future Directions of Critical Race Theory and Related Scholarship , 84 DENV. U. L. REV. 329, 348 (2006).",footnote,footnote,,"[2] See Athena D. Mutua, The Rise, Development and Future Directions of Critical Race Theory and Related Scholarship , 84 Denv. U. L. Rev. 329, 348 (2006).",99.66777408637874,matched
2,"contributed to and learned from critical legal movements focused on feminism, Latino/a/x people, Asian Americans, queer people, Native Americans, and even Whiteness. 3  However, even as studies of race, ethnicity, gender, and sexuality became entwined within Critical Race Theory, the study and analysis of the U.S. class system was largely not undertaken under the Critical Race Theory umbrella until relatively recently. 4",text,body_text,"As the Critical Race Theory movement nears fifty years of age, [1] the reach and breadth of the project continues to expand ambitiously. While the experiences of Black Americans in the United States may have been one of the most central influences to the development of this theory, [2] Critical Race Theory has both contributed to and learned from critical legal movements focused on feminism, Latino/a/x people, Asian Americans, queer people, Native Americans, and even Whiteness. [3] However, even as studies of race, ethnicity, gender, and sexuality became entwined within Critical Race Theory, the study and analysis of the U.S. class system was largely not undertaken under the Critical Race Theory umbrella until relatively recently. [4]",,99.76415094339622,matched
2,"One of the key insights of critical race scholars is the  theory of  'interestconvergence' first proposed by Derrick Bell. 5  Bell scrutinized court decisions dealing with the rights of racial minorities, most significantly Brown v. Board of Education , 6   asserting  that,  rather  than  being  based  solely  on  lofty  egalitarian ideals, the results in these cases that were positive for Black people were only possible  because  they  were  also  in  the  interest  of  middle-  and  upper-class Whites. 7  Of particular note is Bell's observation that, by granting rights to Black Americans and affirming the principle of equality, these decisions would bolster anti-communist sentiment domestically and internationally. 8",text,body_text,"One of the key insights of critical race scholars is the theory of “interest-convergence” first proposed by Derrick Bell. [5] Bell scrutinized court decisions dealing with the rights of racial minorities, most significantly Brown v. Board of Education , [6] asserting that, rather than being based solely on lofty egalitarian ideals, the results in these cases that were positive for Black people were only possible because they were also in the interest of middleand upper-class Whites. [7] Of particular note is Bell’s observation that, by granting rights to Black Americans and affirming the principle of equality, these decisions would bolster anti-communist sentiment domestically and internationally. [8]",,96.47390691114246,matched
