page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,BUILDING A NEW CONSTITUTIONAL JERUSALEM: A REVIEW OF THE ANTIRACIST CONSTITUTION †,section_header,body_text,"Aderson B. Francois* Invited Response: Aderson B. Francois, Building a New Constitutional Jerusalem: A Review of The Antiracist Constitution 102 B.U. L. Rev. Online 98 (2022) | PDF",,100.0,matched
1,A DERSON B ELLEGARDE F RANCOIS *,section_header,body_text,I.,,100.0,matched
1,I NTRODUCTION,section_header,body_text,I.,,100.0,matched
1,"In the summer of 1943, James Baldwin, then only nineteen years old, drove to the cemetery to bury his father in the aftermath of a riot that had broken out in  Harlem,  New  York,  after  a  white  police  officer  shot  a  Black  soldier. 1 Baldwin's father 'was of the first generation of free [Black] men,' 2 who ended up  living  his  days  locked  up  inside  the  terrors  the  white  world  and  his  own broken mind had visited upon him. 3 As  the  funeral  procession  made  its  way 'through a wilderness of smashed plate glass,' 4 Baldwin looked back over the bitter legacy that had been his father's life and thought:",text,body_text,I.,,100.0,matched
1,"It began to seem that one would have to hold in the mind forever two ideas which  seemed  to  be  in  opposition.  The  first  idea  was  acceptance,  the acceptance, totally without rancor, of life as it is, and men as they are: in the light of this idea, it goes without saying that injustice is a commonplace. But this did not mean that one could be complacent, for the second idea is of  equal  power:  that  one  must  never,  in  one's  own  life,  accept  these injustices as commonplace but must fight them with all one's strength. 5",text,body_text,I.,,100.0,matched
1,"In The Antiracist Constitution , Brandon Hasbrouck asks us to similarly hold in  the  mind two ideas that seem to be in opposition: first, that the elemental constituent  of  the  American  national  identity  in  general  and  the  American Constitutional project in particular is white supremacy; 6 and second, that in fact white supremacy need not be the heartbeat of American constitutionalism, but that instead the Constitution as originally drafted in 1789 and as reconstructed after the Civil War contains an altogether different elemental particle-namely, abolitionist democracy. 7 In making his case for how we may hold in the mind",text,body_text,I.,,100.0,matched
1,"† An invited response to Brandon Hasbrouck, The Antiracist Constitution ,  102  B.U. L. R EV . 87 (2022).",footnote,body_text,I.,,100.0,matched
1,"* Anne  Fleming  Research  Professor;  Professor  of  Law;  Director,  Institute  for  Public Representation Civil Rights Law Clinic, Georgetown Law.",footnote,body_text,I.,,100.0,matched
1,"1 James Baldwin, Notes of a Native Son , in T HE P RICE OF THE T ICKET 127 (1985).",footnote,body_text,I.,,100.0,matched
1,2 Id. at 128.,footnote,body_text,I.,,100.0,matched
1,3 Id. at 129-30.,footnote,body_text,I.,,100.0,matched
1,4 Id. at 127.,footnote,body_text,I.,,100.0,matched
1,5 Id. at 145.,footnote,body_text,I.,,100.0,matched
1,"6 Brandon Hasbrouck, The Antiracist Constitution , 102 B.U. L. R EV . 87, 109 (2022). 7 Id. at 127-28, 165.",footnote,body_text,I.,,100.0,matched
2,"these two seemingly contradictory ideas, Professor Hasbrouck manages to bring together two Black intellectual traditions that I had until now thought impossible to reconcile: the Black liberation jurisprudence of Justice Thurgood Marshall and the critical race theory scholarship of Professor Derrick Bell. I am not certain I am fully convinced that the work of the man who litigated Brown v. Board of Education 8 can in fact peacefully coexist with that of the man who insisted that Brown was made possible only because it did not threaten 'the superior societal status of middle and upper class whites.' 9 But my skepticism in believing that it is  within  our  reach  to  'enact  a  radical  vision' 10 of  the  Constitution  perhaps speaks more to the limits of my own moral imagination than it does to Professor Hasbrouck's  persuasiveness.  Indeed,  by  the  time  I  finished The  Antiracist Constitution , I very much wanted to believe. And still do.",text,body_text,I.,,100.0,matched
2,I.,text,footnote,,"[1]James Baldwin, Notes of a Native Son , in The Price of the Ticket 127 (1985).",100.0,matched
2,"The Antiracist Constitution begins with the irrefutable point that for more than two centuries the Supreme Court has read the Constitution as an instrument of white supremacy such that, when faced with fundamental questions of Black freedom and equality, the Court's recurring pattern has been to initially refuse to recognize our full humanity; then to acknowledge our rights only belatedly, grudgingly,  and  conditionally;  and  finally  to  diminish,  restrict,  and  even repudiate those rights whenever and however it becomes politically palatable for the Court to do so. By itself, this statement is such commonplace that it hardly seems worth bothering to offer evidence to prove it. But it is still extraordinary to read collected in a single place-as Professor Hasbrouck does in his Articlethe catalog of what he calls 'a multidisc boxed set of racist decisions hits.' 11",text,body_text,I.,,100.0,matched
2,"And  this  two-centuries  worth  of  boxed-set  moral  failures  is  all  the  more striking when cataloged not in chronological order but as Professor Hasbrouck does-in random jumps through time between past and present: here is the Court in 1842, holding in Prigg v. Pennsylvania 12 that  Black people who escape to freedom can lawfully be kidnapped and sold back into slavery; 13 here it is in 1976, holding in Washington v. Davis 14 that the Equal Protection Clause does",text,body_text,I.,,100.0,matched
2,"8 348 U.S. 886 (1954); see Sherrilyn Ifill, How Thurgood Marshall Paved the Road to ' Brown v. Board of Education, ' S MITHSONIAN M AG . (Mar. 10, 2021), https://www.smithsonianmag.com/history/how-thurgood-marshall-paved-road-brown-vboard-education-180977197/  [https://perma.cc/SE58-R96L]; see  also Thurgood  Marshall, Commentary, Reflections on the Bicentennial of the United States Constitution , 101 H ARV . L. R EV . 1, 1-2 (1987).",footnote,body_text,I.,,100.0,matched
2,"9 Derrick  A.  Bell,  Jr.,  Comment,  Brown  v.  Board  of  Education and  the  InterestConvergence Dilemma , 93 H ARV . L. R EV . 518, 523 (1980).",footnote,body_text,I.,,100.0,matched
2,"10 Hasbrouck , supra note 6, at 163.",footnote,footnote,,"[10]Hasbrouck , supra note 6, at 163.",100.0,matched
2,11 Id. at 101.,footnote,body_text,I.,,100.0,matched
2,12 41 U.S. (16 Pet.) 539 (1842).,footnote,footnote,,[12]41 U.S. (16 Pet.) 539 (1842).,100.0,matched
2,13 Id. at 622.,footnote,body_text,I.,,100.0,matched
2,14 426 U.S. 229 (1976).,footnote,footnote,,[14]426 U.S. 229 (1976).,100.0,matched
3,"not prevent government from adopting policies that harm Black people so long as these policies are clothed in neutral garb; 15 here it is in 1876, holding in United States v. Cruikshank 16 that the federal government has no business prosecuting a  white  mob  who  set  fire  to  a  Louisiana  Courthouse  to  prevent  the  Black freedmen gathered inside from exercising political power; 17 here it is in 1987, holding  in McCleskey  v.  Kemp 18 that it is constitutional  for  a state to disproportionally impose the death penalty on Black people; 19 here it is in 1857, holding in Dred Scott v. Sandford 20 that Black people and their children, for all the generations to come, can never be people under the Constitution; 21 here it is in 2013, holding in Shelby County v. Holder 22 that the election of a lone Black President in more than two centuries means the end of racial discrimination in voting; 23 here it is in 1896, holding in Plessy v. Ferguson 24 that a Black man has no rights a white man is bound to respect; 25 here it is in 1974, holding in Milliken v. Bradley 26 that the random lines drawn on map to demarcate school districts are more important than providing a good education to Black children; 27 here it is in 1883, holding in the Civil Rights Cases 28 that Black people asking for a seat on a train or a table at a restaurant is akin to demanding special treatment; 29 here it is in 1906, holding in Hodges v. United States 30 that lynching black people is not a federal crime; 31 here it is in 2003, holding in Grutter v. Bollinger 32 that fifty  years  of  half-hearted  half  measures  are  more  than  enough  to  remedy centuries of racial discrimination in higher education against Black people; 33 here it is in 1908, holding in Berea College v. Kentucky 34 that it is well within the power of a state to force a private university to stop educating Blacks and",text,body_text,I.,,100.0,matched
3,15 Id. at 238-48.,footnote,body_text,I.,,100.0,matched
3,16 92 U.S. 542 (1875).,footnote,footnote,,[16]92 U.S. 542 (1875).,100.0,matched
3,17 Id. at 551-52.,footnote,body_text,I.,,100.0,matched
3,18 481 U.S. 279 (1987).,footnote,footnote,,[18]481 U.S. 279 (1987).,100.0,matched
3,19 Id. at 298-99.,footnote,body_text,I.,,100.0,matched
3,20 60 U.S. (19 How.) 393 (1857) (enslaved party).,footnote,footnote,,[20]60 U.S. (19 How.) 393 (1857) (enslaved party).,100.0,matched
3,21 Id. at 426-27.,footnote,body_text,I.,,100.0,matched
3,22 570 U.S. 529 (2013).,footnote,footnote,,[22]570 U.S. 529 (2013).,100.0,matched
3,23 Id. at 553-56.,footnote,body_text,I.,,100.0,matched
3,24 163 U.S. 537 (1896).,footnote,footnote,,[24]163 U.S. 537 (1896).,100.0,matched
3,25 Id. at 552.,footnote,body_text,I.,,100.0,matched
3,26 418 U.S. 717 (1974).,footnote,footnote,,[26]418 U.S. 717 (1974).,100.0,matched
3,27 Id. at 745.,footnote,body_text,I.,,100.0,matched
3,28 109 U.S. 3 (1883).,footnote,footnote,,[28]109 U.S. 3 (1883).,100.0,matched
3,29 Id. at 24-25.,footnote,body_text,I.,,100.0,matched
3,30 203 U.S. 1 (1906).,footnote,footnote,,[30]203 U.S. 1 (1906).,100.0,matched
3,31 Id. at 25.,footnote,body_text,I.,,100.0,matched
3,32 539 U.S. 306 (2003).,footnote,footnote,,[32]539 U.S. 306 (2003).,100.0,matched
3,33 Id. at 343.,footnote,body_text,I.,,100.0,matched
3,34 211 U.S. 45 (1908).,footnote,footnote,,[34]211 U.S. 45 (1908).,100.0,matched
4,"whites together; 35 here it is in 1981, holding in City of Memphis v. Greene 36 that white  residents  can  wall  off  a  Black  neighborhood  so  long  as  they  don't explicitly say they are doing so in order to keep Black people out; 37 here it is in 1872, holding in Blyew v. United States 38 that the federal government has no power  to  prosecute  two  white  supremacists  for  the  ax  murder  of  a  Black family; 39 and on and on.",text,body_text,I.,,100.0,matched
4,"It speaks to the persuasiveness with which Professor Hasbrouck prosecutes the case in the first half of his Article-that the Constitution has served as a tool of white supremacy-that I, for one, found myself resisting the defense he offers in the second half-that the Constitution can also be used as an instrument for 'an  abolitionist  constitutional  movement  sufficient  to  complete  the  work  of Reconstruction.' 40 And to be clear, my resistance to the claim of an antiracist Constitution is not because Professor Hasbrouck  is anything less than meticulous in advancing his vision. Indeed, to the extent that the heart of his argument is the recognition that from the moment our constitutional democracy proclaimed 'We the People' Black people always understood the Constitution as an instrument of their liberation, Professor Hasbrouck is undoubtedly correct. From Frederick Douglass to Martin Luther King, from the first corps of Black legislators  elected  to  Congress  after  the  War  to  members  of  the  Student Nonviolent Coordinating Committee, from Black soldiers who enlisted with the United States Colored Troops in the fight to save the Union to Black parents who sent their children in harm's way to integrate segregated schools, Black people always understood the Constitution as the key to freedom and equality in ways that the drafters themselves never fully appreciated. More to the point, Professor Hasbrouck demonstrates how this radical abolitionist view of both the 1789  and  Reconstruction  constitutions  was  not-is  not-a  mere  strategic rhetorical device, but rather can form the basis of what he calls a new antiracist Constitution.",text,body_text,I.,,100.0,matched
4,"Ironically, Professor Hasbrouck's antiracist Constitution owes an intellectual debt to Justice John Harlan, whose dissent in Plessy v. Ferguson -proclaiming that court constitution is color blind-was in fact a thinly veiled endorsement of white supremacy. 41 For, while Justice Harlan's dissent is often cited with great, if misguided, reverence, his earlier dissent in the Civil Rights Cases is the one deserving of respect because it articulated a vision of an antiracist Constitution. There, Justice Harlan explained that, if the 1787 Constitution, the Fugitive Slave",text,body_text,I.,,100.0,matched
4,35 Id. at 58.,footnote,body_text,I.,,100.0,matched
4,36 451 U.S. 100 (1981).,footnote,footnote,,[36]451 U.S. 100 (1981).,100.0,matched
4,37 Id. at 128.,footnote,body_text,I.,,100.0,matched
4,38 80 U.S. (13 Wall.) 581 (1872).,footnote,footnote,,[38]80 U.S. (13 Wall.) 581 (1872).,100.0,matched
4,39 Id. at 591-92.,footnote,body_text,I.,,100.0,matched
4,"40 Hasbrouck, supra note 6, at 126.",footnote,footnote,,"[40]Hasbrouck, supra note 6, at 126.",100.0,matched
4,"41 See Plessy v. Ferguson, 163 U.S. 537, 559 (1896) (Harlan, J., dissenting).",footnote,body_text,I.,,100.0,matched
