page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,CAN THE FOURTH AMENDMENT KEEP PEOPLE 'SECURE IN THEIR PERSONS'? †,section_header,body_text,"Bruce A. Green Invited Response: Bruce A. Green, Can the Fourth Amendment Keep People “Secure in their Persons”? 102 B.U. L. Rev. Online 92 (2022) | PDF",,100.0,matched
1,B RUCE A. G REEN *,section_header,body_text,"Bruce A. Green Invited Response: Bruce A. Green, Can the Fourth Amendment Keep People “Secure in their Persons”? 102 B.U. L. Rev. Online 92 (2022) | PDF",,93.33333333333333,matched
1,"In  her  Article, Something  Rots  in  Law  Enforcement  and  It's  the  Search Warrant: The Breonna Taylor Case , 1 Professor  Blanche  Bong  Cook,  a  legal scholar and former prosecutor, digs deeply into the events leading to Breonna Taylor's  death  at  the  hands  of  the  Louisville  Metro  Police  Department ('LMPD'). Cook shows that the central factual premise for searching Taylor's apartment for her ex-boyfriend's drugs-namely, that the ex-boyfriend received packages there-was almost certainly a lie; 2 that even with that lie, the judge should not have found probable cause to believe that drugs would be found in Taylor's apartment; 3 that the judge also had no legitimate grounds to authorize the police to force their way into Taylor's residence without first knocking and announcing  themselves; 4 and  that the  subsequent  police  account  of  the circumstances  of  their  invasion  of  Taylor's  residence  was  almost  certainly another lie, facilitated both by their failure to wear cameras or to turn them on at the time of the search, and by the later opportunity-conventionally afforded the police-to get their lies straight before answering questions. 5",text,body_text,"In her Article, Something Rots in Law Enforcement and It’s the Search Warrant: The Breonna Taylor Case , [1] Professor Blanche Bong Cook, a legal scholar and former prosecutor, digs deeply into the events leading to Breonna Taylor’s death at the hands of the Louisville Metro Police Department (“LMPD”). Cook shows that the central factual premise for searching Taylor’s apartment for her ex-boyfriend’s drugs—namely, that the ex-boyfriend received packages there—was almost certainly a lie; [2] that even with that lie, the judge should not have found probable cause to believe that drugs would be found in Taylor’s apartment; [3] that the judge also had no legitimate grounds to authorize the police to force their way into Taylor’s residence without first knocking and announcing themselves; [4] and that the subsequent police account of the circumstances of their invasion of Taylor’s residence was almost certainly another lie, facilitated both by their failure to wear cameras or to turn them on at the time of the search, and by the later opportunity—conventionally afforded the police—to get their lies straight before answering questions. [5]",,96.82470639408439,matched
1,"This  is  the  unusual  case  of  police  misconduct  where  some  measure  of accountability followed. In September 2020, the City of Louisville agreed to compensate  Taylor's  family  and  to  make  policing  reforms,  albeit  without acknowleding wrongdoing. 6 And in August 2022, a federal grand jury indicted",text,body_text,"This is the unusual case of police misconduct where some measure of accountability followed. In September 2020, the City of Louisville agreed to compensate Taylor’s family and to make policing reforms, albeit without acknowleding wrongdoing. [6] And in August 2022, a federal grand jury indicted four of the police officers who had a role in the killing. [7] But if the results had not been so tragic, resulting in so much public outrage, the police misconduct would probably have been ignored. If Taylor had survived, she would not have filed a suppression motion in a criminal case because there would have been no case against her: the police search found no evidence that she did anything wrong. [8] She would not have brought a civil rights action after the police invaded her apartment because qualified immunity would almost certainly have protected the police from liability. [9] It seems unlikely that the state Attorney General would have taken action, [10] or that the police department would itself have disciplined the officers involved or revisited its practices.",,96.38157894736842,matched
1,"† An invited response to Blanche Bong Cook, Something Rots in Law Enforcement and It's the Search Warrant: The Breonna Taylor Case , 102 B.U. L. R EV . 1 (2022).",footnote,body_text,"An invited response to Blanche Bong Cook, Something Rots in Law Enforcement and It’s the Search Warrant: The Breonna Taylor Case , 102 B.U. L. Rev. 1 (2022).",,98.70967741935483,matched
1,"* Louis Stein Chair of Law, Fordham University School of Law; Director, Stein Center for Law and Ethics, Fordham University.",footnote,footnote,,,55.00000000000001,unmatched
1,"1 Blanche Bong Cook, Something Rots in Law Enforcement and It's the Search Warrant: The Breonna Taylor Case , 102 B.U. L. R EV . 1 (2022).",footnote,body_text,"An invited response to Blanche Bong Cook, Something Rots in Law Enforcement and It’s the Search Warrant: The Breonna Taylor Case , 102 B.U. L. Rev. 1 (2022).",,98.88475836431226,matched
1,"2 Cook, supra note 1, at 17-18, 25-29.",footnote,footnote,,"[2] Cook, supra note 1, at 17-18, 25-29.",98.63013698630137,matched
1,3 Id. at 29-44.,footnote,footnote,,[3] Id. at 29-44.,96.2962962962963,matched
1,4 Id. at 50-52.,footnote,footnote,,[4] Id. at 50-52.,96.2962962962963,matched
