page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,NIL COMPLIANCE,section_header,footnote,,"[120] Heller, supra note 66, at 319. For example, the University of Alabama self-reported a dozen Level III violations in the 2021-22 academic year. Christopher Walsh, Alabama Releases Annual List of Minor NCAA Infractions, Sports Illustrated (July 1, 2022), http://si.com/college/alabama/bamacentral/alabama-releases-annual-list-of-minor-ncaa-infractions. Among them was a coach sending a text message to a prospective student-athlete prior to the first permissible date to send recruiting materials to the prospect. Id. The university self-imposed penalties for the violation including prohibiting the women’s basketball staff from sending the prospect additional recruiting materials for the first 30 days when it becomes permissible to do so. Id. Because compliance administrators at times impose penalties on sport programs and coaches, both their colleagues in the athletics department and individuals outside of it may blame them for costly penalties or view the compliance staff as disloyal. Potuto, supra note 110, at 91. Compliance administrators’ work, therefore, can be both grudging and grudge-making. Daniel Libit, Weary Compliance Directors Hope NIL Boosts Their Market Value, Sportico (July 2, 2021), http://sportico.com/leagues/college-sports/2021/college-nil-compliance-directors-1234633397/ [https://perma.cc/N6VV-8YCG] (explaining that “for a college sports marketplace built on who you know, that often makes advancement precarious”). Successful compliance administrators, therefore, forge positive, trustworthy working relationships with coaches and staff and effectively communicate with them at all times. Potuto, supra note 110, at 90-91.",100.0,matched
1,"JOSH LENS, J.D. ",section_header,body_text,Josh Lens * 103 B.U. L. Rev. Online 69 (2023) | PDF,,92.3076923076923,matched
1,ABSTRACT,section_header,body_text,Abstract,,100.0,matched
1,"The transformative name, image, and likeness ( ' NIL ' ) era of college athletics is in its infancy yet one cannot overstate its impact on college athletics. While student-athletes  have  largely  benefited  from  NCAA  rules  changes  permitting their newfound ability to earn remuneration from their NIL, uncertainty exists regarding the rules and enforcement of them.",text,body_text,"The transformative name, image, and likeness (“NIL”) era of college athletics is in its infancy yet one cannot overstate its impact on college athletics. While student-athletes have largely benefited from NCAA rules changes permitting their newfound ability to earn remuneration from their NIL, uncertainty exists regarding the rules and enforcement of them.",,96.63865546218487,matched
1,"While the NCAA ' s guidelines regulating student-athletes ' use of their NIL are minimalist,  they  contain  some  restrictions  applicable  to  student-athletes, university  staff  members,  universities,  and  universities ' athletics  supporters. Despite  repeated  threats,  the  NCAA  has  yet  to  enforce  its  NIL  restrictions, resulting in confusion and upheaval. NCAA legislation requires universities to monitor their compliance with all NCAA rules, however, and the NCAA will, at some point, enforce its NIL restrictions and penalize those who violate them. Thus, universities must monitor their compliance with NCAA NIL restrictions.",text,body_text,"While the NCAA’s guidelines regulating student-athletes’ use of their NIL are minimalist, they contain some restrictions applicable to student-athletes, university staff members, universities, and universities’ athletics supporters. Despite repeated threats, the NCAA has yet to enforce its NIL restrictions, resulting in confusion and upheaval. NCAA legislation requires universities to monitor their compliance with all NCAA rules, however, and the NCAA will, at some point, enforce its NIL restrictions and penalize those who violate them. Thus, universities must monitor their compliance with NCAA NIL restrictions.",,95.79288025889967,matched
1,"Scholars and the national media have written extensively about the NCAA ' s NIL  restrictions  and  their  effects.  Lacking  from  this  discourse,  however,  is recognition and examination of universities ' responsibility to monitor compliance with the restrictions. This Article fills  that  void.  To  do  so, Part I details  the  NCAA ' s  enforcement  and  infractions  processes  through  which  it enforces its myriad rules and explains universities ' efforts, including monitoring, to comply with NCAA rules on their campuses. Part II describes the NCAA ' s  NIL  restrictions  and  suggests  reasonable  activities  that  universities should undertake to monitor compliance with them. Doing so would not only fulfill universities ' monitoring responsibilities but help foster compliance with NIL regulations on campuses.",text,body_text,"Scholars and the national media have written extensively about the NCAA’s NIL restrictions and their effects. Lacking from this discourse, however, is recognition and examination of universities’ responsibility to monitor compliance with the restrictions. This Article fills that void. To do so, Part I details the NCAA’s enforcement and infractions processes through which it enforces its myriad rules and explains universities’ efforts, including monitoring, to comply with NCAA rules on their campuses. Part II describes the NCAA’s NIL restrictions and suggests reasonable activities that universities should undertake to monitor compliance with them. Doing so would not only fulfill universities’ monitoring responsibilities but help foster compliance with NIL regulations on campuses.",,94.79695431472082,matched
1," Assistant  Professor  of  Recreation  and  Sport  Management  at  the  University  of  Arkansas, Fayetteville  (J.D.,  University  of  Iowa  College  of  Law).  Prior  to  entering  academia,  Lens worked on Baylor University ' s athletics compliance staff for eight years. In addition to his academic  duties,  Lens  consults  for  college  athletics  conferences  and  university  athletics departments regarding legal  and  NCAA matters. The views this Article expresses are  the author ' s  and  not  necessarily  representative  of  the  University  of  Arkansas  or  Baylor University.",footnote,body_text,"* Assistant Professor of Recreation and Sport Management at the University of Arkansas, Fayetteville (J.D., University of Iowa College of Law). Prior to entering academia, Lens worked on Baylor University’s athletics compliance staff for eight years. In addition to his academic duties, Lens consults for college athletics conferences and university athletics departments regarding legal and NCAA matters. The views this Article expresses are the author’s and not necessarily representative of the University of Arkansas or Baylor University.",,91.83673469387756,matched
2,70 BOSTON UNIVERSITY LAW REVIEW ONLINE [Vol. 103:69,section_header,section_header,,,56.09756097560976,unmatched
3,INTRODUCTION,section_header,body_text,Introduction,,100.0,matched
3,"For decades, the National Collegiate Athletic Association ( ' NCAA ' ) 1 strictly enforced its numerous constraints on collegiate student-athletes ' ability to earn remuneration  from  their  names,  images,  and  likenesses. 2   When  it  eliminated many of these restrictions on July 1, 2021, the NCAA ushered in a new era for college athletics. 3  This transcendent, seismic pivot 4  permitted student-athletes to accept remuneration for endorsements and autographs, for example. 5",text,body_text,"For decades, the National Collegiate Athletic Association (“NCAA”) [1] strictly enforced its numerous constraints on collegiate student-athletes’ ability to earn remuneration from their names, images, and likenesses. [2] When it eliminated many of these restrictions on July 1, 2021, the NCAA ushered in a new era for college athletics. [3] This transcendent, seismic pivot [4] permitted student-athletes to accept remuneration for endorsements and autographs, for example. [5]",,97.26890756302521,matched
3,"Student-athletes ' newfound freedoms paid off -literally -in the first year of the name, image, and likeness ( ' NIL ' ) era. 6  Student-athletes received just under a billion dollars for NIL activities in that time frame, an amount which some expect  to  increase  in  the  future. 7   On  the  individual  level,  nineteen-year  old University of Texas football student-athlete Quinn Ewers ' NIL earnings total nearly $4 million, for example. 8  Women student-athletes have also benefited, as evidenced by University of Connecticut ( ' UConn ' )  women ' s basketball student-athlete  Paige  Bueckers.  Bueckers  will  miss  the  2022-23  women ' s basketball season due to a knee injury but will return to play for UConn in 202324 in lieu of beginning her professional basketball career, as remaining a UConn student-athlete will provide more lucrative NIL opportunities than available in the Women ' s National Basketball Association ( ' WNBA ' ). 9  In fact, Bueckers '",text,body_text,"Student-athletes’ newfound freedoms paid off—literally—in the first year of the name, image, and likeness (“NIL”) era. [6] Student-athletes received just under a billion dollars for NIL activities in that time frame, an amount which some expect to increase in the future. [7] On the individual level, nineteen-year old University of Texas football student-athlete Quinn Ewers’ NIL earnings total nearly $4 million, for example. [8] Women student-athletes have also benefited, as evidenced by University of Connecticut (“UConn”) women’s basketball student-athlete Paige Bueckers. Bueckers will miss the 2022-23 women’s basketball season due to a knee injury but will return to play for UConn in 2023-24 in lieu of beginning her professional basketball career, as remaining a UConn student-athlete will provide more lucrative NIL opportunities than available in the Women’s National Basketball Association (“WNBA”). [9] In fact, Bueckers’ array of NIL arrangements will generate more compensation for her than the base salary she would earn as the number one overall WNBA draft selection. [10]",,97.64027267960147,matched
3,"1 The NCAA is the most powerful regulatory body in college athletics. W. Burlette Carter, Student-Athlete Welfare in a Restructured NCAA , 2 VA. J. SPORTS & L. 1, 3 (2000).",footnote,footnote,,"[1] The NCAA is the most powerful regulatory body in college athletics. W. Burlette Carter, Student-Athlete Welfare in a Restructured NCAA , 2 Va. J. Sports & L. 1, 3 (2000).",99.70501474926253,matched
3,"2 Tim Tucker, NIL Timeline: How We Got Here and What ' s  Next, ATLANTA J.-CONST. (Mar.  18,  2022),  http://ajc.com/sports/georgia-bulldogs/nil-timeline-how-we-got-here-andwhats-next/EOL7R3CSSNHK5DKMAF6STQ6KZ4/ [https://perma.cc/HXG2-MUYL].",footnote,footnote,,"[2] Tim Tucker, NIL Timeline: How We Got Here and What’s Next, Atlanta J.-Const. (Mar. 18, 2022), http://ajc.com/sports/georgia-bulldogs/nil-timeline-how-we-got-here-and-whats-next/EOL7R3CSSNHK5DKMAF6STQ6KZ4/ [https://perma.cc/HXG2-MUYL].",97.44680851063829,matched
3,3 Id.,footnote,footnote,,[3] Id.,85.71428571428572,matched
3,"4 Ross Dellenger, ' It ' s Going to Be a Clusterf --: ' The New Era of College Sports Is Here. Is Anyone Ready? SPORTS ILLUSTRATED (July 1, 2021), http://si.com/college/2021/07/01/ncaa-athletes-profit-nil-daily-cover  (quoting  University  of Miami football student-athlete  D ' Eriq  King  as  describing  the  NCAA ' s  elimination  of  the restrictions as ' long overdue ' ); see also Dennis Dodd, NCAA Unlikely to Meet Constitution Deadline as Hot-Button NIL Issue Disrupts College Athletics, CBS SPORTS (May 5, 2022), http://cbssports.com/college-football/news/ncaa-unlikely-to-meet-constitution-deadline-ashot-button-nil-issue-disrupts-college-athletics/  [https://perma.cc/22XW-T3E2]  (identifying NIL as ' maybe the single biggest factor that will shape college athletics going forward ' ).",footnote,footnote,,"[4] Ross Dellenger, ‘It’s Going to Be a Clusterf—-:’ The New Era of College Sports Is Here. Is Anyone Ready? Sports Illustrated (July 1, 2021), http://si.com/college/2021/07/01/ncaa-athletes-profit-nil-daily-cover (quoting University of Miami football student-athlete D’Eriq King as describing the NCAA’s elimination of the restrictions as “long overdue”); see also Dennis Dodd, NCAA Unlikely to Meet Constitution Deadline as Hot-Button NIL Issue Disrupts College Athletics, CBS Sports (May 5, 2022), http://cbssports.com/college-football/news/ncaa-unlikely-to-meet-constitution-deadline-as-hot-button-nil-issue-disrupts-college-athletics/ [https://perma.cc/22XW-T3E2] (identifying NIL as “maybe the single biggest factor that will shape college athletics going forward”).",96.875,matched
3,"5 Tucker, supra note 2.",footnote,footnote,,"[5] Tucker, supra note 2.",97.67441860465115,matched
3,6 Id.,footnote,footnote,,[3] Id.,85.71428571428572,matched
3,"7 Josh Schafer, NIL: Here ' s How Much Athletes Earned in the First Year of New NCAA Rules, YAHOO! FINANCE (July 1, 2022), http://finance.yahoo.com/news/nil-heres-how-muchncaa-athletes-earned-185901941.html (citing estimates by Opendorse, a technology provider in the athlete endorsement industry).",footnote,footnote,,"[7] Josh Schafer, NIL: Here’s How Much Athletes Earned in the First Year of New NCAA Rules, Yahoo! Finance (July 1, 2022), http://finance.yahoo.com/news/nil-heres-how-much-ncaa-athletes-earned-185901941.html (citing estimates by Opendorse, a technology provider in the athlete endorsement industry).",99.32432432432432,matched
3,"8 Josh  Schafer, College  Quarterback ' s  NIL  Compensation  Nears  $4 Million  amid  New NFT Partnership, YAHOO! FINANCE (Oct. 7, 2022), http://finance.yahoo.com/news/collegequarterbacks-nil-compensation-nft-partnership-200004496.html [https://perma.cc/P9WDT6JG] (describing Ewers ' s NFT campaign that accounts for $1 million of Ewers ' s earnings).",footnote,footnote,,"[8] Josh Schafer, College Quarterback’s NIL Compensation Nears $4 Million amid New NFT Partnership, Yahoo! Finance (Oct. 7, 2022), http://finance.yahoo.com/news/college-quarterbacks-nil-compensation-nft-partnership-200004496.html [https://perma.cc/P9WD-T6JG] (describing Ewers’s NFT campaign that accounts for $1 million of Ewers’s earnings).",96.46017699115043,matched
3,"9 Paige Bueckers Sees High NIL Value in Return to UConn for Senior Season, SPORTS BUS. J. (Sept. 6, 2022),",footnote,footnote,,"[9] Paige Bueckers Sees High NIL Value in Return to UConn for Senior Season, Sports Bus. J. (Sept. 6, 2022), https://www.sportsbusinessjournal.com/Daily/Issues/2022/09/06/Marketing-and-Sponsorship/Paige-Bueckers-UConn-NIL-deals.aspx [https://perma.cc/RG5X-BY4U] (quoting Adam Zagoria of the New York Times ).",99.03846153846155,matched
3,https://www.sportsbusinessjournal.com/Daily/Issues/2022/09/06/Marketing-and-,footnote,footnote,,"[9] Paige Bueckers Sees High NIL Value in Return to UConn for Senior Season, Sports Bus. J. (Sept. 6, 2022), https://www.sportsbusinessjournal.com/Daily/Issues/2022/09/06/Marketing-and-Sponsorship/Paige-Bueckers-UConn-NIL-deals.aspx [https://perma.cc/RG5X-BY4U] (quoting Adam Zagoria of the New York Times ).",100.0,matched
4,array  of  NIL  arrangements  will  generate  more  compensation  for  her than  the base salary she would earn as the number one overall WNBA draft selection. 10,text,body_text,"Student-athletes’ newfound freedoms paid off—literally—in the first year of the name, image, and likeness (“NIL”) era. [6] Student-athletes received just under a billion dollars for NIL activities in that time frame, an amount which some expect to increase in the future. [7] On the individual level, nineteen-year old University of Texas football student-athlete Quinn Ewers’ NIL earnings total nearly $4 million, for example. [8] Women student-athletes have also benefited, as evidenced by University of Connecticut (“UConn”) women’s basketball student-athlete Paige Bueckers. Bueckers will miss the 2022-23 women’s basketball season due to a knee injury but will return to play for UConn in 2023-24 in lieu of beginning her professional basketball career, as remaining a UConn student-athlete will provide more lucrative NIL opportunities than available in the Women’s National Basketball Association (“WNBA”). [9] In fact, Bueckers’ array of NIL arrangements will generate more compensation for her than the base salary she would earn as the number one overall WNBA draft selection. [10]",,96.5079365079365,matched
