page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,"REASONABLE, YET SUSPICIOUS: THE MARYLAND SUPREME COURT WRESTLES WITH THE PARADOX OF FLIGHT FROM POLICE",section_header,section_header,,,65.68627450980392,unmatched
1,ALIZA HOCHMAN BLOOM ,section_header,body_text,Aliza Hochman Bloom * 103 B.U. L. Rev. Online 59 (2023) | PDF,,100.0,matched
1,INTRODUCTION,section_header,body_text,Introduction,,100.0,matched
1,"Around  noon  on  July  9,  2020,  Mr.  Tyrie  Washington  and  a  friend  were standing in an alley in Northwest Baltimore. Upon seeing an approaching police car, they ran away. 1  Mr. Washington maintained that he feared for his safety given  the  tenuous  relationship  between  police  and  Black  men,  which  in Baltimore had proven explosive after the 2015 police killing of Freddie Gray. 2 Thus, he insisted that his reasonable, fear-based flight from police should not contribute to the 'reasonable suspicion' required for those officers to stop and search  him. 3   In  December,  the  Maryland  Supreme  Court 4   conceded  that  Mr. Washington's flight from police was a reasonable reaction amid public instances of  police  violence  against  young  Black  men,  especially  in  Baltimore,  and empirical evidence of racialized policing. 5 While engaging with Mr.",text,body_text,"Around noon on July 9, 2020, Mr. Tyrie Washington and a friend were standing in an alley in Northwest Baltimore. Upon seeing an approaching police car, they ran away. [1] Mr. Washington maintained that he feared for his safety given the tenuous relationship between police and Black men, which in Baltimore had proven explosive after the 2015 police killing of Freddie Gray. [2] Thus, he insisted that his reasonable, fear-based flight from police should not contribute to the “reasonable suspicion” required for those officers to stop and search him. [3] In December, the Maryland Supreme Court [4] conceded that Mr. Washington’s flight from police was a reasonable reaction amid public instances of police violence against young Black men, especially in Baltimore, and empirical evidence of racialized policing. [5] While engaging with Mr. Washington’s arguments and those of courts that discount “flight from police” and “high-crime area” as factors in the reasonable suspicion calculus because of their racialized application, the court concluded that Mr. Washington’s unprovoked flight in a high-crime area gave officers the reasonable suspicion required. [6]",,97.14285714285714,matched
1," Assistant Professor of Law, Northeastern University School of Law; J.D., Columbia Law School;  B.A.,  Yale  University.  Many  thanks  to  student  editors  Julie  Antonellis  and Prasanna Rajasekaran for their outstanding editorial support.",footnote,body_text,"* Assistant Professor of Law, Northeastern University School of Law; J.D., Columbia Law School; B.A., Yale University. Many thanks to student editors Julie Antonellis and Prasanna Rajasekaran for their outstanding editorial support.",,95.19650655021834,matched
1,"1 Washington v. Maryland, 287 A.3d 301, 308 (Md. 2022). Detective Noesi ' testified that he was assigned to the Northwest District Action Team, ' a narcotics team ' whose ' main focus is  pretty  much  driving  around  hot  areas . . . ,  high-crime  areas  and  enforc[ing]  drug distribution and handgun violations. '' Id. at 310.",footnote,footnote,,"[1] Washington v. Maryland, 287 A.3d 301, 308 (Md. 2022). Detective Noesi “testified that he was assigned to the Northwest District Action Team, ‘a narcotics team’ whose ‘main focus is pretty much driving around hot areas . . . , high-crime areas and enforc[ing] drug distribution and handgun violations.’” Id. at 310.",95.25316455696202,matched
1,"2 This incident notably occurred less than two months after the widely publicized police killing of George Floyd in Minneapolis, Minnesota. See Evan Hill et al., How George Floyd Was Killed in Police Custody ,  N.Y. TIMES (May 31, 2020), https://www.nytimes.com/2020 /05/31/us/george-floyd-investigation.html.",footnote,footnote,,"[2] This incident notably occurred less than two months after the widely publicized police killing of George Floyd in Minneapolis, Minnesota. See Evan Hill et al., How George Floyd Was Killed in Police Custody , N.Y. Times (May 31, 2020), https://www.nytimes.com/2020 /05/31/us/george-floyd-investigation.html.",99.67532467532467,matched
1,"3 Washington , 287 A.3d at 308.",footnote,footnote,,"[3] Washington , 287 A.3d at 308.",98.30508474576271,matched
1,"4 On  December  14,  2022,  a  state  constitutional  amendment  took  effect,  renaming  the ' Court of Appeals of Maryland ' as the ' Supreme Court of Maryland. ' Maryland Judiciary, Press Release, Voter-Approved Constitutional Change Renames High Courts to Supreme and Appellate  Court  of  Maryland  (Dec.  14,  2022),  https://www.courts.state.md.us/media/news /2022/pr20221214 [https://perma.cc/Q96Y-A6YZ].",footnote,footnote,,"[4] On December 14, 2022, a state constitutional amendment took effect, renaming the “Court of Appeals of Maryland” as the “Supreme Court of Maryland.” Maryland Judiciary, Press Release, Voter-Approved Constitutional Change Renames High Courts to Supreme and Appellate Court of Maryland (Dec. 14, 2022), https://www.courts.state.md.us/media/news /2022/pr20221214 [https://perma.cc/Q96Y-A6YZ].",95.11568123393316,matched
1,"5 For example, the court cites a 2016 Department of Justice report that the Baltimore Police Department  used  unconstitutional  and  corrupt  tactics  that  had  an ' unjustified ' impact  on Black  people. Washington ,  287  A.3d  at  307  (citing  U.S.  DEP ' T  OF  JUST.,  C.R.  DIV., INVESTIGATION OF THE BALTIMORE CITY POLICE  DEPARTMENT 8 (Aug. 16, 2016), https://www.justice.gov/crt/file/883296/download [https://perma.cc/CD36-5EAG] [hereinafter DOJ, BALTIMORE POLICE INVESTIGATION]). For a detailed independent investigation into the corruption of the Baltimore Police Department ' s Gun Trace Task Force (GTTF), including various allegations of officers planting evidence, see STEPTOE & JOHNSON",footnote,footnote,,"[5] For example, the court cites a 2016 Department of Justice report that the Baltimore Police Department used unconstitutional and corrupt tactics that had an “unjustified” impact on Black people. Washington , 287 A.3d at 307 (citing U.S. Dep’t of Just., C.R. Div., Investigation of the Baltimore City Police Department 8 (Aug. 16, 2016), https://www.justice.gov/crt/file/883296/download [https://perma.cc/CD36-5EAG] [hereinafter DOJ, Baltimore Police Investigation]). For a detailed independent investigation into the corruption of the Baltimore Police Department’s Gun Trace Task Force (GTTF), including various allegations of officers planting evidence, see Steptoe & Johnson LLP, Anatomy of the Gun Trace Task Force Scandal: Its Origins, Causes, and Consequences 498 (2022), https://www.steptoe.com/a/web/219380/3ZF1Gi/gttf-report.pdf [https://perma.cc/VN9T-QCMB] (noting the “broad consensus that corruption—including thefts of cash during street encounters, warrantless entries into homes, residential thefts, and planting evidence—has been centered in plainclothes [law enforcement] units that focus on drugs and guns”).",97.90310918293564,matched
