page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,The Incoherence of the 'Colorblind Constitution',section_header,body_text,"The concurring opinions were more attentive to the plight of Asian Americans, although this concern was merely rhetorical. Thomas provided a brief description of anti-Asian discrimination in U.S. history, including Supreme Court decisions that upheld that racism.[192]His summary, however, omitted any critique of Harlan, whom he held up as the pioneer of the “colorblind Constitution.” As discussed in the introduction, Harlan’s opinions depicted Chinese people as perpetual foreigners unworthy of citizenship.[193]Thomas stressed that “Asian Americans can hardly be described as the beneficiaries of historical racial advantages.”[194]Moreover, “[g]iven the history of discrimination against Asian Americans, especially their history with segregated schools, it seems particularly incongruous to suggest that a past history of segregationist policies toward blacks should be remedied at the expense of Asian American college applicants.”[195]Thomas then quickly pivoted to extend Asian Americans’ moral capital to White applicants: “But this problem is not limited to Asian Americans; more broadly, universities’ discriminatory policies burden millions of applicants who are not responsible for the racial discrimination that sullied our Nation’s past.”[196]In other words, White college applicants bear no more responsibility than Asian Americans for the country’s racist legacy.[197]Even though White applicants lacked a history of enduring victimhood comparable to that experienced by Asian Americans, they got to share in the glow of racial innocence. Thomas raised the ugly history of anti-Asian racism mainly to absolve White applicants.",,85.1063829787234,matched
1,Russell K. Robinson *,text,footnote,,"[36].SeeDriver,supranote 14, at 710–12;see alsoGabriel Chin,ThePlessyMyth: Justice Harlan and the Chinese Cases, 82 Iowa L. Rev. 151, 155–57 (1996) (exploring Harlan’s racist votes and rhetoric more generally); Russell K. Robinson,Justice Kennedy’s White Nationalism, 53 UC Davis L. Rev. 1027, 1044–45 (2019) (“Justice Kennedy never acknowledged the disconnect between Justice Harlan’s rhetoric approving of white supremacy, including his claim that Chinese immigrants are unworthy of citizenship, and Justice Harlan’s vote to invalidate a state law requiring racial separation in railroad travel.”).",100.0,matched
1,"The Students for Fair Admissions, Inc. v. President & Fellows of Harvard College ( SFFA ) majority opinion has been widely misunderstood as a victory for those who believe in the 'colorblind Constitution.'  By  juxtaposing  the  opinion's  main  rule  with  the exception for admitting students based on essays that discuss students' lived  experiences  with  race,  I  reveal  the  opinion's  fundamental incoherence, as well as its furtive race-consciousness. The majority opinion asserted that equal protection requires that a student's race may never be used as a 'negative,' policies may not 'stereotype' students based on race, and policies must have a fixed endpoint. Yet the  Court's  exception  for  race-based  essays  violates  each  of  these requirements. Rather than banish race from admissions decisions, the opinion merely channels race consciousness into the consideration of essays.  This  examination  reveals  the  chasm  between  colorblind rhetoric-engaged in by conservatives and liberals-and the inescapability of racially-forged realities. This matters  because conservative lawyers and funders are brandishing SFFA as a complete victory for colorblindness and the touchstone of a national movement to eliminate anti-racist policies.",text,body_text,"TheStudents for Fair Admissions, Inc. v. President & Fellows of Harvard College (SFFA)majority opinion has been widely misunderstood as a victory for those who believe in the “colorblind Constitution.” By juxtaposing the opinion’s main rule with the exception for admitting students based on essays that discuss students’ lived experiences with race, I reveal the opinion’s fundamental incoherence, as well as its furtive race-consciousness. The majority opinion asserted that equal protection requires that a student’s race may never be used as a “negative,” policies may not “stereotype” students based on race, and policies must have a fixed endpoint. Yet the Court’s exception for race-based essays violates each of these requirements. Rather than banish race from admissions decisions, the opinion merely channels race consciousness into the consideration of essays. This examination reveals the chasm between colorblind rhetoric—engaged in by conservatives and liberals—and the inescapability of racially-forged realities. This matters because conservative lawyers and funders are brandishingSFFAas a complete victory for colorblindness and the touchstone of a national movement to eliminate anti-racist policies.",,96.88013136288998,matched
1,DOI: https://doi.org/10.15779/Z38W950Q35 Copyright © 2025 Russell K. Robinson,text,text,,,63.716814159292035,unmatched
1,"* Walter Perry Johnson Professor of Law & Faculty Director, Center on Race, Sexuality & Culture, UC Berkeley School of Law. I am grateful to Dayo Ajanaku, Johnsenia Brooks, Mica Elise Jordan, Blair Akira Matsuura, and Andy Lattimer Secondine for research assistance and KT Albiston, Khiara  M.  Bridges,  Devon  W.  Carbado,  Sumi  Cho,  Kimberlé  W.  Crenshaw,  Erwin  Chemerinsky, Elizabeth  F.  Emens,  Sheldon  Evans,  Jonathan  P.  Feingold,  Jonathan  Glater,  Paul  Gowder,  Vinay Harpalani, Osamudia James, Jerry Kang, Randall Kennedy, Emmanuel Mauleon, David Pozen, David Simson, Sarah Song, India Thusi, Leti Volpp, Lauren Campbell, and the participants at the Berkeley Law  faculty  workshop,  Northwestern  Law  Review  Symposium,  2024  Langston  Midwest  Writing Workshop, and Columbia Law Critical Methods class for comments on an earlier draft.",text,body_text,"Copyright © 2025 Russell K. Robinson, Walter Perry Johnson Professor of Law & Faculty Director, Center on Race, Sexuality & Culture, UC Berkeley School of Law. I am grateful to Dayo Ajanaku, Johnsenia Brooks, Mica Elise Jordan, Blair Akira Matsuura, and Andy Lattimer Secondine for research assistance and KT Albiston, Khiara M. Bridges, Devon W. Carbado, Sumi Cho, Kimberlé W. Crenshaw, Erwin Chemerinsky, Elizabeth F. Emens, Sheldon Evans, Jonathan P. Feingold, Jonathan Glater, Paul Gowder, Vinay Harpalani, Osamudia James, Jerry Kang, Randall Kennedy, Emmanuel Mauleon, David Pozen, David Simson, Sarah Song, India Thusi, Leti Volpp, Lauren Campbell, and the participants at the Berkeley Law faculty workshop, Northwestern Law Review Symposium, 2024 Langston Midwest Writing Workshop, and Columbia Law Critical Methods class for comments on an earlier draft.",,97.97619047619047,matched
2,I NTRODUCTION,section_header,body_text,"The concurring opinions were more attentive to the plight of Asian Americans, although this concern was merely rhetorical. Thomas provided a brief description of anti-Asian discrimination in U.S. history, including Supreme Court decisions that upheld that racism.[192]His summary, however, omitted any critique of Harlan, whom he held up as the pioneer of the “colorblind Constitution.” As discussed in the introduction, Harlan’s opinions depicted Chinese people as perpetual foreigners unworthy of citizenship.[193]Thomas stressed that “Asian Americans can hardly be described as the beneficiaries of historical racial advantages.”[194]Moreover, “[g]iven the history of discrimination against Asian Americans, especially their history with segregated schools, it seems particularly incongruous to suggest that a past history of segregationist policies toward blacks should be remedied at the expense of Asian American college applicants.”[195]Thomas then quickly pivoted to extend Asian Americans’ moral capital to White applicants: “But this problem is not limited to Asian Americans; more broadly, universities’ discriminatory policies burden millions of applicants who are not responsible for the racial discrimination that sullied our Nation’s past.”[196]In other words, White college applicants bear no more responsibility than Asian Americans for the country’s racist legacy.[197]Even though White applicants lacked a history of enduring victimhood comparable to that experienced by Asian Americans, they got to share in the glow of racial innocence. Thomas raised the ugly history of anti-Asian racism mainly to absolve White applicants.",,92.3076923076923,matched
2,"The  Supreme  Court's  decision  in Students  for  Fair  Admissions,  Inc.  v. President & Fellows of Harvard College ( SFFA ) 1 has been misunderstood as a victory for those who believe in the 'colorblind Constitution.' The Justices in the  majority  and  in  the  dissent  strongly  debated  the  value  of  a  'colorblind' conception of the Equal Protection Clause. Chief Justice Roberts argued that his majority  opinion  enforced  what  he  called Brown  v.  Board  of  Education 's 2 commitment to colorblindness. 3 Justice Thomas contended that the framers of the  Fourteenth  Amendment  intended  it  to  require  colorblindness. 4 Roberts, Thomas,  and  the  dissenters  laid  claim  to  Justice  Harlan's  famous  dissent  in Plessy  v.  Ferguson ,  although  they  construed  it  differently. 5 Thomas  quoted Harlan extensively, including his claim that '[o]ur Constitution is color-blind.' 6 In dissent, Justice Sotomayor castigated the Court for 'cement[ing] a superficial rule of colorblindness as a constitutional principle in an endemically segregated society where race has always mattered and continues to matter.' 7 And Justice Jackson's  dissent  seethed:  'With  let-them-eat-cake  obliviousness,  today,  the majority pulls the ripcord and announces 'colorblindness for all' by legal fiat.' 8",text,body_text,"The Supreme Court’s decision inStudents for Fair Admissions, Inc. v. President & Fellows of HarvardCollege (SFFA)[1]has been misunderstood as a victory for those who believe in the “colorblind Constitution.” The Justices in the majority and in the dissent strongly debated the value of a “colorblind” conception of the Equal Protection Clause. Chief Justice Roberts argued that his majority opinion enforced what he calledBrown v. Board of Education’s[2]commitment to colorblindness.[3]Justice Thomas contended that the framers of the Fourteenth Amendment intended it to require colorblindness.[4]Roberts, Thomas, and the dissenters laid claim to Justice Harlan’s famous dissent inPlessy v. Ferguson, although they construed it differently.[5]Thomas quoted Harlan extensively, including his claim that “[o]ur Constitution is color-blind.”[6]In dissent, Justice Sotomayor castigated the Court for “cement[ing] a superficial rule of colorblindness as a constitutional principle in an endemically segregated society where race has always mattered and continues to matter.”[7]And Justice Jackson’s dissent seethed: “With let-them-eat-cake obliviousness, today, the majority pulls the ripcord and announces ‘colorblindness for all’ by legal fiat.”[8]",,95.05428226779252,matched
2,"The  colorblind  rhetoric  in  the SFFA majority  opinion  has  distracted mainstream media and prominent, liberal law professors, who have overstated what SFFA bans. The Wall Street Journal declared that the Court 'outlaw[ed] affirmative  action  in  higher  education' 9 and  'found  it  unconstitutional  to consider  race  in  university  admissions.' 10 The San  Francisco  Chronicle",text,body_text,"The colorblind rhetoric in theSFFAmajority opinion has distracted mainstream media and prominent, liberal law professors, who have overstated whatSFFAbans. TheWall Street Journaldeclared that the Court “outlaw[ed] affirmative action in higher education”[9]and “found it unconstitutional to consider race in university admissions.”[10]TheSan Francisco Chronicleproclaimed that the Court “killed affirmative action.”[11]Legal scholars also have simplified a rather complex and knotty opinion. A Harvard Law School professor declared: “Affirmative action died today at the hands of the Supreme Court’s conservative constitutional revolution.”[12]Scholars and pundits have described the majority opinion as enshrining the conservative viewpoint that the Constitution is colorblind.[13]A major flaw in the analysis of the opinion has been accepting Roberts’s colorblindness rhetoric at face value and failing to see the opinion’s internal tensions and contradictions.[14]Legal scholars have generally given the exception short shrift.[15]By noting the exception mostly in passing, they have overlooked its power.",,96.2566844919786,matched
2,600 U.S. 181 (2023).,list_item,footnote,,[1]. 600 U.S. 181 (2023).,100.0,matched
2,347 U.S. 483 (1954).,list_item,footnote,,[2]. 347 U.S. 483 (1954).,100.0,matched
