page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Structural Indeterminacy and the Separation of Powers,section_header,footnote,,"[15]. For a related argument about indeterminacy at the founding, see William B. Gwyn,The Indeterminacy of the Separation of Powers in the Age of the Framers, 30 Wm. & Mary L. Rev. 263, 263–64 (1989) (“From the time when the idea of separation of powers first became popular in North America, much disagreement prevailed as to what institutional arrangements would satisfy the doctrine.”).",77.35849056603774,matched
1,Joshua C. Macey * & Brian M. Richardson **,text,footnote,,"[5]. In other work, we adopted the shorthand “anti-domination” to distinguish this theory from its rivals and to note its connection to nondomination accounts of individual freedom.SeeJoshua C. Macey & Brian M. Richardson,Checks, Not Balances, 101 Tex. L. Rev. 89, 96 (2022). In that account, we drew on recent work by political scientists to understand the Anti-Federalists’ separation-of-powers critique of the Constitution.See alsoBernard Manin, The Principles of Representative Government 72 (2002); Jeffrey K. Tulis & Nicole Mellow, Legacies of Losing in American Politics 4 (2018).",94.87179487179486,matched
1,"* Associate Professor, Yale Law School.",footnote,body_text,"* Associate Professor, Yale Law School.",,100.0,matched
1,"** Associate Professor, Cornell Law School. Thanks for helpful comments to Anya Bernstein, Chris Havasy, Michael Dorf, Ketan Ramakrishnan, Shalev Roisman, Jed Shugerman, and Mila Sohoni. For terrific editorial assistance, we are grateful to Eleanor Bock, Max Friend, Hailey Stewart, and Taylor Thomas.",footnote,body_text,"** Associate Professor, Cornell Law School. Thanks for helpful comments to Anya Bernstein, Chris Havasy, Michael Dorf, Ketan Ramakrishnan, Shalev Roisman, Jed Shugerman, and Mila Sohoni. For terrific editorial assistance, we are grateful to Eleanor Bock, Max Friend, Hailey Stewart, and Taylor Thomas.",,100.0,matched
2,"Despite ongoing  disagreement about how  the Constitution allocates  powers  among  the  different  branches,  the  two  dominant schools  of  thought  in  American  separation-of-powers  debatesformalism  and  functionalism-agree  on  three  premises:  Certain powers  inhere  in  certain  government  branches,  some  powers  are vested exclusively in one or another branch, and the judiciary is the final arbiter of separation-of-powers disputes. Disagreement is largely about how powers should be parsed and which should be shared. Yet over  the  long  lifespan  of  our  constitutional  tradition,  momentous doctrinal upheavals are relatively commonplace. This Article describes four tectonic shifts in separation-of-powers doctrine: Founding-era  debates  about  how  to  define  and  blend  powers, nineteenth-century debates about the constitutionality of the nascent civil  service, Lochner -era  debates  about  legislatures'  authority  to define and  regulate public utilities, and  mid-nineteenth-century debates about the sources of international law. The first, which we call the Inherency Theory, assumes that certain powers and functions are vested by force of the Constitution, are core to a single branch, and are discernible by the judiciary. This is a taxonomical theory of how the Constitution allocates powers, and it animates nearly all of today's separation-of-powers debates. The second, an Antidomination Theory, denies that the words executive, legislative, and judicial imply any new or distinct powers and instead creates formal separation between the three branches based on the procedures federal actors deploy to enact, enforce, and interpret policy. The third, a rights-based Public Utility Theory,  distinguishes  between  a  public  sphere  that  is  subject  to congressional, presidential, and administrative control, and a private sphere that is not. Recently, this public-private distinction has been marshalled to define the judicial power. Historically, however, it was used  to  deduce  a  whole  panoply  of  structural  limits,  including  the constitutionality of agency adjudication and deference. And the fourth, a General Law approach, discerns the limits of government power by reference to the eclectic authority of the common law and right reason. Recovering  these  theories  reveals  a  rich  set  of  tools  for  resolving interdepartmental disputes, highlights that current receptions of past settlements are nearly unintelligible without understanding the theoretical context in which they emerged, and suggests that, while different theories have risen and fallen, no one theory of separation of powers has been liquidated in our constitutional tradition.",text,body_text,"Despite ongoing disagreement about how the Constitution allocates powers among the different branches, the two dominant schools of thought in American separation-of-powers debates—formalism and functionalism—agree on three premises: Certain powers inhere in certain government branches, some powers are vested exclusively in one or another branch, and the judiciary is the final arbiter of separation-of-powers disputes. Disagreement is largely about how powers should be parsed and which should be shared. Yet over the long lifespan of our constitutional tradition, momentous doctrinal upheavals are relatively commonplace. This Article describes four tectonic shifts in separation-of-powers doctrine: Founding-era debates about how to define and blend powers, nineteenth-century debates about the constitutionality of the nascent civil service,Lochner-era debates about legislatures’ authority to define and regulate public utilities, and mid-nineteenth-century debates about the sources of international law. The first, which we call the Inherency Theory, assumes that certain powers and functions are vested by force of the Constitution, are core to a single branch, and are discernible by the judiciary. This is a taxonomical theory of how the Constitution allocates powers, and it animates nearly all of today’s separation-of-powers debates. The second, an Antidomination Theory, denies that the words executive, legislative, and judicial imply any new or distinct powers and instead creates formal separation between the three branches based on the procedures federal actors deploy to enact, enforce, and interpret policy. The third, a rights-based Public Utility Theory, distinguishes between a public sphere that is subject to congressional, presidential, and administrative control, and a private sphere that is not. Recently, this public-private distinction has been marshalled to define the judicial power. Historically, however, it was used to deduce a whole panoply of structural limits, including the constitutionality of agency adjudication and deference. And the fourth, a General Law approach, discerns the limits of government power by reference to the eclectic authority of the common law and right reason. Recovering these theories reveals a rich set of tools for resolving interdepartmental disputes, highlights that current receptions of past settlements are nearly unintelligible without understanding the theoretical context in which they emerged, and suggests that, while different theories have risen and fallen, no one theory of separation of powers has been liquidated in our constitutional tradition.",,96.99505515405097,matched
3,I NTRODUCTION,section_header,footnote,,"[120]. Loper Bright Enters. v. Raimondo, 603 U.S. 369, 394–412 (2024);see alsoCity of Arlington v. FCC, 569 U.S. 290, 312 (2013) (Roberts, C.J., dissenting) (“A court should not defer to an agency until the court decides, on its own, that the agency is entitled to deference.”); Michigan v. EPA, 576 U.S. 743, 761 (2015) (Thomas, J., concurring) (“Chevrondeference raises serious separation-of-powers questions” because it “precludes judges from exercising [independent] judgment” and “forc[es] them to abandon what they believe is the best reading of an ambiguous statute in favor of an agency’s construction.” (internal quotations omitted)).",76.92307692307692,matched
3,"The two dominant schools of thought about the separation of powersformalism and functionalism 1 -are both committed to a tripartite system under which the judicial  branch  enjoys  a  privileged  position  in  the  development  of constitutional  rules.  To  that  end,  both  think  that  the  Constitution  distributes powers  among  three  coequal  branches  and  the  states, 2 that  some  powers  are enumerated  and  others  implied,  that  the  separation  of  powers  operates  as  a restraint  on  government  overreach,  and  that  the  judiciary  should  arbitrate separation-of-powers disputes. Disagreement is primarily about specifics: How many powers does the Constitution imply? What are they? Does the Constitution blend or mix powers among the branches? And what historical moments are relevant in discerning the limits of congressional and presidential power?",text,body_text,"The two dominant schools of thought about the separation of powers—formalism and functionalism[1]—are both committed to a tripartite system under which the judicial branch enjoys a privileged position in the development of constitutional rules. To that end, both think that the Constitution distributes powers among three coequal branches and the states,[2]that some powers are enumerated and others implied, that the separation of powers operates as a restraint on government overreach, and that the judiciary should arbitrate separation-of-powers disputes. Disagreement is primarily about specifics: How many powers does the Constitution imply? What are they? Does the Constitution blend or mix powers among the branches? And what historical moments are relevant in discerning the limits of congressional and presidential power?",,94.08926417370326,matched
3,"Historically,  however,  the  United  States  has  entertained,  and  sometimes embraced, separation-of-powers theories that reject many of the premises about which  modern  formalists  and  functionalists  agree.  Consider,  for  example, nineteenth-century  debates  about  the  President's  authority  to  remove  civil service  officials.  Snippets  of  this  long  constitutional  contest  have  become canonical  moments  in  the  debate  about  the  President's  authority  to  remove administrative officials. But the removal issue has not always been framed as being  about  the  President's  relationship  to  Congress.  During  the  nineteenth century, arguments about the President's authority to fire members of the civil service were often based on policymakers' views about political science, 3 by",text,body_text,"Historically, however, the United States has entertained, and sometimes embraced, separation-of-powers theories that reject many of the premises about which modern formalists and functionalists agree. Consider, for example, nineteenth-century debates about the President’s authority to remove civil service officials. Snippets of this long constitutional contest have become canonical moments in the debate about the President’s authority to remove administrative officials. But the removal issue has not always been framed as being about the President’s relationship to Congress. During the nineteenth century, arguments about the President’s authority to fire members of the civil service were often based on policymakers’ views about political science,[3]by appeals to a higher order such as divine providence or right reason, or as primarily implicating the government’s relationship to individual rights. In other words, constitutional theorists advanced unfamiliar structural arguments to try—unsuccessfully—to resolve one of our most familiar structural disputes.",,96.69211195928753,matched
3,"1. Formalists argue for 'an 'exclusive functions' interpretation of the relationship between functions and branches,' according to which 'each of the three branches has exclusive authority to perform its assigned function,' and 'each function is uniquely assigned to one branch.' Thomas W. Merrill, The Constitutional Principle of Separation of Powers , 1991 S UP . C T . R EV . 225, 231-33 (1991). Functionalists, by contrast, 'reject the exclusive functions idea, and believe that many governmental activities can be categorized as falling within more than one function.' Id. at 232.",footnote,footnote,,"[1]. Formalists argue for “an ‘exclusive functions’ interpretation of the relationship between functions and branches,” according to which “each of the three branches has exclusive authority to perform its assigned function,” and “each function is uniquely assigned to one branch.” Thomas W. Merrill,The Constitutional Principle of Separation of Powers, 1991 Sup. Ct. Rev. 225, 231–33 (1991). Functionalists, by contrast, “reject the exclusive functions idea, and believe that many governmental activities can be categorized as falling within more than one function.”Id.at 232.",98.52045256744995,matched
3,2. See  id. at  231-33  (explaining  that  functionalists  accept  'the  existence  of  a  nucleus  of activities that uniquely belongs to each of the three branches').,footnote,footnote,,[2].See id.at 231–33 (explaining that functionalists accept “the existence of a nucleus of activities that uniquely belongs to each of the three branches”).,93.06930693069306,matched
3,3. See infra Part II.B.,footnote,footnote,,[3].See infraPart II.B.,95.23809523809523,matched
