page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Access Without the ADA: The Implications of the Federal Judiciary's Exemption from Following the Disability Rights Statute It Upholds,section_header,body_text,"Disability rights activist Judy Heumann, who played an instrumental role in passing Section 504 of the Rehabilitation Act and the ADA, once said: “Disability only becomes a tragedy when society fails to provide the things we need to lead our lives—job opportunities or barrier-free buildings, for example.”[199]The federal judiciary’s exemption from following the disability rights statutes it upholds is not only increasingly hypocritical, but also tragic. Disabled judicial employees should not have to subject themselves to unequal treatment, and disabled litigants, like George Lane, should not have to crawl up stairs to access the justice system.",,77.44360902255639,matched
1,CG Mahajan *,section_header,body_text,"Copyright © 2025 CG Mahajan, J.D., 2024, University of California, Berkeley, School of Law. I am grateful to Professor Amanda Tyler for her guidance and thoughtful feedback. I would also like to thank my amazing community for all their support and encouragement.",,100.0,matched
1,"For over thirty years, the Americans with Disabilities Act (ADA) has  been  the  main  federal  protection  against  discrimination  for disabled people. Although ADA protections are ensured in the federal legislative  branch  and  in  state  courthouses,  this  pivotal  disability rights  statute  does  not  cover  the  federal  judiciary.  ADA  claims  are consequently litigated in federal courthouses that may be inaccessible to disabled people, yet there is little scholarship on the topic. This Note aims  to  fill  this  gap  by  exploring  the  implications  of  the  lack  of accessibility  in  the  federal  judiciary.  Without  ADA  protections, disabled people do not have recourse when faced with discrimination and  inaccessible  spaces.  This  lack  of  protection  threatens  disabled people's access to justice, access to the workplace, and representation both on juries and within the federal judiciary. This Note consequently argues  that  the  federal  judiciary  should  adopt  ADA  protections  to provide equal access to the federal court system and ensure that the federal judiciary reflects the diverse public it serves. It is time to have an  informed  conversation  with  all  relevant  constituencies  about applying ADA protections to the federal judiciary.",text,body_text,"For over thirty years, the Americans with Disabilities Act (ADA) has been the main federal protection against discrimination for disabled people. Although ADA protections are ensured in the federal legislative branch and in state courthouses, this pivotal disability rights statute does not cover the federal judiciary. ADA claims are consequently litigated in federal courthouses that may be inaccessible to disabled people, yet there is little scholarship on the topic. This Note aims to fill this gap by exploring the implications of the lack of accessibility in the federal judiciary. Without ADA protections, disabled people do not have recourse when faced with discrimination and inaccessible spaces. This lack of protection threatens disabled people’s access to justice, access to the workplace, and representation both on juries and within the federal judiciary. This Note consequently argues that the federal judiciary should adopt ADA protections to provide equal access to the federal court system and ensure that the federal judiciary reflects the diverse public it serves. It is time to have an informed conversation with all relevant constituencies about applying ADA protections to the federal judiciary.",,94.4991789819376,matched
1,DOI: https://doi.org/10.15779/Z38KD1QN30 Copyright © 2025 CG Mahajan,text,text,,,56.84210526315789,unmatched
1,"* J.D., 2024, University of California, Berkeley, School of Law. I am grateful to Professor Amanda Tyler  for  her  guidance  and  thoughtful  feedback.  I  would  also  like  to  thank  my  amazing community for all their support and encouragement.",footnote,body_text,"Copyright © 2025 CG Mahajan, J.D., 2024, University of California, Berkeley, School of Law. I am grateful to Professor Amanda Tyler for her guidance and thoughtful feedback. I would also like to thank my amazing community for all their support and encouragement.",,97.07112970711297,matched
2,I NTRODUCTION,section_header,footnote,,"[157].Admin. Off. U.S. Cts., The Federal Court System in the United States: An Introduction for Judges and Judicial Administrators in Other Countries 30(4th ed. 2016), https://www.uscourts.gov/sites/default/files/federalcourtssystemintheus.pdf [https://perma.cc/EZ3E-4TFM].",92.3076923076923,matched
2,"Eight years after the passage of the Americans with Disabilities Act (ADA), George Lane arrived at the Polk County Courthouse in Tennessee only to find that there was no elevator for him to reach its second floor. A wheelchair user, Lane had no choice but to attempt to crawl up two flights of stairs to appear in court. 1 As he struggled, the judge and other courthouse employees stood by and laughed. 2 When  Lane  refused  to  go  through  the  demoralizing  and  painful experience of crawling up the stairs again after the court took a lunch break, he was arrested and jailed for failing to appear. 3",text,body_text,"Eight years after the passage of the Americans with Disabilities Act (ADA), George Lane arrived at the Polk County Courthouse in Tennessee only to find that there was no elevator for him to reach its second floor. A wheelchair user, Lane had no choice but to attempt to crawl up two flights of stairs to appear in court.[1]As he struggled, the judge and other courthouse employees stood by and laughed.[2]When Lane refused to go through the demoralizing and painful experience of crawling up the stairs again after the court took a lunch break, he was arrested and jailed for failing to appear.[3]",,98.48993288590604,matched
2,"When Lane, joined by court reporter and fellow wheelchair user Beverly Jones, sued the state for discrimination, the law was on their side. The ADA protects disabled people from discrimination in many areas of public life, and the U.S. Supreme Court found that this included state courthouses. 4",text,body_text,"When Lane, joined by court reporter and fellow wheelchair user Beverly Jones, sued the state for discrimination, the law was on their side. The ADA protects disabled people from discrimination in many areas of public life, and the U.S. Supreme Court found that this included state courthouses.[4]",,100.0,matched
2,"But if Lane and Jones had been trying to access a federal courthouse, the case would not have been decided in their favor. While the ADA applies to the legislative  branch, 5 it  does  not  cover  the  executive  branch  or  the  federal judiciary. 6 ADA claims are consequently litigated in courthouses that disabled people 7 may be unable to enter.",text,body_text,"But if Lane and Jones had been trying to access afederalcourthouse, the case would not have been decided in their favor. While the ADA applies to the legislative branch,[5]it does not cover the executive branch or the federal judiciary.[6]ADA claims are consequently litigated in courthouses that disabled people[7]may be unable to enter.",,96.43916913946587,matched
2,"Tennessee v. Lane, 541 U.S. 509, 514 (2004).",list_item,footnote,,"[1].Tennessee v. Lane, 541 U.S. 509, 514 (2004).",100.0,matched
