page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Loving 's Borders,section_header,footnote,,"[10]. This portion of the Essay reflects back on, builds upon, and offers some correctives to my 2007 article.See generallyJennifer M. Chacón,Loving Across Borders: Immigration Law and the Limits ofLoving, 2007 Wis. L. Rev. 345 (2007) (analyzing the ways that federal immigration restrictions infringe on the right to marry).",70.58823529411764,matched
1,Jennifer M. Chacón*,section_header,footnote,,"[9]. This portion of the Essay contends thatDepartment of State v. Muñozis a new example of this phenomenon, which I first described in my 2020 Supreme Court Review article.SeeJennifer M. Chacón,The Inside-Out Constitution:Department of Commerce v. New York, 2019 Sup. Ct. Rev. 231, 235 (2020).",100.0,matched
1,"In  a  term  filled  with  high-profile  cases,  Department  of  State  v. Muñoz 1   did  not  receive  high-profile  treatment.  But  the  case  was  a critically important successor to Dobbs v. Jackson Women's Health Organization. 2   In  Muñoz,  the  Court  continued  efforts,  launched  in Dobbs, to shrink the protective force of the Due Process Clause. Even more significantly, in Muñoz, the Court launched another attack on the equality  principle  undergirding  Loving  v.  Virginia, 3   Lawrence  v. Texas, 4 United States v. Windsor, 5  and Obergefell v. Hodges. 6  Those cases embodied what Laurence Tribe once dubbed a 'double helix' of due process and equal protection principles. 7 They show the Court's effort  (albeit  imperfect)  to  weave  together  liberty  guarantees  and equality principles to better protect human dignity. 8  Muñoz made clear that the Court's post -Dobbs reordering of constitutional principles is taking  direct  aim  at  both  strands  of  the  double  helix.  Through  its rejection of substantive due process protections, the Court is intentionally weakening a broad swath of antidiscrimination protections and procedural due process rights.",text,body_text,"In a term filled with high-profile cases,Department of State v. Muñoz[1]did not receive high-profile treatment. But the case was a critically important successor toDobbs v. Jackson Women’s Health Organization.[2]InMuñoz, the Court continued efforts, launched inDobbs, to shrink the protective force of the Due Process Clause. Even more significantly, inMuñoz, the Court launched another attack on the equality principle undergirdingLoving v. Virginia,[3]Lawrence v. Texas,[4]United States v. Windsor,[5]andObergefell v. Hodges.[6]Those cases embodied what Laurence Tribe once dubbed a “double helix” of due process and equal protection principles.[7]They show the Court’s effort (albeit imperfect) to weave together liberty guarantees and equality principles to better protect human dignity.[8]Muñozmade clear that the Court’s post-Dobbsreordering of constitutional principles is taking direct aim at both strands of the double helix. Through its rejection of substantive due process protections, the Court is intentionally weakening a broad swath of antidiscrimination protections and procedural due process rights.",,94.7085201793722,matched
1,DOI: https://doi.org/10.15779/Z38HT2GD69 Copyright © 2025 Jennifer M. Chacón,text,text,,,63.06306306306306,unmatched
1,"Bruce Tyson Mitchell Professor of Law, Stanford Law School. I would like to thank all of the participants in the 2024 California Law Review ' Equality Besieged: A Critical Analysis of Supreme Court  Jurisprudence ' Symposium,  and  especially  the  organizers,  Jonathan  D.  Glater  and  Russell Robinson, and Dean Erwin Chemerinsky. I would also like to thank the many people who engaged with this piece at various stages of completion, including Natalia Anguiano, Matthew Boaz, Linus Chen, Colleen Chien, Jack Chin, Jill Hasday, Eisha Jain, Jonathan Shaub, Liliana Zaragoza, and the many other student and faculty participants at workshops at the University of Minnesota, the University of Kentucky Rosenberg College of Law, and the North Carolina Law Review Symposium Justice in the Age of Criminal Records.",list_item,body_text,"Copyright © 2025 Jennifer M. Chacón, Bruce Tyson Mitchell Professor of Law, Stanford Law School. I would like to thank all of the participants in the 2024California Law Review“Equality Besieged: A Critical Analysis of Supreme Court Jurisprudence” Symposium, and especially the organizers, Jonathan D. Glater and Russell Robinson, and Dean Erwin Chemerinsky. I would also like to thank the many people who engaged with this piece at various stages of completion, including Natalia Anguiano, Matthew Boaz, Linus Chen, Colleen Chien, Jack Chin, Jill Hasday, Eisha Jain, Jonathan Shaub, Liliana Zaragoza, and the many other student and faculty participants at workshops at the University of Minnesota, the University of Kentucky Rosenberg College of Law, and theNorth Carolina Law ReviewSymposium Justice in the Age of Criminal Records.",,99.00249376558602,matched
1,1 . See generally 602 U.S. 899 (2024) (holding that a U.S. citizen has no constitutional right to reside in the United States with her noncitizen spouse).,list_item,footnote,,[1]. See generally602 U.S. 899 (2024) (holding that a U.S. citizen has no constitutional right to reside in the United States with her noncitizen spouse).,99.33774834437085,matched
1,2 . See generally 597 U.S. 215 (2022) (holding that the Constitution does not protect a right to abortion).,list_item,footnote,,[2]. See generally597 U.S. 215 (2022) (holding that the Constitution does not protect a right to abortion).,99.03846153846155,matched
1,3 . See generally 388 U.S. 1 (1967) (holding that the Constitution protects the right to marry and live as married with a person of a different race).,list_item,footnote,,[3]. See generally388 U.S. 1 (1967) (holding that the Constitution protects the right to marry and live as married with a person of a different race).,99.31972789115646,matched
1,4 . See  generally 539  U.S.  558  (2003)  (holding  that  the  Constitution  protects  the  right  of consenting adults to engage in same-sex sexual activity).,list_item,footnote,,[4]. See generally539 U.S. 558 (2003) (holding that the Constitution protects the right of consenting adults to engage in same-sex sexual activity).,91.72413793103449,matched
1,5 . See  generally 570  U.S.  744  (2013)  (holding  that  the  Constitution  protects  the  right  of married same-sex couples to all of the federal benefits of marriage).,list_item,footnote,,[5]. See generally570 U.S. 744 (2013) (holding that the Constitution protects the right of married same-sex couples to all of the federal benefits of marriage).,92.35668789808918,matched
