page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Revisiting City of Morgan Hill : Fixing California's Direct Democracy,section_header,section_header,,,63.63636363636363,unmatched
1,Preemption Test,section_header,body_text,"Fortunately, such a change in the doctrine is possible. The current preemption test, which the California Supreme Court articulated inCity of Morgan Hill, allows the state to impliedly preempt local direct democracy if (1) the state statute deals with a statewide concern and (2) there is a “definite indication” or “clear showing” that the legislature intended to preempt the initiative or referendum power.[18]That “definite indication” exists when either (a) the legislature has created a system of regulation so pervasive that the local government’s action is considered administrative or (b) the state’s legislative authority is delegated “exclusively to the local legislative body,” as shown by the statutory text.[19]To resolve the issue of local governments stalling development, all the California Supreme Court would have to do is combine both parts of the “definite indication“ prong into one comprehensive test. In essence, this means that the court should (1) look for a statewide concern and (2) consider the size and scope of the state regulation. This is not a particularly novel approach: The late California Supreme Court Justice Armand Arabian contemplated a more expansive exclusive delegation test while dissenting inDeVita v. County of Napa.[20]Following Justice Arabian’s model, my proposed test eliminates the administrative-legislative inquiry and instead incorporates a new procedural component into the exclusive delegation test.",,100.0,matched
1,Ben Pearce *,section_header,footnote,,"[43]. Again, this Note will focus onimpliedpreemption through full occupation of an area of law. For a discussion of express preemption in the context of housing law, please feel free to check out a blog post that I and a few other (now former) Berkeley Law students put out on this topic. Ben LaZebnik, Ben Pearce & Eric Wright,California’s Legislature Can Prevent Costly Conflicts Between State Housing Laws and Local Voters, SCOCAblog (May 11, 2024), https://scocablog.com/californias-legislature-can-prevent-costly-conflicts-between-state-housing-laws-and-local-voters/ [https://perma.cc/TTF8-73Y8].",100.0,matched
1,"California has a housing crisis. Despite the state government's best efforts to build more homes, local governments and local voters are  finding  new  ways  to  circumvent  those  requirements.  One  such loophole allows California voters to propose non-compliant housing plans through the ballot initiative process or effectively veto their local governments'  housing  allocation  decisions  through  a  referendum. Although  voters  rarely  use  this  loophole,  the  California  Supreme Court should step in and prevent it from growing in popularity. The court can do so by simply making a small change to a legal test that determines when local initiatives and referenda are preempted by state law.",text,body_text,"California has a housing crisis. Despite the state government’s best efforts to build more homes, local governments and local voters are finding new ways to circumvent those requirements. One such loophole allows California voters to propose non-compliant housing plans through the ballot initiative process or effectively veto their local governments’ housing allocation decisions through a referendum. Although voters rarely use this loophole, the California Supreme Court should step in and prevent it from growing in popularity. The court can do so by simply making a small change to a legal test that determines when local initiatives and referenda are preempted by state law.",,96.61764705882354,matched
1,DOI: https://doi.org/10.15779/Z38TX3581D Copyright © 2025 Ben Pearce,text,text,,,60.0,unmatched
1,"* J.D., 2025, University of California, Berkeley, School of Law. I'd like to thank Professor David Carrillo for sparking my interest in the California State Constitution and for correcting many previous versions of this Note. I'd also like to thank Professors Abhay Aneja and Russell Robinson for reviewing this Note in their workshop. I am extremely grateful for the hard work that the California Law Review editors put into making this Note better. Last, and certainly not least, I would like to thank my friends and family for putting up with my obsession with housing policy for the last five to seven years.",text,body_text,"Copyright © 2025 Ben Pearce, J.D., 2025, University of California, Berkeley, School of Law. I’d like to thank Professor David Carrillo for sparking my interest in the California State Constitution and for correcting many previous versions of this Note. I’d also like to thank Professors Abhay Aneja and Russell Robinson for reviewing this Note in their workshop. I am extremely grateful for the hard work that theCalifornia Law Revieweditors put into making this Note better. Last, and certainly not least, I would like to thank my friends and family for putting up with my obsession with housing policy for the last five to seven years.",,99.83552631578947,matched
2,I NTRODUCTION,section_header,footnote,,"[13].Cal. Renters Legal Advoc. & Educ. Fund v. City of San Mateo, 283 Cal. Rptr. 3d 877, 886 (Ct. App. 2021);see,e.g., Dan Walters,California’s Housing Duel Between State and Local Governments Intensifies, CalMatters (Feb. 12, 2023), https://calmatters.org/commentary/2023/02/california-housing-element-government/ [https://perma.cc/FUB4-HFG2] (reporting on a longstanding duel between California’s state and local governments related to state-imposed quotas for facilitating housing construction);see alsoJon Healey,State Wins a Round in Fight with Huntington Beach to Build More Housing, L.A. Times (Jan. 19, 2024), https://www.latimes.com/california/story/2024-01-19/state-wins-a-round-in-fight-with-huntington-beach-to-build-more-housing [https://perma.cc/8QFM-ZF2Q] (reporting on California’s lawsuit against Huntington Beach claiming that the City defied state efforts to develop more housing).",76.92307692307692,matched
2,"California is in the midst of a decades-long housing crisis caused in part by a  drastic  housing  shortage. 1 It  is  abundantly  clear  that  the  cost  of  renting  or owning a home in California is too expensive and continues to increase. 2 The high cost of housing directly contributes to California's high rate of homelessness. 3 And even for folks who can afford housing, high costs cause overcrowding and longer commutes for Golden State residents. 4",text,body_text,"California is in the midst of a decades-long housing crisis caused in part by a drastic housing shortage.[1]It is abundantly clear that the cost of renting or owning a home in California is too expensive and continues to increase.[2]The high cost of housing directly contributes to California’s high rate of homelessness.[3]And even for folks who can afford housing, high costs cause overcrowding and longer commutes for Golden State residents.[4]",,97.30941704035875,matched
2,"To respond to this housing crisis, California has to build a lot of housing. A 2015 legislative report indicated that California might need to build 200,000 to  240,000  new  homes  to  'seriously  mitigate  its  problems  with  housing affordability.' 5 And  while  the  exact  amount  of  housing  needed  is  'a  moving",text,body_text,"To respond to this housing crisis, California has to build a lot of housing. A 2015 legislative report indicated that California might need to build 200,000 to 240,000 new homes to “seriously mitigate its problems with housing affordability.”[5]And while the exact amount of housing needed is “a moving target,” California is “nowhere close to closing” the gap between production and demand.[6]To close that gap, California passed a flurry of bills to encourage housing production.[7]Most importantly for this Note, the legislature enacted a number of statutes that limit the power of local governments to prevent or delay the construction of housing.[8]The state now requires every local government[9]to adopt a “general plan” that describes the municipality’s “development policies and objectives” relating to the urban environment.[10]General plans have a few constituent elements, one of which is the “housing element.”[11]Housing elements require cities to plan for a certain amount of housing.[12]Housing elements are also the subject of numerous high-profile political fights between the state and local governments, as California increasingly tries to “compel local governments to approve more housing.”[13]Even if local governments don’t resist, their voters sometimes act independently to stop new developments.[14]Housing element laws, as well as other pro-development policies, show that there is a clear and growing consensus from the state government that it disfavors localism in housing development and planning.",,96.7948717948718,matched
2,"1. See, e.g. , M AC T AYLOR , L EGIS . A NALYST ' S O FF ., C ALIFORNIA ' S H IGH H OUSING C OSTS : C AUSES AND C ONSEQUENCES 20-21 (2015), https://lao.ca.gov/reports/2015/finance/housingcosts/housing-costs.pdf [https://perma.cc/DYZ6-TM6U] (describing California's housing shortage as attributable, at least in part, to the slow rate of housing development in California as compared to other states); Conor Dougherty, Twilight of the NIMBY , N.Y. T IMES (June 5, 2022), https://www.nytimes.com/2022/06/05/business/economy/california-housing-crisis-nimby.html [https://perma.cc/YPV3-HHSX] (explaining how local politics contributes to the housing shortage in California).",footnote,footnote,,"[1].See, e.g.,Mac Taylor, Legis. Analyst’s Off., California’s High Housing Costs: Causes and Consequences 20–21 (2015), https://lao.ca.gov/reports/2015/finance/housing-costs/housing-costs.pdf [https://perma.cc/DYZ6-TM6U] (describing California’s housing shortage as attributable, at least in part, to the slow rate of housing development in California as compared to other states); Conor Dougherty,Twilight of the NIMBY, N.Y. Times (June 5, 2022), https://www.nytimes.com/2022/06/05/business/economy/california-housing-crisis-nimby.html [https://perma.cc/YPV3-HHSX] (explaining how local politics contributes to the housing shortage in California).",96.89922480620154,matched
