page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,"Pay the Voter: A Legal, Economic, and Policy Analysis of Financially Incentivizing Political Participation",section_header,section_header,,,57.54716981132076,unmatched
1,Andrew Albright *,section_header,footnote,,"[21]. 558 U.S. 310 (2010).Citizens Unitedheld that “independent expenditures . . . do not give rise to corruption or the appearance of corruption” and, therefore, that the government cannot directly regulate them.Id.at 357. This has led courts across the country to strike down similar legislation.See, e.g., McCutcheon v. FEC, 572 U.S. 185, 218 (2014) (striking down regulations limits to aggregate individual campaign contributions); SpeechNow.org v. FEC, 599 F.3d 686, 698 (D.C. Cir. 2010) (striking down a regulation that limited what an individual can donate to a Super PAC); Thalheimer v. City of San Diego,645 F.3d 1109, 1121 (9th Cir. 2011) (enjoining contribution limits as applied to independent expenditure committees in San Diego).But seeAndrew Albright, Cal. Common Cause, All Hope is Not Lost: Effectively Regulating Independent Expenditures in a Post-Citizens UnitedWorld 13–14 (2024) (arguing thatCitizens Unitedallows states to regulate the relationships between candidates and the independent organizations that support them through coordination laws).",100.0,matched
1,"This  Note  explores  the  idea  of  paying  Americans  to  cast  their ballots  as  a  mechanism  to  increase  electoral  participation  among lower  income  voters  and  rebalance  the  influence that  wealthy Americans have on policy outcomes. The Note begins by exploring the rationale behind the idea, drawing on political science, economic, and legal  literature  to  argue  that  subsidizing  the  franchise  could  help rebalance elected officials'  perception  of  the  'median  voter'  away from the wealthy. The Note hypothesizes that a small dollar incentive, perhaps no more than $20, paid in a municipal election would have a greater incentivizing effect on low-propensity, low-income voters than it would on higher-income voters. Next, the Note explores the legality and  constitutionality  of  paying  the  voter.  When  President  Johnson signed the Voting Rights Act, vote buying became illegal across the United  States.  Nevertheless,  this  Note  argues  that,  based  on  the legislative  history  of  the  Act,  a  government  program  to  incentivize voting would be legal under federal law. Further, neither the First nor the Fourteenth Amendment poses a barrier to such a program, and a local government in California could enact such a program without violating state law. Finally, the Note explores policy design, proposing that policymakers should begin in a local government, provide direct and highly visible subsidies, and allow voters who cast blank ballots to collect a subsidy.",text,body_text,"This Note explores the idea of paying Americans to cast their ballots as a mechanism to increase electoral participation among lower income voters and rebalance the influence that wealthy Americans have on policy outcomes. The Note begins by exploring the rationale behind the idea, drawing on political science, economic, and legal literature to argue that subsidizing the franchise could help rebalance elected officials’ perception of the “median voter” away from the wealthy. The Note hypothesizes that a small dollar incentive, perhaps no more than $20, paid in a municipal election would have a greater incentivizing effect on low-propensity, low-income voters than it would on higher-income voters. Next, the Note explores the legality and constitutionality of paying the voter. When President Johnson signed the Voting Rights Act, vote buying became illegal across the United States. Nevertheless, this Note argues that, based on the legislative history of the Act, a government program to incentivize voting would be legal under federal law. Further, neither the First nor the Fourteenth Amendment poses a barrier to such a program, and a local government in California could enact such a program without violating state law. Finally, the Note explores policy design, proposing that policymakers should begin in a local government, provide direct and highly visible subsidies, and allow voters who cast blank ballots to collect a subsidy.",,96.12724757952974,matched
1,DOI: https://doi.org/10.15779/Z38NK3669H Copyright © 2025 Andrew Albright.,text,text,,,60.952380952380956,unmatched
1,"* J.D. & M.P.P., 2024, University of California, Berkeley, School of Law & Goldman School of Public Policy; Judicial Law Clerk, United States District Court for the Northern District of California, 2024-2025, United States Court of Appeals for the Ninth Circuit, 2025-2026. I am deeply grateful to my professors who lent their time, encouragement, and feedback to my work. My sincere thanks to Professor Jonathan Gould for sponsoring this Note and providing thoughtful guidance through my many drafts. Thank you to Common Cause, California for giving me the space to discover this idea. The California Law Review team made this piece shine. Finally, thank you to my husband Jake for his endless patience with me and support in all that I do.",footnote,body_text,"Copyright © 2025 Andrew Albright, J.D. & M.P.P., 2024, University of California, Berkeley, School of Law & Goldman School of Public Policy; Judicial Law Clerk, United States District Court for the Northern District of California, 2024-2025, United States Court of Appeals for the Ninth Circuit, 2025-2026. I am deeply grateful to my professors who lent their time, encouragement, and feedback to my work. My sincere thanks to Professor Jonathan Gould for sponsoring this Note and providing thoughtful guidance through my many drafts. Thank you to Common Cause, California for giving me the space to discover this idea. TheCalifornia Law Reviewteam made this piece shine. Finally, thank you to my husband Jake for his endless patience with me and support in all that I do.",,99.86431478968792,matched
2,I NTRODUCTION,section_header,body_text,"Level-up thinking is highly relevant to a voter incentive program. The current approach to electoral imbalance often focuses on reducing barriers to entry. For example, automatic or same-day voter registration removes the hurdle of pre-registration, and vote-by-mail eliminates the need to travel to a polling location. Though barrier elimination is critical to electoral rebalancing, level-up thinking indicates that such efforts are necessary but not sufficient. If barrier reduction alone were sufficient, participation rates would likely be much higher in cities and states that have significantly reduced barriers to voting. Indeed, platforms like ActBlue and WinRed have removed barriers to entry for small-dollar donors.[26]Yet, small-dollar matching programs have gone one step further by leveraging incentives to draw in a new and diverse set of donors.[27]Thus, leveraging the logic of level-up policy to bring in new or infrequent voters may result in greater progress towards achieving a representative electorate and ultimately addressing democratic imbalance. A great policy proposal that leverages this type of level-up thinking to address electoral imbalance is the Mobilization Matching Fund, proposed by Professor Bertrall Ross II.[28]This policy would use federal dollars to match campaign expenditures used to mobilize voters. For example, if a campaign spends $10,000 to mobilize voters, the government would send the campaign another $10,000 to spend on additional mobilization efforts. Ross recommends that the government consider requiring campaigns to target specific types of voters, such as voters with a history of infrequent electoral participation, commonly referred to as “low-propensity voters.”[29]",,76.92307692307692,matched
2,"If I promise to give you $20, and all you need to do in return is vote in the next election, would you do it? Your answer to that question likely depends on several considerations. For example, when was the last time you voted? How far could you stretch that $20? Would you get the money today, in two weeks, or in six months? Would it be illegal for you to accept the money, or for me to give it to you? Unfortunately for you, the answer to that last pair of questions is 'yes.' But what if instead, the government offered you $20 for casting a ballot? This Note explores that question by detailing the participatory, economic, and legal considerations  that  would  arise  were  the  government  to  implement  a  voter incentive program.",text,body_text,"If I promise to give you $20, and all you need to do in return is vote in the next election, would you do it? Your answer to that question likely depends on several considerations. For example, when was the last time you voted? How far could you stretch that $20? Would you get the money today, in two weeks, or in six months? Would it be illegal for you to accept the money, or for me to give it to you? Unfortunately for you, the answer to that last pair of questions is “yes.” But what if instead, thegovernmentoffered you $20 for casting a ballot? This Note explores that question by detailing the participatory, economic, and legal considerations that would arise were the government to implement a voter incentive program.",,98.34938101788171,matched
3,"I stumbled across this idea while authoring a paper about campaign finance reform. Citizens United outlawed many critical policies aimed at staunching the distorting  effects  that  wealth-and  the  influence  that  follows  it-has  on  our political  system.  As  a  result  of  both Citizens  United and  socio-economic imbalances in voter participation, American policy outcomes tend to favor the wealthy.",text,body_text,"I stumbled across this idea while authoring a paper about campaign finance reform.Citizens Unitedoutlawed many critical policies aimed at staunching the distorting effects that wealth—and the influence that follows it—has on our political system. As a result of bothCitizens Unitedand socio-economic imbalances in voter participation, American policy outcomes tend to favor the wealthy.",,94.28571428571428,matched
3,"So, how would paying voters address this concern? The theory behind a voter incentive program proceeds as follows: Incentives influence behavior. A program  that  pays  people  to  cast  a  ballot  would  increase  participation,  and offering  a  relatively  small  size  of  the  payment  would  incentivize  turnout  in lower-income communities at higher rates than in wealthier ones. Seeing new activity  from  historically  low-propensity  voters,  campaigns  and  lawmakers behind those campaigns would turn their organizing efforts, policy proposals, and  attention  away  from  the  wealthy  and  towards  the  lower-income  and underrepresented segments of the electorate.",text,body_text,"So, how would paying voters address this concern? The theory behind a voter incentive program proceeds as follows: Incentives influence behavior. A program that pays people to cast a ballot would increase participation, and offering a relatively small size of the payment would incentivize turnout in lower-income communities at higher rates than in wealthier ones. Seeing new activity from historically low-propensity voters, campaigns and lawmakers behind those campaigns would turn their organizing efforts, policy proposals, and attention away from the wealthy and towards the lower-income and underrepresented segments of the electorate.",,93.91575663026521,matched
3,"Scholars, advocates, and lawmakers have proposed (and enacted) excellent policies  that  would  do  much  to  increase  participation.  Indeed,  American democracy would likely be better off if lawmakers implemented ideas like sameday  voter  registration,  universal  vote  by  mail,  compulsory  voting,  a  federal holiday for election day, and consolidated local elections. Yet the focus of this Note-a policy I refer to as a 'voter incentive program'-operates in a liminal space between campaign finance and participation. It seeks to level the influence playing field by increasing participation.",text,body_text,"Scholars, advocates, and lawmakers have proposed (and enacted) excellent policies that would do much to increase participation. Indeed, American democracy would likely be better off if lawmakers implemented ideas like same-day voter registration, universal vote by mail, compulsory voting, a federal holiday for election day, and consolidated local elections. Yet the focus of this Note—a policy I refer to as a “voter incentive program”—operates in a liminal space between campaign finance and participation. It seeks to level the influence playing field by increasing participation.",,96.7409948542024,matched
