page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,'BACKGROUND PRINCIPLES' AND THE GENERAL LAW OF PROPERTY,section_header,footnote,,"^ Compare Lucas v. S.C. Coastal Council, 505 U.S. 1003, 1029 (1992) (rooting “background principles” in “the State’s law of property and nuisance”), with Cedar Point , 141 S. Ct. at 2079 (“[T]he government does not take a property interest when it merely asserts a ‘pre-existing limitation upon the land owner’s title.’” (quoting Lucas , 505 U.S. at 1028–29)).",85.18518518518519,matched
1,"The Takings Clause of the Fifth Amendment provides that when the government takes private property for a public purpose, it must compensate  the  property  owner. 1     One  exception  to  this  rule,  the  'background principles' exception, establishes that 'the government does not take a property interest when it merely asserts a 'pre-existing limitation upon the land owner's title.'' 2   For instance, if a landowner is creating a nuisance on his property, the government owes him no compensation for forcing him to stop, 'because he never had the right to engage in the nuisance  in  the  first  place.' 3     The  concept  is  simple:  One  cannot  lose what was never his. 4",text,footnote,,^ Id.,100.0,matched
1,"Background principles are a strong medicine. 5   When a court analyzes a takings claim, it must first identify the property interest at issue before  deciding  the  more  complex,  discretionary  question  of  whether that property was 'taken.' 6   Background principles are 'logically antecedent' to this analysis, 7  meaning that they can foreclose an aggrieved property  owner's  claim  before  the  first  step. 8    If  the  court  determines that,  pursuant  to  a  background  principle,  a  plaintiff  had  no  property interest  to  begin  with,  the  government  will  completely  evade  takings liability  for  its  interference  with  the  plaintiff's  property. 9     Judges,  too, can use background principles to avoid difficult legal and factual questions that may arise later in the takings analysis. 10",text,footnote,,^ Id.,100.0,matched
1,"Background principles have a lot to offer the law of takings.  For example, they can stabilize  property  owners'  expectations  by  aligning",text,body_text,"Background principles have a lot to offer the law of takings. For example, they can stabilize property owners’ expectations by aligning the Takings Clause with widely understood principles of property law. 11 Indeed, the case that introduced the background principles exception — Lucas v. South Carolina Coastal Council 12 — featured prominently the notion that property owners are on notice of background limitations . 13 In Lucas , Justice Scalia explained that background principles, like all property rights under the Takings Clause, are rooted in state-specific law. 14 By locating background principles in state law, Lucas ensured that takings law reflects property owners’ actual expectations. 15",,97.82608695652173,matched
1,-------------------------------------------------------------,text,text,,,0,unmatched
1,1 U.S. CONST. amend. V.,footnote,footnote,,^ U.S. Const. amend. V.,100.0,matched
1,"3 Id. (citing Lucas , 505 U.S. at 1029 -30 ).",footnote,footnote,,^ Id.,100.0,matched
1,"2 Cedar Point Nursery v. Hassid, 141 S. Ct. 2063 , 2079 ( 2021 ) (quoting Lucas v. S.C. Coastal Council, 505 U.S. 1003 , 1028 -29 ( 1992 )).",footnote,footnote,,^ Id.,100.0,matched
1,"4 Cf. James L. Huffman, Background Principles and the Rule of Law: Fifteen Years After Lucas, 35 ECOLOGY L.Q. 1 , 19 ( 2008 ) (arguing that '[t]here is nothing innovative or surprising about' the background principles exception).",footnote,footnote,,"^ Cf. James L. Huffman, Background Principles and the Rule of Law: Fifteen Years After Lucas, 35 Ecology L.Q. 1, 19 (2008) (arguing that “[t]here is nothing innovative or surprising about” the background principles exception).",98.64864864864865,matched
1,"6 See infra section I.A, pp. 2074 -77 .",footnote,footnote,,"^ See infra section I.A, pp. 2074–77.",97.05882352941177,matched
1,"5 See Robert Meltz, Takings Law Today: A Primer for the Perplexed , 34 ECOLOGY L.Q. 307 , 329 ( 2007 ) (characterizing background principles as 'a big exception' to an otherwise 'categorical takings rule[]').",footnote,footnote,,"^ See Robert Meltz, Takings Law Today: A Primer for the Perplexed , 34 Ecology L.Q. 307, 329 (2007) (characterizing background principles as “a big exception” to an otherwise “categorical takings rule[]”).",98.48484848484848,matched
1,"7 Lucas , 505 U.S. at 1027 .",footnote,footnote,,"^ Lucas , 505 U.S. at 1027.",100.0,matched
1,"9 See, e.g. , Lucas , 505 U.S. at 1030 (citing, inter alia, Bd. of Regents of State Colls. v. Roth, 408 U.S. 564 , 577 ( 1972 )).",footnote,footnote,,"^ See, e.g. , Lucas , 505 U.S. at 1030 (citing, inter alia, Bd. of Regents of State Colls. v. Roth, 408 U.S. 564, 577 (1972)).",98.34710743801654,matched
1,"8 Meltz, supra note 5 , at 353 ('The stakes are high: as a threshold issue, finding that a government restriction merely embodies a background principle ends the taking analysis then and there.'); see also David A. Dana, 'Background Principles' in the Law of Takings , 73 AM. U. L. REV. 1789 , 1812 ( 2024 ) (observing that 'state and lower federal cases' provide 'very little explanation . . . as to why the court accept[ed] or reject[ed] a . . . source as creating a background limitation').",footnote,footnote,,^ Id.,100.0,matched
1,"10 See Michael C. Blumm & Lucus Ritchie, Lucas 's  Unlikely Legacy: The Rise of Background Principles as Categorical Takings Defenses , 29 HARV. ENV'T L. REV. 321 , 328 ( 2005 ) ('The rise of categorical background principles defenses seems to have appealed to lower courts, perhaps because it allows judges to resolve cases without having to employ detailed factual analysis.').",footnote,footnote,,"^ See Michael C. Blumm & Lucus Ritchie, Lucas ’s Unlikely Legacy: The Rise of Background Principles as Categorical Takings Defenses , 29 Harv. Env’t L. Rev. 321, 328 (2005) (“The rise of categorical background principles defenses seems to have appealed to lower courts, perhaps because it allows judges to resolve cases without having to employ detailed factual analysis.”).",98.91304347826086,matched
2,"the Takings Clause with widely understood principles of property law. 11 Indeed, the case that introduced the background principles exception Lucas v. South Carolina Coastal Council 12  - featured prominently the notion that property owners are on notice of background limitations . 13 In Lucas ,  Justice  Scalia  explained  that  background  principles,  like  all property  rights  under  the  Takings  Clause,  are  rooted  in  state-specific law. 14     By  locating  background  principles  in  state  law, Lucas ensured that takings law reflects property owners' actual expectations. 15",text,footnote,,^ Id.,100.0,matched
2,"But  despite  its  potential,  background  principles  jurisprudence  has long remained underdetermined. 16   Scholars and courts have struggled with questions as basic as what counts as a background principle 17  and what  rationale  justifies  the  exception. 18     Notwithstanding  these  open questions, one deeply rooted feature of takings law has provided some degree of determinacy for the exception over the last several decades: the courts' consistent use of state-specific law to define property interests. 19   But recently, even this fixture has come into flux.",text,footnote,,^ Id.,100.0,matched
2,"In recent years, the Supreme Court has increasingly defined property by  looking  beyond  state-specific  law,  toward  a  more  dynamic,  unbounded body of what might be called 'general property law' 20  or 'jurisdictionless property law.' 21   Several scholars have commented on this",text,body_text,"In recent years, the Supreme Court has increasingly defined property by looking beyond state-specific law, toward a more dynamic, unbounded body of what might be called “general property law” 20 or “jurisdictionless property law.” 21 Several scholars have commented on this shift. 22 Some have argued that the recent general law cases “make[] a considerable amount of sense normatively and practically” 23 because, among other things, they show that the Court systematically departs from state-specific law to prevent states from circumventing the Takings Clause by simply extinguishing a property interest. 24 This argument trades on the tendency for general law interventions in an anticircumvention posture to protect, rather than undercut, property rights.",,97.84946236559139,matched
2,-------------------------------------------------------------,text,text,,,0,unmatched
2,"11 See, e.g. , Dana, supra note 8 , at 1808 ('Justice Scalia's plurality opinion in Lucas hints at the idea that citizens' actual or constructive notice of background limitations is what makes them legitimate restrictions on private property rights.').",footnote,footnote,,^ Id.,100.0,matched
2,"13 See, e.g. , Dana, supra note 8 , at 1808 (quoting Lucas , 505 U.S. at 1027 ).",footnote,footnote,,"^ Lucas , 505 U.S. at 1027.",100.0,matched
2,12 505 U.S. 1003 ( 1992 ).,footnote,footnote,,^ 505 U.S. 1003 (1992).,94.73684210526316,matched
