page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Michigan Law Review,section_header,section_header,,,68.42105263157895,unmatched
1,Volume 124 Issue 1,text,text,,,61.111111111111114,unmatched
1,2025,text,footnote,,"Albania , Int’l Monetary Fund (Apr. 2025), https://www.imf.org/external/datamapper/profile/ALB [ perma.cc/X8EP-LY2F ].",100.0,matched
1,Citizen Shareholders: The State as a Fiduciary in International Investment Law,section_header,footnote,,Id.,100.0,matched
1,Eleanor L. Thompson University of Michigan Law School,text,body_text,"* J.D. Candidate, May 2026, University of Michigan Law School. Thank you to Profes sor Steven Ratner for invaluable feedback on numerous drafts of this piece and to Professor Julian Arato for first introducing me to international investment law. I am grateful to the Vol. 124 Notes team—Luke Pomrenke, Suji Kim, Jacob C. León, Ruben M. Piñuelas, Haley M. Rogers, and Dustin R. Smith—for their excellent edits and improvements. To my family (Mom, Dad, Clay, and Uncle Si) and friends, thank you for all your love and support. Finally, to my grandfather, Dennis Britt, thank you for inspiring my love for the law. All errors are my own.",,73.58490566037736,matched
1,Follow this and additional works at: https://repository.law.umich.edu/mlr,text,text,,,54.54545454545454,unmatched
1,"Part of the Human Rights Law Commons, International Law Commons, and the International Trade Law Commons",text,text,,,60.33519553072626,unmatched
1,Recommended Citation,section_header,section_header,,,65.0,unmatched
1,"Eleanor L. Thompson, Citizen Shareholders: The State as a Fiduciary in International Investment Law, 124 MICH. L. REV. 155 (2025).",text,footnote,,Id.,100.0,matched
1,Available at: https://repository.law.umich.edu/mlr/vol124/iss1/5,text,text,,,54.54545454545454,unmatched
1,https://doi.org/10.36644/mlr.124.1.citizen,section_header,section_header,,,66.66666666666667,unmatched
1,"This Note is brought to you for free and open access by the Michigan Law Review at University of Michigan Law School Scholarship Repository. It has been accepted for inclusion in Michigan Law Review by an authorized editor of University of Michigan Law School Scholarship Repository. For more information, please contact mlaw.repository@umich.edu.",text,text,,,62.5,unmatched
2,NOTE,section_header,footnote,,"All amounts contained herein are in USD, unless otherwise noted.",100.0,matched
2,CITIZEN SHAREHOLDERS: THE STATE AS A FIDUCIARY IN INTERNATIONAL INVESTMENT LAW,section_header,footnote,,Id.,100.0,matched
2,Eleanor L. Thompson,section_header,section_header,,,57.89473684210527,unmatched
