page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Michigan Law Review,section_header,section_header,,,63.1578947368421,unmatched
1,Volume 123 Issue 8,text,body_text,"* Thank you to my peers and friends in the Volume 122 Notes Office—Hannah Cohen Smith, Kassie Fotiadis, Ashley Munger, Katie Osborn, and Jordan Schuler—for making me a better writer and more empathetic person. Thank you to our successors, the Volume 123 Notes Office, for their incredible edits. Thank you to my research advisors—Evan Caminker and Daniel Deacon—for countless office hours discussing ridiculous spending hypotheticals. Thank you to my dad for his nearly illegible redline and my mother for her writing talent. And thank you to Grayson Metzger for her edits, support, and motivation to submit (and resubmit) this Note.",,72.22222222222221,matched
1,2025,text,body_text,"Within ARPA’s collection of relief programs are the CSLFRF. 33 American Rescue Plan Act, Pub. L. No. 117-2, § 9901, 135 Stat. 4, 223 (2021). The CSLFRF allot more than $200 billion for state, tribal, and territory governments to “mitigate the fiscal effects” of the COVID-19 pandemic. 34 42 U.S.C. § 802(a). This lofty goal was imbued with wide discretion, with recipients eligible to spend the CSLFRF on nearly anything related to the “negative economic impacts” of the pandemic until 2025. 35 Id. § 802(c)(1)(A)–(E). State and local governments have authorized diverse programs to revitalize communities, with the Treasury only once challenging those entities’ spending decisions. 36 See State and Local Fiscal Recovery Funds , U.S. Dep’t of the Treasury , https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/state-and-local-fiscal-recovery-funds [ perma.cc/Z6AH-D624 ]; Alan Rappeport, Arizona Could Lose Relief Funds for Undermining School Mask Mandates , N.Y. Times (Oct. 14, 2021), https://nytimes.com/2021/10/05/us/politics/arizona-relief-funds-mask-mandates.html [ perma.cc/JLE6-FB2T ] (noting Treasury’s only challenge to a state program). For example, Michigan committed to much-needed state infrastructure projects $686.3 million of its relief funds. 37 See American Rescue Plan Funding , State Budget Off. (Dec. 2024), https://michigan.gov/budget/covid-federal-funding/american-rescue-plan-funding [ perma.cc/6C5B-EYGD ]; MI Clean Water Plan , Dep’t of Env’t, Great Lakes, & Energy , https://michigan.gov/egle/regulatory-assistance/funding/fd/mi-clean-water-plan [ perma.cc/7GHR-PMVW ]. Cities like Austin, Texas focused on addressing the social welfare maladies of the pandemic through rental assistance programs and projects to decrease homelessness, among others. 38 City of Austin Fin Servs. Dep’t , Recovery Plan: State and Local Fiscal Recovery Funds 2023 Report (July 1, 2022 – June 30, 2023) 77–80 (2023) https://assets.austintexas.gov/financeonline/downloads/2023SLFRFRecoveryPlanCityofAustin.pdf [ perma.cc/SE9J-788F ]. Furthermore, despite initially opposing ARPA’s hefty price tag, even Republican state governments—including some that challenged the Offset Provision in court—tapped into the CSLFRF for an array of infrastructure and public health investments. 39 Alan Rappeport, Republicans Who Assailed Biden’s Stimulus Bill Are Embracing the Money , N.Y. Times (Dec. 15, 2021), https://nytimes.com/2021/12/15/us/politics/biden-stimulus-bill-republicans.html [ perma.cc/CM5B-LW8U ].",,100.0,matched
1,Spending Clause Standing,section_header,body_text,"The Offset Provision cases define the terms of federalism’s future battleground. The Spending Contract and Tax Power injuries provide enterprising state attorneys general with the weapons to dismantle disfavored federal policy. Instead of adhering to standing doctrine’s core separation-of-powers principles, a majority of the involved circuit courts have enabled states to readily air their policy grievances in federal court. Because Congress increasingly relies on its spending power to pass legislation, when states can and cannot challenge federal policy has enormous implications for modern policymaking. When appropriate, Spending Clause standing doctrine should permit heightened scrutiny when a state unilaterally attempts to block a federal program.",,100.0,matched
1,Edward Webre Plaut University of Michigan Law School,text,text,,,66.66666666666667,unmatched
1,Follow this and additional works at: https://repository.law.umich.edu/mlr,text,text,,,53.333333333333336,unmatched
1,"Part of the Law and Economics Commons, Legislation Commons, and the Tax Law Commons",text,body_text,No,,100.0,matched
1,Recommended Citation,section_header,section_header,,,66.66666666666667,unmatched
1,"Edward W. Plaut, Spending Clause Standing, 123 MICH. L. REV. 1519 (2025). Available at: https://repository.law.umich.edu/mlr/vol123/iss8/4",text,text,,,66.66666666666667,unmatched
1,https://doi.org/10.36644/mlr.123.8.spending,section_header,section_header,,,54.54545454545454,unmatched
