page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Michigan Law Review,section_header,section_header,,,63.1578947368421,unmatched
1,Volume 124 Issue 1,text,text,,,55.55555555555556,unmatched
1,2025,text,footnote,,"See Abbe R. Gluck, Elizabeth Chamblee Burch & Adam S. Zimmerman, Against Bankruptcy: Public Litigation Values Versus the Endless Quest for Global Peace in Mass Litigation , 133 Yale L.J.F. 525, 527–28 (2024) (describing the “unprecedented number” of tort defendants, many of which “are not even financially distressed,” that have filed for bankruptcy “to compensate for what their court filings call the ‘failure’ of traditional litigation to expeditiously extinguish all lawsuits”); see also Luke Sperduto, Three and a Half Rules for Tort Claims in (and out of) Chapter 11 , 95 Am. Bankr. L.J. 127, 129–30 (2021) (“When a corporation files for bankruptcy due to tort liabilities, tort claimants often recover a smaller share of what they are owed than the company’s secured creditors. This is because tort claims are general unsecured claims, which are subordinate to secured claims under state law and the United States Bankruptcy Code.”).",75.0,matched
1,Tort Law in a World of Scarce Compensatory Resources,section_header,body_text,"But in a world of scarce compensatory resources, this account does not persuasively describe tort law. Contra Ripstein, there is no “adequate compensation” for wrongful death or severe bodily injuries which “can enable a person to have (almost) the same range of options” they had prior to the injury. The damages remedy for these irreparable harms cannot “make it as if the wrong had never happened.” Rather than rely on the inherently inadequate monetary damages remedy, tort law strives to prevent these irreparable injuries by incorporating their social values into the obligation to exercise reasonable care—contrary to Weinrib’s claim that “deterrence plays no role in defining the nature of the wrong.” The inadequacy of compensatory damages makes deterrence especially valuable. Deterrence is an essential property for understanding tort law that is overlooked by formulations of corrective justice which assume that compensatory damages can always normatively correct for wrongdoing and fully restore normative equilibrium.",,90.9090909090909,matched
1,Mark A. Geistfeld New York University School of Law,text,body_text,"* Sheila Lubetsky Birnbaum Professor of Civil Litigation, New York University School of Law. Copyright 2024 Mark A. Geistfeld. I’m grateful for the many helpful comments I received from Barry Adler, participants in the Yale Private Law Colloquium, and my colleagues at the NYU Law Faculty Workshop. Financial support was provided by the Filomen D’Agostino and Max E. Greenberg Research Fund of the New York University School of Law.",,83.14606741573034,matched
1,Follow this and additional works at: https://repository.law.umich.edu/mlr,text,text,,,51.5625,unmatched
1,"Part of the Common Law Commons, and the Torts Commons",text,text,,,66.03773584905662,unmatched
1,Recommended Citation,section_header,section_header,,,65.0,unmatched
1,"Mark A. Geistfeld, Tort Law in a World of Scarce Compensatory Resources, 124 MICH. L. REV. 59 (2025). Available at: https://repository.law.umich.edu/mlr/vol124/iss1/3",text,text,,,62.22222222222222,unmatched
1,https://doi.org/10.36644/mlr.124.1.tort,section_header,section_header,,,64.1025641025641,unmatched
1,"This Article is brought to you for free and open access by the Michigan Law Review at University of Michigan Law School Scholarship Repository. It has been accepted for inclusion in Michigan Law Review by an authorized editor of University of Michigan Law School Scholarship Repository. For more information, please contact mlaw.repository@umich.edu.",text,text,,,66.66666666666667,unmatched
2,TORTLAWINAWORLDOFSCARCE COMPENSATORYRESOURCES,section_header,body_text,"But in a world of scarce compensatory resources, this account does not persuasively describe tort law. Contra Ripstein, there is no “adequate compensation” for wrongful death or severe bodily injuries which “can enable a person to have (almost) the same range of options” they had prior to the injury. The damages remedy for these irreparable harms cannot “make it as if the wrong had never happened.” Rather than rely on the inherently inadequate monetary damages remedy, tort law strives to prevent these irreparable injuries by incorporating their social values into the obligation to exercise reasonable care—contrary to Weinrib’s claim that “deterrence plays no role in defining the nature of the wrong.” The inadequacy of compensatory damages makes deterrence especially valuable. Deterrence is an essential property for understanding tort law that is overlooked by formulations of corrective justice which assume that compensatory damages can always normatively correct for wrongdoing and fully restore normative equilibrium.",,86.66666666666667,matched
