page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,"NEXTGEN BAR SUCCESS: A STUDENT-TESTED, STUDENT-APPROVED METHOD FOR COMPLETING COUNSELING INTEGRATED QUESTION SETS",section_header,body_text,"In conclusion, this article provides legal educators with a student-tested, student-approved method for completing Counseling Integrated Question Sets, as well as avenues of further study to advance NextGen skills-based pedagogy and, ultimately, student achievement.",,89.38053097345133,matched
1,K ARI E. M ILLIGAN *,section_header,body_text,"Kari E. Milligan is a Teaching Professor of Law at Mitchell Hamline School of Law (“Mitchell Hamline”) in St. Paul, Minnesota. The author is deeply indebted to her colleagues in the Office of Academic Excellence at Mitchell Hamline, who provided invaluable contributions with respect to the methodology in this article and taught the methodology to Mitchell Hamline students while the author was a Visiting Professor of Law at the University of St. Thomas in Minneapolis, Minnesota. The author is also deeply indebted to Cassie Christopher, Mike Gianelloni, and Julie Oseid, who provided insightful feedback on this article.",,94.11764705882352,matched
1,I NTRODUCTION,section_header,body_text,"Legal educators nationwide need to begin teaching students a method for completing Counseling Integrated Question Sets, a novel type of question the National Conference of Bar Examiners (“NCBE”) is introducing on the NextGen bar exam. Counseling Integrated Question Sets require students to answer a series of six multiple choice or short answer questions focused on client counseling or dispute resolution, as they work through an unfolding common fact pattern that also contains rules or elicits rules students have memorized. 1",,84.61538461538461,matched
1,"Legal  educators  nationwide  need  to  begin  teaching  students  a method for completing Counseling Integrated Question Sets, a novel type of  question  the  National  Conference  of  Bar  Examiners  ('NCBE')  is",text,body_text,"Legal educators nationwide need to begin teaching students a method for completing Counseling Integrated Question Sets, a novel type of question the National Conference of Bar Examiners (“NCBE”) is introducing on the NextGen bar exam. Counseling Integrated Question Sets require students to answer a series of six multiple choice or short answer questions focused on client counseling or dispute resolution, as they work through an unfolding common fact pattern that also contains rules or elicits rules students have memorized. 1",,95.86374695863748,matched
1,"* Kari E. Milligan is a Teaching Professor of Law at Mitchell Hamline School of Law ('Mitchell Hamline') in St. Paul, Minnesota. The author is deeply indebted to her colleagues  in  the  Office  of  Academic  Excellence  at  Mitchell  Hamline,  who  provided invaluable  contributions  with  respect  to  the  methodology  in  this  article  and  taught  the methodology to Mitchell Hamline students while the author was a Visiting Professor of Law at the University of St. Thomas in Minneapolis, Minnesota. The author is also deeply indebted to Cassie Christopher, Mike Gianelloni, and Julie Oseid, who provided insightful feedback on this article.",footnote,body_text,Kari E. Milligan,,100.0,matched
2,"introducing on the NextGen bar exam. Counseling Integrated Question Sets require students to answer a series of six multiple choice or short answer questions focused on client counseling or dispute resolution, as they work through an unfolding common fact pattern that also contains rules or elicits rules students have memorized. 1",text,body_text,"Legal educators nationwide need to begin teaching students a method for completing Counseling Integrated Question Sets, a novel type of question the National Conference of Bar Examiners (“NCBE”) is introducing on the NextGen bar exam. Counseling Integrated Question Sets require students to answer a series of six multiple choice or short answer questions focused on client counseling or dispute resolution, as they work through an unfolding common fact pattern that also contains rules or elicits rules students have memorized. 1",,100.0,matched
2,Students who matriculated to law school in 2023 will need to answer Counseling Integrated Question Sets in order to obtain their law licenses in the at least seven states and territories that will administer the NextGen bar exam in July 2026. 2 Students who matriculated after 2023 will also need to answer Counseling Integrated Question Sets in order to obtain their law licenses in the numerous other states and territories that will begin rolling out the NextGen bar exam in July 2027 and thereafter. 3,text,body_text,Students who matriculated to law school in 2023 will need to answer Counseling Integrated Question Sets in order to obtain their law licenses in the at least seven states and territories that will administer the NextGen bar exam in July 2026. 2 Students who matriculated after 2023 will also need to answer Counseling Integrated Question Sets in order to obtain their law licenses in the numerous other states and territories that will begin rolling out the NextGen bar exam in July 2027 and thereafter. 3,,100.0,matched
2,"To aid in this endeavor, faculty at Mitchell Hamline School of Law developed a five-step method and related tips for completing Counseling Integrated  Question  Sets  that  was  taught  to  358  students  at  Mitchell Hamline during their first semester of law school in 2024. The goal was to  test  the  method,  solicit  student  feedback,  and  make  responsive refinements.",text,body_text,"To aid in this endeavor, faculty at Mitchell Hamline School of Law developed a five-step method and related tips for completing Counseling Integrated Question Sets that was taught to 358 students at Mitchell Hamline during their first semester of law school in 2024. The goal was to test the method, solicit student feedback, and make responsive refinements.",,94.9579831932773,matched
2,"This article provides readers with the five-step method, an overview of student feedback, and the adjustments made to the method based on that feedback. Appendix A contains a student handout with the relevant method and tips. 4",text,body_text,"This article provides readers with the five-step method, an overview of student feedback, and the adjustments made to the method based on that feedback. Appendix A contains a student handout with the relevant method and tips. 4",,100.0,matched
2,I. F IVE -S TEP M ETHOD & T IPS,section_header,body_text,"This article provides readers with the five-step method, an overview of student feedback, and the adjustments made to the method based on that feedback. Appendix A contains a student handout with the relevant method and tips. 4",,70.96774193548387,matched
