page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
,,,,"Protests are woven into the history and social fabric of the United States. Whether the topic involves racial inequity, abortion, police brutality, oil and gas pipelines, war, or allegedly stolen elections, Americans will voice their opposition—occasionally, in frightening or destructive ways. Politicians, in turn, have a history of using their lawmaking power to discourage protest by creating crimes like unlawful assembly, riot, civil disorder, disorderly conduct, trespass, and others. While lawmakers have considerable power to decide what is and isn’t legal, they cannot criminalize expression or assembly that the First Amendment protects. But the lines delineating what forms of protest the government can and cannot criminalize are anything but bright.",,0,html_body_unmatched
,,,,This Symposium Piece aims to clarify how far lawmakers can go in prohibiting protest. It does so by illuminating a notoriously murky area of First Amendment doctrine: overbreadth. The overbreadth doctrine authorizes courts to strike down laws that are written so broadly as to infringe on constitutionally protected expression. Overbreadth concerns are especially acute in laws used to criminalize protests.,,0,html_body_unmatched
,,,,"This Piece makes three significant contributions to overbreadth scholarship. First, it analyzes decades of Supreme Court case law addressing overbreadth claims arising from protests and articulates five features of protest-related laws that generate overbreadth concerns. Second, the Piece surveys statutes that lawmakers and law enforcement officials have used to deter protests and, employing the five features of overbroad laws, examines which statutes present overbreadth concerns. Third, the Piece closes with guidelines for correcting (or eliminating, when appropriate) overbroad protest laws.",,0,html_body_unmatched
,,,,The full text of this Piece can be found by clicking the PDF link to the left.,,0,html_body_unmatched
,,,,"* Associate Professor, University of St. Thomas (MN) School of Law. Thanks to the Columbia Law Review student editors, particularly Alexandria Iraheta Sousa, Shaunak Puri, and Charles Simonds, for their thoughtful editing; the many scholars who provided helpful feedback, including Jenny Carroll, Alan Chen, Frank Rudy Cooper, Andy Hessick, Carissa Byrne Hessick, Mitchell Gordon, John Inazu, Julie Jonas, Rob Kahn, Jamie Macleod, Julie Oseid, Michael Paulsen, Charles Reid, Gregory Sisk, Virgil Wiebe, and Timothy Zick; and Adam Bent for his research assistance.",,0,html_body_unmatched
,,,,"Politicians in the United States have a long history of using their law­making power to discourage protests. 1 1 See Allison M. Freedman, Arresting Assembly: An Argument Against Expanding Criminally Punishable Protest, 68 Vill. L. Rev. 171, 176 (2023) (“[T]he introduction of ‘anti-protest’ legislation often closely follows major protest events.”); Marvin Zalman, The Federal Anti-Riot Act and Political Crime: The Need for Criminal Law Theory, 20 Vill. L. Rev. 897, 910 (1975) (“[L]egislative repression of politically dissident groups has become the Congressional reflex response to extremism, even when the extremist groups do not pose an immediate or serious threat to the stability of the Government.”); Timothy Zick, The Costs of Dissent: Protest and Civil Liabilities, 89 Geo. Wash. L. Rev. 233, 236 (2021) [hereinafter Zick, The Costs of Dissent] (“[L]awmakers have historically reacted to disrup­tive protests by invoking ‘law and order’ and cracking down on protest activities.”). ... Close In response to the civil rights movement and race-related uprisings in the 1960s, Congress passed the Civil Rights Act of 1968, which included provisions known as the “Anti-Riot Act,” 2 2 See United States v. Miselis, 972 F.3d 518, 527–28 (4th Cir. 2020) (“Congress passed the Anti-Riot Act as a rider to the Civil Rights Act of 1968, amidst an era, not unlike our own, marked by a palpable degree of social unrest.”); Nick Robinson, Rethinking the Crime of Rioting, 107 Minn. L. Rev. 77, 101 (2022) (“In response to race riots during the 1960s and 1970s, several states and the federal government enacted anti-riot legislation.”); see also M. Cherif Bassiouni, The Development of Anti-Riot Legislation, in The Law of Dissent and Riots 357, 358–64 (M. Cherif Bassiouni ed., 1971) (describing the Anti-Riot Act and First Amendment–based objections to it); Zalman, supra note 1, at 910–16 (arguing that the Anti-Riot Act was passed to “discourage legitimate political dissent”). ... Close criminalizing traveling or using interstate commerce with intent to incite, organize, promote, encourage, or participate in a riot. 3 3 See Civil Rights Act of 1968, Pub. L. No. 90-284, § 104(a), 82 Stat. 73, 75–77 (codi­fied as amended at 18 U.S.C. §§ 2101–2102 (2018)). ... Close In the 1980s and 1990s, abortion protesters were the concern of choice for many lawmakers, and Congress and several states passed laws designed to prevent people from protesting in front of, or approaching patients near, abortion clinics. 4 4 See, e.g., Freedom of Access to Clinic Entrances Act of 1994, Pub. L. No. 103-259, 108 Stat. 694 (codified at 18 U.S.C. § 248) (criminalizing, among other things, intimidating or interfering with people attempting to obtain or provide abortions); McCullen v. Coakley, 573 U.S. 464, 469 (2014) (addressing challenges to the constitutionality of a state law that criminalizes obstructing access to abortion clinics); Hill v. Colorado, 530 U.S. 703, 707 (2000) (same); see also Schenck v. Pro-Choice Network of W.N.Y., 519 U.S. 357, 371 (1997) (addressing First Amendment challenges brought by anti-abortion protesters against judi­cial injunctions); Madsen v. Women’s Health Ctr., Inc., 512 U.S. 753, 757 (1994) (same). ... Close In the early 2000s, after Westboro Baptist Church mem­bers chose to protest America’s “tolerance of homosexuality” by picketing funerals of slain military veterans and chanting antigay slurs, multiple states enacted bills limiting speech near funerals. 5 5 See Snyder v. Phelps, 562 U.S. 443, 455, 448–49 (2011) (describing the methods and language Westboro Baptist Church members used to protest a military funeral); Robert F. McCarthy, Note, The Incompatibility of Free Speech and Funerals: A Grayned -Based Approach for Funeral Protest Statutes, 68 Ohio St. L.J. 1469, 1474–75, 1486–90 (2007) (describing efforts to restrict speech at funerals in the wake of the Westboro protests). ... Close When protests of oil and gas pipelines became widespread in the mid-2010s, numerous states responded by passing “critical infrastructure” laws that expanded and heightened criminal penalties for trespassing on or near pipelines. 6 6 See infra section II.A.8. ... Close After George Floyd’s murder in 2020 sparked possibly the largest mass protests in United States history, lawmakers across the country responded with a slew of proposed bills aimed at limiting protest activity. 7 7 Freedman, supra note 1, at 193–99 & nn.92–113 (surveying numerous proposed antiprotest bills introduced in state legislatures over the past few years); Larry Buchanan, Quoctrung Bui & Jugal K. Patel, Black Lives Matter May Be the Largest Movement in U.S. History, N.Y. Times (July 3, 2020), https://www.nytimes.com/interactive/2020/07/03/us​/george-floyd-protests-crowd-size.html (on file with the Columbia Law Review ) (summarizing polling numbers and other data regarding the number of people in the United States who participated in protests after George Floyd’s murder); US Protest Law Tracker, Int’l Ctr. for Not-for-Profit L., https://www.icnl.org/usprotestlawtracker/?location=&status=enacted&​issue=&date=&type=legislative [https://perma.cc/55RS-VYEM] (last visited Jan. 28, 2025) (tracking more than 300 antiprotest bills proposed by state legislators since 2017). ... Close",,0,html_body_unmatched
,,,,"While the First Amendment does not protect violence, it does enshrine the rights of protesters to speak, picket, march, assemble, and otherwise express political views in sometimes highly unwelcome ways. 8 8 See U.S. Const. amend. I; infra sections I.A–.B. ... Close And though lawmakers have substantial power to decide what behavior is and isn’t legal, they cannot criminalize speech or expression that the First Amendment protects. 9 9 See Broadrick v. Oklahoma, 413 U.S. 601, 613–15 (1973) (holding that the govern­ment is “totally forbidden” from enforcing laws that improperly chill constitutionally pro­tected expression); Coates v. City of Cincinnati, 402 U.S. 611, 614–16 (1971) (voiding a law that “makes a crime out of what under the Constitution cannot be a crime”). ... Close Laws that prohibit protected expression are “over­broad,” meaning that they exceed lawmakers’ authority and illegally intrude on the rights to free speech, assembly, or association. 10 10 See Broadrick , 413 U.S. at 611–12 (explaining how laws that burden the exercise of free expression or association may be overbroad); Coates , 402 U.S. at 614–15 (striking down an ordinance as overbroad because it improperly infringed on the right to assemble); see also Frederick Schauer, Fear, Risk and the First Amendment: Unraveling the “Chilling Effect”, 58 B.U. L. Rev. 685, 685, 689–93 (1978) [hereinafter Schauer, Fear, Risk and the First Amendment] (explaining the concept of overbreadth). ... Close The over­breadth doctrine authorizes courts to strike down laws that are written so broadly as to infringe on constitutionally protected expression. 11 11 See infra section I.A. ... Close",,0,html_body_unmatched
,,,,"Overbreadth concerns have become increasingly acute in recent years in the context of laws used—and even specifically enacted—to criminalize protests. Many of the laws that police officers and prosecutors rely on to arrest and charge protesters, which outlaw behavior like riot, civil disorder, interference, disorderly conduct, trespass, participation in or presence at an unlawful assembly, and more, are so broadly written as to include con­stitutional behavior. 12 12 See infra Part II. ... Close Their breadth gives law enforcement officers discre­tion to disperse and arrest protesters engaged in expression that is incon­venient or unpopular but not imminently dangerous or destructive. 13 13 See infra Part II. ... Close And that is exactly what has happened: Officials have used these laws to arrest and sometimes prosecute protesters who may have been part of a crowd involving isolated violence but who themselves were engaged only in peaceful and constitutionally protected expression. 14 14 See, e.g., Tabatha Abu El-Haj, How the Liberal First Amendment Under-Protects Democracy, 107 Minn. L. Rev. 529, 530 (2022) (describing the First Amendment rights of protesters in modern America as “shockingly weak”); John Inazu, Unlawful Assembly as Social Control, 64 UCLA L. Rev. 2, 28–29, 33 (2017) [hereinafter Inazu, Unlawful Assembly as Social Control] (detailing how unlawful, broadly written assembly statutes give law enforcement officials authority to disperse protests, even when protesters’ behavior would likely not result in successful prosecutions); Dawn C. Nunziato, First Amendment Protections for “Good Trouble”, 72 Emory L.J. 1187, 1219 (2023) (“[T]he right to protest on the streets and to associate for purposes of protest . . . [is] under sharp attack today.”). ... Close",,0,html_body_unmatched
,,,,"Theoretically, overbreadth challenges are powerful tools to contest these antiprotest laws. But while the Supreme Court first recognized the overbreadth doctrine more than eighty years ago and has historically used it to invalidate laws targeting protesters, 15 15 See infra section I.B. ... Close the Court’s jurisprudence has not been a model of clarity, especially when laws regulate expressive con­duct rather than words alone. 16 16 See R. George Wright, The Problems of Overbreadth and What to Do About Them, 60 Hous. L. Rev. 1115, 1116 (2023) (“Few important areas of the law exhibit the unpredict­ability of free speech overbreadth cases.”); Zick, The Costs of Dissent, supra note 1, at 260 (opining that, when it comes to First Amendment limits on laws aimed at chilling protest activities, “officials need more concrete guidance” and “[t]he Supreme Court has not pro­vided much”); Brian J. Murray, Note, Protesters, Extortion, and Coercion: Preventing RICO From Chilling First Amendment Freedoms, 75 Notre Dame L. Rev. 691, 694 (1999) (“The line between protected and unprotected protest is vague . . . .”); see also Tabatha Abu El-Haj, Defining Peaceably : Policing the Line Between Constitutionally Protected Protest and Unlawful Assembly, 80 Mo. L. Rev. 961, 963 (2015) [hereinafter Abu El-Haj, Defining Peaceably ] (reasoning that Supreme Court jurisprudence on the right to assemble has left “lower courts confused about how to decide what level of public disruption the Constitution requires officials to tolerate”); Jenny E. Carroll, Policing Protest: Speech, Space, Crime, and the Jury, 133 Yale L.J. 175, 180–81 (2023) (acknowledging that “questions linger” about what protest-related expression the First Amendment protects). ... Close Additionally, many protest-related arrests involve low-level criminal charges that get dismissed or otherwise resolved outside of the litigation process, leaving few opportunities for precedential rulings addressing the overbreadth of a particular statute. 17 17 See Carroll, supra note 16, at 193 (pointing out that low-level criminal offenses rarely result in contested litigation and thus “hide in plain sight as mechanisms to suppress speech”); Freedman, supra note 1, at 212 (discussing the limited number of challenges raised against antiprotest laws in the past several years). ... Close The line between what lawmakers can criminalize and what the First Amendment protects is, therefore, notoriously fuzzy. As the United States enters another era of frequent and mass protests—and correspondingly, as the number of people arrested and criminally charged in protests grows 18 18 See Amna A. Akbar, Non-Reformist Reforms and Struggles Over Life, Death, and Democracy, 132 Yale L.J. 2497, 2511 (2023) (listing many of the mass protests of the past fifteen years in the United States); Frank D. LoMonte & Paola Fiku, Watch Where You Chalk, ’Cause the Sidewalks Talk: The First Amendment and Ephemeral “Occupations” of Public Property, 47 Vt. L. Rev. 487, 488 (2023) (describing the current era of protest in the United States as “a time of great political volatility when protesters are regularly occupying public spaces in droves”); Nick Robinson & Elly Page, Protecting Dissent: The Freedom of Peaceful Assembly, Civil Disobedience, and Partial First Amendment Protection, 107 Cornell L. Rev. 229, 231 (2021) (“The last decade has been an era of protests in the United States.”); Zick, The Costs of Dissent, supra note 1, at 235 (noting “Americans’ increased interest in public protest participation” in recent years); Buchanan et al., supra note 7 (describing a 2020 poll in which approximately nineteen percent of respondents described themselves as “new to protesting”); Isabelle Taft, Alex Lemonides, Lazaro Gamio & Anna Betts, Campus Protests Led to More Than 3,100 Arrests, but Many Charges Have Been Dropped, N.Y. Times (July 21, 2024), https://www.nytimes.com/2024/07/21/us/campus-protests-arrests.html (on file with the Columbia Law Review ) (reporting that more students were arrested protesting on college campuses in 2024 than in any year since 1969). ... Close —a better understanding of the boundaries of protected expression in the contexts of protests is crucial for judges, litigators, legislators, law enforce­ment, and activists alike.",,0,html_body_unmatched
,,,,"This Symposium Piece aims to bring much-needed clarity to the ques­tion of how far lawmakers can go in criminalizing protest. It makes three significant contributions to the overbreadth doctrine in the context of pro­tests. First, this Piece analyzes decades of Supreme Court case law address­ing overbreadth claims in the context of protests and articulates five ways that protest-related laws may violate the overbreadth doctrine. 19 19 See infra section I.C. ... Close Second, this Piece presents an array of statutes that have been used in recent years to arrest and charge protesters and, employing these five features of potentially overbroad laws, examines which laws do and do not present overbreadth concerns. Third, this Piece closes with a series of guidelines for correcting (or, when appropriate, eliminating) overbroad protest laws.",,0,html_body_unmatched
