page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Battered Woman Syndrome: When Justice Annexes the Space for Mercy,section_header,section_header,,,67.76859504132231,unmatched
1,Alexandra Moore *,text,body_text,Note by Alexandra Moore Volume 101 Issue 5,,100.0,matched
1,"This Note is a theoretical analysis of the way battered woman syndrome operates in our criminal justice system. Although evidence of prolonged, severe domestic  abuse  could  operate  as  a  basis  to  exact  mercy  on  (i.e.,  reduce  or eliminate punishment for) a defendant, our legal system's acknowledgement of these  circumstances,  in  the  form  of  battered  woman  syndrome,  is  instead actualized as a way to calibrate just punishment. In particular, this Note explains the critical distinction between 'justice' and 'mercy' as defined by criminal law scholars, focusing on how battered woman syndrome-or battering and its effects-might fit into each category and exploring the ways in which battered woman  syndrome  evidence  has  been  adapted  to  fit  the  contours  of  our institutions as a justice practice rather than as a mercy practice. Additionally, this Note discusses several obstacles to battered woman syndrome's use as a vehicle for mercy in the courtroom as well as on an institutional level. Among these  obstacles  are  evidence  rules,  jury  instructions,  public  opinion,  and common misconceptions regarding domestic violence-and victims of domestic violence-which affect jury verdicts and clemency decisions for battered women defendants. Other scholars have surveyed the effectiveness of battered woman syndrome evidence at obtaining acquittals, critiqued the theory on psychological, jurisprudential, and feminist grounds, or evaluated its fit with self-defense  doctrine.  This  Note  analyzes  battered  woman  syndrome  from  a different angle, in the context of prevailing mercy theories, and compares its theoretical alignment  with  mercy  literature  to  its actual justice-oriented application in our criminal justice system. Further, this Note hypothesizes about the facets of our intuitions that account for the disparity between theoretical and practical applications of battered woman syndrome evidence and that prevent battered woman syndrome from being meaningfully realized as an institutional ground for mercy.",text,footnote,,. Id.,100.0,matched
1,Introduction,section_header,footnote,,". See Manual of Model Crim. Jury Instructions for the Dist. Cts. of the Ninth Cir. § 5.10 ( Ninth Cir. Jury Instructions Comm. 2022) (instructing jurors that they must find guilt if the government proves, and “all [jurors] agree[], that the defendant did not act in reasonable self-defense”).",83.33333333333334,matched
1,"We, as human beings, feel drawn towards mercy because, all else equal, it  reduces  human  suffering.  As  formulated  by  Alwynne  Smart,  enacting mercy  is  'deciding,  solely  through  benevolence,  to  impose  less  than  the",text,footnote,,. Id.,100.0,matched
1,"* Associate  Editor,  Volume  101, Texas  Law  Review ;  J.D.  Candidate,  Class  of  2023,  The University  of  Texas  School  of  Law.  Special  thanks  to  Professor  Lee  Kovarsky  for  teaching  an incredible seminar on mercy, and for his patience and insights on the development of this topic. Thanks  also  to  dear  friends  Elizabeth  Barry  and  Catherine  Canby,  who  engaged  in  countless conversations about battered woman syndrome with me and provided never-ending support and encouragement during this process. Finally, thank you to the team of people at Texas Law Review that made this Note possible.",footnote,footnote,,. Id.,100.0,matched
2,"deserved punishment on an offender . . . when we are compelled to [do so] by the claims that other obligations have on us,' namely, compassion for an offender's  previous  undeserved  suffering. 1 Theoretically  then,  victims  of domestic violence who resort to killing their abusers as a means of escape are quintessential candidates for mercy. That is, solely through benevolence one  could  decide  to  exact  less  punishment  than  culpable  murder  merits because  some  factor,  some  sense  of  empathy  for  a  battered  woman's misfortune, moves them to act mercifully. Although cases involving battered women defendants appear to be a perfect space for mercy, this area of the law is dominated by justice practices.",text,footnote,,. Id.,100.0,matched
2,"More specifically, these situations are often analyzed in our legal system through the lens of 'battered woman syndrome' 2 evidence. Battered woman syndrome evidence was originally devised to mitigate injustice to battered women defendants. 3 Its aim is to contextualize battered women defendants' behavior  in  a  way  that  more  closely  aligns  with  traditional  self-defense elements in the hope of procuring the affirmative defense. 4 Because battered woman syndrome has been operationalized as a justice practice, the features of  our  criminal  justice  system  and  public  intuitions  applicable  to  battered women prevent evidence of prolonged suffering and abuse-which could serve as a ground for mercy-from  being actualized as a mercy consideration. Instead, justice-oriented thinking and practices have effectively  annexed  the  available  space  for  mercy  to  operate  on  battered women defendants.",text,footnote,,. Id.,100.0,matched
2,"1.  Alwynne Smart, Mercy , 43 P HILOSOPHY 345, 358-59 (1968).",footnote,footnote,,". Alwynne Smart, Mercy , 43 Philosophy 345, 358–59 (1968).",98.14814814814815,matched
2,"2.  Battered woman syndrome has been criticized on both normative and scientific grounds. See David L. Faigman & Amy J. Wright, The Battered Woman Syndrome in the Age of Science ,  39 A RIZ . L. R EV . 67, 68 (1997) ('The battered woman syndrome illustrates all that is wrong with the law's use of science.'); Anne M. Coughlin, Excusing Women ,  82  C ALIF . L. R EV .  1,  4-5  (1994) (noting that some feminist scholars 'have expressed uneasiness with the battered woman syndrome defense  because  it  institutionalizes  within  the  criminal  law  negative  stereotypes  of  women'); Audrey  Rogers, Prosecutorial  Use  of  Expert  Testimony  in  Domestic  Violence  Cases:  From Recantation to Refusal to Testify , 8 C OLUM . J. G ENDER & L. 67, 68 n.4 (1998) (explaining several grounds on which scholars have criticized battered woman syndrome). Due to this controversy, many scholars refer more generally to the psychological effects associated with battered woman syndrome  as  'battering  and  its  effects.' See,  e.g. ,  Rogers, supra ,  at  68  n.4  (using  the  phrase 'battering  and  its  effects'  rather  than  'battered  woman's  syndrome').  Independent  of  the psychological or policy merits of battered woman syndrome, or battering and its effects, this Note uses  the  term  to  classify  the  category  of  defendant  intended  to  be  encompassed  by  the  theory: victims of domestic violence who kill their spouses.",footnote,footnote,,. Id.,100.0,matched
