page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Contract Remedies for New-Economy Collaborations,section_header,body_text,"To summarize so far, the reputational sanctions sketched here and the theory that maximizing continuation payoffs relative to defection payoffs best sustains cooperation reflect party attempts to make collaborations work without legal sanctions. Efforts to make contracts self-enforcing also exist in traditional economies; parties everywhere prefer self-enforcement because it is cheap relative to legal enforcement. The goal of self-enforcement, however, assumes heightened importance in the new economy for two reasons: first, as shown, the intertwined and intertemporal nature of framework arrangements precludes frequent recourse to outside enforcers; second, current contract law remedies are not suitable for new-economy collaborations.",,80.95238095238095,matched
1,Alan Schwartz* & Simone M. Sepe**,section_header,footnote,,". Eric Maskin showed that it is possible to design a mechanism that induces the parties truthfully and publicly to verify the observed state of the world by fining them if they disagree on what the realized state is. See generally Eric Maskin, Nash Equilibrium and Welfare Optimality , 66 Rev . Econ. Stud . 23 (1999) (showing that “a social choice rule on an arbitrary domain of preferences can be implemented by a game form if it satisfies two arguably reasonable properties: monotonicity and no veto power ”). John Moore and Rafael Repullo also showed that when some dynamic is introduced in the game, revelation is truthful and implementation is unique as long as fines can be imposed on the parties. See John Moore & Rafael Repullo, Subgame Perfect Implementation , 56 Econometrica 1191, 1194–95 (1988) (explaining the “Revelation Principle”). Fines, however, are unenforceable under current law, so we look elsewhere for a truthful revealing mechanism. For a general discussion of the use of revelation mechanisms in contract law, see Alan Schwartz & Simone M. Sepe, Economic Challenges for the Law of Contract , 38 Yale J. on Reg. 678, 696–97 (2021).",96.7741935483871,matched
1,"Productive activity that once took place within a single firm now occurs when two or more firms collaborate to form an 'alliance.' The agreements that govern  alliances  are  not  typical  contracts  containing  prices  and  quantities. Rather, they are 'framework agreements' that regulate process and specify the parties' tasks-e.g., conduct R&D; explore marketing opportunities; exchange proprietary  knowledge;  create  a  dispute-resolution  structure;  and  develop  a plan for a successful result.",text,text,,,62.5,unmatched
1,"The COVID-19 vaccines provide an example: alliance partners reciprocally exploited their flexibility and comparative advantages to create the vaccines. The COVID-19 collaborations, however, were unusual because there was both an assured demand for-and great reputational gains from-delivering the product, and public pressure to finish promptly deterred strategic behavior. In  the  usual  case,  it  is  difficult  to  induce  potential  parties  to  commit  to  a collaboration, to stay with it when doubts about success arise, and to exploit a successful result efficiently. Collaboration breakups at the startup and implementation stages are common. Yet, disappointed parties seldom sue.",text,footnote,,. Id.,100.0,matched
1,"This Article makes two principal contributions. Our first contribution is to show that lawsuits do not occur for new collaboration breakups because current contract law provides no remedies for a party disappointed by a counterparty's defection. Our second contribution is to develop remedies that would encourage private parties to enter into and to stay with potentially productive collaborations. Thus, our goal is to extend contract law to a significant part of the economy whose deals today the law does not support.",text,footnote,,. Id.,100.0,matched
1,"*  Sterling Professor of Law and Professor of Management, Yale Law School.",footnote,footnote,,,55.714285714285715,unmatched
1,"** Professor  of  Law  and  Finance,  University  of  Arizona  James  E.  Rogers  College  of  Law, Université Toulouse 1 Capitole and Toulouse School of Economics. We are grateful for suggestions we  received  at  the  Relational  Contracts  Conference,  Chicago  Law  School  (2021),  a  Yale  Law School faculty workshop and law and economics workshops at Arizona and Texas law schools, and the 2022 Annual Society of Institutional and Organization Economics Conference in Toronto. Jim Klick, Daniel Markovits, Florencia Marotta-Wurgler, Saura Masconale, Scott Masten, Kish Parella, Robert E. Scott, and Melody Wang also made helpful comments.",footnote,footnote,,. Id. at 15.,77.77777777777779,matched
3,Introduction,text,footnote,,". Maria Shao & Hau Lee, Cisco Systems, Inc.: Collaborating on New Product Introduction , Stan. Graduate Sch. Bus. 1, 1 (June 5, 2009), https://hbsp.harvard.edu/product/GS66-PDF-ENG [https://perma.cc/NZJ9-ED76].",100.0,matched
3,"When the need for a COVID-19 vaccine became urgent, the federal government entrusted to private firms the tasks of developing and producing one. 1 The result was a set of successful vaccines, each identified by company names: Pfizer, Moderna, and Johnson & Johnson. The vaccines, however, were the product of multi-firm collaborations. As examples:",text,footnote,,. Id.,100.0,matched
3,Johnson & Johnson has a deal with Merck & Co. to help make its single-dose vaccine and is seeking additional partnerships to ramp up supply. Moderna inked deals with Catalent Inc. and Baxter International Inc. to fill vaccine vials. Novartis AG has agreed to put Pfizer's shot into vials and formulate the mRNA that's necessary to make CureVac NV's Covid-19 vaccine candidate. 2,text,footnote,,. Id.,100.0,matched
3,"A knowledgeable commentator observed: 'companies have proactively been  seeking  to  increase  their  own  manufacturing  capabilities  as  well  as collaborate  with  other  manufacturers  who  shared  available  capacity  to support efforts to increase production.' 3 Thus,",text,body_text,"A knowledgeable commentator observed: “companies have proactively been seeking to increase their own manufacturing capabilities as well as collaborate with other manufacturers who shared available capacity to support efforts to increase production.” [3] Thus,",,93.02325581395348,matched
3,"Sanofi in 2021, will provide support to manufacture two COVID-19 vaccines  in  order  to  help  address  global  needs  . . .  BioNTech's COVID-19 vaccine (co-developed with Pfizer) will be manufactured at  Sanofi's  production  facilities  in  Frankfurt  Germany;  Janssen's (J&J) COVID-19 vaccine will be manufactured at Sanofi's vaccine facility in Marcy l'Etoile, France. 4",text,footnote,,. Id.,100.0,matched
3,"That multi-firm collaborations produced the vaccines is unsurprising; drug  creation  today  often  is  a  joint  project.  The  vaccine  collaborations, however, were unusual in three respects: the assurance of a market for the final product regardless of its price; the huge reputational boost to successful creators;  and  the  almost  daily  public  pressure  to  overcome-or,  more accurately,  to  put  aside-concerns  about  the  allocation  of  intellectual",text,footnote,,. Id.,100.0,matched
3,"1. See Richard G. Frank, Leslie Dach & Nicole Lurie, It Was the Government that Produced COVID-19 Vaccine Success , H EALTH A FFAIRS (May 14, 2021), https://www.healthaffairs.org/do/ 10.1377/forefront.20210512.191448/full/ [https://perma.cc/F774-92KN] (describing contracts between the federal government and vaccine companies to test and manufacture millions of vaccine doses).",footnote,footnote,,. Id.,100.0,matched
3,"2.  Ian  Lopez, Covid-19  Vaccine  Deal-Making  Is  Fleeting  Game  Changer  for  Pharma , B LOOMBERG L AW (Mar. 29, 2021, 4:30 AM), https://www.bloomberglaw.com/ bloomberglawnews/health-law-and-business/X931MDUG000000?bna_news_filter=health-lawand-business [https://perma.cc/5RPJ-AJ6L].",footnote,footnote,,. Id.,100.0,matched
3,"3.  Richard Moscicki, How Industry Collaboration and Partnerships Are Supporting COVID-19 Vaccine Manufacturing , P HARM . R SCH . & M FRS . OF A M . (Mar. 4, 2021), https://catalyst.phrma.org/ how-industry-collaboration-and-partnerships-are-supporting-covid-19-vaccine-manufacturing [https://perma.cc/FQ52-FC2L] (Mar. 4, 2021).",footnote,footnote,,. Id.,100.0,matched
3,"4. Id. See also Editorial, COVID-19 Validates Science-Industry Collaboration , 594 N ATURE 302,  302  (2021)  (identifying  collaborations  between  academia  and  industry  in  developing  and delivering COVID-19 vaccines).",footnote,footnote,,. Id.,100.0,matched
4,"property  the  collaborating  firms  developed,  and  the  temptation  to  behave strategically  in  favor  of  getting  on  with  it.  Our  next  case  reflects  a  more typical scenario.",text,body_text,"That multi-firm collaborations produced the vaccines is unsurprising; drug creation today often is a joint project. The vaccine collaborations, however, were unusual in three respects: the assurance of a market for the final product regardless of its price; the huge reputational boost to successful creators; and the almost daily public pressure to overcome—or, more accurately, to put aside—concerns about the allocation of intellectual property the collaborating firms developed, and the temptation to behave strategically in favor of getting on with it. Our next case reflects a more typical scenario.",,93.75,matched
4,"In  1997,  Eli  Lilly  &  Company  (Eli  Lilly,  or  Lilly)  and  Emisphere Technologies, Inc. signed the first of two Research Collaboration and Option Agreements (the RCOA). 5 The parties' goal was to eliminate the need for injections  by  developing  a  pill  to  transport  medicine  into  a  patient's bloodstream before the patient's digestive system broke the pill's components  down. 6 Though  Eli  Lilly  was  a  manufacturer,  it  brought marketing  expertise  to  the  collaboration;  Emisphere  brought  technical expertise. The parties agreed to share information, 7 to work together through the anticipated multi-year project, and to use a dispute-resolution system that required  senior  management  of  both  companies  to  resolve  difficulties jointly. 8 The arrangement focused on a particular compound-parathyroid hormone (PTH)-as an initial vehicle. 9 If the collaboration was successful, Eli Lilly would market a pill using PTH. Otherwise, Lilly had no right 'to use the Emisphere Technology or Emisphere Program Technology other than insofar as they relate directly to the Field [i.e., the project] and are expressly granted herein.' 10 After several years, the arrangement broke down before the  parties  developed  a  pill  to  deliver  PTH.  The  court  agreed  with Emisphere's  argument  'that  Lilly  breached  the  final  sentence  in  [the] provision  [limiting  Lilly's  rights]  . . .  by  carrying  out  secret,  independent research projects using Emisphere's carriers with proteins other than PTH.' 11",text,footnote,,. Id.,100.0,matched
4,"The Eli  Lilly 12 collaboration  is  paradigmatic  in  two  respects.  The collaboration's governing document-the RCOA-was not a contract in the usual sense. It did not set a price for the services each party was to provide to the venture, it did not set a price for a developed pill, and it did not have a marketing plan. Rather, the RCOA created a structure to govern the parties' collaboration.  Further,  the  parties'  dispute-resolution  process  required  the parties  to  negotiate  but  did  not  specify  the  consequences  of  negotiation failure. The case, however, is unusual because it was in court at all. The only other reported case we found for a fallout that occurred at the production",text,footnote,,. Id.,100.0,matched
4,"5.  Eli Lilly & Co. v. Emisphere Techs . , Inc., 408 F. Supp. 2d 668, 673 (S.D. Ind. 2006).",footnote,footnote,,". Eli Lilly & Co. v. Emisphere Techs . , Inc., 408 F. Supp. 2d 668, 673 (S.D. Ind. 2006).",100.0,matched
4,6. Id. at 671.,footnote,footnote,,. Id. at 671.,100.0,matched
4,"7.  The RCOA stated that '[e]ach Party agrees to disclose Confidential information of another Party only to those employees, representatives and agents requiring knowledge . . . directly related to the fulfilling of the Party's obligations under this Agreement.' Id. at 674 (quoting the RCOA).",footnote,footnote,,". The RCOA stated that “[e]ach Party agrees to disclose Confidential information of another Party only to those employees, representatives and agents requiring knowledge . . . directly related to the fulfilling of the Party’s obligations under this Agreement.” Id. at 674 (quoting the RCOA).",100.0,matched
4,"8. Id. at 673, 679.",footnote,footnote,,". Id. at 673, 679.",100.0,matched
4,9. Id. at 671.,footnote,footnote,,. Id. at 671.,100.0,matched
4,10. Id. at 674 (quoting § 2.1 of the related License Agreement between the parties).,footnote,footnote,,. Id. at 674 (quoting § 2.1 of the related License Agreement between the parties).,100.0,matched
4,11. Id. Eli Lilly filed a patent on the product it secretly developed partly using Emisphere's information. Id. at 677.,footnote,footnote,,. Id. Eli Lilly filed a patent on the product it secretly developed partly using Emisphere’s information. Id. at 677.,100.0,matched
4,"12.  Eli Lilly & Co. v. Emisphere Techs . , Inc., 408 F. Supp. 2d 668 (S.D. Ind. 2006).",footnote,footnote,,". Eli Lilly & Co. v. Emisphere Techs . , Inc., 408 F. Supp. 2d 668 (S.D. Ind. 2006).",100.0,matched
5,stage 13 was similar: a party attempted to exploit its counterparty's intellectual property. 14,text,body_text,"The Eli Lilly [12] collaboration is paradigmatic in two respects. The collaboration’s governing document—the RCOA—was not a contract in the usual sense. It did not set a price for the services each party was to provide to the venture, it did not set a price for a developed pill, and it did not have a marketing plan. Rather, the RCOA created a structure to govern the parties’ collaboration. Further, the parties’ dispute-resolution process required the parties to negotiate but did not specify the consequences of negotiation failure. The case, however, is unusual because it was in court at all. The only other reported case we found for a fallout that occurred at the production stage [13] was similar: a party attempted to exploit its counterparty’s intellectual property. [14]",,97.89473684210527,matched
5,"The Indiana district court in Eli Lilly applied the New York rules on contract interpretation to find that Lilly was in breach, but the court did not award Emisphere a contract remedy. 15 This was because an agreement such as the RCOA could not create an expectation that a contract remedy could protect.  Parties  breach  RCOA-type  agreements  at  a  collaboration's  initial exploratory  stage  as  well,  by  shirking  a  party's  exploratory  task  or  not reporting the results accurately, but contract law again is unavailing. As one of us has reported, '[t]he case data . . . show that, absent misrepresentation or  deceit,  there  generally  is  no  liability  for  inducing  reliance  investments during the negotiation process.' 16",text,footnote,,. Id.,100.0,matched
5,"Many thousands of multi-firm ventures attempt to develop new products or platforms and many of these fail, yet the case reports are almost silent. Few cases exist because contract law does not offer solutions to the problems of  opportunism,  exploitation,  and  differences  of  belief  regarding  project success that attend joint-development arrangements. As a result, an important segment of the U.S. economy functions today without a contract law. The justification for a state-supplied contract law, however, is that the law enables parties to make  transactions  that the parties  would  otherwise  forgo. Collaborations  performed  well  in  the  extraordinary  circumstance  of  the COVID-19 pandemic. But an implication of contract law's absence is that the American economy underproduces productive collaborations in ordinary times. It is this possibility that poses the two tasks we address in this Article: to explain why today's contract law offers courts no tools for facilitating the new collaborations, and to begin to create a contract law for the facilitation of  those  collaborations.  In  pursuing  these  tasks,  it  is  helpful  to  start  by comparing the new collaborations to more traditional transactions.",text,footnote,,. Id.,100.0,matched
5,A. Traditional-Economy Transactions,section_header,footnote,,". We do not consider two modern commercial areas. Initially, online sales between firms and individual consumers are a major part of today’s economy. We do not consider these sales for two reasons. First, our subject is the business contract. More basically, this Article works in the space in which it is empirically plausible to attribute rationality to the contracting parties. Such an attribution may require justification or modification when one of the parties is an individual person. See, e.g. , Alan Schwartz, Regulating for Rationality , 67 Stan. L. Rev. 1373, 1375–76 (2015) (explaining that studies show that individual “consumers exhibit numerous reasoning errors” that are “attributed to ‘cognitive biases’”). Also, though the deal vehicle is the internet, the typical sale is a traditional-economy transaction which, as defined above, occurs when the firm sells finished goods to an individual consumer in a one-stage transaction under a simple contract. We also do not consider how firms perform when embedded in networks because our focus is procurement—a task networks seldom are created to achieve. For a discussion of how modern networks perform, see, e.g., Alan Schwartz & Robert E. Scott, Third-Party Beneficiaries and Business Networks , 7 J. Legal Analysis 325, 334–35 (2015).",94.28571428571428,matched
5,"During  the  nineteenth  and  much  of  the  twentieth  century,  parties primarily traded commodities and finished goods. We focus on goods, which",text,body_text,"During the nineteenth and much of the twentieth century, parties primarily traded commodities and finished goods. We focus on goods, which had two defining features: (a) the goods left the seller in their finished state; and (b) the goods were standard rather than made-to-order. [17] The contracts under which parties traded these goods also had two defining features: (a) the contracts were simple, containing a price, quantity, description of what the parties were trading, and sometimes a warranty; and (b) the transactions could be concluded in a single stage—the seller tendered and the buyer accepted. Later in the twentieth century, sellers began to make goods to suit particular buyers’ needs, but again the buyers did not participate in production. The contracts that governed trade of these specialized products were also simple. A contract would describe the functions the specialized goods were supposed to perform, set a performance schedule, and, sometimes, specify a remedy for the seller’s breach. We denote the trade of standard and specialized goods, together with the contracts that governed the goods’ trade, the “traditional economy.”",,96.84210526315789,matched
5,"13.  As we shall explain below, the new collaborations take place in stages: the pivot (or initial) stage,  the  middle  (or  implementation)  stage,  and  the  execution  (or  production)  stage. See  infra subpart I(D).",footnote,footnote,,. Id.,100.0,matched
5,"14. See Medinol  Ltd.  v.  Bos.  Sci.  Corp.,  346  F.  Supp.  2d  575,  589-90  (S.D.N.Y.  2004) (concerning a plaintiff claiming the defendant engaged in 'a systematic project to copy and steal' the plaintiff's technology as part of a 'broader conspiracy' to either buy out or 'get rid of' the plaintiff (internal quotation marks omitted)).",footnote,footnote,,. Id.,100.0,matched
5,"15. Eli Lilly , 408 F. Supp. 2d at 680, 696-97.",footnote,footnote,,". Eli Lilly , 408 F. Supp. 2d at 680, 696–97.",100.0,matched
5,"16.  Alan Schwartz & Robert E. Scott, Precontractual Liability and Preliminary Agreements , 120 H ARV . L. R EV . 661, 672 (2007).",footnote,footnote,,". Alan Schwartz & Robert E. Scott, Precontractual Liability and Preliminary Agreements , 120 Harv. L. Rev. 661, 672 (2007).",96.63865546218487,matched
6,"had two defining features: (a) the goods left the seller in their finished state; and (b) the goods were standard rather than made-to-order. 17 The contracts under which parties traded these goods also had two defining features: (a) the contracts were simple, containing a price, quantity, description of what the parties  were  trading,  and  sometimes  a  warranty;  and  (b) the  transactions could  be  concluded  in  a  single  stage-the  seller  tendered  and  the  buyer accepted. Later in the twentieth century, sellers began to make goods to suit particular  buyers'  needs,  but  again  the  buyers  did  not  participate  in production. The contracts that governed trade of these specialized products were also simple. A contract would describe the functions the specialized goods  were  supposed  to perform, set a performance  schedule, and, sometimes, specify a remedy for the seller's breach. We denote the trade of standard and specialized goods, together with the contracts that governed the goods' trade, the 'traditional economy.'",text,footnote,,. Id.,100.0,matched
