page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,"Pushing the Boundaries: Extraterritoriality, Patent Infringement Damages, and the Semiconductor Industry",section_header,footnote,,". Timothy R. Holbrook, Boundaries, Extraterritoriality, and Patent Infringement Damages , 92 Notre Dame L. Rev. 1745, 1746–47 (2017) (citing Mark D. Janis, Patent Law in the Age of the Invisible Supreme Court , 2001 U. Ill. L. Rev. 387, 387).",72.36180904522614,matched
1,Catherine J. Canby*,text,body_text,Note by Catherine J. Canby Volume 101 Issue 4,,100.0,matched
1,"Boundaries are a foundational characteristic of patent systems across the globe. However, the extent to which the territorial boundaries reach remains an open  question.  It  is  a  long-held  tenet  of  patent  law  that  patent  owners  may recover against infringers. But in considering patent damages and extraterritoriality, two basic principles of U.S. patent law are seemingly placed in  juxtaposition:  first,  that  patent  owners  are  entitled  to  full  recovery,  and second, that patent rights are fundamentally domestic in nature.",text,footnote,,. Id.,100.0,matched
1,"An extraterritorial application of law is the extension of a country's law to conduct outside the territorial confines of that country. Recently, the Federal Circuit considered a trilogy of cases addressing extraterritoriality in the context of patent damages. In these decisions, the Federal Circuit relied heavily on the presumption against extraterritoriality, emphasizing a rigid view of territoriality in determining damages for patent infringement. In all three of the cases, the court declined to award lost profits for foreign sales flowing from a domestic act of infringement.",text,footnote,,. Id.,100.0,matched
1,"Opening the aperture slightly, the Supreme Court held in 2018 that a patent owner can recover 'lost foreign profits' arising from an act of infringement under 35 U.S.C. § 271(f). Under this provision, a patentee may recover damages when  an  infringer  supplies  or  exports  components  of  a  patented  invention originating in the United States with the intent that the components be combined in  an  infringing  manner abroad. This Note considers the extent to which the Court's decision can be applied to infringement under other provisions, such as § 271(a), which defines direct infringement of a U.S. patent. Although various scholars have debated this topic, this Note extends beyond the current literature by exploring the impact of these judicial decisions on the U.S. semiconductor industry.  An  extension  of  patent  damages  would  augment  domestic  policy designed to stimulate U.S. competitiveness in the global semiconductor arena.",text,footnote,,. Id.,100.0,matched
1,"*  Notes Editor, Volume 101, Texas Law Review ; J.D. Candidate, Class of 2023, The University of  Texas  School  of  Law;  B.S.  Electrical  Engineering,  Northwestern  University.  Thank  you  to Professor  David  G.  Wille  for  teaching  a  thought-provoking  patent  law  seminar  and  providing invaluable guidance on this research. I would also like to express deep gratitude to my family for their  unconditional  love  and  encouragement,  without  whom  I  would  not  be  where  I  am  today. Lastly, a special thanks to my friends for their endless support and friendship, and to my fellow Texas Law Review editors for their dedication and assistance in making this Note possible.",footnote,footnote,,. Id.,100.0,matched
2,"Using the semiconductor industry as a paradigm, this Note ultimately concludes that  allowing  patent  owners  to  recover  damages  for  extraterritorial  losses arising from infringement under § 271(a) will likely lead to more benefit than harm.",text,text,,,67.34693877551021,unmatched
2,Introduction,section_header,footnote,,". Cotter, supra note 202, at 26, 28 (arguing that if it’s not considered intrusive upon a “foreign sovereignty for a domestic court to enjoin domestic manufacture—even when the practical effect of doing so is to deter the defendant from engaging in lawful conduct abroad—it is hard to see how awarding damages that may have a similar deterrent impact constitutes any greater intrusion”).",76.19047619047619,matched
2,"As markets have become more international, some have speculated that we are facing a 'Fourth Industrial Revolution' characterized by a proliferation of innovative technologies that are breaking down the barriers between the 'physical, digital and biological domains.' 1 In other words, we have entered, as some may call it, the Semiconductor Age. 2 It is not surprising that with the advancement of technology, the role of the semiconductor has become even more essential in our society-it is a building block from which current and emerging technologies are developed. Semiconductors are the basis  of  nearly  all  industrial,  commercial,  and  military  systems-almost everything  in  the  modern  world  relies  in  some  way  on  semiconductor",text,body_text,"As markets have become more international, some have speculated that we are facing a “Fourth Industrial Revolution” characterized by a proliferation of innovative technologies that are breaking down the barriers between the “physical, digital and biological domains.” [1] In other words, we have entered, as some may call it, the Semiconductor Age. [2] It is not surprising that with the advancement of technology, the role of the semiconductor has become even more essential in our society—it is a building block from which current and emerging technologies are developed. Semiconductors are the basis of nearly all industrial, commercial, and military systems—almost everything in the modern world relies in some way on semiconductor technologies. [3] For instance, semiconductors can be found in cellular devices, computers, pacemakers, cars, and many common household items. [4] And our reliance on semiconductor technology is not expected to diminish any time soon. [5] As such, semiconductors—and the behavior of semiconductor firms—have been a central focus of domestic policy. [6]",,98.51752021563343,matched
2,"1.  K LAUS S CHWAB , T HE F OURTH I NDUSTRIAL R EVOLUTION 8 (2016).",footnote,footnote,,". Klaus Schwab , The Fourth Industrial Revolution 8 (2016).",91.74311926605505,matched
2,"2.  J.P. Long, Apportionment in the Semiconductor Age , IP L ITIGATOR , March/April 2021, at 1, 1.",footnote,footnote,,". J.P. Long, Apportionment in the Semiconductor Age , IP Litigator , March/April 2021, at 1, 1.",98.91304347826086,matched
