page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Texas Law Review Online,section_header,body_text,Privacy Policy 2025 © Texas Law Review,,82.05128205128204,matched
1,Volume 104 | 2025,text,body_text,Article by Richard Lazarus Online Edition Volume 104,,74.07407407407408,matched
1,Repealing Environmental Law's Magna Carta Amidst the Devolution of Environmental Law,section_header,footnote,,. Id.,100.0,matched
1,Richard Lazarus*,text,body_text,Article by Richard Lazarus Online Edition Volume 104,,100.0,matched
1,Introduction,section_header,body_text,"Finally, the Court’s ruling in City of San Francisco provided the sequel to Sackett by seriously undercutting the Clean Water Act’s ability to ensure that state water quality standards are met by the nation’s industrial polluters. Congress in 1972 had carefully crafted a two-step approach to protecting the nation’s waters, first by insisting that industrial dischargers met strict and ambitious technology-based effluent reduction requirements. [120] And second, to guard against the possibility that such technology-based limitations would not be sufficient to protect some state waters, Congress insisted on a second layer of state water quality-based effluent limitations. [121] Congress was well aware of the challenges of having effluent limitations based solely on water quality. In City of San Francisco, however, the Court effectively decided that the same challenges that Congress had considered and resolved in the statute should be resolved in a different way, more forgiving to industry needs. The latter might or might not make good policy sense, but it had already been asked and answered differently by Congress. The Court majority, however, insisted on a somewhat stretched “textual” reading to rule against EPA. [122]",,83.33333333333334,matched
1,"To  a  certain  extent,  the  Supreme  Court's  recent  ruling  in Seven County Infrastructure Coalition v. Eagle County 1 is hardly surprising.  The  environmental  plaintiffs  in  the  case  lost  their claim that a federal agency had violated the National Environmental Policy Act (NEPA). 2  The bigger news by far would have been if they had instead won.",text,body_text,"To a certain extent, the Supreme Court’s recent ruling in Seven County Infrastructure Coalition v. Eagle County [1] is hardly surprising. The environmental plaintiffs in the case lost their claim that a federal agency had violated the National Environmental Policy Act (NEPA). [2] The bigger news by far would have been if they had instead won.",,95.91836734693877,matched
1,"The Supreme Court has now decided eighteen cases arising under NEPA-long dubbed environmental law's Magna Carta 3 -since President Nixon signed the Act into law on January 1, 1970. 4 And the environmental plaintiffs have lost every",text,footnote,,. Id.,100.0,matched
1,"* Charles  Stebbins  Fairchild  Professor  of  Law,  Harvard  Law  School. Thanks are owed to faculty colleagues Jody Freeman, Andrew Mergen, Bob Percival, JB Ruhl, and Cass Sunstein, whose comments on an early draft made this final version far better, and to Emily Spector, HLS Class of 2026, for her superb editorial assistance.",footnote,footnote,,,52.38095238095239,unmatched
1,1. 145 S. Ct. 1497 (2025).,footnote,footnote,,. 145 S. Ct. 1497 (2025).,100.0,matched
1,2. 42 U.S.C. §§ 4321 -4370.,footnote,footnote,,. 42 U.S.C. §§ 4321–4370.,95.45454545454545,matched
