page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,State Regulation of Online Behavior: The Dormant Commerce Clause and Geolocation,section_header,body_text,"Fourth, an online firm’s inability to perfectly comply with a state regulation due to imperfections in the accuracy of geographical identification and filtering technology does not by itself mean the state regulation violates the Dormant Commerce Clause. The relevance of technological imperfection will depend in part on how demanding the state regulation is. Several state laws regulating minors’ access to pornography online have survived Dormant Commerce Clause scrutiny because they criminalize only intentional transmissions of banned materials to minors or to minors within a state. [132] For similar reasons, Dormant Commerce Clause concerns are significantly reduced if state law provides a defense for reasonable efforts to keep forbidden internet content out of the state. And the Supreme Court has said that a state’s efforts to minimize the interstate impact of a regulation, including through compliance software, is relevant to the discrimination and undue burden analyses. [133]",,70.0,matched
1,Jack Goldsmith * & Eugene Volokh **,section_header,body_text,Article by Jack Goldsmith and Eugene Volokh Volume 101 Issue 5,,90.625,matched
1,"When does the Dormant Commerce Clause preclude states from regulating internet activity-whether through state libel law or invasion of privacy law; through  state  laws  requiring  websites  to  accommodate  disabled  users  (for instance, by providing closed captioning); through state bans on discriminating based on sexual orientation, religion, or criminal record; or through state laws that ban social media platforms from discriminating based on the viewpoint of users' speech?",text,footnote,,. Id.,100.0,matched
1,"This Article argues that the constitutionality of such state regulation should generally turn on the feasibility of geolocation-the extent to which websites or other internet services can determine, reliably and inexpensively, which states users are coming from so that the sites can then apply the proper state law to each user (or, if need be, choose not to allow access to users from certain states). In recent years, geolocation has become feasible and is routinely used by major websites for ordinary business purposes. There is therefore more constitutional room for state regulation of internet services, including social media platforms, than often believed.",text,text,,,66.66666666666667,unmatched
1,"*  Learned Hand Professor of Law, Harvard University.",footnote,footnote,,,53.06122448979591,unmatched
1,"**  Gary T. Schwartz Professor of Law, UCLA School of Law. We thank Kevin King, Marketa Trimble, and David Post for their valuable comments, and Christopher Gorman, Phil Haunschild, Samantha Paralikas, Sierra Polston, Nathan Raab, and Marisa Sylvester for research and related assistance.",footnote,footnote,,. Id.,100.0,matched
2,Introduction,section_header,footnote,,". Earlier in the decade, a plurality of the Court in Edgar v. MITE Corp. struck down an Illinois antitakeover law that the plurality concluded had “sweeping extraterritorial effect” because it “purports to regulate directly and to interdict interstate commerce, including commerce wholly outside the State.” 457 U.S. 624, 642–43, 646 (1982) (plurality opinion). A majority of the Court concluded that the statute did not survive the undue burden balancing test. Id. at 643; id. at 646 (Powell, J., concurring in part). For hints of the extraterritoriality doctrine decades earlier, see Baldwin v. G.A.F. Seelig, Inc. , 294 U.S. 511, 519, 521–24 (1935).",75.0,matched
2,"Many state  laws  apply  to  internet  communications.  Indeed,  we  take many such laws for granted. If you publish an online magazine or a blog that comments on people from all fifty states, you might be subjected to the libel laws of each state. 1 If you sell online images of famous people (or, to be au courant , non-fungible tokens), you might be subjected to each state's rightof-publicity law. 2 Likewise as to the torts of disclosure of private facts, false light, and more. To be sure, the First Amendment uniformly protects much of this speech. But if you go beyond the First Amendment's protections, you could in principle be subject to many different state laws.",text,body_text,"Many state laws apply to internet communications. Indeed, we take many such laws for granted. If you publish an online magazine or a blog that comments on people from all fifty states, you might be subjected to the libel laws of each state. [1] If you sell online images of famous people (or, to be au courant , non-fungible tokens), you might be subjected to each state’s right-of-publicity law. [2] Likewise as to the torts of disclosure of private facts, false light, and more. To be sure, the First Amendment uniformly protects much of this speech. But if you go beyond the First Amendment’s protections, you could in principle be subject to many different state laws.",,98.80774962742176,matched
2,"When,  if  ever,  must  courts  reject  such  laws  as  unduly  burdening interstate commerce in violation of the Dormant Commerce Clause? Courts in  the  1990s  and  early  2000s  often  used  the  Clause  to  invalidate  some internet-related  state  statutes-especially  ones  that  restricted  'harmful  to minors' material. 3 But more recently, and increasingly, courts have upheld state laws regulating various internet transactions. 4",text,footnote,,. Id.,100.0,matched
2,The issue has been most notably implicated by recent state statutes that limit platforms' ability to block user posts based on the posts' viewpoint. 5 The Florida and Texas social media platform viewpoint-neutrality statutes,text,footnote,,. Id.,100.0,matched
2,"1.  Depending on the circumstances, you might not be subject to jurisdiction in all of those states. But even if you are sued for libel in your home state, the court, applying normal choice-of-law principles, will generally apply the law of the plaintiff's domicile. R ESTATEMENT (S ECOND ) OF C ONFLICT OF L AWS § 150 (A M . L. I NST . 1971).",footnote,footnote,,". Depending on the circumstances, you might not be subject to jurisdiction in all of those states. But even if you are sued for libel in your home state, the court, applying normal choice-of-law principles, will generally apply the law of the plaintiff’s domicile. Restatement (Second) of Conflict of Laws § 150 ( Am. L. Inst. 1971 ).",97.56838905775076,matched
2,2. See infra notes 62-64 and accompanying text.,footnote,footnote,,. See infra notes 62–64 and accompanying text.,100.0,matched
2,"3. E.g. , Am. Booksellers Found. v. Dean, 342 F.3d 96, 99, 104 (2d Cir. 2003) (invalidating a Vermont statute); see also Glenn Harlan Reynolds, Virtual Reality and 'Virtual Welters': A Note on  the  Commerce  Clause  Implications  of  Regulating  Cyberporn ,  82  V A . L. R EV .  535,  540-42 (1996) (arguing in favor of invalidating such statutes).",footnote,footnote,,. Id.,100.0,matched
2,"4. See, e.g. , Greater L.A. Agency on Deafness, Inc. v. Cable News Network, Inc., 742 F.3d 414, 432-33 (9th Cir. 2014) (upholding a California statute requiring CNN to provide closed captioning online  in  California);  Online  Merchs.  Guild  v.  Cameron, 995  F.3d  540,  559  (6th  Cir.  2021) (upholding Kentucky's price-gouging law as applied to sales on Amazon.com); SPGGC, LLC v. Blumenthal, 505 F.3d 183, 195 (2d Cir. 2007) (upholding a Connecticut consumer protection law as applied to online gift card sales).",footnote,footnote,,. Id.,100.0,matched
2,5.  The  question  whether  such  state  statutes  are  barred  by  the  First  Amendment  or  by Section 230 of the Communications Decency Act is dealt with in separate articles. See infra notes 143-144.,footnote,footnote,,. The question whether such state statutes are barred by the First Amendment or by Section 230 of the Communications Decency Act is dealt with in separate articles. See infra notes 143–144.,94.08602150537635,matched
3,"were indeed challenged under the Dormant Commerce Clause-and though the courts didn't reach the challenges because they struck down the statutes on other grounds, 6 the  question  will  doubtless  recur  as  states  increasingly seek  to  regulate  social  media  platforms. 7 The  Supreme  Court's  decision returning abortion regulation to the states may also lead to statutes limiting abortion advertising that is targeted at states where abortion is illegal, and to Dormant Commerce Clause (as well as First Amendment) challenges to those statutes. 8",text,footnote,,. Id.,100.0,matched
3,"The Dormant Commerce Clause argument against state regulation of internet services is basically this: By imposing liability on internet speech sent to one state, a state law would potentially affect speech sent from and received in other states, and would in this respect be improperly extraterritorial. Requiring platforms or speakers to consider the laws of all fifty states can gravely burden  such  entities and  therefore interstate commerce. And in some situations, the laws may even conflict with each other-for instance, if state A limits sending pornographic material into the state in a way that children can easily access it, but state B makes service providers quasi-common carriers that are barred from blocking such material.",text,footnote,,. Id.,100.0,matched
3,"Yet there  is  good  reason  to  preserve  state  discretion  here:  American federalism  has  long  embraced  a  territorialist-pluralist  vision  of  different states  having  different  laws,  as  the  example  of  varying  tort  law  rules illustrates. These differences stem in part from different states having laws that presumably match the views of their populations, which naturally differ from state to state. But even beyond that, this vision allows for experimentation, with different states testing out different rules that may then be  evaluated  by  courts  and  legislatures  in  other  states  (or  by  Congress). Against  this  background,  our  federal  system  presumptively  preserves traditional state power to control what happens 'in' or what is sent 'into' states, and to protect state residents from what the state perceives as harms.",text,footnote,,. Id.,100.0,matched
3,6. See infra note 166.,footnote,footnote,,. See infra note 166.,100.0,matched
3,"7. See,  e.g. ,  S.B.  393,  156th  Gen.  Assemb.,  Reg.  Sess.  (Ga.  2022)  (regulating  social  media platform disclosure of policies for 'removing citizens from platforms, promoting and diminishing access to content, and moderating content'); H.B. 5973, 101st Legis. (Mich. 2022) (limiting certain social media platforms' blocking of user content).",footnote,footnote,,". See, e.g. , S.B. 393, 156th Gen. Assemb., Reg. Sess. (Ga. 2022) (regulating social media platform disclosure of policies for “removing citizens from platforms, promoting and diminishing access to content, and moderating content”); H.B. 5973, 101st Legis. (Mich. 2022) (limiting certain social media platforms’ blocking of user content).",96.7065868263473,matched
3,"8.  For an example of such a bill that is so broad that it extends even beyond advertising, see Eugene Volokh, S.C. Bill  Would Apparently Outlaw News Sites' Writing About Legal Abortion Clinics  in  Neighboring  States ,  R EASON : V OLOKH C ONSPIRACY (June  30,  2022,  10:18  PM), https://reason.com/volokh/2022/06/30/s-c-bill-would-apparently-outlaw-news-sites-writing-aboutlegal-abortion-clinics-in-neighboring-states/ [https://perma.cc/US7Y-X5HD]. For an example of an (unsuccessful) Dormant Commerce Clause challenge to an advertising statute-a California law limiting water treatment health claims-see infra note 78 and accompanying text.",footnote,footnote,,". For an example of such a bill that is so broad that it extends even beyond advertising, see Eugene Volokh, S.C. Bill Would Apparently Outlaw News Sites’ Writing About Legal Abortion Clinics in Neighboring States , Reason: Volokh Conspiracy (June 30, 2022, 10:18 PM), https://reason.com/volokh/2022/06/30/s-c-bill-would-apparently-outlaw-news-sites-writing-about-legal-abortion-clinics-in-neighboring-states/ [https://perma.cc/US7Y-X5HD]. For an example of an (unsuccessful) Dormant Commerce Clause challenge to an advertising statute—a California law limiting water treatment health claims—see infra note 78 and accompanying text.",97.93322734499205,matched
