page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Systemically Important Technology,section_header,body_text,"Before developing our regulatory framework, we next examine in more detail what systemic resilience for technology platforms means. In the previous subpart, we described a few hypothetical scenarios in which critical technology firms failed. [148] There, we deliberately selected unusual possibilities to emphasize the broad nature of systemic risks. To further reinforce the need for attention to systemically important technology firms, we offer here two more extensive case studies of more likely scenarios.",,100.0,matched
1,Kevin Werbach * & David Zaring **,section_header,footnote,,. Id.,100.0,matched
1,"The debate about how to address dangers in the increasingly important technology sector misses an essential dimension. It is the same oversight that financial  regulators  committed  prior  to  the  Global  Financial  Crisis:  underappreciating systemic risk. Fortunately, the responses those regulators eventually developed provide a template to avoid a similar disaster in tech.",text,footnote,,. Id.,100.0,matched
1,"The financial-regulation paradigm for systemically important institutions can usefully be applied to our current technological environment in a way that could promote stability and resilience. We propose two steps. First, technology regulators should designate firms that provide the tech ecosystem with its critical infrastructure as systemically important, using a set of factors modeled on those established by the Dodd-Frank Wall Street Reform Act for financial institutions. Second,  we  propose  that  technology  regulators  join  a  council  that  meets regularly to discuss and identify issues of systemic risk in technology, along the lines of the Financial Stability Oversight Council.",text,footnote,,. Id.,100.0,matched
1,"Our proposal offers a number of advantages over the current system. It consolidates a balkanized regulatory landscape and rationalizes a regulatory mission.  It  offers  a  different  perspective  on  technology  regulation,  one  that addresses real problems that have-so far-bedeviled both important technology firms and their government minders. It takes the best features of a successful resilience regime and adapts them to a critical part of the economy in a way that should appeal across the political spectrum.",text,footnote,,. Id.,100.0,matched
1,"* Liem  Sioe  Liong/First  Pacific  Company  Professor,  The  Wharton  School,  University  of Pennsylvania.",footnote,footnote,,,50.0,unmatched
1,"**  Elizabeth  Putzel  Professor,  The  Wharton  School,  University  of  Pennsylvania.  Thanks  to Nikita Aggarwal, Rory Van Loo, Tim Samples, and to comments received at presentations at Boston University Law School, the Workshop on Systemic Importance/Tech, and to research assistance from Shaked Barkay, Alex Ang Gao, and Francisco Torres.",footnote,footnote,,,66.66666666666667,unmatched
2,Introduction,section_header,footnote,,". Glenn Weinstein, What Is Twilio? An Introduction to the Leading Customer Engagement Platform , Twilio (Nov. 29, 2021), https://www.twilio.com/the-current/what-is-twilio-how-does-it-work [https://perma.cc/7QC3-BTP3]; Lionel Sujay Vailshery, Communications Platform as a Service (CPaaS) Market Share by Vendor Worldwide in 2nd Quarter 2021 , Statista (Feb. 25, 2022), https://www.statista.com/statistics/1262022/cpaas-market-share-by-vendor-quarterly/ [https://‌perma.cc/9ZHS-NAVK].",100.0,matched
2,"The debate about how to regulate dominant technology platforms and, more  generally,  dangers  in  the  increasingly  important  technology  sector, misses  an  essential  dimension.  It  is  the  same  oversight  that  financial regulators committed prior to the Global Financial Crisis: under-appreciating systemic risk. 1 Fortunately, the responses those regulators eventually developed provide a template to avoid a similar disaster in tech.",text,footnote,,. Id.,100.0,matched
2,"For all the fire and fury, discussions about reining in 'Big Tech' cover a  limited  set  of  policy  concerns.  Addressing  them  could  under-solve important challenges that  technology  platforms  pose.  These  issues-",text,body_text,"For all the fire and fury, discussions about reining in “Big Tech” cover a limited set of policy concerns. Addressing them could under-solve important challenges that technology platforms pose. These issues—information quality, privacy, and antitrust—are important. [2] But each of them has become, in different ways, partisan and logjammed.",,96.71361502347418,matched
2,"1.  For assessments, see, for example, Adam J. Levitin, In Defense of Bailouts ,  99 G EO .  L.J. 435, 438 (2011), stating, 'Recognition of the problems with the federal response to the financial crisis  made  addressing  the  systemic  risks  posed  by  systemically  important-or  'too-big-to-fail' (TBTF)-firms  a  centerpiece  of  the  financial  regulatory  reform  agenda,'  and  Lisa  Schultz Bressman & Robert B. Thompson, The Future of Agency Independence , 63 V AND . L. R EV . 599, 626 (2010), noting that 'the Fed-like almost every other bank regulator and political officialfailed to foresee the systemic risk that developed in the financial crisis.'",footnote,footnote,,". For assessments, see, for example, Adam J. Levitin, In Defense of Bailouts , 99 Geo . L.J. 435, 438 (2011), stating, “Recognition of the problems with the federal response to the financial crisis made addressing the systemic risks posed by systemically important—or ‘too-big-to-fail’ (TBTF)—firms a centerpiece of the financial regulatory reform agenda,” and Lisa Schultz Bressman & Robert B. Thompson, The Future of Agency Independence , 63 Vand. L. Rev. 599, 626 (2010), noting that “the Fed—like almost every other bank regulator and political official—failed to foresee the systemic risk that developed in the financial crisis.”",95.55555555555556,matched
3,"information quality, privacy, and antitrust-are important. 2 But each of them has become, in different ways, partisan and logjammed.",text,body_text,"For all the fire and fury, discussions about reining in “Big Tech” cover a limited set of policy concerns. Addressing them could under-solve important challenges that technology platforms pose. These issues—information quality, privacy, and antitrust—are important. [2] But each of them has become, in different ways, partisan and logjammed.",,98.47328244274809,matched
