page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,"Technologies of Violence: Law, Markets, and Innovation for Gun Safety",section_header,section_header,,,67.27272727272727,unmatched
1,Joseph Blocher * & Christopher Buccafusco **,section_header,body_text,Article by Joseph Blocher and Christopher Buccafusco Volume 103 Issue 6,,92.6829268292683,matched
1,"Violence in the United States is distinctive in many ways, perhaps none more visceral and fundamental than the technologies with which it is practiced. American violence disproportionately involves guns, and because guns are such an effective tool of violence, confrontations involving them are disproportionately  deadly. Decades of  research  confirm  this  'instrumentality effect,' and it is reflected in the broad, bipartisan agreement that the nation has a gun violence problem. The deep disagreement, of course, remains about how to address it, with most of the debate focused on regulating who can carry which guns, where, and how.",text,text,,,60.0,unmatched
1,"But  fully  understanding,  let  alone  addressing,  the  problem  of  violence requires accounting for not only regulation but the economic and legal forces shaping the instruments that inflict and resist it-what we call the technologies of violence. Just as violence itself can be permissible and even desirable (as in cases of justified self-defense) or not (as in cases of criminal misuse), innovations in violence technology can simultaneously improve and threaten public safety. As  the  most  prominent  form  of  that  technology,  guns  illustrate  the  point particularly  clearly.  Historically,  innovation  has  made  guns  more  lethal-a change whose overall impact on public safety is contested-but it also has the potential  to  make  them  safer,  for  example  through  better  reliability,  safety switches,  smart  gun  technology,  microstamping,  and  other  technological enhancements.",text,text,,,56.52173913043479,unmatched
1,"In this Article, we identify and evaluate the complex and intertwined roles of  markets  and  law  in  driving-and  in  some  cases  deterring-gun  safety innovation. For a variety of reasons, legal efforts to incentivize certain safety",text,footnote,,. Id.,100.0,matched
1,"* Joseph Blocher is Lanty L. Smith '67 Distinguished Professor of Law and Co-Director of the Duke Center for Firearms Law, an independent center dedicated to the development of firearms law as a scholarly field. It has received grants from a variety of sources including the Katie McGrath &",footnote,footnote,,,66.66666666666667,unmatched
1,"J.  J.  Abrams  Family  Foundation,  Crankstart,  Everytown  for  Gun  Safety,  the  Harold  Simmons Foundation, the Joyce Foundation, Andrew Marks, Howard & Nancy Marks, and Arthur & Toni",footnote,footnote,,,66.66666666666667,unmatched
1,Rembe Rock.,footnote,footnote,,,60.0,unmatched
1,"** Christopher Buccafusco is Edward & Ellen Schwartzman Distinguished Professor of Law at Duke University Law School. We're enormously grateful for conversations with colleagues on early versions of this work, including Emilie Aguirre, Stefan Bechtold, Jamie Boyle, Wendy Epstein, Daniel Gervais, Andrew Jennings, Kim Krawiec, Jonathan Masur, Darrell Miller, Lars Noah, Lisa Ouellette,  Eric  Ruben,  Josh  Sarnoff,  Eva  Subotnik,  Andrew  Willinger  and  participants  in  the Intellectual Property Scholars Conference, the Munich Summer Institute, and workshops at DePaul, Duke,  Florida,  and  Vanderbilt  Law  Schools.  For  excellent  research  work,  we  thank  Gina Campanelli, Sydney Colopy, John Godfrey, Natalie Leon, Zeke Tobin, and Margaret Yoder.",footnote,footnote,,. Id.,100.0,matched
2,"innovations have failed, even as markets have taken off for innovations designed to  cope  with  gun  violence,  such  as  gun  detection  cameras  and  bulletproof backpacks. At the same time, statutory and constitutional law stifle and in some cases  forbid  safety  innovations,  for  example  by  broadly  immunizing  gun manufacturers from regulatory and tort liability and through Second Amendment doctrines that protect increasingly powerful weapons while limiting government's ability to enact new rules regulating them.",text,footnote,,. Id.,100.0,matched
2,"We hope that bringing together previously separate scholarly discourses on innovation and public law can help generate new insights into their complex interactions,  as  well  as  possible  solutions  to  the  problem  of  American  gun violence. We conclude with some possibilities for reform that could facilitate the role of markets and innovation in providing public safety.",text,footnote,,. Id.,100.0,matched
2,Introduction,section_header,footnote,,". Timothy D. Lytton, Introduction to Suing the Gun Industry 1, 3 (Timothy D. Lytton ed., 2005).",100.0,matched
