page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Working with Statutes,section_header,body_text,"Interviewees also described how statutes could become more ambiguous or open-ended over time because of changing circumstances and statutory amendments. [71] “[Y]ou could have historical precedents from older language, and now newer language is in conflict with that older language, and the older language has not been removed from the statute,” one person explained. [72] Although in principle, “the newer language trumps the older language, . . . it’s not always that clear. Sometimes, it’s not as though it’s in conflict or even informing it, it could make what’s already an ambiguous provision even more ambiguous.” [73] Other legal developments might contribute to this evolution, too: “A lot of times we were working with statutes that had a history, so it would be not only the language of the statute would be relevant or legislative history, but there’d be a fairly substantial case history . . . [making a] precedential body.” [74] And sometimes “things just aren’t spelled out,” and officials might turn to their own foundational documents for guidance as to how to proceed. [75]",,100.0,matched
1,Anya Bernstein * & Cristina Rodríguez **,section_header,footnote,,". This research involved thirty-nine in-depth, open-ended interviews with career civil servants and political appointees from eleven agencies that differed in size, age, and task. We asked about participants’ experiences with interpretive approaches and tools; relations to Congress, the President, the judiciary, other agencies, and the states; and participants’ own views about statutory interpretation. Semi-structured interviews like ours allow participants’ experiences and perspectives to produce information and views unfamiliar to the interviewer. The Methods Appendix discusses our methodology in depth. See also Anya Bernstein & Cristina Rodríguez, The Accountable Bureaucrat , 132 Yale L.J. 1600, 1612–14 (2023) ( briefly describing methodology).",94.5945945945946,matched
1,"In its decision overruling the Chevron doctrine-which directed judges to accept an agency's reasonable interpretation of ambiguous statutory language-the Supreme Court declares: '[A]gencies have no special competence in resolving statutory ambiguities. Courts do.' This Article shows why  this statement  exhibits  a  profoundly  blinkered  judicial  hubris.  Our interview-based empirical study, involving dozens of agency officials across the administrative  state,  shows  agencies'  special,  indeed  unique,  competence  in working with statutes to make democratic enactments real.",text,body_text,"In its 2024 decision overruling the decades-old Chevron [1] doctrine directing judges to accept an agency’s reasonable interpretation of ambiguous statutory language, [2] the Supreme Court declared: “[A]gencies have no special competence in resolving statutory ambiguities. Courts do.” [3] In this Article, we reveal this statement to be a profoundly blinkered assertion of judicial hubris. We present findings from a qualitative empirical study of how agencies work with the statutes that give them authority to act, showing that interpreting statutes to ensure that they have effect in the world is at the heart of agency competence. Loper Bright v. Raimondo , [4] much like the Court’s recent supercharging of the “major questions doctrine,” [5] rests on two flawed assumptions. The first separates legal interpretation and policymaking into two distinct enterprises—the former belonging to courts, the latter to political actors. The second posits that only Congress, not agencies, should make the important decisions that policymaking requires, on the theory that bureaucrats lack accountability or undermine democracy. [6]",,74.95395948434623,matched
1,"Agencies, we show, act as a statute's custodians, managing the statutory regime over a life cycle that exceeds any single governing coalition. Borrowing ideas from private law, we argue that agency officials act as if they owe their statutes duties of loyalty and care. The assumed duty of loyalty pushes agencies to serve the best interests of the statutes they manage. They ground their work in statutory text and are guided by a sense of agency mission-an enduring but evolving understanding of the agency's overarching goals. In fulfilling their duty of care, agency officials take the steps they see as reasonable for the purposes of effectuating their statutes. Agencies  approach  statutes from  a range  of perspectives, taking into account the changing realities of the regulated world; the views and interests of regulated publics; the positions of Congress's members and  committees;  the  preferences  of  presidents  and  their  appointees;  and  the",text,footnote,,. Id.,100.0,matched
1,"* Professor of Law, University of Connecticut School of Law.",footnote,footnote,,,54.16666666666667,unmatched
1,"** Leighton Homer Surbeck Professor of Law, Yale Law School. We are deeply grateful for the excellent insights and feedback we received in response to this Article, especially from audiences at Yale Law School, Georgetown University Law Center, Berkeley Law School, Boston College Law School,  the  University  of  Connecticut  School  of  Law,  University  of  Southern  California, Fordham  Law  School,  Cornell  Law  School,  and  the  American  Political  Exchange  at  the  Yale University political science department. For incisive comments and conversations, we thank Issa Kohler-Haussman,  Brian  Libgober,  Jerry  Mashaw,  Robert  Post,  Susan  Rose-Ackerman,  Bruce Ackerman, Nick Parrillo, Josh Chafetz, Brian Galle, Christine Jolls, K. Sabeel Rahman, Bijal Shah, Glen Staszewski, John Witt, Ashraf Ahmad, Chris Havasy, Daniel Walters, Abbe Gluck, Richard Briffault, Ethan Leib, Richard McAdams, and William Buzbee. Anne Rajotte and her team at the UConn Law Library helped us  track  down  sources.  We  have  also  benefitted  enormously  from several  talented generations of  students  who  played essential  roles  in  the conceptualization and execution of this multi-year project. For their dedication to the data gathering and coding phases of our  project,  we  thank  Ashraf  Ahmed,  Natasha  Khan,  Alexandra  Lichtenstein,  Alexander Mechanick, William Powell, Kshithij Shrinath, Becca Steinberg, Tobias Kuehne, and Helen White. For  their  excellent  work  in  helping  us  design  the  project,  we  thank  Anna  Mohan  and  Megan McGlynn.  And  for  their  assistance  in  polishing  this  Article,  we  thank  Jim  Huang,  Charlotte Witherspoon, Chelsea Thomeer, and David Hopen.",footnote,footnote,,. Id.,100.0,matched
2,"rulings-and  likely future conclusions-of  courts.  Agencies  thus have  a diversified  approach  to  working  with  statutes,  guided  by  enduring  texts  and missions as well as more transitory views, interests, doctrines, and facts.",text,footnote,,. Id.,100.0,matched
2,"Because agency work is purpose driven and consequentialist, permeated with the goal of producing workable policies, we argue that agencies provide a unique site for the pluralistic contestation that republican democracy requires. Agencies play a critical role in democratic governance because they ensure that statutory enactments become real. As our research makes clear, neither courts nor Congress can match agencies' capacity to make long-term, informed, and accountable  policies  about  specific  issues.  As  we  show,  agencies'  work  with statutes constitutes one of the most important and consistent ways in which our system resolves the dead-hand problems of democratic governance, balancing the need for stability and continuity with the need for adaptation and change.",text,footnote,,. Id.,100.0,matched
2,"From  these  conclusions  flow  a  series  of  implications.  First,  statutory interpretation scholarship should leave its juricentric perspective behind and incorporate and prioritize the central role and practices of agencies. Second, democratic governance requires ensuring that agencies perform their functions well,  which  in  turn  underscores  the  need  not  only  to  bolster  some  of  the responsive practices we bring to light, but also to defend agencies' existence in the face of a presidential administration that would diminish or destroy many of them. And finally, recent developments at the Supreme Court also put the critical democratic functions of agencies at risk. The Court has increasingly stepped in to  make  judges  the  arbiters  of  policy,  undermining  Congress's  ability  to effectuate its democratic decisions and project them into the future. Though we have no illusions about the current Court's willingness to rethink the mistaken empirical  assumptions  behind  its  precedents  limiting  agencies'  work  with statutes, we offer an alternative doctrinal framework for the future intended to capture the essential role of agencies within our system of government.",text,footnote,,. Id.,100.0,matched
3,Introduction,section_header,body_text,"To recruit subjects, we primarily relied on a “snowball” approach, in which we contacted acquaintances in our personal and professional networks who worked in agencies, requested interviews, and asked for recommendations of or introductions to others who might be interested in participating in the study. In a broader solicitation approach, two of our contacts who had worked in the Obama Administration published our project solicitation email on listservs for former colleagues. We later learned that this email was republished on at least one other listserv. (This is one reason Obama-era subjects are highly represented in our interviews.)",,100.0,matched
