page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,ADRIAN VERMEULE,section_header,footnote,,"Adrian Vermeule is the Ralph S. Tyler, Jr. Professor of Constitutional Law at Harvard Law School.",100.0,matched
1,THE OLD REGIME AND THE LOPER BRIGHT ' REVOLUTION ',section_header,body_text,"But it is already possible to see how Loper Bright both grew out of pre-existing legal doctrines, principles, and trends, and also to see how the chastening of the Loper Bright revolution could occur, leaving in place much of the old Chevron regime under different labels. Indeed, I will argue, the beginning of that process is already visible within the four corners of the majority opinion itself. Writing for the Court, its leading Girondin or moderate revolutionary, the Chief Justice, already attempts to temper the Loper Bright revolution, writing a roadmap for a broad recharacterization of “ Chevron deference” as “ Loper Bright delegation.” 10 In some potentially broad range of the cases that would previously have been covered by the Chevron doctrine, courts will now say that Congress has explicitly or implicitly delegated discretionary policymaking authority to the agencies. In this framework, much of the review of the outer bounds of agency discretion that previously took place under the Chevron label will take place under the label of arbitrary-and-capricious review, but it is at best unclear how much will change in any operative sense, especially given that Chevron and arbitrariness review have long been held to overlap in part. 11 Furthermore, even apart from delegation, the Chief Justice’s opinion for the Court leaves in place a robust Skidmore doctrine of “respect” for persuasive agency interpretations; 12 it also backhandedly confirms the idea associated with NLRB v. Hearst Publications, Inc. that courts owe agencies a form of deference as to “mixed questions,” or the application of legal standards to facts, which is a form of policymaking discretion. 13 It is difficult, at least in the abstract, to identify with certainty any clear category of cases that will come out differently under the new regime than under the old one.",,75.0,matched
1,"On June 28, 2024, the Supreme Court decided Loper Bright Enterprises v. Raimondo and Relentless, Inc. v. Department of Commerce , 1 companion cases presenting the same question: whether Chevron, U.S.A., Inc. v. Natural Resources Defense Council, Inc. 2 should be overruled. The Court said ' yes, ' and did overrule Chevron . 3 Anumber of popular articles and legal commentators immediately called the decision ' revolutionary ' 4 or, in a variant, the culmination of a ' conservative counterrevolution ' 5 against the administrative state. Others",text,body_text,"On June 28, 2024, the Supreme Court decided Loper Bright Enterprises v. Raimondo and Relentless, Inc. v. Department of Commerce , 1 companion cases presenting the same question: whether Chevron, U.S.A., Inc. v. Natural Resources Defense Council, Inc. 2 should be overruled. The Court said “yes,” and did overrule Chevron . 3 A number of popular articles and legal commentators immediately called the decision “revolutionary” 4 or, in a variant, the culmination of a “conservative counterrevolution” 5 against the administrative state. Others insisted that the central “grand narrative” of administrative law has now become, for better or for worse, the narrative propounded by libertarian and originalist critics of the administrative state. 6",,99.35602575896965,matched
1,"Adrian Vermeule is the Ralph S. Tyler, Jr. Professor of Constitutional Law at Harvard Law School.",footnote,footnote,,"Adrian Vermeule is the Ralph S. Tyler, Jr. Professor of Constitutional Law at Harvard Law School.",100.0,matched
1,Author ' s note: Thanks to Sam Delmer for excellent research assistance and to multiple colleagues and friends for extensive discussion of these issues.,footnote,footnote,,Author’s note: Thanks to Sam Delmer for excellent research assistance and to multiple colleagues and friends for extensive discussion of these issues.,98.65771812080537,matched
1,1 144 S. Ct. 2244 (2024).,footnote,footnote,,1 144 S. Ct. 2244 (2024).,100.0,matched
1,2 467 U.S. 837 (1984).,footnote,footnote,,2 467 U.S. 837 (1984).,100.0,matched
1,"3 Loper Bright , 144 S. Ct. at 2273.",footnote,footnote,,"3 Loper Bright , 144 S. Ct. at 2273.",100.0,matched
1,"4 See, e.g. , Adeola Adeosun, Neil Gorsuch Leading ' Revolution ' in Supreme Court Ruling , Newsweek ( June 30, 2024, 6:19 PM EDT), https://www.newsweek.com/neil-gorsuch-lead ing-revolution-supreme-court-ruling-shan-wu-1919288; Squire Patton Boggs, The 2024 Revolution in Administrative Law : Chevron and Beyond , YouTube ( July 19, 2024), https://www.you tube.com/watch?v p XiR8ytgeBYY. For a large collection of varying initial responses to the decision ranging from skeptical to dramatic, see generally Cary Coglianese & Daniel E. Walters, The Great Unsettling: Administrative Governance After Loper Bright, 77 Admin. L. Rev. 1 (2025).",footnote,footnote,,"4 See, e.g. , Adeola Adeosun, Neil Gorsuch Leading ‘Revolution’ in Supreme Court Ruling , Newsweek (June 30, 2024, 6:19 PM EDT), https://www.newsweek.com/neil-gorsuch-leading-revolution-supreme-court-ruling-shan-wu-1919288 ; Squire Patton Boggs, The 2024 Revolution in Administrative Law : Chevron and Beyond , YouTube (July 19, 2024), https://www.youtube.com/watch?v=XiR8ytgeBYY . For a large collection of varying initial responses to the decision ranging from skeptical to dramatic, see generally Cary Coglianese & Daniel E. Walters, The Great Unsettling: Administrative Governance After Loper Bright, 77 Admin. L. Rev. 1 (2025).",98.73015873015873,matched
1,"5 See David L. Franklin, This Supreme Court Has Betrayed Antonin Scalia ' s Legacy , Slate ( June 28, 2024, 4:36 PM), https://slate.com/news-and-politics/2024/06/supreme-court-opinions-antonin",footnote,footnote,,"5 See David L. Franklin, This Supreme Court Has Betrayed Antonin Scalia’s Legacy , Slate (June 28, 2024, 4:36 PM), https://slate.com/news-and-politics/2024/06/supreme-court-opinions-antonin-scalia-betrayal.html (describing Loper Bright both as part of a “conservative counterrevolution” and as a “revolution” that betrays the legacy of Justice Antonin Scalia as a proponent of Chevron ).",99.21259842519686,matched
1,"The Supreme Court Review , 2025. q 2025 The University of Chicago. All rights reserved. Published by The University of Chicago Press. https://doi.org/10.1086/735545",footnote,body_text,© 2025 The University of Chicago. All rights reserved.,,100.0,matched
2,"insisted that the central ' grand narrative ' of administrative law has now become, for better or for worse, the narrative propounded by libertarian and originalist critics of the administrative state. 6",text,body_text,"On June 28, 2024, the Supreme Court decided Loper Bright Enterprises v. Raimondo and Relentless, Inc. v. Department of Commerce , 1 companion cases presenting the same question: whether Chevron, U.S.A., Inc. v. Natural Resources Defense Council, Inc. 2 should be overruled. The Court said “yes,” and did overrule Chevron . 3 A number of popular articles and legal commentators immediately called the decision “revolutionary” 4 or, in a variant, the culmination of a “conservative counterrevolution” 5 against the administrative state. Others insisted that the central “grand narrative” of administrative law has now become, for better or for worse, the narrative propounded by libertarian and originalist critics of the administrative state. 6",,99.5049504950495,matched
2,"My own immediate reaction, published the day the decision came down, was different and more skeptical: Loper Bright , it seemed to me, was in large part a relabeling of Chevron deference as delegated agency discretion, rather than a dramatic change in the law. 7 I will expand on that view here, update it in light of later developments, and put it in a larger frame, offering a more general thesis -if you like, a different ' grand narrative ' -about Loper Bright , and about the broader libertarian and originalist attempt to curtail the administrative state through expanded judicial review of agency action.",text,body_text,"My own immediate reaction, published the day the decision came down, was different and more skeptical: Loper Bright , it seemed to me, was in large part a relabeling of Chevron deference as delegated agency discretion, rather than a dramatic change in the law. 7 I will expand on that view here, update it in light of later developments, and put it in a larger frame, offering a more general thesis—if you like, a different “grand narrative”—about Loper Bright , and about the broader libertarian and originalist attempt to curtail the administrative state through expanded judicial review of agency action.",,99.33993399339934,matched
