page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,THE PRESIDENCY AFTER TRUMP v. UNITED STATES,section_header,body_text,"The decision in Trump v. United States was not well received. 4 A primary criticism has been that the Court’s ruling portends a “lawless presidency.” 5 This criticism, I will argue, rests on a misleading picture of how the criminal law operates inside the executive branch. Many factors other than the President’s vulnerability to criminal law inform executive branch compliance with criminal law. One can certainly imagine a bad-man President after Trump engaging in widespread lawless criminal behavior. But, unfortunately, the bad-man President had many tools to skirt the criminal law before Trump , to which its uncertain immunity ruling added relatively little.",,79.01234567901234,matched
1,"Two months after Special Counsel Jack Smith indicted then-former President Donald Trump for his efforts to alter the results of the 2020 presidential election, Trump ' s lawyers moved ' to dismiss the indictment . . . with prejudice, based on Presidential immunity ' for of /uniFB01 cial acts. 1 The district court denied the motion and the court of appeals quickly af /uniFB01 rmed in a decision that was widely described as obviously correct. 2 But the Supreme Court reversed, in an opinion written by",text,body_text,"Two months after Special Counsel Jack Smith indicted then-former President Donald Trump for his efforts to alter the results of the 2020 presidential election, Trump’s lawyers moved “to dismiss the indictment … with prejudice, based on Presidential immunity” for official acts. 1 The district court denied the motion and the court of appeals quickly affirmed in a decision that was widely described as obviously correct. 2 But the Supreme Court reversed, in an opinion written by Chief Justice Roberts. 3 The Court held that a former President is absolutely immune from post-presidency prosecution for actions that fall in the President’s exclusive constitutional authority, and at least presumptively immune for all other official presidential acts.",,97.14867617107943,matched
1,Jack Goldsmith is the Learned Hand Professor of Law at Harvard Law School.,footnote,footnote,,Jack Goldsmith is the Learned Hand Professor of Law at Harvard Law School.,100.0,matched
1,"Author ' s note : I thank Payvand Ahdout, William Baude, Robert Bauer, Matthew Gluck, John Harrison, Martin Lederman, Trevor Morrison, Saikrishna Prakash, Zachary Price, Robert Reinstein, Shalev Roisman, Thomas Schmidt, Adrian Vermeule, Edward Whelan, Alex Whiting, and University of Virginia workshop participants for comments, and Daniel Brickhill, Lev Cohen, Annabelle Hutchinson, Nicholas Nelson, Coy Ozias, Akhil Rajasekar, Mark Thomas, and Jeremiah Vroegop for research assistance. This Article draws in part on a Constitution Day Lecture delivered at the University of Michigan Law School on September 17, 2024.",footnote,footnote,,"Author’s note : I thank Payvand Ahdout, William Baude, Robert Bauer, Matthew Gluck, John Harrison, Martin Lederman, Trevor Morrison, Saikrishna Prakash, Zachary Price, Robert Reinstein, Shalev Roisman, Thomas Schmidt, Adrian Vermeule, Edward Whelan, Alex Whiting, and University of Virginia workshop participants for comments, and Daniel Brickhill, Lev Cohen, Annabelle Hutchinson, Nicholas Nelson, Coy Ozias, Akhil Rajasekar, Mark Thomas, and Jeremiah Vroegop for research assistance. This Article draws in part on a Constitution Day Lecture delivered at the University of Michigan Law School on September 17, 2024.",99.67479674796748,matched
1,"1 Motion to Dismiss Indictment Based on Presidential Immunity at 1, United States v. Trump, 704 F. Supp. 3d 196 (D.D.C. 2023) (No. 23-CR-00257), ECF No. 74.",footnote,footnote,,"1 Motion to Dismiss Indictment Based on Presidential Immunity at 1, United States v. Trump, 704 F. Supp. 3d 196 (D.D.C. 2023) (No. 23-CR-00257), ECF No. 74.",100.0,matched
1,"2 Trump , 704 F. Supp. 3d 196, aff ' d , 91 F.4th 1173 (D.C. Cir. 2024). For laudatory commentary, see, for example, Scott R. Anderson, Quinta Jurecic, Anna Bower, Natalie K. Orpett & Benjamin Wittes, Not So Immune: The D.C. Circuit ' s Forceful Rejection of Trump ' s Claim of Absolute Presidential Immunity , Lawfare (Feb. 6, 2024, 6:24 PM), https://www.lawfaremedia.org/article /not-so-immune-the-d.c.-circuit-s-forceful-rejection-of-trump-s-claim-of-absolute-presiden tial-immunity; George T. Conway III, An Airtight Ruling Against Trump , Atlantic (Feb. 6, 2024), https://www.theatlantic.com/ideas/archive/2024/02/dc-circuit-court-ruling-on-trump-im munity/677367; Dahlia Lithwick & Mark Joseph Stern, The Supreme Court Knows What It Must",footnote,footnote,,"2 Trump , 704 F. Supp. 3d 196, aff’d , 91 F.4th 1173 (D.C. Cir. 2024). For laudatory commentary, see, for example, Scott R. Anderson, Quinta Jurecic, Anna Bower, Natalie K. Orpett & Benjamin Wittes, Not So Immune: The D.C. Circuit’s Forceful Rejection of Trump’s Claim of Absolute Presidential Immunity , Lawfare (Feb. 6, 2024, 6:24 PM), https://www.lawfaremedia.org/article/not-so-immune-the-d.c.-circuit-s-forceful-rejection-of-trump-s-claim-of-absolute-presidential-immunity ; George T. Conway III, An Airtight Ruling Against Trump , Atlantic (Feb. 6, 2024), https://www.theatlantic.com/ideas/archive/2024/02/dc-circuit-court-ruling-on-trump-immunity/677367 ; Dahlia Lithwick & Mark Joseph Stern, The Supreme Court Knows What It Must Do with Trump’s Immunity Ploy , Slate (Feb. 6, 2024, 2:07 PM), https://slate.com/news-and-politics/2024/02/supreme-court-trump-immunity-john-roberts.html .",99.25625422582827,matched
1,q,text,footnote,,"2 Trump , 704 F. Supp. 3d 196, aff’d , 91 F.4th 1173 (D.C. Cir. 2024). For laudatory commentary, see, for example, Scott R. Anderson, Quinta Jurecic, Anna Bower, Natalie K. Orpett & Benjamin Wittes, Not So Immune: The D.C. Circuit’s Forceful Rejection of Trump’s Claim of Absolute Presidential Immunity , Lawfare (Feb. 6, 2024, 6:24 PM), https://www.lawfaremedia.org/article/not-so-immune-the-d.c.-circuit-s-forceful-rejection-of-trump-s-claim-of-absolute-presidential-immunity ; George T. Conway III, An Airtight Ruling Against Trump , Atlantic (Feb. 6, 2024), https://www.theatlantic.com/ideas/archive/2024/02/dc-circuit-court-ruling-on-trump-immunity/677367 ; Dahlia Lithwick & Mark Joseph Stern, The Supreme Court Knows What It Must Do with Trump’s Immunity Ploy , Slate (Feb. 6, 2024, 2:07 PM), https://slate.com/news-and-politics/2024/02/supreme-court-trump-immunity-john-roberts.html .",100.0,matched
1,2025 The University of Chicago. All rights reserved. Published by The University of Chicago,text,body_text,© 2025 The University of Chicago. All rights reserved.,,100.0,matched
1,Press. https://doi.org/10.1086/735878,text,text,,,54.054054054054056,unmatched
2,"Chief Justice Roberts. 3 The Court held that a former President is absolutely immune from post-presidency prosecution for actions that fall in the President ' s exclusive constitutional authority, and at least presumptively immune for all other of /uniFB01 cial presidential acts.",text,body_text,"Two months after Special Counsel Jack Smith indicted then-former President Donald Trump for his efforts to alter the results of the 2020 presidential election, Trump’s lawyers moved “to dismiss the indictment … with prejudice, based on Presidential immunity” for official acts. 1 The district court denied the motion and the court of appeals quickly affirmed in a decision that was widely described as obviously correct. 2 But the Supreme Court reversed, in an opinion written by Chief Justice Roberts. 3 The Court held that a former President is absolutely immune from post-presidency prosecution for actions that fall in the President’s exclusive constitutional authority, and at least presumptively immune for all other official presidential acts.",,97.8102189781022,matched
