page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,MICHAEL W. McCONNELL,section_header,footnote,,Michael W. McConnell is the Richard and Frances Mallery Professor and Director of the Constitutional Law Center at Stanford Law School and a Senior Fellow at the Hoover Institution.,100.0,matched
1,THE TRUMP DISQUALIFICATION CASE: THE HALLEY ' S COMET OF CONSTITUTIONAL LAW,section_header,body_text,"Prior to 2023, few Americans were aware of Section Three and almost no one—including constitutional law scholars—had given any serious thought to the possibility it could have modern application. 4 It was barely mentioned in the leading constitutional law casebooks. 5 The Biden Administration did not bring the case that would have made it relevant to the 2024 election. (That is, it did not charge former President Donald J. Trump with the crime of engaging in insurrection.) Then Section Three suddenly was discovered by two distinguished originalist scholars. 6 It blazed across the skies of courts and headlines, and it went to the Supreme Court, where two other important scholars declared it “perhaps one of the most important cases in American history.” 7 Then it disappeared from public attention as rapidly as it had appeared. Section Three was the Halley’s Comet of constitutional law.",,77.37226277372262,matched
1,"Section Three of the Fourteenth Amendment bars of /uniFB01 cials who ' engaged in ' an ' insurrection ' after taking an oath to support the Constitution of the United States from holding public of /uniFB01 ce. Enacted immediately after the end of the Civil War, Section Three was designed to prevent the leadership class of the Confederate states from reassuming power after those states were readmitted to the Union, but its language was not limited to that historical context. It reads, in full:",text,body_text,"Section Three of the Fourteenth Amendment bars officials who “engaged in” an “insurrection” after taking an oath to support the Constitution of the United States from holding public office. Enacted immediately after the end of the Civil War, Section Three was designed to prevent the leadership class of the Confederate states from reassuming power after those states were readmitted to the Union, but its language was not limited to that historical context. It reads, in full:",,95.3781512605042,matched
1,"No person shall be a Senator or Representative in Congress, or elector of President and Vice-President, or hold any of /uniFB01 ce, civil or military, under the United States, or under any State, who, having previously taken an oath, as a member of Congress, or as an of /uniFB01 cer of the United States, or as a member of any State legislature, or as an executive or judicial of /uniFB01 cer of any State, to support the Constitution of the United States, shall have engaged in insurrection or rebellion against the same, or given aid or comfort to the",text,body_text,"No person shall be a Senator or Representative in Congress, or elector of President and Vice-President, or hold any office, civil or military, under the United States, or under any State, who, having previously taken an oath, as a member of Congress, or as an officer of the United States, or as a member of any State legislature, or as an executive or judicial officer of any State, to support the Constitution of the United States, shall have engaged in insurrection or rebellion against the same, or given aid or comfort to the enemies thereof. But Congress may by a vote of two-thirds of each House, remove such disability. 1",,97.23247232472325,matched
1,Michael W. McConnell is the Richard and Frances Mallery Professor and Director of the Constitutional Law Center at Stanford Law School and a Senior Fellow at the Hoover Institution.,footnote,footnote,,Michael W. McConnell is the Richard and Frances Mallery Professor and Director of the Constitutional Law Center at Stanford Law School and a Senior Fellow at the Hoover Institution.,100.0,matched
1,"Author ' s note : I thank William Baude, Josh Blackman, Jud Campbell, Nathan Chapman, Derek Muller, Michael Stokes Paulsen, Richard Pildes, Seth Barrett Tillman, and Zachary Price for helpful comments on an earlier draft, and Charles Power, Collin Fredricks, and Thomas Archibald for able research assistance.",footnote,footnote,,"Author’s note : I thank William Baude, Josh Blackman, Jud Campbell, Nathan Chapman, Derek Muller, Michael Stokes Paulsen, Richard Pildes, Seth Barrett Tillman, and Zachary Price for helpful comments on an earlier draft, and Charles Power, Collin Fredricks, and Thomas Archibald for able research assistance.",99.34640522875817,matched
2,"enemies thereof. But Congress may by a vote of two-thirds of each House, remove such disability. 1",text,body_text,"No person shall be a Senator or Representative in Congress, or elector of President and Vice-President, or hold any office, civil or military, under the United States, or under any State, who, having previously taken an oath, as a member of Congress, or as an officer of the United States, or as a member of any State legislature, or as an executive or judicial officer of any State, to support the Constitution of the United States, shall have engaged in insurrection or rebellion against the same, or given aid or comfort to the enemies thereof. But Congress may by a vote of two-thirds of each House, remove such disability. 1",,100.0,matched
2,"The disquali /uniFB01 cation provision was sporadically enforced for about two years, after which Congress in 1872, by a two-thirds vote, passed an ' Amnesty Act ' lifting the disquali /uniFB01 cation for most violators. 2 No less a /uniFB01 gure than Confederate Vice President Alexander Stephens was admitted to a seat in the House of Representatives in 1873, to the acclaim of his fellow Democrats. 3",text,text,,,54.16666666666667,unmatched
2,"Prior to 2023, few Americans were aware of Section Three and almost no one -including constitutional law scholars -had given any serious thought to the possibility it could have modern application. 4 It was barely mentioned in the leading constitutional law casebooks. 5 The Biden Administration did not bring the case that would have made it relevant to the 2024 election. (That is, it did not charge former President Donald J. Trump with the crime of engaging in insurrection.) Then Section Three suddenly was discovered by two distinguished originalist scholars. 6 It blazed across the skies of courts and headlines, and it went to the Supreme Court, where two other important scholars declared it ' perhaps one of the most important cases in American history. ' 7 Then it disappeared from public attention as rapidly as it had appeared. Section Three was the Halley ' s Comet of constitutional law.",text,body_text,"Prior to 2023, few Americans were aware of Section Three and almost no one—including constitutional law scholars—had given any serious thought to the possibility it could have modern application. 4 It was barely mentioned in the leading constitutional law casebooks. 5 The Biden Administration did not bring the case that would have made it relevant to the 2024 election. (That is, it did not charge former President Donald J. Trump with the crime of engaging in insurrection.) Then Section Three suddenly was discovered by two distinguished originalist scholars. 6 It blazed across the skies of courts and headlines, and it went to the Supreme Court, where two other important scholars declared it “perhaps one of the most important cases in American history.” 7 Then it disappeared from public attention as rapidly as it had appeared. Section Three was the Halley’s Comet of constitutional law.",,99.32960893854748,matched
2,"1 U.S. Const. amend. XIV, § 3.",footnote,footnote,,"1 U.S. Const. amend. XIV, § 3.",100.0,matched
2,"2 Act of May 22, 1872, ch. 193, 17 Stat. 142.",footnote,footnote,,"2 Act of May 22, 1872, ch. 193, 17 Stat. 142.",100.0,matched
2,"3 2 James G. Blaine, Twenty Years of Congress: From Lincoln to Gar /uniFB01 eld 546 -47 ( Norwich, Henry Bill Publ ' g Co. 1886).",footnote,footnote,,"3 2 James G. Blaine, Twenty Years of Congress: From Lincoln to Garfield 546–47 (Norwich, Henry Bill Publ’g Co. 1886).",90.43478260869566,matched
2,"4 The only full-length constitutional analyses of the issue before 2023 were Myles S. Lynch, Disloyalty & Disquali /uniFB01 cation: Reconstructing Section 3 of the Fourteenth Amendment , 30 Wm. & Mary Bill Rts. J. 153 (2021); and Gerard N. Magliocca, Amnesty and Section Three of the Fourteenth Amendment , 36 Const. Comment. 87 (2021). This Author covered the topic for half a day in his Stanford Law School course entitled Reconstruction: Adding the Thirteenth, Fourteenth, and Fifteenth Amendments ( Winter 2021 & Spring 2023).",footnote,footnote,,"4 The only full-length constitutional analyses of the issue before 2023 were Myles S. Lynch, Disloyalty & Disqualification: Reconstructing Section 3 of the Fourteenth Amendment , 30 Wm. & Mary Bill Rts. J. 153 (2021); and Gerard N. Magliocca, Amnesty and Section Three of the Fourteenth Amendment , 36 Const. Comment. 87 (2021). This Author covered the topic for half a day in his Stanford Law School course entitled Reconstruction: Adding the Thirteenth, Fourteenth, and Fifteenth Amendments (Winter 2021 & Spring 2023).",98.07321772639692,matched
2,"5 Two casebooks contained brief discussions of Section Three, including the possibility of application to former President Trump, in their post-2020 editions. Michael Stokes Paulsen, Michael W. McConnell, Samuel L. Bray & William Baude, The Constitution of the United States 1380 -81 (5th ed. 2023); Sanford Levinson, Jack M. Balkin, Akhil Reed Amar, Reva B. Siegel & Cristina Rodríguez, Processes of Constitutional Decisionmaking: Cases and Materials 366 -67 (8th ed. 2022).",footnote,footnote,,"5 Two casebooks contained brief discussions of Section Three, including the possibility of application to former President Trump, in their post-2020 editions. Michael Stokes Paulsen, Michael W. McConnell, Samuel L. Bray & William Baude, The Constitution of the United States 1380–81 (5th ed. 2023); Sanford Levinson, Jack M. Balkin, Akhil Reed Amar, Reva B. Siegel & Cristina Rodríguez, Processes of Constitutional Decisionmaking: Cases and Materials 366–67 (8th ed. 2022).",99.57537154989384,matched
2,"6 William Baude of the University of Chicago Law School and Michael Stokes Paulsen of the University of St. Thomas School of Law. Both are close personal friends of the Author of this Article. See William Baude & Michael Stokes Paulsen, The Sweep and Force of Section Three , 172 U. Pa. L. Rev. 605 (2024).",footnote,footnote,,"6 William Baude of the University of Chicago Law School and Michael Stokes Paulsen of the University of St. Thomas School of Law. Both are close personal friends of the Author of this Article. See William Baude & Michael Stokes Paulsen, The Sweep and Force of Section Three , 172 U. Pa. L. Rev. 605 (2024).",100.0,matched
2,"7 Brief of Akhil Reed Amar and Vikram David Amar as Amici Curiae in Support of Neither Party at 1, Trump v. Anderson, 144 S. Ct. 662 (2024) (No. 23-719).",footnote,footnote,,"7 Brief of Akhil Reed Amar and Vikram David Amar as Amici Curiae in Support of Neither Party at 1, Trump v. Anderson, 144 S. Ct. 662 (2024) (No. 23-719).",100.0,matched
3,"Superstition held that Halley ' s Comet portended the defeat and destruction of a prominent leader, as happened to Harold Godwinson at the Battle of Hastings a few months after the comet appeared over England in 1066. Fingers were crossed for a repeat from 2023 to 2024, with former President Trump stepping in for the role of Harold. Supporters of Mr. Trump had forcibly entered the Capitol on January 6, 2021, threatened violence against Vice President Mike Pence and others, and delayed the counting of the electoral votes for more than /uniFB01 ve hours, spurred on by Mr. Trump ' s false claims that the election had been stolen. 8 Mr. Trump was not physically present at the Capitol incursion, but he had egged on the rioters at a rally nearby, with perfunctory admonitions to remain peaceful. Could it be said that the three-hour lawless disruption of congressional proceedings was an ' insurrection ' and that Mr. Trump ' engaged in ' it? If so, Mr. Trump ' s detractors thought, he could be stricken from the ballot and the danger of a second Trump presidency eliminated without need for consulting the voters.",text,body_text,"Superstition held that Halley’s Comet portended the defeat and destruction of a prominent leader, as happened to Harold Godwinson at the Battle of Hastings a few months after the comet appeared over England in 1066. Fingers were crossed for a repeat from 2023 to 2024, with former President Trump stepping in for the role of Harold. Supporters of Mr. Trump had forcibly entered the Capitol on January 6, 2021, threatened violence against Vice President Mike Pence and others, and delayed the counting of the electoral votes for more than five hours, spurred on by Mr. Trump’s false claims that the election had been stolen. 8 Mr. Trump was not physically present at the Capitol incursion, but he had egged on the rioters at a rally nearby, with perfunctory admonitions to remain peaceful. Could it be said that the three-hour lawless disruption of congressional proceedings was an “insurrection” and that Mr. Trump “engaged in” it? If so, Mr. Trump’s detractors thought, he could be stricken from the ballot and the danger of a second Trump presidency eliminated without need for consulting the voters.",,98.36512261580381,matched
3,"Despite the novelty of the argument, many in /uniFB02 uential people were convinced that indeed Mr. Trump was ineligible to be on the ballot. A 4-3 majority of the all-Democrat-appointed Colorado Supreme Court held that Section Three disquali /uniFB01 ed Mr. Trump from the ballot. 9 The Secretary of State of Maine, also a Democrat, did the same. 10 The case hurtled toward the Supreme Court with remarkable speed. The Colorado Supreme Court issued its decision on December 19, 2023. Mr. Trump ' s lawyers petitioned for certiorari on January 3, and the Court granted the petition two days later. Oral argument was held",text,body_text,"Despite the novelty of the argument, many influential people were convinced that indeed Mr. Trump was ineligible to be on the ballot. A 4-3 majority of the all-Democrat-appointed Colorado Supreme Court held that Section Three disqualified Mr. Trump from the ballot. 9 The Secretary of State of Maine, also a Democrat, did the same. 10 The case hurtled toward the Supreme Court with remarkable speed. The Colorado Supreme Court issued its decision on December 19, 2023. Mr. Trump’s lawyers petitioned for certiorari on January 3, and the Court granted the petition two days later. Oral argument was held on February 8, and the decision came down less than a month later, on March 4—not coincidentally the day before the Colorado primary.",,98.19967266775778,matched
3,"8 Melissa Quinn et al., Pence Announces Biden ' s Victory After Congress Completes Electoral Count , CBS News ( Jan. 7, 2021, 7:05 AM EST), https://www.cbsnews.com/live-updates/electoral -college-vote-count-biden-victory.",footnote,footnote,,"8 Melissa Quinn et al., Pence Announces Biden’s Victory After Congress Completes Electoral Count , CBS News (Jan. 7, 2021, 7:05 AM EST), https://www.cbsnews.com/live-updates/electoral-college-vote-count-biden-victory .",98.14814814814815,matched
3,"9 Anderson v. Griswold, 543 P.3d 283 (Colo. 2023). Interestingly, the split on the Colorado Supreme Court was not based on political party. All were appointed by Democratic governors. Nicholas Riccardi, Colorado Supreme Court Declares Donald Trump Is Ineligible for the White House , Associated Press (Dec. 19, 2023, 9:56 PM ET), https://apnews.com/article/trump-insurrec tion-14th-amendment-2024-colorado-d16dd8f354eeaf450558378c65fd79a2. The Justices who had gone to elite out-of-state law schools voted to disqualify Mr. Trump. The dissenters were those who went to law school in-state. Kaelan Deese, Justices Who Removed Trump from Colorado Ballot Attended Ivy League Law Schools , Wash. Exam ' r (Dec. 20, 2023, 5:38 PM), https://www .washingtonexaminer.com/news/2644116/justices-who-removed-trump-from-colorado-ballot -attended-ivy-league-law-schools.",footnote,footnote,,"9 Anderson v. Griswold, 543 P.3d 283 (Colo. 2023). Interestingly, the split on the Colorado Supreme Court was not based on political party. All were appointed by Democratic governors. Nicholas Riccardi, Colorado Supreme Court Declares Donald Trump Is Ineligible for the White House , Associated Press (Dec. 19, 2023, 9:56 PM ET), https://apnews.com/article/trump-insurrection-14th-amendment-2024-colorado-d16dd8f354eeaf450558378c65fd79a2 . The Justices who had gone to elite out-of-state law schools voted to disqualify Mr. Trump. The dissenters were those who went to law school in-state. Kaelan Deese, Justices Who Removed Trump from Colorado Ballot Attended Ivy League Law Schools , Wash. Exam’r (Dec. 20, 2023, 5:38 PM), https://www.washingtonexaminer.com/news/2644116/justices-who-removed-trump-from-colorado-ballot-attended-ivy-league-law-schools .",99.4131455399061,matched
3,"10 Jordan Freiman, Katrina Kaufman & Grace Kazarian, Maine Secretary of State Disquali /uniFB01 es Trump from Primary Ballot , CBS News (Dec. 29, 2023, 3:32 PM EST), https://www.cbsnews .com/news/trump-maine-primary-ballot-disquali /uniFB01 ed-secretary-of-state-shenna-bellows.",footnote,footnote,,"10 Jordan Freiman, Katrina Kaufman & Grace Kazarian, Maine Secretary of State Disqualifies Trump from Primary Ballot , CBS News (Dec. 29, 2023, 3:32 PM EST), https://www.cbsnews.com/news/trump-maine-primary-ballot-disqualified-secretary-of-state-shenna-bellows .",92.6923076923077,matched
4,"on February 8, and the decision came down less than a month later, on March 4 -not coincidentally the day before the Colorado primary.",text,body_text,"Despite the novelty of the argument, many influential people were convinced that indeed Mr. Trump was ineligible to be on the ballot. A 4-3 majority of the all-Democrat-appointed Colorado Supreme Court held that Section Three disqualified Mr. Trump from the ballot. 9 The Secretary of State of Maine, also a Democrat, did the same. 10 The case hurtled toward the Supreme Court with remarkable speed. The Colorado Supreme Court issued its decision on December 19, 2023. Mr. Trump’s lawyers petitioned for certiorari on January 3, and the Court granted the petition two days later. Oral argument was held on February 8, and the decision came down less than a month later, on March 4—not coincidentally the day before the Colorado primary.",,99.62264150943396,matched
4,"Once in the Supreme Court, the case for disqualifying the alleged insurrectionist had lost its dazzle. Not a single Justice -whether appointed by Republican or by Democratic Presidents -accepted the argument that Section Three kept the former President off the ballot. In an unsigned per curiam opinion joined by /uniFB01 ve Justices, accompanied by a concurrence by Justice Barrett and another concurrence by Justices Sotomayor, Kagan, and Jackson, the Court reversed the Colorado Supreme Court and held that states have no authority to enforce Section Three with respect to presidential candidates without empowerment by Congress, which has not been granted. 11 As a practical matter, because states control presidential electoral machinery, that rendered the effort to bar Mr. Trump from running for President defunct. Section Three then disappeared from the news as rapidly as it had appeared. 12 Theidea that Mr. Trump is constitutionally disquali /uniFB01 ed dropped even from his opponents ' campaign oratory. Like Halley ' s Comet, having streaked across the sky, the theory disappeared from sight and mind, leaving no trace on American politics.",text,body_text,"Once in the Supreme Court, the case for disqualifying the alleged insurrectionist had lost its dazzle. Not a single Justice—whether appointed by Republican or by Democratic Presidents—accepted the argument that Section Three kept the former President off the ballot. In an unsigned per curiam opinion joined by five Justices, accompanied by a concurrence by Justice Barrett and another concurrence by Justices Sotomayor, Kagan, and Jackson, the Court reversed the Colorado Supreme Court and held that states have no authority to enforce Section Three with respect to presidential candidates without empowerment by Congress, which has not been granted. 11 As a practical matter, because states control presidential electoral machinery, that rendered the effort to bar Mr. Trump from running for President defunct. Section Three then disappeared from the news as rapidly as it had appeared. 12 The idea that Mr. Trump is constitutionally disqualified dropped even from his opponents’ campaign oratory. Like Halley’s Comet, having streaked across the sky, the theory disappeared from sight and mind, leaving no trace on American politics.",,98.05996472663139,matched
4,"That does not deprive the case of interest for students of constitutional law -not least as a case study in how the nine Justices of the Supreme Court respond when they are forced to decide a case of intense political consequence, with nothing but enigmatic text and no precedent to guide them. The case poses a host of unanswered or poorly answered questions in an intriguing corner of constitutional law. Again there is a similarity to the eponymous Comet in the centuries before Halley ' s scienti /uniFB01 c work: The immediate effect of the decision is clear for all to see, but its origins, its explanation, and its future are mostly a mystery.",text,body_text,"That does not deprive the case of interest for students of constitutional law—not least as a case study in how the nine Justices of the Supreme Court respond when they are forced to decide a case of intense political consequence, with nothing but enigmatic text and no precedent to guide them. The case poses a host of unanswered or poorly answered questions in an intriguing corner of constitutional law. Again there is a similarity to the eponymous Comet in the centuries before Halley’s scientific work: The immediate effect of the decision is clear for all to see, but its origins, its explanation, and its future are mostly a mystery.",,98.11912225705329,matched
4,"I. Unanimity, Almost",section_header,body_text,"For the Court to achieve unanimity in a case like Trump v. Anderson 14 —a case so riven by partisan animosity—was a considerable achievement. Public confidence in the integrity of the electoral process matters a great deal, and if all nine Justices, despite their different partisan appointments and presumed leanings, come to the same conclusion, this would demonstrate to the public that the result was not based on their political precommitments. Unanimity here would send the same signal as unanimity did in Brown v. Board 15 or United States v. Nixon 16 —but was so grievously lacking in Bush v. Gore . 17 That these nine Justices (almost) did so in this wrenching case deserves more commendation than they received.",,70.0,matched
