page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,Improving California's Prison,text,footnote,,"[6]. SeeGabriel Petek, Legis. Analyst’s Off., Cal. Dep’t of Corr. & Rehab., Improving California’s Prison Inmate Classification System(2019),https://lao.ca.gov/reports/2019/4023/inmate-classification-050219.pdf[https://perma.cc/M58W-78TA]. The California Department of Corrections and Rehabilitation (CDCR) operates four security levels of housing for incarcerated people, and describes the levels as follows:",100.0,matched
1,Improving California's Prison Inmate Classification System,section_header,footnote,,"[6]. SeeGabriel Petek, Legis. Analyst’s Off., Cal. Dep’t of Corr. & Rehab., Improving California’s Prison Inmate Classification System(2019),https://lao.ca.gov/reports/2019/4023/inmate-classification-050219.pdf[https://perma.cc/M58W-78TA]. The California Department of Corrections and Rehabilitation (CDCR) operates four security levels of housing for incarcerated people, and describes the levels as follows:",100.0,matched
1,GABRIEL PETEK LEGISLATIVE ANALYST MAY 2019,text,footnote,,"[6]. SeeGabriel Petek, Legis. Analyst’s Off., Cal. Dep’t of Corr. & Rehab., Improving California’s Prison Inmate Classification System(2019),https://lao.ca.gov/reports/2019/4023/inmate-classification-050219.pdf[https://perma.cc/M58W-78TA]. The California Department of Corrections and Rehabilitation (CDCR) operates four security levels of housing for incarcerated people, and describes the levels as follows:",71.60493827160495,matched
2,Cover photo provided courtesy of the California Department of Corrections and Rehabilitation.,text,body_text,Id.,,100.0,matched
3,Executive Summary,section_header,section_header,,,64.70588235294117,unmatched
3,"Overview of California's Inmate Classification System. The California Department of Corrections and Rehabilitation (CDCR) uses an inmate classification system to assign inmates to different housing security levels and varying degrees of supervision during their daily activities. Assignment to a housing security level is generally based on inmates' assessed risk of misconduct-referred to as their 'housing score.' The performance of the inmate classification system has implications for the safety of staff, inmates, and the public; prison operations and cost; the size of the inmate population; and inmates' daily experiences in prison, including their access to rehabilitation opportunities.",text,text,,,57.14285714285714,unmatched
3,"Assessment of Inmate Classification System. In reviewing CDCR's inmate classification system, we identified several issues that merit legislative consideration. Specifically we found the following:",text,body_text,Id.,,100.0,matched
3,"Housing Score Not Sufficiently Aligned With Departmental Goals. We find that CDCR may be assigning unnecessary security to inmates who are prone to engage in minor misconduct, but not in serious misconduct. This approach is inconsistent with the department's goal to avoid placing inmates in more secure or restrictive settings than necessary.",list_item,body_text,Id.,,100.0,matched
3,"Accuracy of Housing Score Could Be Limited. We identified several factors that call into question the accuracy of CDCR's housing score methodology. Specifically, we found that: (1) CDCR has modified the methodology without reassessing its accuracy, (2) several changes-such as to the demographics of the inmate population-could have caused its accuracy to deteriorate since it was first established, and (3) there is some evidence that the methodology underweights age. We also found that the methodology for recalculating inmates' housing scores annually has never been evaluated.",list_item,body_text,Id.,,100.0,matched
3,"Need for Some Overrides of Housing Score Is Unclear. Under certain circumstances, CDCR staff can override an inmate's housing score and house the inmate at a security level different than otherwise called for under the department's methodology. However, given that three of the factors for which staff can override a housing score-inmates' age, time to serve, and behavior-are already included in the housing score methodology, it is unclear what additional benefits, if any, these particular overrides provide.",list_item,body_text,Id.,,100.0,matched
3,"Access to Lowest Security Settings May Be Overly Restricted. CDCR currently maintains policies that exclude certain inmates from the lowest security housing and supervision placements. To the extent that these policies cause certain inmates to be placed in unnecessarily restrictive environments, they unnecessarily create state costs and operational challenges.",list_item,list_item,,,58.33333333333333,unmatched
3,"LAO Recommendations. In order to address the above concerns, we recommend the Legislature take the following steps to improve the inmate classification process:",text,text,,,57.14285714285714,unmatched
3,Direct CDCR to Develop New Method for Assignment to Housing Security Level. We recommend CDCR contract with independent researchers to develop a new methodology,list_item,list_item,,,66.66666666666667,unmatched
4,for assigning inmates to a housing level when they arrive in prison and annually thereafter. We find that a more effective methodology could reduce prison violence and other misconduct while minimizing placement of inmates in unnecessarily restrictive environments that can make them more prone to crime in the long run.,text,body_text,Id.at 4.,,71.42857142857143,matched
4,"Consider Options to Expand Access to Lowest Security Settings. We recommend that the Legislature consider directing CDCR to create processes for allowing low-risk sex offenders, inmates with more than five years left to serve, and inmates wanted by another law enforcement agency on minor charges into the lowest security settings. Such changes could alleviate existing operational challenges and reduce state costs-potentially in the tens of millions of dollars annually-without jeopardizing prison security or public safety.",list_item,body_text,Id.,,100.0,matched
5,INTRODUCTION,section_header,body_text,Insurgent knowledge is both a form of knowledge production including political thought and collective organizing for liberation and survival that actively cultivates the transformation of oppressive conditions and a direct relationship to collective movements driven to transform those conditions.[2],,75.0,matched
5,"Maintaining a safe environment for inmates and staff, as well as preventing inmate escapes, are fundamental aspects of the public safety mission of the California Department of Corrections and Rehabilitation (CDCR). The department uses an inmate classification system as a key tool to pursue this mission. The inmate classification system essentially assigns inmates to housing and varying degrees of security based on their assessed risk of misconduct and other factors, such as escape risk. Accordingly, the classification system significantly influences how CDCR deploys scarce housing space and custody staffing and has important",text,text,,,58.33333333333333,unmatched
5,BACKGROUND,section_header,section_header,,,66.66666666666667,unmatched
5,PURPOSE OF INMATE CLASSIFICATION,section_header,footnote,,"[6]. SeeGabriel Petek, Legis. Analyst’s Off., Cal. Dep’t of Corr. & Rehab., Improving California’s Prison Inmate Classification System(2019),https://lao.ca.gov/reports/2019/4023/inmate-classification-050219.pdf[https://perma.cc/M58W-78TA]. The California Department of Corrections and Rehabilitation (CDCR) operates four security levels of housing for incarcerated people, and describes the levels as follows:",81.25,matched
5,"Prevent Inmate Escape and Misconduct. One of the primary challenges facing prison systems is preventing escape and misconduct, which can range from crimes (such as murder, assault, and drug trafficking) to more minor violations of prison rules (such as misuse of food or unexcused absence from a work assignment). Inmate classification systems are commonly employed prison management tools that allow prison officials to allocate security resources according to inmates' likelihood of escape or misconduct. These systems typically involve procedures to identify inmates with a high incentive for escape or risk factors that make them statistically more likely to engage in misconduct. This allows prison officials to place such inmates in more secure environments.",text,body_text,Id.,,100.0,matched
5,"It is important to place inmates in the appropriate security setting for several reasons. On the one hand, placing inmates in a setting with insufficient security could jeopardize the safety of staff, other inmates, and the public. On the other hand, placing inmates in an overly restrictive setting can create other significant problems. For example, it can create a long-term public safety risk by making implications for state costs. Moreover, because the system determines where and how inmates are housed and supervised, it significantly affects the daily experiences of individual inmates. In addition, because housing and supervision placements can affect inmates' abilities to earn credits that reduce their prison terms, the classification system can affect how long some inmates ultimately spend in prison. In this report, we (1) provide background information on CDCR's inmate classification system, (2) assess the current system, and (3) recommend steps to improve it.",text,body_text,Id.,,100.0,matched
5,"inmates more prone to crime through the influence of more criminally active peers. We also note that inmates placed in more restrictive settings may have less access to rehabilitative programming than other inmates. In addition, research has found that placing inmates in overly restrictive settings can exacerbate mental illness. Moreover, providing a higher level of security than is warranted results in an inefficient use of limited resources.",text,body_text,Id.,,100.0,matched
5,"California's Current Classification System Established Nearly 20 Years Ago. California was the first state in the nation to use a standardized inmate classification system based on objective criteria. This system was first evaluated in the 1980s. It subsequently underwent a significant overhaul and evaluation in the early 2000s, which formed the basis of the system that is still in place today. The stated goals of CDCR's system include (1) uniformly placing inmates in the lowest security level necessary to ensure the safety of staff, inmates, and the public; and (2) generally basing placements on objective information and criteria. In establishing the inmate classification system, the department also sought to maintain a database for research and evaluation of the system.",text,text,,,57.14285714285714,unmatched
6,HOW ARE INMATES CLASSIFIED?,section_header,section_header,,,69.23076923076923,unmatched
6,"CDCR's inmate classification system differentiates inmates in two primary ways. Specifically, the system assigns each inmate a (1) housing security level and (2) custody designation.",text,text,,,57.14285714285714,unmatched
6,"Housing Security Level. Housing security level generally determines the type of facility where inmates are housed. Inmates that the system determines have a higher risk of misconduct or escape are generally housed in higher security level facilities that have more security features, such as armed guard coverage or an electric fence.",text,text,,,57.14285714285714,unmatched
6,"Custody Designation. Custody designation determines where in the prison inmates may go during the day and the level of supervision they must be under when they are there. For example, inmates assigned to the lowest custody designation may work off prison grounds with minimal supervision by CDCR correctional officers. In contrast, inmates with the highest custody designation can only work within the building where they are housed and must be under the direct physical control of correctional officers at all times. Custody designation also affects inmates' eligibility to be housed in certain facilities. For example, based on the combination of their housing level, custody designation, and other criteria, some inmates are eligible for placement in specialized housing, such as conservation camps (one of the lowest security placements).",text,text,,,57.14285714285714,unmatched
6,"Below, we provide greater detail on how the inmate classification system is used to assign inmates to a housing security level, a custody designation, and specialized housing.",text,body_text,Id.,,100.0,matched
6,Assignment to a Housing Security Level,section_header,section_header,,,68.42105263157895,unmatched
6,CDCR Operates Four Security Levels of,section_header,footnote,,"[6]. SeeGabriel Petek, Legis. Analyst’s Off., Cal. Dep’t of Corr. & Rehab., Improving California’s Prison Inmate Classification System(2019),https://lao.ca.gov/reports/2019/4023/inmate-classification-050219.pdf[https://perma.cc/M58W-78TA]. The California Department of Corrections and Rehabilitation (CDCR) operates four security levels of housing for incarcerated people, and describes the levels as follows:",97.2972972972973,matched
6,"Inmate Housing. CDCR categorizes its facilities that house male inmates into security levels ranging from Level I (lowest security) to Level IV (highest security). (Facilities that house female inmates are not classified into different security levels as female facilities generally have similar levels of security.) Figure 1 summarizes the security requirements for each of the four security levels. As shown in the figure, inmates housed in Level I facilities are subject to the least amount of security and are generally housed in open dormitories (rather than cells) that are not required to have perimeter security-meaning some may be only surrounded by a razor wire fence or have no fence at all.",text,body_text,CDCR categorizes its facilities that house male inmates into security levels ranging from Level I (lowest security) to Level IV (highest security). (Facilities that house female inmates are not classified into different security levels as female facilities generally have similar levels of security.) . . . [I]nmates housed in Level I facilities are subject to the least amount of security and are generally housed in open dormitories (rather than cells) that are not required to have perimeter security—meaning some may be only surrounded by a razor wire fence or have no fence at all.,,82.9059829059829,matched
6,"Inmates housed in Level II facilities generally also live in dormitories, though unlike Level I facilities, Level II facilities are located within the main security perimeter of the prison-meaning behind an electric fence or wall with guard towers. Inmates housed in Level III and IV facilities live in cells within the main security perimeter of the prison. Level IV facilities also often contain additional security features, such as a higher level of armed guard coverage and layouts that provide officers greater visibility of all cells.",text,body_text,Id.,,100.0,matched
6,"We note that, CDCR maintains other housing units that are not part of its four-level security ranking. For example, restricted housing unitsunits which can be used to temporarily house inmates as punishment for a serious rule violation or who constitute a particular threat to prison security-and reception centers-which house inmates when they first arrive in CDCR custody and have not been fully classified-are not designated as one of the four security levels.",text,text,,,61.53846153846154,unmatched
7,"Inmates Assigned Housing Score Based on Their Risk of Misconduct. When inmates arrive at a reception center, they receive a risk assessment in which they are assigned points totaling from 0 to 999 based on six factors that are statistically associated with in-prison misconduct. These factors are (1) age at first arrest, (2) age at time of assessment, (3) term length, (4) gang membership, (5) number of prior incarcerations, and (6) behavior during prior incarcerations. The points assigned to each factor are summed to calculate a total housing score. Inmates with higher scores are considered to be more likely to engage in misconduct. Figure 2 illustrates how the housing score is calculated for two different inmates.",text,body_text,Id.,,100.0,matched
7,Inmates' housing scores are generally recalculated annually. Points are subtracted if,text,text,,,66.66666666666667,unmatched
7,Figure 2,caption,body_text,"address legal complaints raised by prisoners unless the prisoner first completes the administrative appeal process. In other words, a prisoner must ‘exhaust administrative remedies’ before asking a court to step in. TheCDCR’s policy is that all appeals (including appeals that are rejected or cancelled) must be presented up through the third level of review before administrative remedies are deemed to be exhausted. Also, remedies will not be considered exhausted as to any new issue, information, or person that was not included in the original appeal. If you are a prisoner or parolee, you usually must present an administrative appeal through the third (final) level before filing a state court petition for a writ of habeas corpus regarding a prison or parole conditions issue. A court may allow you to file a habeas petition without first completing the administrative appeal process in some special circumstances; for example, if the action requested cannot be granted via an administrative appeal, if it is clear under establishedCDCRpolicy that an appeal will not be granted, or if there is some emergency such that failure of the court to act immediately could result in great harm.",,75.0,matched
7,Housing Score Is Calculated Based on Factors in Inmates' Backgrounds,section_header,section_header,,,63.23529411764706,unmatched
7,"inmates avoid serious rule violations, perform well in work or school, or achieve placement in the lowest custody designation since their housing score was last calculated. For example, if an inmate remains free of serious disciplinary issues for six months, two points are subtracted from his or her score. Conversely, points are added to inmates' housing scores if they have engaged in certain rule violations since their housing score was last calculated. For example, if an inmate commits a battery on an inmate, four points are added to his or her score.",text,body_text,Id.,,100.0,matched
7,Current Housing Score Methodology Established Nearly 20 Years Ago. The underlying basis of the department's current methodology for calculating inmates' housing scores when they first arrive in prison was established in the early,text,text,,,57.14285714285714,unmatched
8,"2000s by researchers at the University of California, Los Angeles (UCLA). Specifically, the researchers removed certain factors from the previous methodology that were not found to be statistically associated with misconduct (such as marital status and military service) and added certain factors that were associated with misconduct (such as gang affiliation and mental illness). They then randomly assigned inmates to be housed based on either the revised or previous methodology. After completing an evaluation of the revised methodology, the UCLA researchers found it to be more effective in predicting misconduct than the previous methodology and it was subsequently implemented for all inmates beginning in 2003. (We note that CDCR later removed mental illness from the methodology in response to a lawsuit.)",text,text,,,66.66666666666667,unmatched
8,"Housing Security Level Is Generally Determined by Score, Unless Score Is Overridden. As shown in Figure 3 , CDCR has established certain scores-or 'cut points'-that divide the range of inmate housing scores into four groups, each corresponding with a different housing security level. For example, an inmate with a housing score of 19 through 35 is typically",text,body_text,Id.,,100.0,matched
8,Figure 3,section_header,body_text,"address legal complaints raised by prisoners unless the prisoner first completes the administrative appeal process. In other words, a prisoner must ‘exhaust administrative remedies’ before asking a court to step in. TheCDCR’s policy is that all appeals (including appeals that are rejected or cancelled) must be presented up through the third level of review before administrative remedies are deemed to be exhausted. Also, remedies will not be considered exhausted as to any new issue, information, or person that was not included in the original appeal. If you are a prisoner or parolee, you usually must present an administrative appeal through the third (final) level before filing a state court petition for a writ of habeas corpus regarding a prison or parole conditions issue. A court may allow you to file a habeas petition without first completing the administrative appeal process in some special circumstances; for example, if the action requested cannot be granted via an administrative appeal, if it is clear under establishedCDCRpolicy that an appeal will not be granted, or if there is some emergency such that failure of the court to act immediately could result in great harm.",,75.0,matched
8,Housing Security Level Cut Points,section_header,section_header,,,66.66666666666667,unmatched
8,Housing Score,text,footnote,,"[6]. SeeGabriel Petek, Legis. Analyst’s Off., Cal. Dep’t of Corr. & Rehab., Improving California’s Prison Inmate Classification System(2019),https://lao.ca.gov/reports/2019/4023/inmate-classification-050219.pdf[https://perma.cc/M58W-78TA]. The California Department of Corrections and Rehabilitation (CDCR) operates four security levels of housing for incarcerated people, and describes the levels as follows:",76.92307692307692,matched
8,Housing Security Level,text,body_text,CDCR categorizes its facilities that house male inmates into security levels ranging from Level I (lowest security) to Level IV (highest security). (Facilities that house female inmates are not classified into different security levels as female facilities generally have similar levels of security.) . . . [I]nmates housed in Level I facilities are subject to the least amount of security and are generally housed in open dormitories (rather than cells) that are not required to have perimeter security—meaning some may be only surrounded by a razor wire fence or have no fence at all.,,81.81818181818181,matched
8,Under 19,text,body_text,"I was transferred to theCMFfrom Folsom State Prison in 1985. I spent most of my time lifting weights and had a job as a clerk for the Security and Investigations Unit, which investigates prison felonies including assaults and homicides. In 1989, I assisted a prisoner, Dae Won Park, who was born and raised in Korea and could not write fluently in English, to document the mistreatment of handicapped patients in the Physical Therapy Clinic atCMF. Amputees and other patients were routinely denied physical therapy by indolent staff. In retaliation for his complaint exposing abuse of handicapped prisoners, Park was transferred, and I was placed in Willis Unit, otherwise known as administrative segregation and commonly referred to as “the hole,” and falsely charged with a murder-conspiracy. While in Willis Unit, Anthony P. Kane, theCMFInvestigative Services Lieutenant who was later promoted to Warden and Commissioner on the Board of Parole Hearings, placed me in a disciplinary detention cell. This area of administrative segregation is reserved for punishment and limited confinement to a ten-day maximum stay under Title 15.[9]I was held there for fifty-one consecutive days while also being deprived of yard time, showers, my personal property, and a mattress. Fortuitously, lawyers from the Prison Law Office were touring Willis Unit while working on a federal civil rights lawsuit[10]challenging the mistreatment of prisoners living withHIVand who had disabilities. Upon calling out to them, I informed them that I was being held in disciplinary detention in violation of Title 15. After a legal visit, I agreed to participate in their lawsuit and testify in federal court in Sacramento, California, about conditions in Willis Unit.",,75.0,matched
8,I,text,footnote,,"[2]. In reElkins, 144 Cal. App. 4th 475, 502 (2006).",100.0,matched
8,19-35,text,body_text,"Resentencing decisions by prosecutors and judges should take into account the magnitude of punishment that is inflicted by confining human beings to a world of pervasive racial and gang-based violence and the well-documented violence fomented by correctional staff. The Supreme Court deemed the conditions of confinement in California prisons unconstitutional in violation of the Eighth Amendment,[35]and just last year the California Court of Appeals confirmedCDCR’s deliberate indifference to the outbreak ofCOVID-19.[36]The pain and fear inflicted on family members and loved ones of incarcerated individuals as a result ofCDCR’s dysfunction is not given consideration in resentencing decisions.",,80.0,matched
