page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,FAIR USE AND FAIR PRICE,section_header,footnote,,"See, e.g., Michael J. Madison, A Pattern-Oriented Approach to Fair Use, 45 Wm. & Mary L. Rev. 1525, 1666 (2004) (criticizing the unpredictability of fair use and referring to it as “a lottery argument”); Thomas F. Cotter, Fair Use and Copyright Overenforcement, 93 Iowa L. Rev. 1271, 1273–74 (2008) (highlighting the “often complex, fact-specific, and hence relatively unpredictable nature” of the standards that govern fair use); James Gibson, Once and Future Copyright, 81 Notre Dame L. Rev. 167, 192 (2005) (“[C]lear precedent on fair use is a rare thing in the fast-changing world of digital technology, and thus in many cases the uncertainty of the outcome would undoubtedly have a chilling effect on socially beneficial behavior.”); Peter S. Menell & Ben Depoorter, Using Fee Shifting to Promote Fair Use and Fair Licensing, 102 Cal. L. Rev. 53, 57 (2014) (“[I]t is exceedingly difficult for many cumulative creators to predict whether a use will qualify as fair use.”).",91.30434782608697,matched
1,R OY B AHARAD * & G IDEON P ARCHOMOVSKY †,text,footnote,,Id.,100.0,matched
1,ABSTRACT,section_header,footnote,,"Oren Bracha & Talha Syed, The Wrongs of Copyright’s Statutory Damages, 98 Tex. L. Rev. 1219, 1220 (2020); see also Pamela Samuelson & Tara Wheatland, Statutory Damages in Copyright Law: A Remedy in Need of Reform, 51 Wm. & Mary L. Rev. 439, 443 (2009) (“In the modern world in which the average person in her day-to-day life interacts with many copyrighted works in a way that may implicate copyright law, the dangers posed by the lack of meaningful constraints on statutory damage awards are acute. Even a defendant who presents a plausible fair use defense at trial may find itself subject to large statutory damage awards.”). As an alternative to statutory damages, rightsholders may choose the path of receiving actual damages based on their lost profits, potentially coupling them with disgorgement of infringers’ profits and thus securing supra-compensatory payment. See generally Roy Baharad, The Uneasy Case for Copyright Disgorgement, 77 Fla. L. Rev. (forthcoming 2025) (criticizing the use of disgorgement as a remedy for copyright infringement),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5088325.",100.0,matched
1,"In this Article, we present and develop a new justification for the fair use doctrine. The accepted lore among copyright law scholars is that fair use  is  a  means  for  overcoming  a  market  failure  in  the  form  of  high transaction costs. According to this view, the doctrine sanctions unauthorized  use  of  copyrighted  works  in  cases  where  transaction  costs hinder voluntary, mutually beneficial exchanges.",text,body_text,"In this Article, we present and develop a new justification for the fair use doctrine. The accepted lore among copyright law scholars is that fair use is a means for overcoming a market failure in the form of high transaction costs. According to this view, the doctrine sanctions unauthorized use of copyrighted works in cases where transaction costs hinder voluntary, mutually beneficial exchanges.",,94.47236180904522,matched
1,"Departing  from  conventional  wisdom,  we  argue  that  the  fair  use doctrine  serves  as  an  important  empowerment  even  in  fully  functional markets. Fair use enables users to secure more favorable licensing terms from  copyright  owners  by  endowing  users  with  a  threat  point  in  their negotiations. Without fair use, users would have to pay the price demanded by  copyright  owners  or  not  use  the  work.  With  fair  use,  many  users  can credibly assert that their intended use of copyrighted content is privileged by the fair use doctrine and thus they can use the desired content without authorization. The fair use doctrine, therefore, gives users leverage in their negotiations with copyright owners.",text,body_text,Without Fair Use,,100.0,matched
1,"We illustrate our thesis by applying it to the landmark fair use decisions of  the  Supreme  Court,  including  the  recent  ruling  in Andy  Warhol Foundation  for  the  Visual  Arts,  Inc.  v.  Goldsmith ,  that  determined  the",text,body_text,"We illustrate our thesis by applying it to the landmark fair use decisions of the Supreme Court, including the recent ruling inAndy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith, that determined the bargaining standpoint of users for decades to come.We demonstrate the distributive effects of the Supreme Court’s fair use jurisprudence and explain how the Court must act to preserve and augment the empowering effect of fair use.The theory presented in this Article proves that the reach of fair use goes well beyond market failures and that the impact of the doctrine is much more significant than previously thought.",,95.21640091116174,matched
1,"* Doctoral Candidate, University of Chicago Law School.",footnote,footnote,,Id.,100.0,matched
1,"† Robert G. Fuller, Jr. Professor of Law, University of Pennsylvania Law School; Edward Silver Professor, Faculty of Law, The Hebrew University of Jerusalem. We thank Shiri Alon, Clark Asay, Ian Ayres,  Shyamkrishna  Balganesh,  Oren  Bar-Gill,  Stefan  Bechtold,  Abraham  Bell,  Bari  Britvan,  Mala Chatterjee, Melissa Eckhause, Shira Ephron, Kristelia Garcia, Yehonatan Givati, Ehud Guttel, Thomas Haley, Lital Helman, Laura Heymann, Justin Hughes, Adi Libson, Peter Menell, David Nimmer, Shmuel Nitzan, Sarah Polcz, Matthew Sag, Peter Siegelman, Christopher Sprigman, Alex Stein, Alfred Yen, Eyal Zamir, and participants at the American Law and Economics Association Annual Conference and at the Seventh  Copyright  Scholarship  Roundtable  at  Columbia  Law  School,  for  valuable  comments  and suggestions. We are especially indebted to Joseph Fishman for his enlightening remarks. For excellent research assistance, we thank Ron Bechar, Guy Cohen, Rachel Hujsa, Ruoyu Ji, Noam Kozlov, Ariel Melitz,  Jeremy  Rapaport-Stein,  Ido  Schlesinger,  Yoav  Stoler,  Jude  Taragin,  Amir  Tzur  and  Miriam Weinstock. Parchomovsky thanks the Israel Science Foundation for research support.",footnote,footnote,,Id.,100.0,matched
2,bargaining standpoint of users for decades to come. We demonstrate the distributive effects of the Supreme Court's fair use jurisprudence and explain how the Court must act to preserve and augment the empowering effect of fair use. The theory presented in this Article proves that the reach of fair use goes well beyond market failures and that the impact of the doctrine is much more significant than previously thought.,text,body_text,"We illustrate our thesis by applying it to the landmark fair use decisions of the Supreme Court, including the recent ruling inAndy Warhol Foundation for the Visual Arts, Inc. v. Goldsmith, that determined the bargaining standpoint of users for decades to come.We demonstrate the distributive effects of the Supreme Court’s fair use jurisprudence and explain how the Court must act to preserve and augment the empowering effect of fair use.The theory presented in this Article proves that the reach of fair use goes well beyond market failures and that the impact of the doctrine is much more significant than previously thought.",,99.76133651551312,matched
2,TABLE OF CONTENTS,section_header,body_text,"Our analysis shows that irrespective of its actual invocation in court, the fair use doctrine provides considerable benefits to users by improving their bargaining position. In economic parlance, the theory advanced by this Article views fair use as empowering significant categories of users by improving what negotiation theorists call the “best alternative to a negotiated agreement” (“BATNA”).By diminishing the BATNA of copyright holders and bolstering that of users, the fair use doctrine redesigns the licensor-licensee relationship to promote the use and distribution of copyrighted content.",,71.42857142857143,matched
2,INTRODUCTION,section_header,footnote,,"William A. McEachern, Economics: A Contemporary Introduction 209 (11th ed. 2017) (emphasis omitted).",100.0,matched
2,"Considered by many as the most important doctrine in our copyright law  system, 1 fair  use  sanctions  certain  unauthorized  uses  of  copyrighted works that would otherwise constitute a copyright infringement. Under the fair use doctrine, when a use is considered fair, the user is relieved of liability",text,footnote,,Id.,100.0,matched
2,"1. See, e.g. , Eldred v. Ashcroft, 537 U.S. 186, 219-20 (2003) (ascribing the fair use doctrine a Constitutional role); Harper & Row, Publishers, Inc. v. Nation Enters., 471 U.S. 539, 555-60 (1985) (same); Neil Weinstock Netanel, First Amendment Constraints on Copyright After Golan v. Holder, 60 UCLA L. R EV . 1082, 1128 (2013) (contending that significant restrictions on fair use are forbidden under the First Amendment).",footnote,footnote,,Id.,100.0,matched
3,2025],text,footnote,,"Robert Levine, Steal This Hook? D.J. Skirts Copyright Law, N.Y. Times (Aug. 6, 2008),https://www.nytimes.com/2008/08/07/arts/music/07girl.html[https://web.archive.org/web/20250000000000*/https://www.nytimes.com/2008/08/07/arts/music/07girl.html].",100.0,matched
3,"and need not pay compensation to the copyright owner whose content they used. Therefore, fair use may be conceptualized as a doctrine that confers upon deserving users a private taking power over copyrighted content that can be exercised at a zero price. 2",text,body_text,"Considered by many as the most important doctrine in our copyright law system,fair use sanctions certain unauthorized uses of copyrighted works that would otherwise constitute a copyright infringement. Under the fair use doctrine, when a use is considered fair, the user is relieved of liability and need not pay compensation to the copyright owner whose content they used. Therefore, fair use may be conceptualized as a doctrine that confers upon deserving users a private taking power over copyrighted content that can be exercised at a zero price.",,99.41060903732809,matched
3,"Since its inception in the English common law and equity courts, the fair use doctrine has never ceased to fascinate theorists and students. 3 The existence of the doctrine raised two critical challenges for scholars. First, under  what  circumstances  should  a  use  be  considered  fair?  Second,  why should  fair  users  be  fully  relieved  of  the  duty  to  compensate  copyright owners?",text,footnote,,Id.,100.0,matched
3,"The  answer  to  both  these  questions  has  been  provided  by  Professor Wendy Gordon. In a pathbreaking article authored almost forty years ago, Gordon conceptualized fair use as a means for overcoming a market failure in the form of high transaction costs. 4 Gordon persuasively argued that courts should recognize fair use when three cumulative conditions obtain: first, high transaction  costs  prevent  voluntary  market  exchange  between  copyright owners and users; second, the allegedly fair use is socially beneficial; and, third, a fair use finding would not unduly undermine incentives to create. 5 Gordon's key insight was that when transaction costs are prohibitive, there will  be  no  voluntary  trade  between  copyright  owners  and  users.  In  this scenario, allowing users to use copyright content for free benefits the user without harming copyright owners, for the latter would not be able to collect payments from users as transaction costs bar voluntary exchanges. Gordon correctly  submitted  that  under  these  circumstances,  allowing  users  to  use copyright  content  for  free,  by  classifying  their  use  as  fair,  is  welfare enhancing.",text,footnote,,Id.,100.0,matched
3,"By tying  fair  use  to  the  level  of  transaction  costs,  Gordon,  at  once, provided  a  cogent  defense  of  the  fair  use  doctrine  and  exposed  its vulnerability. Professor Tom Bell and other scholars pointed out that in an interconnected world, where technological advancements constantly lower transaction  costs,  there  may  no  longer  be  a  need  for  fair  use,  and  at  a",text,footnote,,Id.,100.0,matched
3,"2. See Abraham Bell & Gideon Parchomovsky, Pliability Rules , 101 M ICH . L. R EV . 1, 51 (2002) ('Essentially, the fair use privilege entitles third parties to take the intellectual property of others without paying any compensation to the property owners.').",footnote,footnote,,Id.,100.0,matched
3,"3. Abraham Bell & Gideon Parchomovsky, The Dual-Grant Theory of Fair Use , 83 U. C HI . L. R EV . 1051, 1053 (2016) ('Fair use is one of modern law's most fascinating . . . doctrines.').",footnote,footnote,,Id.,100.0,matched
3,"4. See generally Wendy J. Gordon, Fair Use as Market Failure: A Structural and Economic Analysis of the Betamax Case and Its Predecessors , 82 C OLUM . L. R EV . 1600 (1982) (demonstrating that fair use enhances social welfare when transaction costs prevent users from acquiring authorization).",footnote,body_text,0,,100.0,matched
3,5. Id. at 1614-22.,footnote,footnote,,Id. at 1614–22.,100.0,matched
