page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,FAMILIAL DNA AND DUE PROCESS FOR INNOCENTS,section_header,section_header,,,66.66666666666667,unmatched
1,E RIN S HELEY *,section_header,section_header,,,69.23076923076923,unmatched
1,ABSTRACT,section_header,footnote,,"In re Winship, 397 U.S. 358, 367 (1970) (“The preponderance [of the evidence] test is susceptible to the misinterpretation that it calls on the trier of fact merely to perform an abstract weighing of the evidence in order to determine which side has produced the greater quantum, without regard to its effect in convincing his mind of the truth of the proposition asserted.”).",100.0,matched
1,"Ever  since  genealogical  DNA  unmasked  the  Golden  State  Killer  in 2018, the use of this new forensic science has been ubiquitous. Police have solved several hundred cold cases by uploading unidentified crime scene DNA  samples  to  consumer  genealogical  databases  and,  with  expert assistance, building out family trees from the resulting matches to identify suspects.  This  practice  has  raised  significant  concerns  among  privacy scholars  due  to  the  intimate  nature  of  DNA  information  and  the  lack  of consent by the parties ultimately identified through their relatives' choice to upload data. Critics argue that the Fourth Amendment bars law enforcement from running warrantless familial DNA searches using consumer databases, even among users who have given their consent. Several states have also passed legislation banning or severely restricting such searches.",text,footnote,,Id.,100.0,matched
1,"This Article argues that the current debate around familial DNA has neglected the due process rights of another person: the innocent third party who is potentially convicted in the absence of accurate, exculpatory DNA evidence. Both the Compulsory Process and Due Process Clauses give a defendant the right to obtain exculpatory evidence in their defense through judicial subpoena and from the government itself under Brady doctrine. In close cases, the respective scopes of competing constitutional rights should be defined so as to not excessively burden one another. On that basis, this Article argues against any ban on, or categorical constitutional or statutory rule requiring, probable cause for law enforcement to conduct familial DNA searches.  The  privacy  interests  raised  by  critics  are  legitimate;  yet  the functional inability for law enforcement to identify unknown suspects due to",text,footnote,,Id.,100.0,matched
1,"* Professor,  California  Western  School  of  Law.  Many  thanks  to  Daniel  Yeager  and  Donald Dripps for their valuable comments on drafts of this Article. I am also grateful to the helpful feedback I received at workshops from the faculties of California Western School of Law and the University of San Diego School of Law.",footnote,body_text,"* Professor, California Western School of Law. Many thanks to Daniel Yeager and Donald Dripps for their valuable comments on drafts of this Article. I am also grateful to the helpful feedback I received at workshops from the faculties of California Western School of Law and the University of San Diego School of Law.",,96.4968152866242,matched
2,"the  lack  of  probable  cause  disproportionately  burdens  defendants  whose Compulsory Process and Due Process rights are already limited by existing materiality  requirements  and  inadequate  resources.  For  many  innocent defendants,  the  State  itself  is  the  best  and  only  source  of  investigative resources and potentially exonerating evidence.",text,footnote,,Id.,100.0,matched
2,TABLE OF CONTENTS,section_header,section_header,,,64.70588235294117,unmatched
3,INTRODUCTION,section_header,body_text,"After his conviction, House filed a state habeas petition based on ineffective assistance and faulty jury instructions.When the trial court dismissed the petition, House appealed, but only on the jury-instructions ground.After House’s conviction was affirmed, he filed a second state habeas claim for ineffective assistance and sought investigative and expert assistance.The Tennessee Supreme Court held that these claims were barred by a statute providing that claims not raised in prior post-conviction proceedings are procedurally defaulted.On federal habeas, the Eastern District of Tennessee held an evidentiary hearing to determine whether House fell within the “actual innocence” exception to the procedural default rule recognized inSchlup. Holding that he had failed to demonstrate actual innocence, the Court denied relief, and a divided Sixth Circuit ultimately affirmed.",,83.33333333333334,matched
3,"In 2019, after Christopher Tapp had served nearly twenty years of a sentence  for  the  rape  and  murder  of  his  eighteen-year-old  friend  Angie Dodge, his conviction was vacated. 1 An Idaho jury convicted him in 1998 largely due to a series of interrogations during which the police attempted to get  him  to  implicate  various  friends,  including  through  the  offer  of  an immunity deal, which was later withdrawn when it was discovered that one friend had  an  alibi. 2 During  questioning,  police-including  a  former guidance counselor of Tapp's, whom he personally trusted-threatened him with the death penalty and told him that he could not remember the murder because he was repressing it. 3 Tapp was convicted despite DNA tests that had  excluded  both  him  and  the  initially-targeted  friend  as  the  source  of semen found at the scene of the crime. 4",text,footnote,,Id.,100.0,matched
