page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,FINTECH AND TECHNO-SOLUTIONISM,section_header,body_text,"This dynamic is particularly evident in the context of the crypto industry. Often described by its critics as “a solution in search of a problem,”crypto represents in many ways the apotheosis of fintech and techno-solutionism. Promises have been made that crypto’s underlying blockchain technology can democratize financial services by making them cheaper, more efficient, and more secure—but none of these promises withstand scrutiny. Ultimately, a blockchain is simply a type of database to which entries can only be added, not removed, and which is controlled by multiple nodes instead of relying on centralized intermediaries.While this technology might be interesting from an academic perspective, according to more than 1,500 independent computer scientists, software engineers, and other technologists who signed a letter to U.S. Congressional leaders in 2022, “[b]y its very design, blockchain technology is poorly suited for just about every purpose currently touted as a present or potential source of public benefit.”",,100.0,matched
1,H ILARY J. A LLEN *,section_header,footnote,,"Hilary J. Allen, Driverless Finance: Fintech’s Impact on Financial Stability 14 (2022).",93.75,matched
1,ABSTRACT,section_header,footnote,,"See, e.g., Daren Matsuoka, Eddy Lazzarin, Robert Hackett & Stephanie Zinn, 2023 State of Crypto Report: Introducing the State of Crypto Index, a16zcrypto (Apr. 11, 2023),https://a16zcrypto.com/posts/article/state-of-crypto-report-2023[https://perma.cc/CZ6E-C2UW]. For further discussion of Andreessen Horowitz’s efforts to hype the crypto industry, see Hilary J. Allen, Interest Rates, Venture Capital, and Financial Stability, U. Ill. L. Rev. (forthcoming 2025) (manuscript at 23–28),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4513037.",100.0,matched
1,"Silicon  Valley-style  technological  innovation  is  ill-suited  to  address complex problems like financial inclusion and concentrated market power, yet  promises  abound  that  'fintech'  can  fix  them.  This  oversimplified reduction  of  complex  structural  problems  into  technological  puzzles  has been critiqued as 'techno-solutionism,' and it poses real dangers for public policy. When we start with the tech industry's favored tools and then ask how to  solve  complex  problems  using  those  tools-rather  than  starting  by defining  the  problem  to  be  solved-it  can  distract  policymakers  from supporting  real,  structural  solutions.  Techno-solutionism  can  also  deter policymakers from interrogating the limitations, and regulating the harms, of the proffered technological solutions.",text,body_text,"Silicon Valley–style technological innovation is ill-suited to address complex problems like financial inclusion and concentrated market power, yet promises abound that “fintech” can fix them. This oversimplified reduction of complex structural problems into technological puzzles has been critiqued as “techno-solutionism,” and it poses real dangers for public policy. When we start with the tech industry’s favored tools and then ask how to solve complex problems using those tools—rather than starting by defining the problem to be solved—it can distract policymakers from supporting real, structural solutions. Techno-solutionism can also deter policymakers from interrogating the limitations, and regulating the harms, of the proffered technological solutions.",,94.17157825802227,matched
1,"This Article argues that not only are many fintech products themselves extremely techno-solutionist, but techno-solutionism is also  impeding financial regulation's ability to protect the public from fintech's harms. It makes several contributions: First, this Article introduces into the financial regulation literature theories of how the law can perpetuate, and then be stymied  by,  techno-solutionism.  Second,  it  comprehensively  calls  out  the techno-solutionism inherent in many fintech offerings (particularly crypto), laying bare their harms and demonstrating where they are unable to solve the  problems  they  claim  to  address.  Such  harmful  nonsolutions  do  not warrant accommodative regulatory treatment-and yet, some policymakers have sought to give fintech products just that. This Article's third contribution is a detailed exploration of techno-solutionism's impact on U.S.",text,body_text,"This Article argues that not only are many fintech products themselves extremely techno-solutionist, but techno-solutionism is also impeding financial regulation’s ability to protect the public from fintech’s harms. It makes several contributions: First, this Article introduces into the financial regulation literature theories of how the law can perpetuate, and then be stymied by, techno-solutionism. Second, it comprehensively calls out the techno-solutionism inherent in many fintech offerings (particularly crypto), laying bare their harms and demonstrating where they are unable to solve the problems they claim to address. Such harmful nonsolutions do not warrant accommodative regulatory treatment—and yet, some policymakers have sought to give fintech products just that. This Article’s third contribution is a detailed exploration of techno-solutionism’s impact on U.S. financial regulatory policy as it pertains to fintech. This Article also uses this lens to consider how techno-solutionism might impact the regulation of AI in financial services.",,98.93078221722004,matched
1,"* Professor  of  Law,  American  University  Washington  College  of  Law.  Many  thanks  to Tonantzin Carmona, Julie Cohen, Jeremy Kress, Pat McCoy, Chris Odinet, Art Wilmarth, and Jeff Zhang for  reading  and  providing  feedback  on  earlier  drafts.  This  paper  also  benefitted  enormously  from comments and conversations during workshops at the University of Florida, the Reserve Bank of New Zealand, the IMF's Internal Fintech Forum, and the meeting of the Technology Section at the Academy of Legal Studies in Business Conference. Information regarding the status of technologies, regulation, and legislation is current as of October 2024, but these are used to illustrate broader themes that will remain relevant as new technologies and regulatory and legislative approaches evolve.",footnote,footnote,,Id.,100.0,matched
2,financial regulatory policy as it pertains to fintech. This Article also uses this lens to consider how techno-solutionism might impact the regulation of AI in financial services.,text,footnote,,Id.,100.0,matched
2,TABLE OF CONTENTS,section_header,body_text,"For example, fintech business models designed to make capital intermediation and risk management more efficient (ranging from robo-advisors to high frequency trading) may end up making our financial system more fragile—as well as undermining other kinds of efficiency, like informational efficiency.Take the high frequency trading business model. It is facilitated entirely by algorithms designed to trade at speeds and in volumes that humans would not be capable of.Proponents of high frequency trading argue that it improves the efficiency of capital intermediation because it increases the volume of trading and by providing more opportunities to transact, increases liquidity and lowers trading costs.But that is only true in normal times. When things are obviously wrong in the market (at least, obvious to a human), the algorithm may continue to trade in a way that generates “flash crashes” of asset prices, which could spark fire sale externalities that threaten the stability of the financial system.If the algorithmdoesrecognize that something is really wrong, more often than not its preprogrammed instruction is to simply stop trading, draining liquidity from the system when it is most needed.",,76.47058823529412,matched
2,INTRODUCTION,section_header,footnote,,"Malcolm Campbell-Verduyn & Marc Lenglet, Imaginary Failure: RegTech in Finance, 28 New Pol. Econ. 468, 471 (2023). This has also been described as an “isolationist approach to technology and technological change.” Henrik Skaug Sætra, Introduction: The Promise and Pitfalls of Techno-Solutionism, in Technology and Sustainable Development: The Promise and Pitfalls of Techno-Solutionism 1, 4 (Henrik Skaug Sætra ed., 2023).",100.0,matched
2,"Technology has been an integral part of finance for a long time, but the rise  of  'fintech'  has  placed Silicon Valley-style technological innovation front  and  center  in  financial  services.  New  technologies  and  technologybased  business  models  have  been  developed  as  putative  solutions  to  the limitations  of  the  financial  system,  but  fintech  often  fails  to  address  the problems it claims to solve. Instead, fintech tends to create new problems that remain unaddressed because of misguided assumptions that technology",text,footnote,,Id.,100.0,matched
