page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,IN THE NAME OF ACCOUNTABILITY,section_header,body_text,"The doctrines explored here undermine substantive accountability in the name of accountability. Those attempting to limit the reach of UE theory and government speech doctrine, whether in the courts, the political branches, or the realm of public debate, must understand that their appeal lies partly in their proponents’ insistence that the doctrines do not undercut accountability but in fact protect accountability. Highlighting the errors of that claim and the danger that the doctrines pose is one small but necessary step in any efforts to staunch their forward march.",,100.0,matched
1,H EIDI K ITROSSER *,section_header,footnote,,Id.,100.0,matched
1,"* William W. Gurley Professor, Northwestern University - Pritzker School of Law. I am very grateful to Erin Miller for inviting me to participate in the symposium for which I wrote this article, to Christina Koningisor for her wonderful turn as discussant for this piece, and to the student editors of the Southern California Law Review for  their  terrific  work  in  organizing  the  symposium and editing this piece. I owe many thanks as well to Ronnell Anderson Jones and her colloquium students at the University of Utah Law School and to the faculty at the University of North Carolina Law School for inviting me to present this paper and for their thoughtful questions and comments.",footnote,body_text,"* William W. Gurley Professor, Northwestern University – Pritzker School of Law. I am very grateful to Erin Miller for inviting me to participate in the symposium for which I wrote this article, to Christina Koningisor for her wonderful turn as discussant for this piece, and to the student editors of theSouthern California Law Reviewfor their terrific work in organizing the symposium and editing this piece. I owe many thanks as well to Ronnell Anderson Jones and her colloquium students at the University of Utah Law School and to the faculty at the University of North Carolina Law School for inviting me to present this paper and for their thoughtful questions and comments.",,98.67060561299851,matched
2,INTRODUCTION,section_header,body_text,"Third, over the past several years, public school teachers—college and university professors as well as K–12 instructors—have faced a host of state laws barring them from conveying certain ideas about race or gender in the classroom.State and public school board defendants have leaned heavily on the government speech doctrine to justify the laws. To defend its restrictions on the instructional speech of public college professors, for example, the state of Florida asserted that the First Amendment “categorically does not apply” because such communications constitute “heartland government speech.”Defendants have also invoked accountability to bolster their government speech arguments. In the Florida litigation, for example, the state argued that anyone displeased with the restrictions on professorial speech could seek recourse “[at] the ballot box.”The laws’ proponents similarly invoke political accountability in their appeals to the public. For example, Nate Hochman, writing in the Manhattan Institute’s City Journal, characterized critics as “suggest[ing] that public educators should be insulated from accountability and democratic oversight.”Judicial responses to lawsuits challenging such restrictions have been mixed thus far. In cases involving college and university professors, courts have sided with plaintiffs, identifying an academic freedom exception toGarcettithat I discuss further in Part IV.Courts have been less favorable to plaintiffs in the K–12 educational setting, concluding that primary and secondary school teachers are subject toGarcetti’s rule.In the latter cases, however, plaintiffs have had some success in arguing that the laws are too vague to pass constitutional muster.",,83.33333333333334,matched
2,"The  Supreme  Court  has  increasingly  embraced  legal  doctrines  that empower elected officials to hide politically inconvenient information and ideas  from  the  American  people.  Two  lines  of  precedent  illuminate  this phenomenon and its reach across seemingly disparate areas of the case law. The first is a development in First Amendment law known as government speech doctrine and the closely related rule that public employees receive no First  Amendment  protection  for  their  work  product  speech-that  is,  for anything that they write or say while doing their jobs. This precedent puts at risk the ability of public employees or publicly subsidized experts-ranging from auditors hired to ferret out agency misconduct to scientists commissioned to study and report on changing climate patterns-to convey truthful  information  and  competent,  good  faith  analyses  consistent  with disciplinary  and  professional  norms.  The  second  line  of  precedent  is  the aspect of separation of powers law known as unitary executive theory ('UE theory,' 'UE,' or 'unity'). UE proponents argue that the president must fully control all discretionary executive activity in the United States, at minimum through an unfettered removal power. This jeopardizes the independence of federal  actors  who  are  charged  with  research  and  reporting  on  matters ranging from public corruption to public health.",text,footnote,,Id.,100.0,matched
2,"The two doctrines not only have similar impacts on information and analysis in the United States, but also share a common rationale: political accountability. Proponents of government speech doctrine emphasize that the people can respond to government speech at the ballot box, rewarding elected officials for speech that they like or punishing them when they dislike what they hear. As for UE theory, supporters emphasize that the president is the  only  elected  official  in  the  federal  executive  branch.  Indeed,  they describe  the  president  as  more  politically  accountable  than  anyone  else holding elected office in the United States, as the president alone is subject to  nationwide  election.  It  is  crucial,  they  argue,  that  the  president  alone exercises discretionary executive power so that the people know whom to blame or reward electorally for the use of such power. Similarly, they brush away concerns about presidential abuses by stressing the ability of the people to punish transgressions at the ballot box.",text,footnote,,Id.,100.0,matched
2,"The judiciary is far from alone in crafting and buttressing these schools of thought. To the contrary, UE theory was shaped and heavily promoted by the  modern  conservative  legal  movement  well  before  the  Roberts  Court embraced it. Indeed, even as the Supreme Court rejected UE theory in the 1988  case  of Morrison  v.  Olson ,  the  Justice  Department  under  Attorney General Meese relied on it internally and championed it externally along with  the  then-nascent  Federalist  Society.  Today,  with  the  support  of  the",text,body_text,"The judiciary is far from alone in crafting and buttressing these schools of thought. To the contrary, UE theory was shaped and heavily promoted by the modern conservative legal movement well before the Roberts Court embraced it. Indeed, even as the Supreme Court rejected UE theory in the 1988 case ofMorrison v. Olson, the Justice Department under Attorney General Meese relied on it internally and championed it externally along with the then-nascent Federalist Society. Today, with the support of the Supreme Court, and with Donald Trump retaking the presidency and characterizing career experts across government as parts of a rogue “deep state,” UE theory and its accountability rationale have more influence than ever.",,97.10982658959537,matched
3,"Supreme  Court,  and  with  Donald  Trump  retaking  the  presidency  and characterizing career experts across government as parts of a rogue 'deep state,' UE theory and its accountability rationale have more influence than ever.",text,footnote,,Id.,100.0,matched
3,"Although, to my knowledge, no similarly probing intellectual history has  been  done  with  respect  to  government  speech  doctrine,  the  doctrine aligns intuitively with classic complaints about how Americans' tax dollars are  spent,  including  on  public  education,  public  broadcasting,  and  other forms of knowledge production. Such gripes are not intrinsically partisan, but they can be marshalled in a partisan fashion when framed as appeals to stop 'wrongheaded' or 'offensive' views from being supported by public funds. Over the past several years, we have indeed seen campaigns, in both legal and political realms, for elected officials to control the communicative output  of  a  range  of  government  programs.  These  campaigns  often characterize civil servants as parts of a leftist deep state, echoing the rhetoric of  unitary  executive  theorists.  Their  targets  include  elementary  school teachers,  college  professors,  and  librarians  whom  they  deem  'woke'  and indoctrinating.  The  major  thread  of  argument  in  these  political  and  legal attacks has been accountability-specifically, the notion that the electorate, through elected representatives, should get the final word on the content of publicly funded knowledge production. Framed in legal terms, the argument is that all such output is the government's own speech.",text,body_text,"Although, to my knowledge, no similarly probing intellectual history has been done with respect to government speech doctrine, the doctrine aligns intuitively with classic complaints about how Americans’ tax dollars are spent, including on public education, public broadcasting, and other forms of knowledge production. Such gripes are not intrinsically partisan, but they can be marshalled in a partisan fashion when framed as appeals to stop “wrongheaded” or “offensive” views from being supported by public funds. Over the past several years, we have indeed seen campaigns, in both legal and political realms, for elected officials to control the communicative output of a range of government programs. These campaigns often characterize civil servants as parts of a leftist deep state, echoing the rhetoric of unitary executive theorists. Their targets include elementary school teachers, college professors, and librarians whom they deem “woke” and indoctrinating. The major thread of argument in these political and legal attacks has been accountability—specifically, the notion that the electorate, through elected representatives, should get the final word on the content of publicly funded knowledge production. Framed in legal terms, the argument is that all such output is the government’s own speech.",,95.8047292143402,matched
3,"Yet even as accountability serves as a rallying cry for proponents of UE theory and government speech doctrine, there is a profound tension between that  call  to  arms  and  the  negative  impacts  of  both  government  speech doctrine and UE theory on the information ecosystem. This tension stems from two very different visions of accountability. Government speech and unitary executive arguments each focus on a thin vision of accountability, one that I have elsewhere called 'formal accountability.' Formal accountability requires only that there exist some means, mainly the ballot box, by which the public can accept or reject officials. 1",text,body_text,"Yet even as accountability serves as a rallying cry for proponents of UE theory and government speech doctrine, there is a profound tension between that call to arms and the negative impacts of both government speech doctrine and UE theory on the information ecosystem. This tension stems from two very different visions of accountability. Government speech and unitary executive arguments each focus on a thin vision of accountability, one that I have elsewhere called “formal accountability.” Formal accountability requires only that there exist some means, mainly the ballot box, by which the public can accept or reject officials.",,98.26224328593996,matched
