page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,2025 College Free Speech Rankings,section_header,footnote,,"Foundation for Individual Rights and Expression, 2025 College Free Speech Rankings 23 (2024),https://www.thefire.org/sites/default/files/2024/09/2025%20College%20Free%20Speech%20Rankings%20Report%20FINAL.pdf[https://perma.cc/5PD7-8G8R] (“Overall, students reported low levels of comfort expressing their views on controversial political topics across five different contexts on campus.”); id. at 25–27 (reporting higher levels of self-censorship among conservative students).",100.0,matched
1,What Is the State of Free Speech on America's College Campuses?,text,text,,,64.51612903225806,unmatched
1,COLLEGE,text,footnote,,"Foundation for Individual Rights and Expression, 2025 College Free Speech Rankings 23 (2024),https://www.thefire.org/sites/default/files/2024/09/2025%20College%20Free%20Speech%20Rankings%20Report%20FINAL.pdf[https://perma.cc/5PD7-8G8R] (“Overall, students reported low levels of comfort expressing their views on controversial political topics across five different contexts on campus.”); id. at 25–27 (reporting higher levels of self-censorship among conservative students).",100.0,matched
1,PULSE,text,footnote,,"Mary Anne Franks, The Miseducation of Free Speech, 105 Va. L. Rev. 218, 218 (2019) (“The claim that America’s campuses are in the midst of a free speech crisis has been made so often and so emphatically that it has widely become accepted as fact.”). See generally Thomas M. Keck, Academic Freedom and Democratic Backsliding in the Contemporary United States (Mar. 18, 2025) (unpublished manuscript),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4914871[https://perma.cc/L2VJ-9Z83] (describing rise in threats to academic freedom, especially since 2020).",80.0,matched
1,A FIRE,text,footnote,,"Mary Anne Franks, The Miseducation of Free Speech, 105 Va. L. Rev. 218, 218 (2019) (“The claim that America’s campuses are in the midst of a free speech crisis has been made so often and so emphatically that it has widely become accepted as fact.”). See generally Thomas M. Keck, Academic Freedom and Democratic Backsliding in the Contemporary United States (Mar. 18, 2025) (unpublished manuscript),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4914871[https://perma.cc/L2VJ-9Z83] (describing rise in threats to academic freedom, especially since 2020).",83.33333333333334,matched
1,FREE FREE,text,footnote,,"Mary Anne Franks, The Miseducation of Free Speech, 105 Va. L. Rev. 218, 218 (2019) (“The claim that America’s campuses are in the midst of a free speech crisis has been made so often and so emphatically that it has widely become accepted as fact.”). See generally Thomas M. Keck, Academic Freedom and Democratic Backsliding in the Contemporary United States (Mar. 18, 2025) (unpublished manuscript),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4914871[https://perma.cc/L2VJ-9Z83] (describing rise in threats to academic freedom, especially since 2020).",77.77777777777779,matched
1,PALESTINE,text,footnote,,"Seana Valentine Shiffrin, Speech Matters: On Lying, Morality, and the Law 79–81 (2014); Seana Valentine Shiffrin, A Thinker-Based Approach to Freedom of Speech, 27 Const. Comment 283, 283-84 (2011).",77.77777777777779,matched
2,ADMITTED,text,footnote,,"Post, supra note 29, at 23 (“Whereas within public discourse the political imperatives of democracy require that persons be regarded as equal and as autonomous, outside public discourse the law commonly regards persons as dependent, vulnerable, and hence unequal.” (footnotes omitted)).",85.71428571428572,matched
2,ENROLL IN,text,body_text,"There are ways to blunt the tension. One might say that students have, by enrolling in a program with transparent requirements, autonomously pursued their “instrumental interest in gaining access to information and ideals that will assist the hearer in making rational, informed choices,” and that their objections to any particular steps along the way should be subsumed to the larger autonomous choice. This effectively treats the students’ choice to listen as a kind of rolling consent. After all, the student version of academic freedom traces itself to the GermanLernfreiheit, or freedom to learn, which originally “referred simply to the freedom to choose one’s course of study.”",,88.88888888888889,matched
2,STUDENTS-,text,footnote,,"Foundation for Individual Rights and Expression, 2025 College Free Speech Rankings 23 (2024),https://www.thefire.org/sites/default/files/2024/09/2025%20College%20Free%20Speech%20Rankings%20Report%20FINAL.pdf[https://perma.cc/5PD7-8G8R] (“Overall, students reported low levels of comfort expressing their views on controversial political topics across five different contexts on campus.”); id. at 25–27 (reporting higher levels of self-censorship among conservative students).",100.0,matched
2,REVOLUTION,text,body_text,"Alongside this speaker-focused critique, however, there is a deeper and more serious element that focuses on the interests of potential listeners, including students who are denied access to important voices and ideas (primarily conservative ones). That critique takes multiple forms as well. One emphasizes the danger that conservative students will be alienated and harmed in campus settings where they cannot hear voices like their own or that students who are not exposed to such ideas will be indoctrinated with liberal orthodoxy.Some conclude that the appropriate solution is to impose more control from the outside. Often the diagnosis and prescription are explicitly political, as with the “Freedom from Indoctrination Act,” whose supporters say would—by “[r]eclaiming [a]cademic [f]reedom”—give students “the freedom to take coursework without a distinctive left-wing ideological valence.”",,80.0,matched
2,STUL,text,body_text,"It is important that universities combat the impression of knowledge-stultifying homogeneity. One way to do so might be through modeling the virtue of persuadability described above—showing that scholarsarein fact listening in meaningful ways. In their critique of cancel culture on college campuses (which is valuable, though it leans too heavily into the free speech paradigm), Greg Lukianoff and Rikki Schlott argue that, “[t]he antidote to an epistemic crisis is an expert class that exhibits epistemic humility. That means acknowledging when they might be wrong.”The perception and arguable reality of “epistemic crisis” and characterization of an over-confident ivory tower can only be addressed through an appreciation of the public’s listening interests.",,100.0,matched
