page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,MIND THE GAP(S): MITIGATING HARASSMENT IN A POST-#METOO WORKPLACE,section_header,body_text,Harassment,,100.0,matched
1,"J AMILLAH B OWMAN W ILLIAMS , * E LIZABETH C. T IPPETT † & A NU R AMDIN ‡",text,footnote,,"Jamillah Bowman Williams & Elizabeth Tippett, Five Years On, Here’s What #MeToo Has Changed, Politico (Oct. 14, 2022, 11:16 AM),https://www.politico.com/newsletters/women-rule/2022/10/14/five-years-on-heres-what-metoo-has-changed-00061853[https://web.archive.org/web/20241212022142/https://www.politico.com/newsletters/women-rule/2022/10/14/five-years-on-heres-what-metoo-has-changed-00061853]; see also Preventing COVID-19 Using the Swiss Cheese Model, CoxHealth (Feb. 22, 2022),https://www.coxhealth.com/blog/preventing-covid-19-using-swiss-cheese-model[https://perma.cc/LL6F-AKKJ].",78.99159663865547,matched
1,ABSTRACT,section_header,footnote,,"Nell Irvin Painter, Creating Black Americans: African-American History and its Meanings, 1619 to the Present 85–86 (2006); Caitlin Rosenthal, Slavery’s Scientific Management: Masters and Managers, in Slavery’s Capitalism: A New History of American Economic Development 62, 75–76 (Sven Beckert & Seth Rockman eds., 2016) (“A ‘prime field hand’ was an enslaved man or woman whose productivity was among the maximum that could be expected from a single individual. All other slaves were measured against this ideal, their value denominated in fractions of a hand . . . . . Planters’ calculations rendered slaves not as individuals but as abstract, commoditized units of labor. . . .”).",100.0,matched
1,"In  a  post-#MeToo  workplace,  harassment  remains  pervasive,  and harassment law still fails to provide protection for the harms experienced by many workers-particularly those in the most vulnerable jobs. Even when reform  efforts  are  introduced  through  legislation,  courts,  and  agency guidance, it often does not provide greater power, autonomy, and dignity to women in ways that would more meaningfully protect them from workplace abuse. We are the first to create a database of state legislation, including over three thousand bills, that allows us to empirically analyze the extent to which lawmakers comprehensively address harassment following the rise of the  #MeToo  movement.  We  assess  comprehensiveness  by  examining  how responsive legislation is to existing gaps in legal protection during the five years following the 2017 tweet that took #MeToo activism global, relative to the 2016 baseline period. We found that states introduced a wide breadth of reforms  to  combat  harassment  and  gender  inequality,  including  some changes that address longstanding gaps in legal protection. Gaps persist, however, and in some cases worsened post #MeToo. Going forward, reform efforts  by  state  legislatures -and all legal stakeholders -will  prove  most effective if they move away from narrow conceptions of sexual harassment and follow the voice of workers, pursuing a broad, multi-layered agenda",text,footnote,,Id.,100.0,matched
1,"* Professor of Law & Faculty Director, Workers' Rights Institute, Georgetown University Law Center; B.S. 2003, Georgetown University McDonough School of Business; M.A. 2005, University of Michigan; Ph.D. 2013, Stanford University; J.D. 2011, Stanford Law School. Thank you to Angelica Sanchez Diaz, Nick Gonzales, Keniece Gray, and Lolade Akintunde for research support. Thank you to participants at the Lutie Lytle Workshop for providing valuable feedback.",footnote,footnote,,Id.,100.0,matched
1,"† Professor of Law & James O. & Alfred T. Goodwin Senior Fellow, University of Oregon School of Law; B.A., 2002, Harvard College; J.D. 2006, Harvard Law School.",footnote,body_text,2,,100.0,matched
1,"‡ Research Fellow, Georgetown University Law Center; B.A. 2018, University of Miami; J.D. 2022, University of California, Berkeley School of Law.",footnote,body_text,1,,100.0,matched
2,"around  gender  equity  that  is  responsive  to  the  realities  of  our  evolving workplace  and  society.  This  is  especially  true  in  2025  as  the  Trump administration redirects the EEOC's resources towards attacking diversity, equity and inclusion measures.",text,body_text,5,,100.0,matched
2,TABLE OF CONTENTS,section_header,section_header,,,64.70588235294117,unmatched
3,INTRODUCTION,section_header,footnote,,"Ann C. McGinley, Laboratories of Democracy: State Law as a Partial Solution to Workplace Harassment, 30 Am. U. J. Gender Soc. Pol’y & L. 245, 246–47 (2022) [hereinafter McGinley, Laboratories of Democracy]; Ann C. McGinley, Introduction: A Symposium on Enhancing Civil and Constitutional Rights Through State and Local Action, 22 Nev. L.J. 895, 897 (2022); Ann C. McGinley, Credulous Courts and the Tortured Trilogy: The Improper Use of Summary Judgment in Title VII and ADEA Cases, 34 B.C. L. Rev. 203, 206–07 (1993).",100.0,matched
