page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,RESPECTING LISTENERS' AUTONOMY: THE RIGHT TO BE LEFT ALONE,section_header,body_text,"That said, however, once one recognizes that speakers have no First Amendment right, free of government regulation, to foist themselves upon unwilling listeners—and indeed, that listenersdohave legitimate interests in avoiding undesired speakers or content—it seems clear that the government has a legitimate role to act as facilitator, assisting listeners to invoke their “right” to be left alone—or perhaps better put, their desire not to engage in a communicative relationship with a particular speaker. For that reason, there should be no constitutional problem with the state creating mechanisms that enable listeners to communicate to speakers that they desire to be left alone. There should also be no First Amendment barrier, assuming the listener(s) do invoke their First Amendment interest in being left alone, to the government penalizing a speaker who nonetheless persists in pursuing their unwilling victims. In that situation, the speaker has no First Amendment rights at stake, so a penalty is perfectly constitutional.",,81.03448275862068,matched
1,A SHUTOSH B HAGWAT *,section_header,footnote,,"Ashutosh Bhagwat, When Speech Is Not “Speech”, 78 Ohio St. L.J. 839, 854–55 (2017).",94.11764705882352,matched
1,TABLE OF CONTENTS,section_header,body_text,"Admittedly, the courts have not been entirely consistent on this issue. Thus, there are undoubtedly some cases, especially in the lower courts, suggesting that denying a speaker the ability to reach a specific audience need not be fatal to a content-neutral restriction on speech.But this simply cannot be correct. For example, this would mean that during the 2024 presidential election, a prohibition on the Trump or Harris campaign advertising in a swing state such as Pennsylvania would be permissible if both candidates were permitted to reach alternative audiences in California and Texas. Such a result would make a mockery of the First Amendment (and democracy).",,76.47058823529412,matched
1,INTRODUCTION,section_header,body_text,"It should be noted, though, that in practice, a right not to listen as against the state, while it must be real and robust in certain spheres—notably public discourse—has significant limits. The government in fact forces us to listen to messages of its choosing all the time as a condition of engaging in certain activities—often while also compelling the relevant speech. Every time one gets on a plane, one is forced to listen to a federally mandated safety announcement (and airlines are required to communicate them). Employees are forced to suffer through state-mandated trainings, such as sexual harassment trainings, all the time (and employers are required to provide them). My own employer, the University of California—a state entity—is particularly training-happy. Safety instructions are required for employees in many hazardous industries—and so on ad infinitum. But within the core First Amendment domains such as public discourse and artistic/literary expression, a very strong right not to listen—which can be offset only by the weightiest state interests—must exist. The only reason it has not been recognized, it would seem, is that governments appear to assume the existence of such a core right and so stay clear of it.",,83.33333333333334,matched
1,"The core of First Amendment free speech doctrine concerns the right of speakers  to  convey  the  message  of  their  choice,  free  of  repression  or retaliation by the government. In addition, a small but significant body of",text,body_text,"The core of First Amendment free speech doctrine concerns the right of speakers to convey the message of their choice, free of repression or retaliation by the government. In addition, a small but significant body of law also addresses the rights of listeners to obtain access to information and speech in the face of coercive state measures seeking to deprive them of that access. Finally, there is also a well-established “compelled speech doctrine,” which addresses the right of speakers to resist government compulsions to speak—i.e., a right not to speak. This paper considers a question heretofore largely ignored by the courts, which is whether the First Amendment also protects a right against compelled listening.",,97.51693002257336,matched
1,"* Distinguished Professor and Boochever and Bird Endowed Chair for the Study and Teaching of  Freedom  and  Equality,  UC  Davis  School  of  Law,  contact:  aabhagwat@ucdavis.edu.  Thanks  to Professor Erin Miller and the staff of the USC Law Review for organizing this event. Thanks also to Eugene Volokh for agreeing to serve as Discussant for this paper, and to Joseph Blocher, Alan Chen, and all the participants at the 2024 Southern California Law Review Symposium for providing extraordinarily valuable feedback.",footnote,footnote,,Id.,100.0,matched
2,"law also addresses the rights of listeners to obtain access to information and speech in the face of coercive state measures seeking to deprive them of that access. Finally, there is also a well-established 'compelled speech doctrine,' which addresses the right of speakers to resist government compulsions to speaki.e. , a right not to speak. This paper considers a question heretofore largely ignored by the courts, which is whether the First Amendment also protects a right against compelled listening.",text,footnote,,Id.,100.0,matched
2,"As it turns out, a right against compelled listening raises complex and difficult  questions  because  such  a  putative  right  in  fact  has  two  possible aspects to it. The first would be a First Amendment right not to listen that operates against the state, restricting the state's power to force an unwilling listener to hear the state's chosen message. Such a right must exist if public discourse among citizens is to play its democracy-empowering role (and also must  exist  under  autonomy-based  theories  of  free  speech,  for  obvious reasons). But it is also, as we shall see, necessarily and distinctly limited.",text,body_text,"As it turns out, a right against compelled listening raises complex and difficult questions because such a putative right in fact has two possible aspects to it. The first would be a First Amendment right not to listen that operates against the state, restricting the state’s power to force an unwilling listener to hear the state’s chosen message. Such a rightmustexist if public discourse among citizens is to play its democracy-empowering role (and also must exist under autonomy-based theories of free speech, for obvious reasons). But it is also, as we shall see, necessarily and distinctly limited.",,96.35157545605307,matched
2,"But the more interesting questions raised by a right against compelled listening concern not disputes between listeners and the state, which are the subject of the classic First Amendment tradition, but rather disputes between non-state speakers and listeners, which the state must somehow accommodate or resolve. In these situations, in short, the question is whether the  state  may  or  may  not  enforce  a  listener's  desire  to  be  left  alone. Furthermore, while disputes strictly between private speakers and listeners of course do not themselves trigger the First Amendment because of the state action doctrine, when the state steps in to resolve those disputes, the First Amendment  is  very  much  implicated.  This  paper's  ultimate  goal  is  to identify the state's proper and constitutional role in those situations.",text,footnote,,Id.,100.0,matched
2,"Part  I  briefly  summarizes  the  classic  First  Amendment  rights  of speakers to  speak  and  listeners  to  listen  as  against  state  coercion.  It  then examines  the  constitutional  relationship  between  speakers,  listeners,  and their  rights.  Part  II  considers  whether,  just  as  the  right  to  speak  has  been interpreted to generate a right not to speak, so too a right to listen should have the converse-a right not to listen. It further explores the two possible aspects of such a 'right' described above, 1 and closes by considering the role of the state in the face of speaker versus listener disputes. Finally, Part III considers some doctrinal applications of a listener's right to be left alone.",text,footnote,,Id.,100.0,matched
