page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,THE DEFAULT RULE AND DUE PROCESS: DIVERGING INTERPRETATIONS OF 'THE CHARGING DOCUMENT' REQUIREMENT IN EXTRADITION TREATIES,section_header,body_text,"As the two circuit court opinions in 2023 demonstrate, the default rule of treaty interpretation continues to influence the judiciary’s role in determining whether to certify a foreign nation’s extradition request. In the Ninth Circuit opinion inManrique v. Kolc, the court was partial to the Secretary of State’s interpretation of “the charging document” requirement in its extradition of Toledo—the court found the “charging document” requirement to be relatively inconsequential in finding that the Peruvian government had satisfied its extradition request by providing anAcusación Fiscal. However, inVitkus v. Blinken, the court was more dubious of the Secretary of State’s interpretation of the treaty and disagreed that the documents that the Lithuanian government had provided to extradite Vitkus satisfied the requirements listed in the U.S.-Lithuania Extradition Treaty.",,71.31147540983606,matched
1,J ACOB M. K ARLIN *,section_header,section_header,,,64.51612903225806,unmatched
1,TABLE OF CONTENTS,section_header,footnote,,"Treaty Affs. Staff, Off. of the Legal Adviser, U.S. Dep’t of State, Foreword to Treaties in Force 2021—2023: Supplemental List of Treaties and Other International Agreements,https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf[https://perma.cc/A9YW-HUCT].",70.58823529411764,matched
1,"* Executive Senior Editor, Southern California Law Review , Volume 98; J.D. Candidate 2025, University  of  Southern  California  Gould  School  of  Law;  B.A.  2017,  Science  in  Society  Program, Wesleyan University. All views and conclusions expressed in this Note are solely my own and do not express  the  opinions  or  positions  of  my  employer.  Many  thanks  to  Professor  Marcela  Prieto  for  her invaluable guidance throughout the drafting process. I also want to thank the talented Southern California Law Review staff and editors for their work throughout the publication process.",footnote,footnote,,Id.,100.0,matched
2,INTRODUCTION,section_header,footnote,,"Rivera, Interpreting Extradition Treaties, supra note 17, at 202; United States v. Lui Kin-Hong, 110 F.3d 103, 110 (1st Cir. 1997) (highlighting that the “executive branch’s construction of a treaty, although not binding upon the courts is entitled to great weight” and that extradition treaties “are to be construed liberally in favor of enforcement”); In re Extradition of Howard, 996 F.2d 1320, 1330–31 (1st Cir. 1993).",75.0,matched
2,"The United States is a party to over one hundred bilateral extradition treaties with foreign governments. 1 These treaties allow the U.S. and foreign countries  to  facilitate  the  transfer  of  individuals  accused  of  crimes  to  the jurisdictions seeking to prosecute them. 2 Extradition is an ancient practice: processes resembling extradition have existed since antiquity, and the United States has entered into versions of bilateral extradition treaties and received extradition requests since shortly after the country's founding in the 18th century. 3",text,footnote,,Id.,100.0,matched
2,"As  the  world  continues  to  grow  smaller  by  means  of  technological advances and ever-increasing accessibility to international travel, extradition has become  increasingly  important  as  a means  of  international  law enforcement. 4 This  growth  in  extradition  has  forced  the  judiciary  of  the United States to face unique issues of law that relate to the constitutional rights  of  the  individuals  whose  extradition  from  the  United  States  is requested  by  foreign  countries.  In  that  same  vein,  the  recognition  and enforcement of international human rights law has grown in the last century, and as rules of international human rights law have become binding on the United States judiciary, courts are faced with new, conflicting demands of both extradition requests and international law-derived rights of relators (that is, the individuals whose extradition is requested by foreign countries).",text,footnote,,Id.,100.0,matched
2,"In 2023, two federal circuit courts analyzed the phrase 'the charging document' in two bilateral extradition treaties: the Fourth Circuit reviewed an extradition treaty between the United States and Lithuania, and the Ninth Circuit reviewed an extradition treaty between the United States and Peru. The Fourth and Ninth Circuits disagreed over how to approach the phrase",text,body_text,"In 2023, two federal circuit courts analyzed the phrase “the charging document” in two bilateral extradition treaties: the Fourth Circuit reviewed an extradition treaty between the United States and Lithuania, and the Ninth Circuit reviewed an extradition treaty between the United States and Peru. The Fourth and Ninth Circuits disagreed over how to approach the phrase and its effect on the extradition process. InManrique v. Kolc, the Ninth Circuit found “the charging document” requirement in the U.S.-Peru Extradition Treaty to be ambiguous and subject to multiple interpretations. Utilizing court precedents on treaty interpretation, the Ninth Circuit deferred to the executive branch’s interpretation of the phrase. In doing so, the court found that Peru had provided the necessary documents to satisfy the “charging document” requirement. On the other hand, the Fourth Circuit found that the phrase was clear and unambiguous, holding inVitkus v. Blinkenthat the judiciary was compelled to decline Lithuania’s extradition request upon analyzing the “charging document” requirement in the U.S.-Lithuania Extradition Treaty. The Fourth Circuit found that the inclusion of “the charging document” in the U.S.-Lithuania treaty was a requirement that Lithuania had not satisfied when it had presented prosecutorial documents to the Secretary of State in an extradition request. The court rejected the Secretary of State’s argument as to the adequacy of Lithuania’s submitted documents.",,100.0,matched
2,"1. T REATY A FFS . S TAFF ,  O FF . OF  THE L EGAL A DVISER ,  U.S. D EP ' T  OF S TATE ,  T REATIES  IN F ORCE : A L IST  OF T REATIES  AND O THER I NTERNATIONAL A GREEMENTS OF THE U NITED S TATES  IN F ORCE ON J ANUARY 1, 2020 (2020).",footnote,footnote,,"Treaty Affs. Staff, Off. of the Legal Adviser, U.S. Dep’t of State, Treaties in Force: A List of Treaties and Other International Agreements of the United States in Force on January 1, 2020 (2020).",86.15384615384616,matched
2,"2. Extradition Treaty , B LACK ' S L AW D ICTIONARY (12th ed. 2024).",footnote,footnote,,"Extradition Treaty, Black’s Law Dictionary (12th ed. 2024).",89.47368421052632,matched
