page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
1,THE UNENUMERATED POWER,section_header,body_text,"Scholars and courts have long viewed unenumerated powers and rights as constitutionally dubious. This skepticism has produced far-ranging effects: most recently, it has undergirded the Supreme Court’s invalidation of privacy rights. Many others have contested the presumption against unenumerated law, including a recent wave of scholarship which criticizes “enumerationism.” These efforts have been hampered, however, by the fact that they are unable to point to a concrete example of a tacit power or right that is entirely independent from and coequal with an enumerated power or right.",,90.9090909090909,matched
1,Caitlin B. Tully*,text,text,,,56.25,unmatched
1,"Scholars and courts have long viewed unenumerated powers and rights as constitutionally dubious. This skepticism has produced far-ranging effects: most  recently, it  has  undergirded  the  Supreme  Court's invalidation of privacy rights. Many  others  have  contested the presumption  against  unenumerated  law,  including  a  recent  wave  of scholarship  which  criticizes  'enumerationism.'  These  efforts  have been hampered, however, by the fact that they are unable to point to a concrete example of a tacit power or right that is entirely independent from and coequal with an enumerated power or right.",text,body_text,"Scholars and courts have long viewed unenumerated powers and rights as constitutionally dubious. This skepticism has produced far-ranging effects: most recently, it has undergirded the Supreme Court’s invalidation of privacy rights. Many others have …",,97.18875502008032,matched
1,"This  Article  demonstrates-for  the  first  time-that  at  least  one  such power exists: the power to charter corporations. Trillions of dollars circulate through the federal corporate form. Yet scholars often assume that  the  Constitution  has  nothing  to  say  about  corporations.  The doctrine  of  federal  incorporation,  meanwhile,  is  confused:  courts analogize federal corporations to state corporations or federal agencies, despite obvious inconsistencies, or avoid them altogether. As this Article demonstrates, however, the Framers understood the power to  charter  corporations  as  an  independent  power  with  its  own prerogatives and limits, and there was little doubt about the power's constitutionality following ratification. In fact, as this Article shows, the Marshall Court constructed doctrine defining this preexisting power across  three  casesTrustees  of  Dartmouth  College  v.  Woodward , McCulloch v. Maryland ,  and Osborn v. Bank of the United States -establishing  an  independent  threshold  for  the  creation  of  federal corporations: 'constitutional' purpose. Congress has effectively relied on this tacit, but independent, legal power for over two centuries.",text,body_text,"This Article demonstrates—for the first time—that at least one such power exists: the power to charter corporations. Trillions of dollars circulate through the federal corporate form. Yet scholars often assume that the Constitution has nothing to say about corporations. The doctrine of federal incorporation, meanwhile, is confused: courts analogize federal corporations to state corporations or federal agencies, despite obvious inconsistencies, or avoid them altogether. As this Article demonstrates, however, the Framers understood the power to charter corporations as an independent power with its own prerogatives and limits, and there was little doubt about the power’s constitutionality following ratification. In fact, as this Article shows, the Marshall Court constructed doctrine defining this preexisting power across three cases— Trustees of Dartmouth College v. Woodward , McCulloch v. Maryland , and Osborn v. Bank of the United States — establishing an independent threshold for the creation of federal corporations: “constitutional” purpose. Congress has effectively relied on this tacit, but independent, legal power for over two centuries.",,96.19706136560069,matched
1,"* Samuel  I.  Golieb  Fellow,  NYU  School  of  Law;  J.D.,  Yale  Law  School,  2014;  PhD Candidate, Princeton University. Thank you to Jeremy Adelman, Bastiaan Bouwman, Guido Calabresi, Josh Chafetz, Nathaniel Donahue, Bill Eskridge, Noah Feldman, Joshua Getzler, Maeve Glass, David Golove, Jamal Greene, Philip Hamburger, Henry Hansmann, Hendrik Hartog, Liane Hewitt, Daniel Hulsebosch, Emma Kaufman, Jeremy Kessler, Noam Maggor, Jane Manners, Lev Menand, Bill Nelson, Jacob Noti-Victor, Farah Peterson, David Pozen, Pablo Pryluka, Daniel Rauch, Catherine Sharkey, Ganesh Sitaraman, James Whitman, and Sean Wilentz. Thank you also to the editors of the Virginia Law Review .",footnote,footnote,,,66.66666666666667,unmatched
2,"This Article provides the first comprehensive account of the doctrine of federal incorporation and its current use, as well as an index of all federal corporations from the Founding to the present. In addition, this Article makes two important interventions. First, by clarifying the legal basis of federal incorporation, the existence of the charter power may offer alternative rationales for the constitutionality of federal legislation, alternatives to existing constructions of administrative law, and a coherent way to analyze large transactions which currently defy categorization.  Second,  as  the  current  Court  considers  whether  to invalidate existing jurisprudence which endorses 'implied' rights, the existence  of  the  charter  power  cuts  against  the  theoretical  case  for doing  so.  Challenging  the  presumption  against  the  legitimacy  of unenumerated powers and rights, the charter power demonstrates that, in  at  least  one  case,  a  'silent'  power  is  concrete,  constrained,  and original.",text,body_text,"This Article provides the first comprehensive account of the doctrine of federal incorporation and its current use, as well as an index of all federal corporations from the Founding to the present. In addition, this Article makes two important interventions. First, by clarifying the legal basis of federal incorporation, the existence of the charter power may offer alternative rationales for the constitutionality of federal legislation, alternatives to existing constructions of administrative law, and a coherent way to analyze large transactions which currently defy categorization. Second, as the current Court considers whether to invalidate existing jurisprudence which endorses “implied” rights, the existence of the charter power cuts against the theoretical case for doing so. Challenging the presumption against the legitimacy of unenumerated powers and rights, the charter power demonstrates that, in at least one case, a “silent” power is concrete, constrained, and original.",,96.5587044534413,matched
3,I NTRODUCTION,section_header,body_text,Introduction,,95.65217391304348,matched
3,"This  Article  shows  that  Congress  has  an  independent  constitutional power to charter corporations. Because the word 'corporation' is not in the Constitution, scholars have generally overlooked this power. 1 The few that have noted the possibility of the corporate power's existence have done so in passing, without developing why it is constitutional, describing what its legal parameters are, or explaining what it means today. 2 Some",text,body_text,"This Article shows that Congress has an independent constitutional power to charter corporations. Because the word “corporation” is not in the Constitution, scholars have generally overlooked this power. 1 1. See Erwin Chemerinsky, Constitutional Law 120–21, 155, 1846 (6th ed. 2020) (discussing McCulloch v. Maryland but containing no index entry for “corporation” as it relates to Congress); Geoffrey R. Stone, Louis Michael Seidman, Cass R. Sunstein, Mark V. Tushnet & Pamela S. Karlan, Constitutional Law 66–68, 1644 (8th ed. 2018) (discussing McCulloch v. Maryland but containing no index entry for “corporation”); see also Randy E. Barnett & Josh Blackman, Constitutional Law: Cases in Context 116, 1768 (3d ed. 2018) (mentioning a “power of incorporation” in passing in reference to McCulloch but containing no index entry for “corporation”); Paul Brest, Sanford Levinson, Jack M. Balkin, Akhil Reed Amar & Reva B. Siegel, Processes of Constitutional Decisionmaking: Cases and Materials 27–28, 59, 1774 (7th ed. 2018) (focusing on “banking” but not on corporations, noting that the First and Second Banks were formed by incorporation but refraining from offering an opinion as to whether or not the power to incorporate was drafted into the Constitution, and containing no index entry for “corporation”). Show More The few that have noted the possibility of the corporate power’s existence have done so in passing, without developing why it is constitutional, describing what its legal parameters are, or explaining what it means today. 2 2. Charles Black, Jr., noted in 1969 that, in McCulloch v. Maryland , Chief Justice Marshall “decided . . . that Congress possesses the power . . . [of] chartering corporations” on bases other than the Necessary and Proper Clause. Charles L. Black, Jr., Structure and Relationship in Constitutional Law 14 (1969). Recently, scholars have stated that the corporate power exists and is constitutional but have not developed the point further. See, e.g., Nikolas Bowie, Corporate Personhood v. Corporate Statehood, 132 Harv. L. Rev. 2009, 2015 (2019) (reviewing Adam Winkler, We the Corporations: How American Businesses Won Their Civil Rights (2018)) (“Even though the U.S. Constitution didn’t mention corporations, members of all three of the federal government’s branches considered the power of incorporation such an inherent feature of sovereignty that they authorized Congress to charter corporations as the Constitution’s first implied power.”); see also Jonathan Gienapp, The Lost Constitution: The Rise and Fall of James Wilson’s and Gouverneur Morris’s Constitutionalism at the Founding 46 n.146 (Mar. 4, 2020) [hereinafter Gienapp, Lost Constitution] (unpublished manuscript) (on file with author) (“The real question . . . was whether it was politically useful to reinforce the already vested [incorporation] power through enumeration or not.” (citation omitted)); Robert J. Kaczorowski, Inherent National Sovereignty Constitutionalism: An Original Understanding of the U.S. Constitution, 101 Minn. L. Rev. 699, 701–02, 706 (2016) (describing incorporation as “one of [Congress’s] inherent sovereign powers”—evidence of a broader theory of constitutional understanding he argues existed in the early republic called “inherent national sovereignty constitutionalism”—but leaving ambiguous the scope, nature, number, independence, or possible contemporary applications of the powers that flow from this theory).As I discuss in Part II, a broad “sovereignty” argument is, on its own, insufficient to clear the hurdle of proving federal incorporation’s status as an autonomous constitutional power, not least because sovereignty itself was transformed by the change from the British to the American Constitution. Along similar lines, as I explain in Part III, the power was not “vested,” in the sense that it simply continued unabated, but had to be constructed by the Marshall Court. For the enumerated/unenumerated debate at the Founding generally, see Richard Primus, “The Essential Characteristic”: Enumerated Powers and the Bank of the United States, 117 Mich. L. Rev. 415, 417–26 (2018) [hereinafter Primus, Essential Characteristic]. Show More Some go so far as to erroneously claim that “[a]s best we can tell, the people who wrote and ratified the Constitution simply never considered whether the Constitution applied to corporations.” 3 3. Winkler, supra note 2, at 3; see also Jack N. Rakove, Original Meanings: Politics and Ideas in the Making of the Constitution 355 (1996) (arguing that James Madison’s motion at the Constitutional Convention to grant Congress a power of incorporation “obviously presumed that such authority did not yet exist elsewhere in the Constitution” and that Alexander Hamilton was “less likely to agonize over constitutional distinctions with Madison’s intensity”). Show More This oversight has left fundamentally unstable a field of law that sits at the center of American economic life. Even more importantly, it has meant that both the practical and theoretical implications of an entire constitutional power have remained unexplored.",,74.6606334841629,matched
3,"1 See Erwin Chemerinsky, Constitutional Law 120-21, 155, 1846 (6th ed. 2020) (discussing McCulloch  v.  Maryland but  containing  no  index  entry  for  'corporation'  as  it  relates  to Congress); Geoffrey R. Stone, Louis Michael Seidman, Cass R. Sunstein, Mark V. Tushnet & Pamela S. Karlan, Constitutional Law 66-68, 1644 (8th ed. 2018) (discussing McCulloch v. Maryland but containing no index entry for 'corporation'); see also Randy E. Barnett & Josh Blackman,  Constitutional  Law:  Cases  in  Context  116,  1768  (3d  ed.  2018)  (mentioning  a 'power of incorporation' in passing in reference to McCulloch but containing no index entry for 'corporation'); Paul Brest, Sanford Levinson, Jack M. Balkin, Akhil Reed Amar & Reva B. Siegel, Processes of Constitutional Decisionmaking: Cases and Materials 27-28, 59, 1774 (7th ed. 2018) (focusing on 'banking' but not on corporations, noting that the First and Second Banks were formed by incorporation but refraining from offering an opinion as to whether or not the power to incorporate was drafted into the Constitution, and containing no index entry for 'corporation').",footnote,body_text,"This Article shows that Congress has an independent constitutional power to charter corporations. Because the word “corporation” is not in the Constitution, scholars have generally overlooked this power. 1 1. See Erwin Chemerinsky, Constitutional Law 120–21, 155, 1846 (6th ed. 2020) (discussing McCulloch v. Maryland but containing no index entry for “corporation” as it relates to Congress); Geoffrey R. Stone, Louis Michael Seidman, Cass R. Sunstein, Mark V. Tushnet & Pamela S. Karlan, Constitutional Law 66–68, 1644 (8th ed. 2018) (discussing McCulloch v. Maryland but containing no index entry for “corporation”); see also Randy E. Barnett & Josh Blackman, Constitutional Law: Cases in Context 116, 1768 (3d ed. 2018) (mentioning a “power of incorporation” in passing in reference to McCulloch but containing no index entry for “corporation”); Paul Brest, Sanford Levinson, Jack M. Balkin, Akhil Reed Amar & Reva B. Siegel, Processes of Constitutional Decisionmaking: Cases and Materials 27–28, 59, 1774 (7th ed. 2018) (focusing on “banking” but not on corporations, noting that the First and Second Banks were formed by incorporation but refraining from offering an opinion as to whether or not the power to incorporate was drafted into the Constitution, and containing no index entry for “corporation”). Show More The few that have noted the possibility of the corporate power’s existence have done so in passing, without developing why it is constitutional, describing what its legal parameters are, or explaining what it means today. 2 2. Charles Black, Jr., noted in 1969 that, in McCulloch v. Maryland , Chief Justice Marshall “decided . . . that Congress possesses the power . . . [of] chartering corporations” on bases other than the Necessary and Proper Clause. Charles L. Black, Jr., Structure and Relationship in Constitutional Law 14 (1969). Recently, scholars have stated that the corporate power exists and is constitutional but have not developed the point further. See, e.g., Nikolas Bowie, Corporate Personhood v. Corporate Statehood, 132 Harv. L. Rev. 2009, 2015 (2019) (reviewing Adam Winkler, We the Corporations: How American Businesses Won Their Civil Rights (2018)) (“Even though the U.S. Constitution didn’t mention corporations, members of all three of the federal government’s branches considered the power of incorporation such an inherent feature of sovereignty that they authorized Congress to charter corporations as the Constitution’s first implied power.”); see also Jonathan Gienapp, The Lost Constitution: The Rise and Fall of James Wilson’s and Gouverneur Morris’s Constitutionalism at the Founding 46 n.146 (Mar. 4, 2020) [hereinafter Gienapp, Lost Constitution] (unpublished manuscript) (on file with author) (“The real question . . . was whether it was politically useful to reinforce the already vested [incorporation] power through enumeration or not.” (citation omitted)); Robert J. Kaczorowski, Inherent National Sovereignty Constitutionalism: An Original Understanding of the U.S. Constitution, 101 Minn. L. Rev. 699, 701–02, 706 (2016) (describing incorporation as “one of [Congress’s] inherent sovereign powers”—evidence of a broader theory of constitutional understanding he argues existed in the early republic called “inherent national sovereignty constitutionalism”—but leaving ambiguous the scope, nature, number, independence, or possible contemporary applications of the powers that flow from this theory).As I discuss in Part II, a broad “sovereignty” argument is, on its own, insufficient to clear the hurdle of proving federal incorporation’s status as an autonomous constitutional power, not least because sovereignty itself was transformed by the change from the British to the American Constitution. Along similar lines, as I explain in Part III, the power was not “vested,” in the sense that it simply continued unabated, but had to be constructed by the Marshall Court. For the enumerated/unenumerated debate at the Founding generally, see Richard Primus, “The Essential Characteristic”: Enumerated Powers and the Bank of the United States, 117 Mich. L. Rev. 415, 417–26 (2018) [hereinafter Primus, Essential Characteristic]. Show More Some go so far as to erroneously claim that “[a]s best we can tell, the people who wrote and ratified the Constitution simply never considered whether the Constitution applied to corporations.” 3 3. Winkler, supra note 2, at 3; see also Jack N. Rakove, Original Meanings: Politics and Ideas in the Making of the Constitution 355 (1996) (arguing that James Madison’s motion at the Constitutional Convention to grant Congress a power of incorporation “obviously presumed that such authority did not yet exist elsewhere in the Constitution” and that Alexander Hamilton was “less likely to agonize over constitutional distinctions with Madison’s intensity”). Show More This oversight has left fundamentally unstable a field of law that sits at the center of American economic life. Even more importantly, it has meant that both the practical and theoretical implications of an entire constitutional power have remained unexplored.",,97.86666666666667,matched
3,"2 Charles Black, Jr., noted in 1969 that, in McCulloch v. Maryland , Chief Justice Marshall 'decided . . . that  Congress  possesses  the  power . . . [of]  chartering  corporations'  on  bases other than the Necessary and Proper Clause. Charles L. Black, Jr., Structure and Relationship in Constitutional Law 14 (1969). Recently, scholars have stated that the corporate power exists and  is  constitutional  but  have  not  developed  the  point  further.  See,  e.g.,  Nikolas  Bowie, Corporate  Personhood  v.  Corporate  Statehood,  132  Harv.  L.  Rev.  2009,  2015  (2019)",footnote,footnote,,"Charles Black, Jr., noted in 1969 that, in McCulloch v. Maryland , Chief Justice Marshall “decided . . . that Congress possesses the power . . . [of] chartering corporations” on bases other than the Necessary and Proper Clause. Charles L. Black, Jr., Structure and Relationship in Constitutional Law 14 (1969). Recently, scholars have stated that the corporate power exists and is constitutional but have not developed the point further. See, e.g., Nikolas Bowie, Corporate Personhood v. Corporate Statehood, 132 Harv. L. Rev. 2009, 2015 (2019) (reviewing Adam Winkler, We the Corporations: How American Businesses Won Their Civil Rights (2018)) (“Even though the U.S. Constitution didn’t mention corporations, members of all three of the federal government’s branches considered the power of incorporation such an inherent feature of sovereignty that they authorized Congress to charter corporations as the Constitution’s first implied power.”); see also Jonathan Gienapp, The Lost Constitution: The Rise and Fall of James Wilson’s and Gouverneur Morris’s Constitutionalism at the Founding 46 n.146 (Mar. 4, 2020) [hereinafter Gienapp, Lost Constitution] (unpublished manuscript) (on file with author) (“The real question . . . was whether it was politically useful to reinforce the already vested [incorporation] power through enumeration or not.” (citation omitted)); Robert J. Kaczorowski, Inherent National Sovereignty Constitutionalism: An Original Understanding of the U.S. Constitution, 101 Minn. L. Rev. 699, 701–02, 706 (2016) (describing incorporation as “one of [Congress’s] inherent sovereign powers”—evidence of a broader theory of constitutional understanding he argues existed in the early republic called “inherent national sovereignty constitutionalism”—but leaving ambiguous the scope, nature, number, independence, or possible contemporary applications of the powers that flow from this theory). As I discuss in Part II, a broad “sovereignty” argument is, on its own, insufficient to clear the hurdle of proving federal incorporation’s status as an autonomous constitutional power, not least because sovereignty itself was transformed by the change from the British to the American Constitution. Along similar lines, as I explain in Part III, the power was not “vested,” in the sense that it simply continued unabated, but had to be constructed by the Marshall Court. For the enumerated/unenumerated debate at the Founding generally, see Richard Primus, “The Essential Characteristic”: Enumerated Powers and the Bank of the United States, 117 Mich. L. Rev. 415, 417–26 (2018) [hereinafter Primus, Essential Characteristic].",96.96428571428571,matched
