page_no,pdf_text,pdf_original_label,pdf_corrected_label,matched_html_body,matched_html_footnote,match_confidence,match_status
,,,,Download PDF,,0,html_body_unmatched
,,,,Carl Tobias*,,0,html_body_unmatched
,,,,"Marriage equality has swept America. Numerous federal judges, including Western District of Wisconsin Judge Barbara Crabb, have invalidated state proscriptions on same-sex marriage. This paper scrutinizes U.S. litigation, Crabb’s opinion, Seventh Circuit affirmance, and Supreme Court resolution. Finding that Wisconsin shows how to efficaciously institute full marriage equality, even as other states have not, the piece affords future suggestions.",,0,html_body_unmatched
,,,,"United States v. Windsor 1 triggered the new cases 2 in all states which banned same-sex marriage. 3 The Court ruled that the Defense of Marriage Act (DOMA) 4 violated the Constitution 5 by harming dignity, financial, and other interests of same-sex couples and their children. 6 It praised federalism without treating state bans. 7 In dissent, Chief Justice John Roberts asserted that the Court did not address their validity, 8 while Justice Antonin Scalia agreed but presciently claimed that the arguments for striking down DOMA could similarly govern the bans. 9 Almost thirty federal district court judges overturned limitations; two upheld them. 10 Four circuit courts of appeals affirmed invalidations, ruling that bans violated the Equal Protection 11 and Due Process Clauses. 12 On November 6, 2014, the Sixth Circuit upheld bans, and on January 16, 2015, the Court granted certiorari. 13",,0,html_body_unmatched
,,,,"In February 2014, plaintiffs challenged Wisconsin’s laws, and that June, Judge Barbara Crabb invalidated them in Wolf v. Walker . 14 The parties agreed that marriage is central to society, which she linked with “our sense of self, personal autonomy and public dignity.” 15 This required scrutiny to ascertain whether the bans violated constitutional guarantees, which prompted her conclusion that “defendants are . . . denying equal citizenship to plaintiffs” by not allowing their marriage. 16 When the state deprives a whole “class of citizens of a right as fundamental as marriage,” it must at least show that this advances a legitimate interest apart from a desire to maintain the status quo. 17",,0,html_body_unmatched
,,,,"Crabb found “[un]persuasive” arguments to immunize the ban from review. Baker v. Nelson 18 was not controlling when later doctrinal developments made it suspect, 19 as the Court “has denounced the view implicit in cases such as Baker that gay persons are ‘strangers to the law.’” 20 She analyzed the idea that judges should not question state voters’ decisions about whether and when to permit same-sex marriage 21 but decided that a general federalism interest, although important, could not trump the Fourteenth Amendment, 22 which grants federal courts well-established power to determine whether state laws violate individuals’ constitutional rights. 23",,0,html_body_unmatched
,,,,"Crabb assessed the review standard for whether bans denied a fundamental due process right to marry and equal protection by discriminating against plaintiffs on “the basis of sex and sexual orientation.” 24 She asserted, “The ‘liberty’ protected by the due process clause . . . includes the ‘fundamental right’ to marry, a conclusion that the Supreme Court has reaffirmed many times.” 25 The Justices have stated that “‘[w]hen a statutory classification significantly interferes with the exercise of a fundamental right’ . . . the law ‘cannot be upheld unless it is supported by sufficiently important state interests and is closely tailored to effectuate only those interests.’” 26 Crabb analyzed the right’s scope, asking whether the “wish to marry someone of the same-sex falls within the right to marry already firmly established in Supreme Court precedent,” finding it does. 27 She treated marriage’s purposes, rejecting procreation as the sole reason for constitutional protection, since the Supreme Court has never made this a requirement. 28 Because the state offered no reason that same-sex couples cannot fulfill marriage’s purposes “just as well as opposite-sex couples,” Crabb interpreted the right to include same-sex marriage 29 and concluded the issue is whether a right exists “from which same-sex couples can be excluded.” 30",,0,html_body_unmatched
,,,,"She addressed the claim that same-sex marriage’s inclusion would contradict Washington v. Glucksberg , 31 in which the Court “stated that its substantive-due-process jurisprudence . . . has been a process whereby the outlines of the liberty specially protected by the Fourteenth Amendment . . . have . . . been carefully refined by concrete examples involving fundamental rights found to be deeply rooted in our legal tradition.” 32 Crabb had difficulty squaring that case with two in which the “Court recognized . . . rights . . . [not] ‘deeply rooted’ in the country’s legal tradition at the time.” 33 She found that Glucksberg “involved the question whether a right to engage in certain conduct . . . should be expanded to include a right to engage in different conduct,” 34 whereas “the conduct at issue [in Wolf ] [wa]s exactly the same as that already protected: getting married.” 35 Crabb said two major cases show “that the state cannot rely on a history of exclusion to narrow the scope of [a] right,” 36 which “must be framed in neutral terms to prevent arbitrary exclusions of entire classes of people,” 37 and history is not determinative, especially given more recent legal and societal changes. 38 She concluded that Wisconsin laws interfere significantly with the right to marry, so they required support in “sufficiently important state interests . . . closely tailored to effectuate only these interests.” 39",,0,html_body_unmatched
,,,,"Crabb treated the equal protection claim, 40 saying that “[m]ost classifications must be upheld against [an] equal protection challenge if there is any reasonably conceivable state of facts that could provide a rational basis for the classification.” 41 However, elevated review may apply. 42 For a “suspect” classification, the Supreme Court uses “strict scrutiny,” which requires that states show the classification is “narrowly tailored” to attain a “compelling” interest. 43 For others, namely gender, the Justices employ “intermediate scrutiny,” so “classifications must be substantially related to the achievement of an important governmental objective.” 44",,0,html_body_unmatched
,,,,"Plaintiffs argued for elevated scrutiny, as the ban discriminates based on sex and sexual orientation. 45 Because the Supreme Court and Seventh Circuit had not endorsed the first, Crabb eschewed it. 46 As to sexual orientation discrimination, she found that the Supreme Court has never explicitly applied heightened review, but some assert that two cases show it uses elevated review. 47 Crabb, thus, assessed the criteria that the Justices apply: “(1) whether the class has been subjected to a history of discrimination; (2) whether individuals in the class are able to contribute to society to the same extent as others; (3) whether the characteristic defining the class is immutable; and (4) whether the class is politically powerless.” 48 She analyzed immutability, deeming sexual orientation basic to a person’s identity, even if not immutable. 49 Crabb found that the last criterion was not relevant; 50 the idea “would be challenging to apply” and “it is difficult to understand why a group’s political power should be determinative.” 51 Insofar as the concept is pertinent, she thought it best stated “as whether the class is inherently vulnerable in the context of the ordinary political process, either because of its size or history of disenfranchisement.” 52 Given “that gay persons make up only a small percentage of the population and that there is no dispute that they have been subjected to a history of discrimination,” Crabb easily concluded that this factor was met. 53",,0,html_body_unmatched
,,,,"In short, sexual orientation discrimination received elevated scrutiny but was most akin to sex among the classifications with this protection. 54 “Because sex discrimination receives intermediate scrutiny and the difference between intermediate scrutiny and strict scrutiny is not dispositive,” she used intermediate scrutiny, so Wisconsin had to show that its ban was substantially related to attaining an important state goal. 55 Crabb, thus, assessed whether the state had shown that the ban furthers a legitimate purpose and found that the interests advanced were like those urged by jurisdictions in other ban cases and the DOMA defenders 56 in Windsor that the Supreme Court did not credit. 57 However, deciding whether Windsor controlled was unnecessary because defendants “failed to show that the ban furthers a legitimate state interest.” 58",,0,html_body_unmatched
,,,,"She then reviewed Wisconsin’s interests. Crabb first explored tradition, which “can be important because it often reflects lessons of experience,” 59 but deemed critical the reasons underlying traditions and that courts must decide whether they satisfy equal protection. 60 Traditions also “may endure because of unexamined assumptions about a particular class of people rather than because the laws serve the community as a whole,” 61 prompting the Supreme Court to say that the “[a]ncient lineage of a legal concept does not give it immunity from attack for lacking a rational basis.” 62 “Thus, if blind adherence to the past is the only justification for the law, it must fail.” 63 Crabb found that the most common defense was “that procreation is the primary purpose of marriage and that same-sex couples cannot procreate with each other.” 64 A problem with this idea was how denying same-sex couples marriage “encourage[s] opposite-sex couples to have children.” 65 Another was obvious: “if the reason same-sex couples cannot marry is that they cannot procreate, then why are opposite-sex couples who cannot or will not procreate allowed to marry?” 66",,0,html_body_unmatched
,,,,"The third was optimal child rearing, which the judge found experts and jurists have seriously questioned and conflicts with the second. 67 Even if courts “assume that children fare better with two biological parents,” four reasons undercut the idea. 68 First, it was “another incredibly underinclusive argument.” 69 “Second, even if being raised by two biological parents provides the ‘optimal’ environment on average, this would not necessarily justify a discriminatory law.” 70 Third, whether or not same-sex couples are married, some will rear children, as they long have, so the ban’s most direct effect was fostering “less than optimal results for children of same-sex parents by stigmatizing them and depriving them of the benefits that marriage could provide.” 71 Finally, defendants also did not “explain how banning same-sex marriage helps to insure that more children are raised by an opposite-sex couple.” 72",,0,html_body_unmatched
,,,,"She assessed the fourth idea, protecting the marital institution, and doubted that the Court would even find this interest legitimate. 73 It “suffer[ed] from the same problem of underinclusiveness as the other asserted interests,” 74 and no cogent argument supported defendants’ “belief that allowing same-sex couples to marry somehow will lead to the de-valuing of children in marriage or have some other adverse effect on the marriages of heterosexual couples.” 75 “Under any amount of heightened scrutiny, this interest undoubtedly fails.” 76",,0,html_body_unmatched
