[ 8] 15:16:45 | Duke Law Journal                    | Starting real collection (10 articles)
[ 8] 15:16:45 | Duke Law Journal                    | Article 1: Fetching HTML...
[ 8] 15:16:46 | Duke Law Journal                    |   Saved: duke_law_journal_Vol__75_Masthead_pdf.html (85KB)
[ 8] 15:16:46 | Duke Law Journal                    |   ⚠️  No PDF link found
[ 8] 15:16:46 | Duke Law Journal                    | Article 2: Fetching HTML...
[ 8] 15:16:46 | Duke Law Journal                    |   Saved: duke_law_journal_Duke_Law_Journal.html (52KB)
[ 8] 15:16:46 | Duke Law Journal                    |   ⚠️  No PDF link found
[ 8] 15:16:46 | Duke Law Journal                    | Article 3: Fetching HTML...
[ 8] 15:16:47 | Duke Law Journal                    |   Saved: duke_law_journal_Duke_Law_Journal.html (52KB)
[ 8] 15:16:47 | Duke Law Journal                    |   ⚠️  No PDF link found
[ 8] 15:16:47 | Duke Law Journal                    | Article 4: Fetching HTML...
[ 8] 15:16:47 | Duke Law Journal                    |   Saved: duke_law_journal_Duke_Law_Journal.html (60KB)
[ 8] 15:16:47 | Duke Law Journal                    |   ⚠️  No PDF link found
[ 8] 15:16:47 | Duke Law Journal                    | Article 5: Fetching HTML...
[ 8] 15:16:48 | Duke Law Journal                    |   Saved: duke_law_journal_Duke_Law_Journal.html (60KB)
[ 8] 15:16:48 | Duke Law Journal                    |   ⚠️  No PDF link found
[ 8] 15:16:48 | Duke Law Journal                    | Article 6: Fetching HTML...
[ 8] 15:16:48 | Duke Law Journal                    |   Saved: duke_law_journal_Duke_Law_Journal.html (59KB)
[ 8] 15:16:48 | Duke Law Journal                    |   ⚠️  No PDF link found
[ 8] 15:16:48 | Duke Law Journal                    | Done: 0 downloaded, 0 failed (4s)
