[ 1] 15:13:35 | Harvard Law Review                  | Starting real collection (10 articles)
[ 1] 15:13:36 | Harvard Law Review                  | Article 1: Fetching HTML...
[ 1] 15:13:36 | Harvard Law Review                  |   Saved: harvard_law_review_____Articles__.html (78KB)
[ 1] 15:13:36 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:13:36 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:13:39 | Harvard Law Review                  | Article 2: Fetching HTML...
[ 1] 15:13:39 | Harvard Law Review                  |   Saved: harvard_law_review_Unwarranted_Warrants__An_Empirical_Analysis_of_Jud.html (123KB)
[ 1] 15:13:39 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:13:40 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:13:43 | Harvard Law Review                  | Article 3: Fetching HTML...
[ 1] 15:13:43 | Harvard Law Review                  |   Saved: harvard_law_review_Appendix_for_Unwarranted_Warrants__An_Empirical_An.html (2611KB)
[ 1] 15:13:43 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:13:43 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:13:46 | Harvard Law Review                  | Article 4: Fetching HTML...
[ 1] 15:13:46 | Harvard Law Review                  |   Saved: harvard_law_review_Fighting_Words_at_the_Founding.html (279KB)
[ 1] 15:13:47 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:13:47 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:13:50 | Harvard Law Review                  | Article 5: Fetching HTML...
[ 1] 15:13:50 | Harvard Law Review                  |   Saved: harvard_law_review__Background_Principles__and_the_General_Law_of_Pro.html (247KB)
[ 1] 15:13:50 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:13:50 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:13:53 | Harvard Law Review                  | Article 6: Fetching HTML...
[ 1] 15:13:53 | Harvard Law Review                  |   Saved: harvard_law_review_Appendix_for_Codify_Gardner.html (74KB)
[ 1] 15:13:54 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:13:54 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:13:57 | Harvard Law Review                  | Article 7: Fetching HTML...
[ 1] 15:13:57 | Harvard Law Review                  |   Saved: harvard_law_review_Codify_Gardner.html (235KB)
[ 1] 15:13:57 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:13:57 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:00 | Harvard Law Review                  | Article 8: Fetching HTML...
[ 1] 15:14:01 | Harvard Law Review                  |   Saved: harvard_law_review_Making_Equal_Protection_Protect.html (243KB)
[ 1] 15:14:01 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:01 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:04 | Harvard Law Review                  | Article 9: Fetching HTML...
[ 1] 15:14:04 | Harvard Law Review                  |   Saved: harvard_law_review_CompassCare_v__Hochul.html (147KB)
[ 1] 15:14:04 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:04 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:07 | Harvard Law Review                  | Article 10: Fetching HTML...
[ 1] 15:14:08 | Harvard Law Review                  |   Saved: harvard_law_review_Lara_v__Commissioner_Pennsylvania_State_Police.html (142KB)
[ 1] 15:14:08 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:08 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:11 | Harvard Law Review                  | Done: 10 downloaded, 0 failed (35s)
[ 1] 15:14:18 | Harvard Law Review                  | Starting real collection (10 articles)
[ 1] 15:14:19 | Harvard Law Review                  | Article 1: Fetching HTML...
[ 1] 15:14:19 | Harvard Law Review                  |   Saved: harvard_law_review_____Articles__.html (78KB)
[ 1] 15:14:19 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:19 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:22 | Harvard Law Review                  | Article 2: Fetching HTML...
[ 1] 15:14:22 | Harvard Law Review                  |   Saved: harvard_law_review_Unwarranted_Warrants__An_Empirical_Analysis_of_Jud.html (123KB)
[ 1] 15:14:22 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:22 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:25 | Harvard Law Review                  | Article 3: Fetching HTML...
[ 1] 15:14:26 | Harvard Law Review                  |   Saved: harvard_law_review_Appendix_for_Unwarranted_Warrants__An_Empirical_An.html (2611KB)
[ 1] 15:14:26 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:26 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:29 | Harvard Law Review                  | Article 4: Fetching HTML...
[ 1] 15:14:29 | Harvard Law Review                  |   Saved: harvard_law_review_Fighting_Words_at_the_Founding.html (279KB)
[ 1] 15:14:29 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:29 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:32 | Harvard Law Review                  | Article 5: Fetching HTML...
[ 1] 15:14:33 | Harvard Law Review                  |   Saved: harvard_law_review__Background_Principles__and_the_General_Law_of_Pro.html (247KB)
[ 1] 15:14:33 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:33 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:36 | Harvard Law Review                  | Article 6: Fetching HTML...
[ 1] 15:14:36 | Harvard Law Review                  |   Saved: harvard_law_review_Appendix_for_Codify_Gardner.html (74KB)
[ 1] 15:14:36 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:36 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:39 | Harvard Law Review                  | Article 7: Fetching HTML...
[ 1] 15:14:39 | Harvard Law Review                  |   Saved: harvard_law_review_Codify_Gardner.html (235KB)
[ 1] 15:14:39 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:40 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:43 | Harvard Law Review                  | Article 8: Fetching HTML...
[ 1] 15:14:43 | Harvard Law Review                  |   Saved: harvard_law_review_Making_Equal_Protection_Protect.html (243KB)
[ 1] 15:14:43 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:43 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:46 | Harvard Law Review                  | Article 9: Fetching HTML...
[ 1] 15:14:46 | Harvard Law Review                  |   Saved: harvard_law_review_CompassCare_v__Hochul.html (147KB)
[ 1] 15:14:46 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:46 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:49 | Harvard Law Review                  | Article 10: Fetching HTML...
[ 1] 15:14:50 | Harvard Law Review                  |   Saved: harvard_law_review_Lara_v__Commissioner_Pennsylvania_State_Police.html (142KB)
[ 1] 15:14:50 | Harvard Law Review                  |   PDF URL: https://harvardlawreview.org/wp-content/uploads/2025/05/Harv
[ 1] 15:14:50 | Harvard Law Review                  |   ✓ PDF saved (195KB)
[ 1] 15:14:53 | Harvard Law Review                  | Done: 10 downloaded, 0 failed (34s)
