[ 2] 15:14:55 | Stanford Law Review                 | Starting real collection (10 articles)
[ 2] 15:14:55 | Stanford Law Review                 | Article 1: Fetching HTML...
[ 2] 15:14:55 | Stanford Law Review                 |   Saved: stanford_law_review_Print_Issues.html (71KB)
[ 2] 15:14:55 | Stanford Law Review                 |   ⚠️  No PDF link found
[ 2] 15:14:55 | Stanford Law Review                 | Article 2: Fetching HTML...
[ 2] 15:14:56 | Stanford Law Review                 |   Saved: stanford_law_review_Mastheads.html (75KB)
[ 2] 15:14:56 | Stanford Law Review                 |   PDF URL: https://review.law.stanford.edu/wp-content/uploads/sites/3/2
[ 2] 15:14:56 | Stanford Law Review                 |   ✓ PDF saved (70KB)
[ 2] 15:14:59 | Stanford Law Review                 | Article 3: Fetching HTML...
[ 2] 15:14:59 | Stanford Law Review                 |   Saved: stanford_law_review_After_Notice_and_Choice__Reinvigorating__Unfairnes.html (58KB)
[ 2] 15:14:59 | Stanford Law Review                 |   PDF URL: https://review.law.stanford.edu/wp-content/uploads/sites/3/2
[ 2] 15:15:00 | Stanford Law Review                 |   ✓ PDF saved (540KB)
[ 2] 15:15:03 | Stanford Law Review                 | Article 4: Fetching HTML...
[ 2] 15:15:03 | Stanford Law Review                 |   Saved: stanford_law_review_Governing_the_Company_Town.html (58KB)
[ 2] 15:15:03 | Stanford Law Review                 |   PDF URL: https://review.law.stanford.edu/wp-content/uploads/sites/3/2
[ 2] 15:15:03 | Stanford Law Review                 |   ✓ PDF saved (919KB)
[ 2] 15:15:06 | Stanford Law Review                 | Article 5: Fetching HTML...
[ 2] 15:15:06 | Stanford Law Review                 |   Saved: stanford_law_review_Abandoning_Deportation_Adjudication.html (58KB)
[ 2] 15:15:06 | Stanford Law Review                 |   PDF URL: https://review.law.stanford.edu/wp-content/uploads/sites/3/2
[ 2] 15:15:07 | Stanford Law Review                 |   ✓ PDF saved (496KB)
[ 2] 15:15:10 | Stanford Law Review                 | Article 6: Fetching HTML...
[ 2] 15:15:10 | Stanford Law Review                 |   Saved: stanford_law_review_Municipalities_and_the_Banking_Franchise.html (55KB)
[ 2] 15:15:10 | Stanford Law Review                 |   PDF URL: https://review.law.stanford.edu/wp-content/uploads/sites/3/2
[ 2] 15:15:10 | Stanford Law Review                 |   ✓ PDF saved (415KB)
[ 2] 15:15:13 | Stanford Law Review                 | Article 7: Fetching HTML...
[ 2] 15:15:13 | Stanford Law Review                 |   Saved: stanford_law_review_Print_Issues.html (71KB)
[ 2] 15:15:13 | Stanford Law Review                 |   ⚠️  No PDF link found
[ 2] 15:15:13 | Stanford Law Review                 | Done: 5 downloaded, 0 failed (18s)
