[14] 15:17:10 | Texas Law Review                    | Starting real collection (10 articles)
[14] 15:17:10 | Texas Law Review                    | Article 1: Fetching HTML...
[14] 15:17:10 | Texas Law Review                    |   Saved: texas_law_review_Archive_.html (55KB)
[14] 15:17:10 | Texas Law Review                    |   ⚠️  No PDF link found
[14] 15:17:10 | Texas Law Review                    | Article 2: Fetching HTML...
[14] 15:17:11 | Texas Law Review                    |   Saved: texas_law_review_Archive_.html (42KB)
[14] 15:17:11 | Texas Law Review                    |   ⚠️  No PDF link found
[14] 15:17:11 | Texas Law Review                    | Article 3: Fetching HTML...
[14] 15:17:11 | Texas Law Review                    |   Saved: texas_law_review_Online_Edition_.html (38KB)
[14] 15:17:11 | Texas Law Review                    |   ⚠️  No PDF link found
[14] 15:17:11 | Texas Law Review                    | Article 4: Fetching HTML...
[14] 15:17:11 | Texas Law Review                    |   Saved: texas_law_review_Online_Edition_.html (43KB)
[14] 15:17:11 | Texas Law Review                    |   ⚠️  No PDF link found
[14] 15:17:11 | Texas Law Review                    | Done: 0 downloaded, 0 failed (1s)
