text,html_label,docling_label,similarity,html_index,pdf_index,document
"In a recent issue of this Review , Spencer Bowley explains why interest convergence, which once improved Black American fortunes, now stands to benefit the working class in the United States. 1 Bowley reviews historical parallels, 2 current international conditions, 3 and case law on poverty as a suspect class 4 to show how competition from China and a pent-up desire from middleand working-class people may motivate the ruling class to make unprecedented concessions in favor of workers and the poor. 5",body_text,text,0.9842209072978304,3,4,bu_law_review_interest_convergence_working_class
"We agree and in fact see little reason to believe that interest convergence need confine itself to the field of minority rights alone. Indeed, we posit that the classforward movement Bowley foresees has already begun, mainly in the form of legislation dating to the early months of the Biden Administration aimed at increasing blue-collar jobs and strengthening the social welfare safety net, 6 plus a few tentative steps in the State Department to strengthen ties with allies against the China threat. 7",body_text,text,0.9930761622156281,4,5,bu_law_review_interest_convergence_working_class
"1 See Spencer Bowley, Note, Learning from History: Predicting the Development of ClassBased Interest Convergence , 101 B.U. L. REV. ONLINE 125 (2021).",body_text,footnote,0.9368770764119602,28,8,bu_law_review_interest_convergence_working_class
2 Id. at 126-31 (describing how Derrick Bell and others posited that interest convergence operated to produce civil rights breakthroughs in the fifties and sixties).,body_text,footnote,0.9909365558912386,29,9,bu_law_review_interest_convergence_working_class
"3 Id . at 127, 131-36 (showing how the rise of China may spur reconsideration of efforts on behalf of U.S. workers and the poor).",body_text,footnote,0.9844961240310077,30,10,bu_law_review_interest_convergence_working_class
"6 See, e.g. , Emily Cochrane, Democrats Begin Push to Expand U.S. Safety Net , N.Y. TIMES, Aug. 10, 2021, at A1 (discussing the Biden Administration's ambitious budget and legislative plans); N. Gregory Mankiw, Opinion, Can We Afford a Welfare State? , N.Y. TIMES, Sept. 17, 2021, at A22 (noting the high price tag of social welfare programs).",body_text,footnote,0.9385964912280702,33,13,bu_law_review_interest_convergence_working_class
"This comment briefly reviews the role of China in Part I. Part II discusses the rise of blue-collar populism of both the left and right. Bowley discusses both forces diligently. We merely point out that they are apt to be even more powerful, concerted, and enduring than he assumed. Part III puts forward an additional reason, based on Marxist economics, for predicting that corporate power will find it in its own interest to reduce the wealth gap in an age of rising competition from China.",body_text,text,1.0,6,16,bu_law_review_interest_convergence_working_class
"As Bowley puts it, China is claiming success in 'eradicating absolute poverty' 11 and carrying out massive infrastructural improvements that aim to benefit all its citizens. 12 Since Bowley wrote Learning from History , uncommitted nations in the developing world have taken note of China's accomplishments and quietly begun exploring trade, economic, and strategic relations with that country. 13 For example, Iran negotiated a broad coalition with",body_text,text,0.7978339350180506,8,18,bu_law_review_interest_convergence_working_class
"8 See Derrick A. Bell, Jr., Brown v. Board of Education and the Interest-Convergence Dilemma , 93 HARV. L. REV. 518 (1980) (positing that Cold War appearances and the threat of domestic violence were the driving forces behind the famous opinion); MARY L. DUDZIAK, COLD WAR CIVIL RIGHTS: RACE AND THE IMAGE OF AMERICAN DEMOCRACY (2000) (demonstrating, with the aid of documentary and archival evidence, that Bell's hunch was largely correct).",body_text,footnote,0.7981859410430839,35,20,bu_law_review_interest_convergence_working_class
9 See infra Part I (discussing the threat to U.S. hegemony emanating from China's advances).,body_text,footnote,0.972972972972973,36,21,bu_law_review_interest_convergence_working_class
"13 Chris Buckley, ' The East is Rising': Xi Maps Out China's Post-Covid Ascent , N.Y. TIMES (Sept. 9, 2021), https://www.nytimes.com/2021/03/03/world/asia/xi-chinacongress.html (reporting President Xi's warning to the West).",body_text,footnote,0.9508928571428571,40,25,bu_law_review_interest_convergence_working_class
"China has even begun purchasing farmland in Latin America, with the likely intention of hiring local workers to staff the new acreage, and may be looking to acquire farms in economically depressed regions of the United States. 16 China is also giving Latin American countries vaccines as a means of gaining political leverage in that region. 17",body_text,text,0.991304347826087,9,27,bu_law_review_interest_convergence_working_class
"14 Alam Saleh & Zakiyeh Yazdanshenas, Iran's Pact with China Is Bad News for the West , FOREIGN POL'Y (Aug. 9, 2020, 1:00 AM), https://foreignpolicy.com/2020/08/09/irans-pactwith-china-is-bad-news-for-the-west [https://perma.cc/ZFP3-XVS6] (discussing China's agreement with Iran).",body_text,footnote,0.948306595365419,41,29,bu_law_review_interest_convergence_working_class
"15 Kenneth Rapoza, Brazil Is Back to Being a China Story , FORBES (June 4, 2020, 7:00 AM), https://www.forbes.com/sites/kenrapoza/2020/06/04/brazil-is-back-to-being-a-chinastory/?sh=77cc5c962f88 (discussing Brazil's intention to develop commercial ties with China).",body_text,footnote,0.967984934086629,42,30,bu_law_review_interest_convergence_working_class
"16 See, e.g ., Ciara Nugent & Charlie Campbell, The U.S. and China Are Battling for Influence in Latin America, and the Pandemic Has Raised the Stakes , TIME (Feb. 4, 2021, 6:07 AM), https://time.com/5936037/us-china-latin-america-influence/; Margaret Myers & Guo Jie, China's Agricultural Investment in Latin America, DIALOGUE (June 27, 2015), https://www.thedialogue.org/wp-content/uploads/2015/06/Chinas-Agricultural-Investmentin-Latin-America.pdf (discussing the impending struggle for influence in Latin America); see also Ryan McCrimmon, China Is Buying Up American Farms. Washington Wants to Crack Down. , POLITICO (July 19, 2021, 4:30 AM), https://www.politico.com/news/2021/07/19/china-buying-us-farms-foreign-purchase499893 [https://perma.cc/Q6UE-B62G].",body_text,footnote,0.9711664482306684,43,31,bu_law_review_interest_convergence_working_class
