text,html_label,docling_label,similarity,html_index,pdf_index,document
"* J.D. Candidate, University of Alabama School of Law, May 2022; A.B., Politics, Princeton University 2011. Thank you especially to Professors Richard Delgado and Jean Stefancic: for your guidance during the paper-writing process, for your encouragement to seek publication, and for your mentorship and positive examples of radical lawyering. Thank you also to Haley, Erica, Ryne, Tyler, Matthew, Brandon, Sam, and Bre for your helpful comments and suggestions. To Bonnie, Karissa, Austin, Sophia, and James: you are collectively and continually my strength.",body_text,footnote,0.9991031390134529,50,6,bu_law_review_learning_from_history
"1 See Richard Delgado & Jean Stefancic, Critical Race Theory: Past, Present, and Future , 51 CURRENT LEGAL PROBS. 467, 467 (1998) (discussing origins of Critical Race Theory in the 1970s and its development).",body_text,footnote,0.9182692307692307,51,7,bu_law_review_learning_from_history
"2 See Athena D. Mutua, The Rise, Development and Future Directions of Critical Race Theory and Related Scholarship , 84 DENV. U. L. REV. 329, 348 (2006).",body_text,footnote,0.954248366013072,52,8,bu_law_review_learning_from_history
"One of the key insights of critical race scholars is the theory of 'interestconvergence' first proposed by Derrick Bell. 5 Bell scrutinized court decisions dealing with the rights of racial minorities, most significantly Brown v. Board of Education , 6 asserting that, rather than being based solely on lofty egalitarian ideals, the results in these cases that were positive for Black people were only possible because they were also in the interest of middleand upper-class Whites. 7 Of particular note is Bell's observation that, by granting rights to Black Americans and affirming the principle of equality, these decisions would bolster anti-communist sentiment domestically and internationally. 8",body_text,text,0.9743954480796586,4,10,bu_law_review_learning_from_history
"4 See id. at 377-79 (asserting, in this 2006 article, that Critical Race Theory scholarship had not produced a systematic analysis of class and proposing a new 'ClassCrits' movement).",body_text,footnote,0.9809264305177112,54,13,bu_law_review_learning_from_history
"5 See Derrick A. Bell, Jr., Brown v. Board of Education and the Interest-Convergence Dilemma , 93 HARV. L. REV. 518, 523 (1980) ('[T]his principle of 'interest convergence' provides: The interest of [B]lacks in achieving racial equality will be accommodated only when it converges with the interests of [W]hites. . . . [T]he fourteenth amendment, standing alone, will not authorize a judicial remedy providing effective racial equality for [B]lacks where the remedy sought threatens the superior societal status of middle and upper class [W]hites.').",body_text,footnote,0.9345454545454546,55,14,bu_law_review_learning_from_history
"9 See generally Juan F. Perea, The Black/White Binary Paradigm of Race: The 'Normal Science' of American Racial Thought , 85 CALIF. L. REV. 1213 (1997) (using notions and properties of paradigms to explore leading works on race and the 'Black/White Binary Paradigm' of race).",body_text,footnote,0.9490909090909091,59,18,bu_law_review_learning_from_history
"10 Kevin Terry, Note, Community Dreams and Nightmares: Arizona, Ethnic Studies, and the Continued Relevance of Derrick Bell's Interest-Convergence Thesis , 88 N.Y.U. L. REV. 1483, 1490 (2013) (citing Derrick A. Bell, Racial Remediation: An Historical Perspective on Current Conditions , 52 NOTRE DAME L. REV. 5, 6 (1976)).",body_text,footnote,0.9548989113530326,60,19,bu_law_review_learning_from_history
"11 See Benjamin Levin, Wage Theft Criminalization , 54 U.C. DAVIS L. REV. 1429, 149899 (2021) (examining the driving forces behind the criminalization of wage theft).",body_text,footnote,0.948948948948949,61,20,bu_law_review_learning_from_history
"The significant reduction of poverty in China, along with the country's significant investments in the infrastructure of poor countries in other parts of the world, provides an opportunity for a class-based interest convergence between the poor and the elite in the United States, echoing the racial interest convergence in the 1950s and 60s motivated by the threat of the Soviet Union.",body_text,text,0.9974093264248705,6,22,bu_law_review_learning_from_history
"Part I of this paper reviews interest-convergence theory in more depth, particularly how the specter of the Soviet Union influenced American civil rights gains. This section suggests two primary reasons why a class-based interest convergence has received relatively little attention: one predominately international, the other domestic.",body_text,text,1.0,7,23,bu_law_review_learning_from_history
"Part II first digs further into these two explanations and then discusses the rise of China on the global stage and the U.S. response to this perceived threat before examining the increase of populist class-forward movement and rhetoric in the United States over the past twenty to twenty-five years. Finally, this section ends by observing how a class-based interest convergence could take shape within the next few years of law and politics in the United States. This includes a dive into equal protection analysis and why racial categorizations generally receive strict scrutiny from the courts while economic categorizations need only survive a rational basis test.",body_text,text,1.0,8,24,bu_law_review_learning_from_history
Part III recognizes that the race-oriented interest convergence has been unsuccessful in important ways when it comes to uplifting members of the racial group whose interests are supposedly being advanced. This section also suggests strategies for safeguarding class-based interest convergence against the same pitfalls.,body_text,text,1.0,9,25,bu_law_review_learning_from_history
"12 See Charles R. Venator-Santiago, Interest Convergence and the Extension of U.S. Citizenship to Puerto Rico , 9 U. MIA. RACE & SOC. JUST. L. REV. 111, 120-23 (2019).",body_text,footnote,0.9161676646706587,62,29,bu_law_review_learning_from_history
"13 See Joseph Lubinski, Screw the Whales, Save Me! The Endangered Species Act, Animal Protection, and Civil Rights , 4 J.L. SOC'Y 377, 403-13 (2003).",body_text,footnote,0.959731543624161,63,30,bu_law_review_learning_from_history
"14 See, e.g. , Patience A. Crowder, (Sub)Urban Poverty and Regional Interest Convergence , 98 MARQ. L. REV. 763 (2014) (suggesting that interests of local governments may converge to help fight poverty in the region).",body_text,footnote,0.9422632794457275,64,31,bu_law_review_learning_from_history
"First, the United States' reputation abroad depended much on the treatment of Black people at home. 17 As the United States battled with Communist countries to gain influence over developing nations, most of which were Brown, Black, or Asian, the prevalence of harsh segregation at home damaged the United States' credibility. 18 Second, Black veterans who had fought in World War II were disillusioned and angry coming back home to face discrimination and violent attacks, so much so that their willingness to join the hypothetical next war against a Communist threat was in doubt. 19 Finally, some Whites saw segregation as a barrier to the industrialization of the South, which would in turn lead to greater profits. 20",body_text,text,0.988950276243094,11,34,bu_law_review_learning_from_history
"16 Bell, supra note 5, at 523-24. The separate facilities were, of course, often not equal in practice, court orders notwithstanding. See generally ROBERT A. MARGO, RACE AND SCHOOLING IN THE SOUTH, 1880-1950: AN ECONOMIC HISTORY 68-86 (1990) (demonstrating the racial inequality in school resources during 'Separate-but-Equal' which led to racial differences in educational outcomes).",body_text,text,0.8582574772431729,66,37,bu_law_review_learning_from_history
"19 Id. at 524-25. Racist postwar violence in the United States against Black former servicemembers was partially due to a deep-seated fear among some White people that the Black soldiers' exposure to desegregation in the military and to less-segregated locations abroad would make them less accepting of their second-class status in the United States. See Alexis Clark, Returning from War, Returning to Racism , N.Y. TIMES MAG. (Sept. 8, 2020), https://www.nytimes.com/2020/07/30/magazine/black-soldiers-wwii-racism.html.",body_text,footnote,0.980806142034549,69,40,bu_law_review_learning_from_history
"21 See generally MARY L. DUDZIAK, COLD WAR CIVIL RIGHTS: RACE AND THE IMAGE OF AMERICAN DEMOCRACY (2000) (examining the international impact of American race discrimination cases during the Cold War and demonstrating how domestic civil rights crises became international ones, tying civil rights reform to U.S. foreign relations).",body_text,footnote,0.7745839636913767,71,42,bu_law_review_learning_from_history
"The United States attempted to counteract this international public relations nightmare with propaganda of its own. 26 American democracy was painted as the vehicle for national reconciliation of racial issues, a form of government able to cleanse the sins of the past and make possible racial redemption. 27 The State Department sponsored trips abroad for African Americans to speak against communism and about the expansion of rights they were enjoying in the United States. 28 In contrast, Black Americans like Paul Robeson and W. E. B. DuBois who had less positive things to say about race relations in the United States found their ability to travel overseas substantially restricted and even their passports denied. 29 Nevertheless, the drumbeat of mistreatment of people of color in the United States continued to limit the gains the United States could make in nonwhite nations abroad. 30",body_text,text,0.991652754590985,13,44,bu_law_review_learning_from_history
24 Id. at 33-34 (including articles which suggested that U.S. treatment of African Americans 'resembles the story of India under British domination').,body_text,footnote,0.9767441860465116,74,48,bu_law_review_learning_from_history
"25 Id. at 35 (describing widespread European reporting and an analysis of 'more than five hundred clippings from the press of ten European Countries,' all of which decried U.S. treatment of Black Americans).",body_text,footnote,0.983132530120482,75,49,bu_law_review_learning_from_history
26 See id. 47-78 (describing the 'countless efforts by the U.S. government to tell its side of the story of race in America').,body_text,footnote,0.9723320158102767,76,50,bu_law_review_learning_from_history
