text,html_label,docling_label,similarity,html_index,pdf_index,document
"The transformative name, image, and likeness ( ' NIL ' ) era of college athletics is in its infancy yet one cannot overstate its impact on college athletics. While student-athletes have largely benefited from NCAA rules changes permitting their newfound ability to earn remuneration from their NIL, uncertainty exists regarding the rules and enforcement of them.",body_text,text,0.9888888888888889,3,3,bu_law_review_nil_compliance
"While the NCAA ' s guidelines regulating student-athletes ' use of their NIL are minimalist, they contain some restrictions applicable to student-athletes, university staff members, universities, and universities ' athletics supporters. Despite repeated threats, the NCAA has yet to enforce its NIL restrictions, resulting in confusion and upheaval. NCAA legislation requires universities to monitor their compliance with all NCAA rules, however, and the NCAA will, at some point, enforce its NIL restrictions and penalize those who violate them. Thus, universities must monitor their compliance with NCAA NIL restrictions.",body_text,text,0.9919484702093397,4,4,bu_law_review_nil_compliance
"Scholars and the national media have written extensively about the NCAA ' s NIL restrictions and their effects. Lacking from this discourse, however, is recognition and examination of universities ' responsibility to monitor compliance with the restrictions. This Article fills that void. To do so, Part I details the NCAA ' s enforcement and infractions processes through which it enforces its myriad rules and explains universities ' efforts, including monitoring, to comply with NCAA rules on their campuses. Part II describes the NCAA ' s NIL restrictions and suggests reasonable activities that universities should undertake to monitor compliance with them. Doing so would not only fulfill universities ' monitoring responsibilities but help foster compliance with NIL regulations on campuses.",body_text,text,0.9867674858223062,5,5,bu_law_review_nil_compliance
" Assistant Professor of Recreation and Sport Management at the University of Arkansas, Fayetteville (J.D., University of Iowa College of Law). Prior to entering academia, Lens worked on Baylor University ' s athletics compliance staff for eight years. In addition to his academic duties, Lens consults for college athletics conferences and university athletics departments regarding legal and NCAA matters. The views this Article expresses are the author ' s and not necessarily representative of the University of Arkansas or Baylor University.",body_text,footnote,0.9898804047838087,88,6,bu_law_review_nil_compliance
"For decades, the National Collegiate Athletic Association ( ' NCAA ' ) 1 strictly enforced its numerous constraints on collegiate student-athletes ' ability to earn remuneration from their names, images, and likenesses. 2 When it eliminated many of these restrictions on July 1, 2021, the NCAA ushered in a new era for college athletics. 3 This transcendent, seismic pivot 4 permitted student-athletes to accept remuneration for endorsements and autographs, for example. 5",body_text,text,0.972457627118644,8,10,bu_law_review_nil_compliance
"Student-athletes ' newfound freedoms paid off -literally -in the first year of the name, image, and likeness ( ' NIL ' ) era. 6 Student-athletes received just under a billion dollars for NIL activities in that time frame, an amount which some expect to increase in the future. 7 On the individual level, nineteen-year old University of Texas football student-athlete Quinn Ewers ' NIL earnings total nearly $4 million, for example. 8 Women student-athletes have also benefited, as evidenced by University of Connecticut ( ' UConn ' ) women ' s basketball student-athlete Paige Bueckers. Bueckers will miss the 2022-23 women ' s basketball season due to a knee injury but will return to play for UConn in 202324 in lieu of beginning her professional basketball career, as remaining a UConn student-athlete will provide more lucrative NIL opportunities than available in the Women ' s National Basketball Association ( ' WNBA ' ). 9 In fact, Bueckers '",body_text,text,0.8929273084479371,9,11,bu_law_review_nil_compliance
"1 The NCAA is the most powerful regulatory body in college athletics. W. Burlette Carter, Student-Athlete Welfare in a Restructured NCAA , 2 VA. J. SPORTS & L. 1, 3 (2000).",body_text,footnote,0.9534883720930233,89,12,bu_law_review_nil_compliance
"2 Tim Tucker, NIL Timeline: How We Got Here and What ' s Next, ATLANTA J.-CONST. (Mar. 18, 2022), http://ajc.com/sports/georgia-bulldogs/nil-timeline-how-we-got-here-andwhats-next/EOL7R3CSSNHK5DKMAF6STQ6KZ4/ [https://perma.cc/HXG2-MUYL].",body_text,footnote,0.9367088607594937,90,13,bu_law_review_nil_compliance
"4 Ross Dellenger, ' It ' s Going to Be a Clusterf --: ' The New Era of College Sports Is Here. Is Anyone Ready? SPORTS ILLUSTRATED (July 1, 2021), http://si.com/college/2021/07/01/ncaa-athletes-profit-nil-daily-cover (quoting University of Miami football student-athlete D ' Eriq King as describing the NCAA ' s elimination of the restrictions as ' long overdue ' ); see also Dennis Dodd, NCAA Unlikely to Meet Constitution Deadline as Hot-Button NIL Issue Disrupts College Athletics, CBS SPORTS (May 5, 2022), http://cbssports.com/college-football/news/ncaa-unlikely-to-meet-constitution-deadline-ashot-button-nil-issue-disrupts-college-athletics/ [https://perma.cc/22XW-T3E2] (identifying NIL as ' maybe the single biggest factor that will shape college athletics going forward ' ).",body_text,footnote,0.9491961414790997,92,15,bu_law_review_nil_compliance
"7 Josh Schafer, NIL: Here ' s How Much Athletes Earned in the First Year of New NCAA Rules, YAHOO! FINANCE (July 1, 2022), http://finance.yahoo.com/news/nil-heres-how-muchncaa-athletes-earned-185901941.html (citing estimates by Opendorse, a technology provider in the athlete endorsement industry).",body_text,footnote,0.9530201342281879,95,18,bu_law_review_nil_compliance
"8 Josh Schafer, College Quarterback ' s NIL Compensation Nears $4 Million amid New NFT Partnership, YAHOO! FINANCE (Oct. 7, 2022), http://finance.yahoo.com/news/collegequarterbacks-nil-compensation-nft-partnership-200004496.html [https://perma.cc/P9WDT6JG] (describing Ewers ' s NFT campaign that accounts for $1 million of Ewers ' s earnings).",body_text,footnote,0.945985401459854,96,19,bu_law_review_nil_compliance
