text,html_label,docling_label,similarity,html_index,pdf_index,document
"In this term, the U.S. Supreme Court has significantly undermined the effectiveness of many privacy laws. Through the standing doctrine, the U.S. Supreme Court essentially nullified a key enforcement component of many privacy laws-private rights of action. The decision in TransUnion LLC v. Ramirez 1 revisits the issue of standing and privacy harms under the Fair Credit Reporting Act (the 'FCRA') that began with Spokeo, Inc. v. Robins 2 in 2016. 3 This case arguably strikes a major blow to the enforcement of privacy laws in the federal courts. While state courts do not have the same restrictive rules to hearing cases and controversies, federal standing rules have a way of leaching into judicial thinking. So TransUnion may have reverberations beyond just the federal courts.",body_text,text,0.990427568602425,2,2,bu_law_review_standing_privacy_harms
"TransUnion has special relevance for our forthcoming article Privacy Harms in the Boston University Law Review . 4 We write separately here to discuss the TransUnion case and its potential impact. We contend that TransUnion is wrong and troubling on many levels. At the broadest level, we argue that the Court's current standing doctrine is wrong as a matter of history and policy. Even accepting current standing doctrine, we contend that the Court's test for recognizing concrete injuries is severely flawed. The Court's application of its test is also marred by an inadequate understanding of privacy harms. Finally, the",body_text,text,0.9101620029455081,3,3,bu_law_review_standing_privacy_harms
"1 TransUnion LLC v. Ramirez, 141 S. Ct. 2190 (2021).",body_text,footnote,0.9714285714285714,50,6,bu_law_review_standing_privacy_harms
"2 Spokeo, Inc. v. Robins, 136 S. Ct. 1540 (2016).",body_text,footnote,0.8867924528301887,93,7,bu_law_review_standing_privacy_harms
"3 TransUnion , 141 S. Ct. at 2204 ('[W]ith respect to the concrete-harm requirement in particular, this Court's opinion in Spokeo v. Robins indicated that courts should assess whether the alleged injury to the plaintiff has a 'close relationship' to a harm 'traditionally' recognized as providing a basis for a lawsuit in American courts. . . . Spokeo does not require an exact duplicate in American history and tradition. But Spokeo is not an open-ended invitation for federal courts to loosen Article III based on contemporary, evolving beliefs about what kinds of suits should be heard in federal courts.' (citation omitted)).",body_text,footnote,0.9570747217806042,52,8,bu_law_review_standing_privacy_harms
"4 See Danielle Keats Citron & Daniel J. Solove, Privacy Harms , 102 B.U. L. R EV . (forthcoming Mar. 2022) (manuscript at 36-37) (on file with authors) [hereinafter Privacy Harms ].",body_text,footnote,0.9693593314763231,53,9,bu_law_review_standing_privacy_harms
"In TransUnion, a class of 8,185 plaintiffs sued TransUnion for falsely labeling them as potential terrorists in their credit reports. 5 The plaintiffs initiated a class action under the FCRA, which provides a private right of action for '[a]ny person who willfully fails to comply with any requirement imposed under this subchapter with respect to any consumer is liable to that consumer' for actual damages or for statutory damages not less than $100 and not more than $1,000, as well as for punitive damages and attorney's fees. 6 The plaintiffs alleged that TransUnion violated the FCRA by failing to 'follow reasonable procedures to assure maximum possible accuracy' in consumer reports, 7 and to 'disclose to the consumer '[a]ll information in the consumer's file at the time of the request.'' 8 The plaintiffs also contended that TransUnion failed to follow the FCRA's requirement of providing a summary of their rights with each written disclosure to them. 9 Following a trial, the jury concluded that TransUnion had engaged in these violations, providing each class member statutory damages of $984.22 and punitive damages of $6,353.08. 10 The total class damage award was in excess of $60 million. 11",body_text,text,0.9550515463917526,5,12,bu_law_review_standing_privacy_harms
"Writing for the 5-4 majority, Justice Kavanaugh concluded that the only plaintiffs (1,853 individuals of the original 8,185) who had standing to sue in federal court for lack of reasonable procedures were those whose credit reports had been disseminated to third-party businesses. 12 The 6,332 plaintiffs whose credit reports labeled them as suspected national security threats but were not shared with businesses lacked a 'concrete' injury necessary for standing. 13 For the claims related to apprising plaintiffs of their rights, the majority found that the plaintiffs (except for class representative Sergio Ramirez) lacked standing to bring them because they had not shown that the errors caused concrete harm. 14 The majority took this view even though Congress had explicitly granted plaintiffs a private right of action to sue for such violations (without a showing of additional injuries beyond the violations) and even though a jury found TransUnion at fault.",body_text,text,0.9850438370293966,6,13,bu_law_review_standing_privacy_harms
"6 Fair Credit Reporting Act, 15 U.S.C. § 1681n(a).",body_text,footnote,0.9702970297029703,55,15,bu_law_review_standing_privacy_harms
"7 See TransUnion , 141 S. Ct. at 2200 (citing 15 U.S.C. § 1681e(b)).",body_text,footnote,0.9705882352941176,56,16,bu_law_review_standing_privacy_harms
8 Id. (citing 15 U.S.C. § 1681g(a)(1)).,body_text,footnote,0.7777777777777778,58,17,bu_law_review_standing_privacy_harms
9 Id. at 2200-01 (citing 15 U.S.C. § 1681g(c)(2)).,body_text,footnote,0.9702970297029703,58,18,bu_law_review_standing_privacy_harms
"To have standing in federal court, there must be an 'injury in fact,' which is 'an invasion of a legally protected interest' that is 'concrete and particularized' and 'actual or imminent, not conjectural or hypothetical.' 15 In Spokeo , the Court held, in a vague, confusing jumble of an opinion by Justice Alito, that courts could reject standing even in cases where Congress granted plaintiffs a private right of action to sue for violations of a statute. 16 Spokeo similarly involved the FCRA, and the Court remanded the case for the Ninth Circuit to determine whether the plaintiffs had suffered a concrete injury that the common law had traditionally recognized as a sufficient basis for a lawsuit in American courts. 17 The Ninth Circuit ultimately concluded that the plaintiffs had standing to sue because they were harmed due to inaccurate information in credit reports that were available on Spokeo's website. 18 As the Ninth Circuit concluded, the 'dissemination of false information in consumer reports can itself constitute a concrete harm.' 19",body_text,text,0.9688090737240076,8,25,bu_law_review_standing_privacy_harms
"The TransUnion Court justifies standing doctrine as essential to separation of powers, as something hearkening back to the Framers of the Constitution and woven into the U.S. Constitution. The Court sums up current standing doctrine with a slogan: 'No concrete harm, no standing.' 20",body_text,text,0.9876543209876543,9,26,bu_law_review_standing_privacy_harms
"But current standing doctrine-specifically the injury in fact requirement-is actually a concoction of the Court from the 1970s, with Cass Sunstein calling the requirement a 'conceptual mistake.' 21",body_text,text,0.9721518987341772,10,27,bu_law_review_standing_privacy_harms
"15 Lujan v. Defs. of Wildlife , 504 U.S. 555, 560 (1992).",body_text,footnote,0.9649122807017544,64,29,bu_law_review_standing_privacy_harms
"16 See Spokeo, Inc. v. Robins, 136 S. Ct. 1540, 1549 (2016) ('Congress' role in identifying and elevating intangible harms does not mean that a plaintiff automatically satisfies the injuryin-fact requirement whenever a statute grants a person a statutory right and purports to authorize that person to sue to vindicate that right.').",body_text,footnote,0.9790419161676647,65,30,bu_law_review_standing_privacy_harms
"18 Robins v. Spokeo, Inc., 867 F.3d 1108, 1115-17 (9th Cir. 2017).",body_text,footnote,0.9774436090225563,67,32,bu_law_review_standing_privacy_harms
"20 See TransUnion LLC v. Ramirez, 141 S. Ct. 2190, 2200 (2021).",body_text,footnote,0.9763779527559056,69,34,bu_law_review_standing_privacy_harms
"21 Cass R. Sunstein, What's Standing After Lujan ? Of Citizen Suits, 'Injuries,' and Article III , 91 M ICH . L. R EV . 163, 167 (1992) (arguing that the requirement uses 'highly contestable ideas about political theory to invalidate congressional enactments' despite constitutional text and history not calling for such invalidation).",body_text,footnote,0.956390977443609,70,35,bu_law_review_standing_privacy_harms
"22 See, e.g., Richard H. Fallon, Jr., The Fragmentation of Standing , 93 T EX . L. R EV . 1061, 1065-66 (2015) (elaborating on the court's position that standing, prior to the 1970s, depended on whether the plaintiff had suffered an injury to an interest 'within the zone of interests to be protected or regulated by the statute or constitutional guarantee in question' (quoting Ass'n of Data Processing Serv. Orgs., Inc. v. Camp, 397 U.S. 150, 153 (1970))); F. Andrew Hessick, Standing, Injury in Fact, and Private Rights , 93 C ORNELL L. R EV . 275, 290-99 (2008) (discussing the development of the modern standing doctrine).",body_text,footnote,0.9582664526484751,71,36,bu_law_review_standing_privacy_harms
"The injury-in-fact requirement may have initially served to liberalize the law of standing by permitting plaintiffs to allege that a particular course of conduct had injured them 'in fact' even if they could not show that they possessed an individual legal right infringed by the challenged conduct. But the injury-in-fact requirement began, in the 1970s, to be interpreted more restrictively. 23",body_text,text,0.9735182849936949,12,38,bu_law_review_standing_privacy_harms
"Key to the scope of the judicial power, then, is whether an individual asserts his or her own rights. At the time of the founding, whether a court possessed judicial power over an action with no showing of actual damages depended on whether the plaintiff sought to enforce a right held privately by an individual or a duty owed broadly to the community. Where an individual sought to sue someone for a violation of his private rights, such as trespass on his land, the plaintiff needed only to allege the violation. 24",body_text,text,0.9971070395371263,14,40,bu_law_review_standing_privacy_harms
"This distinction mattered not only for traditional common-law rights, but also for newly created statutory ones. The First Congress enacted a law defining copyrights and gave copyright holders the right to sue infringing persons in order to recover statutory damages, even if the holder 'could not show monetary loss.' 25",body_text,text,0.9891135303265941,16,42,bu_law_review_standing_privacy_harms
"We doubt that the Court will curtail lawsuits under copyright law for lack of harm, as this would send shockwaves across the media industry. The Court has typically used standing as a tool to help corporations elude lawsuits by individuals. But Justice Thomas's mention of copyright law demonstrates how the shift in TransUnion could have dramatic implications. As is increasingly common with Supreme Court cases lately, TransUnion purports to be a mere application of current law when, in fact, it works a significant change in the law. Supreme Court opinions often wear this mask, pretending to be routine and concealing their radical departure from precedent. Spokeo made a significant turn, and TransUnion pushes even further into this new territory. If Spokeo and TransUnion are carried to their logical conclusion, common and longstanding private rights of action for countless laws, including copyright law, might no longer be viable in federal court. Of course, the Court could curtail such a result through the selective application of the logic in these cases or by making questionable distinctions so that only laws the justices dislike are affected.",body_text,text,0.9991386735572783,17,43,bu_law_review_standing_privacy_harms
"23 Rachel Bayefsky, Constitutional Injury and Tangibility , 59 W M . & M ARY L. R EV . 2285, 2296 (2018).",body_text,footnote,0.8975609756097561,72,44,bu_law_review_standing_privacy_harms
"24 See TransUnion , 141 S. Ct. at 2217 (Thomas, J., dissenting).",body_text,footnote,0.96875,73,45,bu_law_review_standing_privacy_harms
"Justice Thomas notes that plaintiffs long 'could sue in federal court merely by alleging a violation of a private right.' 26 Justice Thomas then contends that the majority rejects history by holding 'that the mere violation of a personal legal right is not-and never can be-an injury sufficient to establish standing.' 27 He further notes that it was not until 1970, nearly two centuries after the drafting of the Constitution, that 'this Court even introduced the 'injury in fact' (as opposed to injury in law) concept of standing.' 28",body_text,text,0.9730232558139534,18,47,bu_law_review_standing_privacy_harms
"Current standing doctrine appears akin to the classic game of telephone, where a person whispers a sentence to another person who then whispers it to another person and so on down the line. When the game ends, the last person is asked to repeat the sentence, which has inevitably morphed into something entirely different from what was first said. That is what we have here-with stakes for appropriate deference to legislative choices and consumer privacy that could not be higher.",body_text,text,0.997920997920998,19,48,bu_law_review_standing_privacy_harms
"In TransUnion, a case with a different set of plaintiffs alleging claims under the FCRA, the Court this time proceeded to make the standing determination itself, purportedly under the Spokeo standard. The Court stated:",body_text,text,1.0,21,50,bu_law_review_standing_privacy_harms
