text,html_label,docling_label,similarity,html_index,pdf_index,document
Jeanne C. Fromer* & Mark P. McKenna **,body_text,text,0.8043478260869565,208,1,california_law_review_amazon-trademark
"Amazon's dominance as a platform is widely documented. But one aspect of that dominance has not received sufficient attention-the Amazon Brand Registry's sweeping influence on firm behavior, particularly in relation to the formal trademark system. Amazon's Brand Registry serves as a shadow trademark system that dramatically affects businesses' incentives to seek legal registration of their marks. The result has been a surge in the number of applications to register, which has swamped the U.S. Patent and Trademark Office (PTO) and created delays for all applicants, even those that previously would have registered their marks. And the increased value of federal registration has drawn in bad actors who fraudulently register marks that are in use by others on the Amazon platform and use those registrations to extort the true owners.",body_text,text,0.9940476190476191,0,2,california_law_review_amazon-trademark
Copyright © 2025 Jeanne C. Fromer & Mark P. McKenna,body_text,text,0.9714285714285714,208,4,california_law_review_amazon-trademark
"Vice Dean and Walter J. Derenberg Professor of Intellectual Property Law, New York University School of Law; Co-Director, Engelberg Center on Innovation Law & Policy.",body_text,list_item,0.9940119760479041,209,5,california_law_review_amazon-trademark
"** Vice Dean for Faculty and Intellectual Life and Professor of Law, UCLA School of Law; Faculty Co-Director, UCLA Institute of Technology, Law & Policy; Of Counsel, Lex Lumina PLLC. The authors are grateful to David Abrams, Amy Adler, Arnaud Ajdler, Olivia Ajdler, Barton Beebe, Robert Brauneis, Richard Brooks, Vincent Buccola, Colleen Chien, Julie Cohen, Cynthia Dahl, Naama Daniel, Kevin Davis, Rachael Dickson, Graeme Dinwoodie, Stacey Dogan, Rochelle Dreyfuss, Noam Elcott, Gena Feist, Michael Frakes, Daniel Francis, Kristelia García, Deborah Gerhardt, Eric Goldman, Michael Goodyear, Michael Grynberg, Laura Heymann, David Hoffman, Kobi Kastiel, Jon Lee, Mark Lemley, Daryl Levinson, Daphna Lewinsohn-Zamir, Jake Linford, Giovanna Massarotto, Troy McKenzie, Tejas Narechania, Jan Osei-Tutu, Betsy Rosenblatt, Jennifer Rothman, Jason Schultz, Peter Shane, Catherine Sharkey, Jeremy Sheff, Jessica Silbey, Christopher Sprigman, David Stein, Katherine Strandburg, Madhavi Sunder, Rebecca Tushnet, Molly Van Houweling, Rory Van Loo, Polk Wagner, Michael Weinberg, and Kenji Yoshino, and participants at workshops at Georgetown University, New York University, Vanderbilt, University of California, Berkeley, University of California, Los Angeles, and University of Pennsylvania Carey law schools, the Intellectual Property Scholars Conference, Trademark and Unfair Competition Scholars Roundtable, and Works in Progress in Intellectual Property Colloquium for their extensive comments. Thanks also to Harper Johnson, Clare Platt, and Brittany Von Rueden for excellent research assistance. Jeanne Fromer also gratefully acknowledges support from the Filomen D'Agostino and Max E. Greenberg Research Fund.",body_text,list_item,0.9994141769185706,210,6,california_law_review_amazon-trademark
"Amazon's policies also create incentives for businesses to adopt different kinds of marks. Specifically, businesses are more likely to claim descriptive or generic terms, advantageously in stylized form or with accompanying images, and to game the scope limitations that would ordinarily attend registration of those marks. And the same Amazon policies have given rise to the phenomenon of 'nonsense marks,' which are strings of letters and numbers unrecognizable as words or symbols. In the midst of these systemic changes, Amazon has consolidated its own branding practices, focusing on a few core brands and expanding its use of those marks across a wide range of products. In combination, Amazon's business model and Brand Registry have overhauled the American trademark system, and they have done so with very little public recognition of the consequences of Amazon's business approach.",body_text,text,0.9943883277216611,1,7,california_law_review_amazon-trademark
"Amazon's impact raises profound questions for trademark law and for law more generally. There have been powerful players before, and other situations in which private dispute resolution procedures have affected parties' behavior. But Amazon's effect on the legal system is unprecedented in scale and scope. What does-or shouldit mean that one private party can so significantly affect a legal system? Do we want the trademark system to have to continually adapt to Amazon's rules? If not, how can the law disable Amazon from having such a profound impact? In this regard, we explore the ways in which Amazon's practices affect competition, harm the trademark system, and reshape how we think about trademark law at its foundation.",body_text,text,0.9787816563997263,2,8,california_law_review_amazon-trademark
"Amazon's dominance as a platform is widely documented. 1 Congress held hearings focused on Amazon for more than a year, 2 the Federal Trade Commission (FTC) recently sued Amazon for unfair competition, 3 and scholars and commentators (including Amazon critic Lina Khan, Chair of the FTC during the Biden Administration) debate the effects of this dominance on consumer welfare. 4 But one aspect of that dominance has not received sufficient attention-the Amazon Brand Registry's sweeping influence on firm behavior, particularly in relation to the formal trademark system. Amazon's Brand Registry serves as a shadow trademark system 5 that dramatically affects",body_text,text,0.8638562543192813,4,12,california_law_review_amazon-trademark
"1. See, e.g. , Rebecca Haw Allensworth, Antitrust's High-Tech Exceptionalism , 130 Y ALE L.J. F. 588, 603-04 (2021) ('Amazon Marketplace is an open online-sales platform that accounts for 52.4% of American online-retail spending; its closest competitor has just 6.6%. Amazon allows independent merchants to sell their goods on the Marketplace for a fee and a percentage of sales revenue. It also sells its own products, with 137 private-label brands, including Amazon Basics.' (footnotes omitted)); Lina M. Khan, The Separation of Platforms and Commerce , 119 C OLUM . L. R EV . 973, 985 (2019) [hereinafter Khan, Separation of Platforms and Commerce ] (describing Amazon as 'the dominant online marketplace, the world's largest cloud computing service, a massive shipping and logistics network, a media producer and distributor, a grocer, a small-business lender, a live video-gaming streaming platform, a digital home assistant, a designer of apparel, and an online pharmacy'); John B. Kirkwood, Collusion to Control a Powerful Customer: Amazon, E-Books, and Antitrust Policy , 69 U. M IAMI . L. R EV . 1, 4 (2014) (noting 'Amazon's dominant position as an e-book retailer'); Lina M. Khan, Note, Amazon's Antitrust Paradox , 126 Y ALE L.J. 710, 712-17 (2017) [hereinafter Khan, Amazon's Antitrust Paradox ] (calling Amazon 'the titan of twenty-first century commerce,' and explaining why).",body_text,footnote,0.9678352005782436,211,13,california_law_review_amazon-trademark
"2. Annie Palmer, Amazon Axes Some Private-Label Brands as Part of Wider Cost Cuts , CNBC (Aug. 10, 2023), https://www.cnbc.com/2023/08/10/amazon-axes-some-private-label-brands-as-partof-wider-cost-cuts.html [https://perma.cc/3797-TEGT].",body_text,footnote,0.9873417721518988,212,14,california_law_review_amazon-trademark
"3. See Complaint, FTC v. Amazon.com, Inc., No. 2:23-cv-01495-JHC (W.D. Wash. Nov. 2, 2023).",body_text,footnote,0.9891304347826086,213,15,california_law_review_amazon-trademark
"5. By 'shadow trademark system' we mean a system existing outside of the traditional system established by law, as with shadow banking. See Patrick M. Corrigan, Shining a Light on Shadow Banks , 49 J. C ORP . L. 1 (2023) (demonstrating that 'shadow banks' typically are engaged in investing, not lending or extending credit); Note, Danger Lurking in the Shadows: Why Regulators Lack the Authority to Effectively Fight Contagion in the Shadow Banking System , 127 H ARV . L. R EV . 729, 738 (2013) (emphasizing that 'shadow banks . . . rely . . . on forms of short-term funding that serve as functional",body_text,footnote,0.8087912087912088,215,17,california_law_review_amazon-trademark
"The Brand Registry is, most basically, a private dispute resolution system that allows mark owners to object to unauthorized uses of their marks on Amazon without having to file formal legal proceedings. 6 What makes Amazon's system different than other private dispute resolution systems is the extent to which it influences parties' behavior within the legal system itself. 7 The Brand Registry not only gives parties a cheaper and more efficient way to resolve disputes, but it also creates incentives for parties to use the trademark system differently than they otherwise would, and in ways that were not anticipated in the design of that system.",body_text,text,0.9923312883435583,5,19,california_law_review_amazon-trademark
"Most directly, the Brand Registry has changed the incentives to register trademarks. The American trademark system is use-based: Trademark rights arise out of use, not registration, and registration in the U.S. Patent and Trademark Office (PTO) simply records those rights and provides certain enforcement benefits. 8 But because unregistered marks have long been enforceable under federal law on largely the same terms as registered marks, 9 unregistered rights have often been perfectly adequate for many smaller businesses. Indeed, the availability of those unregistered rights has traditionally been seen as a benefit of the American system for small and medium-sized businesses. 10",body_text,text,0.9934545454545455,6,20,california_law_review_amazon-trademark
"Amazon's policies have shifted that calculus because parties can participate in the Brand Registry in the United States only if their mark is registered with the PTO-or, as of very recently, if their application to register is pending. 11 Given Amazon's dominance as an online shopping platform, small and mediumsized businesses feel compelled to sell on the platform, and registration in the PTO is the ticket to the meaningful enforcement and search benefits provided to participants in the Brand Registry. 12 Businesses therefore have strong incentives to register marks when they previously would have relied on unregistered rights. 13",body_text,text,0.9875195007800313,7,21,california_law_review_amazon-trademark
"10. See Jeanne C. Fromer & Mark P. McKenna, Claiming Design , 167 U. P A . L. R EV . 123, 12829 (2018) (describing the benefits of unregistered rights); infra Part I.B.",body_text,footnote,0.9580838323353293,220,27,california_law_review_amazon-trademark
