text,html_label,docling_label,similarity,html_index,pdf_index,document
"The Students for Fair Admissions, Inc. v. President & Fellows of Harvard College ( SFFA ) majority opinion has been widely misunderstood as a victory for those who believe in the 'colorblind Constitution.' By juxtaposing the opinion's main rule with the exception for admitting students based on essays that discuss students' lived experiences with race, I reveal the opinion's fundamental incoherence, as well as its furtive race-consciousness. The majority opinion asserted that equal protection requires that a student's race may never be used as a 'negative,' policies may not 'stereotype' students based on race, and policies must have a fixed endpoint. Yet the Court's exception for race-based essays violates each of these requirements. Rather than banish race from admissions decisions, the opinion merely channels race consciousness into the consideration of essays. This examination reveals the chasm between colorblind rhetoric-engaged in by conservatives and liberals-and the inescapability of racially-forged realities. This matters because conservative lawyers and funders are brandishing SFFA as a complete victory for colorblindness and the touchstone of a national movement to eliminate anti-racist policies.",body_text,text,0.9411764705882353,0,2,california_law_review_incoherence-colorblind-constitution
"* Walter Perry Johnson Professor of Law & Faculty Director, Center on Race, Sexuality & Culture, UC Berkeley School of Law. I am grateful to Dayo Ajanaku, Johnsenia Brooks, Mica Elise Jordan, Blair Akira Matsuura, and Andy Lattimer Secondine for research assistance and KT Albiston, Khiara M. Bridges, Devon W. Carbado, Sumi Cho, Kimberlé W. Crenshaw, Erwin Chemerinsky, Elizabeth F. Emens, Sheldon Evans, Jonathan P. Feingold, Jonathan Glater, Paul Gowder, Vinay Harpalani, Osamudia James, Jerry Kang, Randall Kennedy, Emmanuel Mauleon, David Pozen, David Simson, Sarah Song, India Thusi, Leti Volpp, Lauren Campbell, and the participants at the Berkeley Law faculty workshop, Northwestern Law Review Symposium, 2024 Langston Midwest Writing Workshop, and Columbia Law Critical Methods class for comments on an earlier draft.",body_text,text,0.9774881516587678,72,5,california_law_review_incoherence-colorblind-constitution
"The Supreme Court's decision in Students for Fair Admissions, Inc. v. President & Fellows of Harvard College ( SFFA ) 1 has been misunderstood as a victory for those who believe in the 'colorblind Constitution.' The Justices in the majority and in the dissent strongly debated the value of a 'colorblind' conception of the Equal Protection Clause. Chief Justice Roberts argued that his majority opinion enforced what he called Brown v. Board of Education 's 2 commitment to colorblindness. 3 Justice Thomas contended that the framers of the Fourteenth Amendment intended it to require colorblindness. 4 Roberts, Thomas, and the dissenters laid claim to Justice Harlan's famous dissent in Plessy v. Ferguson , although they construed it differently. 5 Thomas quoted Harlan extensively, including his claim that '[o]ur Constitution is color-blind.' 6 In dissent, Justice Sotomayor castigated the Court for 'cement[ing] a superficial rule of colorblindness as a constitutional principle in an endemically segregated society where race has always mattered and continues to matter.' 7 And Justice Jackson's dissent seethed: 'With let-them-eat-cake obliviousness, today, the majority pulls the ripcord and announces 'colorblindness for all' by legal fiat.' 8",body_text,text,0.9497607655502392,2,8,california_law_review_incoherence-colorblind-constitution
"See SFFA , 600 U.S. at 203-07; id. at 227 (characterizing 'colorblindness' as the 'proud pronouncement' of cases including Loving v. Virginia, 388 U.S. 1 (1967)).",body_text,list_item,0.9512195121951219,75,12,california_law_review_incoherence-colorblind-constitution
"See SFFA , 600 U.S. at 230-35 (Thomas, J., concurring).",body_text,list_item,0.9298245614035088,76,13,california_law_review_incoherence-colorblind-constitution
"163 U.S. 537, 559 (1896) (Harlan, J., dissenting), overruled by Brown v. Bd. of Educ., 347 U.S. at 494-95; see SFFA , 600 U.S. at 230; id. at 231 (Thomas, J., concurring); id. at 326-27 (Sotomayor, J., dissenting) (quoting Harlan with approval but excising his affirmation of White supremacy); id. at 388 (Jackson, J., dissenting).",body_text,list_item,0.984984984984985,77,14,california_law_review_incoherence-colorblind-constitution
"SFFA , 600 U.S. at 231 (Thomas, J., concurring); see also id. at 246 ('For Justice Harlan, the Constitution was colorblind . . . .').",body_text,list_item,0.9629629629629629,78,15,california_law_review_incoherence-colorblind-constitution
"Id. at 318 (Sotomayor, J., dissenting); see id. at 383.",body_text,list_item,0.9565217391304348,79,16,california_law_review_incoherence-colorblind-constitution
"Brent Kendall, How Supreme Court Justices Sparred on Affirmative Action , W ALL S T . J. (June 29, 2023), https://www.wsj.com/articles/how-supreme-court-justices-sparred-on-affirmativeaction-50087fa3 [https://perma.cc/Y9ME-UWY3].",body_text,list_item,0.9608695652173913,81,18,california_law_review_incoherence-colorblind-constitution
"91549085 [https://perma.cc/X7UB-K5EE]; see also Bob Egelko, Supreme Court Strikes Down Affirmative Action at U.S. Colleges , S.F. C HRON . (June 29, 2023), https://www.sfchronicle.com/politics/article/supreme-court-affirmative-action-18148520.php [https://perma.cc/68Q7-NXVN] ('The Supreme Court outlawed affirmative action at colleges and universities nationwide Thursday, saying consideration of an applicant's minority race or ethnicity in admissions is an act of racial discrimination.').",body_text,text,0.7626582278481012,82,21,california_law_review_incoherence-colorblind-constitution
"11. Soleil Ho, The Supreme Court Just Killed Affirmative Action in the Deluded Name of Meritocracy , S.F. C HRON . (June 29, 2023), https://www.sfchronicle.com/opinion/article/supremecourt-affirmative-action-meritocracy-18168315.php [https://perma.cc/7E7A-349G]. Some coverage was more measured. See, e.g. , Robert Barnes, Supreme Court Rejects Race-Based Affirmative Action in College Admissions , W ASH . P OST (June 29, 2023), https://www.washingtonpost.com/politics/2023/06/29/affirmative-action-supreme-court-ruling/ [https://perma.cc/RJB8-UABW] ('While leaders of elite private and public institutions have said they fear a dramatic drop in diversity if they are prohibited from taking race into account, Roberts noted that those rules are already the norm in many places.'); David Savage, Supreme Court Strikes Down RaceBased Affirmative Action in College Admissions , L.A. T IMES (June 29, 2023), https://www.latimes.com/politics/story/2023-06-29/supreme-court-strikes-down-affirmative-action-incollege-admissions [https://perma.cc/WQZ7-CG2F] (stating that the decision 'won't prevent [universities] from pursuing diversity or giving extra consideration to students who have overcome hardships or discrimination').",body_text,text,0.975809758097581,83,22,california_law_review_incoherence-colorblind-constitution
"12. Noah Feldman, Opinion, Affirmative Action Is High Court's Latest Casualty , B LOOMBERG L. (June 29, 2023), https://news.bloomberglaw.com/us-law-week/affirmative-action-is-high-courtslatest-casualty-noah-feldman [https://perma.cc/R29R-4EWE].",body_text,text,0.9529652351738241,84,23,california_law_review_incoherence-colorblind-constitution
"See id. ('Roberts articulated a theory of equal protection that conservatives have been advocating almost since affirmative action began: that it is effectively always wrong to treat people differently based on race, no matter why.'); Jamelle Bouie, Opinion, No One Can Stop Talking About Justice John Marshall Harlan , N.Y. T IMES (July 7, 2023), https://www.nytimes.com/2023/07/07/opinion/harlan-thomas-roberts-affirmative-action.html Students for Fair Admissions v. is a victory for the conservative vision of the so-called colorblind Constitution-a Constitution",body_text,list_item,0.8586872586872587,85,24,california_law_review_incoherence-colorblind-constitution
"14. For example, Professors Jeannie Suk Gersen and Sonja Starr uncritically accept Chief Justice Roberts's purported distinction between admitting students 'on the basis of race' and admitting students based on personal essays that discuss their racial experiences. See Jeannie Suk Gersen, The Supreme Court Overturns 50 Years of Precedent on Affirmative Action , N EW Y ORKER (June 29, 2023), https://www.newyorker.com/news/daily-comment/the-supreme-court-overturns-fifty-years-ofprecedent-on-affirmative-action [https://perma.cc/GTV2-A948]; Sonja B. Starr, Admissions Essays After SFFA, I ND . L. J. (forthcoming 2025) (manuscript at 12) (claiming that the essay exception 'makes perfect sense'). But see Justin Driver, The Strange Career of Antisubordination , 91 U. C HI . L. R EV . 651, 702 (2024) (noting in passing that the exceptions for essays and the military rendered Roberts's endorsement of colorblindness 'equivocal').",body_text,text,0.970382337102854,86,26,california_law_review_incoherence-colorblind-constitution
