text,html_label,docling_label,similarity,html_index,pdf_index,document
Joshua C. Macey * & Brian M. Richardson **,body_text,text,0.7722772277227723,180,1,california_law_review_indeterminacy-separation
"** Associate Professor, Cornell Law School. Thanks for helpful comments to Anya Bernstein, Chris Havasy, Michael Dorf, Ketan Ramakrishnan, Shalev Roisman, Jed Shugerman, and Mila Sohoni. For terrific editorial assistance, we are grateful to Eleanor Bock, Max Friend, Hailey Stewart, and Taylor Thomas.",body_text,footnote,1.0,182,3,california_law_review_indeterminacy-separation
"The two dominant schools of thought about the separation of powersformalism and functionalism 1 -are both committed to a tripartite system under which the judicial branch enjoys a privileged position in the development of constitutional rules. To that end, both think that the Constitution distributes powers among three coequal branches and the states, 2 that some powers are enumerated and others implied, that the separation of powers operates as a restraint on government overreach, and that the judiciary should arbitrate separation-of-powers disputes. Disagreement is primarily about specifics: How many powers does the Constitution imply? What are they? Does the Constitution blend or mix powers among the branches? And what historical moments are relevant in discerning the limits of congressional and presidential power?",body_text,text,0.9939759036144579,2,8,california_law_review_indeterminacy-separation
"Historically, however, the United States has entertained, and sometimes embraced, separation-of-powers theories that reject many of the premises about which modern formalists and functionalists agree. Consider, for example, nineteenth-century debates about the President's authority to remove civil service officials. Snippets of this long constitutional contest have become canonical moments in the debate about the President's authority to remove administrative officials. But the removal issue has not always been framed as being about the President's relationship to Congress. During the nineteenth century, arguments about the President's authority to fire members of the civil service were often based on policymakers' views about political science, 3 by",body_text,text,0.8203167667941016,3,9,california_law_review_indeterminacy-separation
"1. Formalists argue for 'an 'exclusive functions' interpretation of the relationship between functions and branches,' according to which 'each of the three branches has exclusive authority to perform its assigned function,' and 'each function is uniquely assigned to one branch.' Thomas W. Merrill, The Constitutional Principle of Separation of Powers , 1991 S UP . C T . R EV . 225, 231-33 (1991). Functionalists, by contrast, 'reject the exclusive functions idea, and believe that many governmental activities can be categorized as falling within more than one function.' Id. at 232.",body_text,footnote,0.9510729613733906,183,10,california_law_review_indeterminacy-separation
2. See id. at 231-33 (explaining that functionalists accept 'the existence of a nucleus of activities that uniquely belongs to each of the three branches').,body_text,footnote,0.9745222929936306,184,11,california_law_review_indeterminacy-separation
"We describe four alternative approaches to resolving interdepartmental disputes. 4 First, some members of the founding generation embraced an Antidomination theory about legislative and executive powers. 5 This theory denied that the terms 'executive' or 'legislative' implied justiciable limits on government authority, at least beyond certain specifically enumerated powers. It instead stipulated processes by which the legislative and executive branches could enact legally binding policies: Legislation must be enacted through bicameralism and presentment, and the President must act via express statutory or constitutional authorization. The constitutionally relevant fact was that each branch respected the Constitution's procedural constraints. To be sure, other structural theories travelled alongside this view, but for some early interpreters of the Constitution, the drafters' political theory focused on the document's procedural checks as the 'practical' elaboration of the core idea, not on metaphysical appeals to the concept of 'executive,' 'legislative,' or 'judicial.' 6",body_text,text,0.9554841670491051,4,14,california_law_review_indeterminacy-separation
"Second, a rights-based 'Public Utility' theory reflected a libertarian commitment to protecting a sphere of private conduct. Courts used the distinction between public rights and public enterprises, on the one hand, and private rights and private enterprises, on the other, to ground the constitutionality of agency deference, adjudication, and rulemaking. Many of today's separationof-powers concerns were therefore subsumed under the question of the publicity of the actor subject to regulatory oversight. This reasoning is typically associated with the Lochner era and, to our knowledge, has not been understood as a theory of interbranch relations. 7 Yet, in providing the decisive test to determine when government could control private conduct, the Public Utility idea also came to settle interbranch disputes about legislatures', agencies', and courts' roles in regulating economic activity.",body_text,text,0.9532814238042269,5,15,california_law_review_indeterminacy-separation
"4. Our list is not comprehensive, but it is sufficient to illustrate the existence of theories of separation that are quite unlike the modern fixation on formalism and functionalism.",body_text,footnote,0.994535519125683,186,16,california_law_review_indeterminacy-separation
"5. In other work, we adopted the shorthand 'anti-domination' to distinguish this theory from its rivals and to note its connection to nondomination accounts of individual freedom. See Joshua C. Macey & Brian M. Richardson, Checks, Not Balances , 101 T EX . L. R EV . 89, 96 (2022). In that account, we drew on recent work by political scientists to understand the Anti-Federalists' separation-of-powers critique of the Constitution. See also B ERNARD M ANIN , T HE P RINCIPLES OF R EPRESENTATIVE G OVERNMENT 72 (2002); J EFFREY K. T ULIS & N ICOLE M ELLOW , L EGACIES OF L OSING IN A MERICAN P OLITICS 4 (2018).",body_text,footnote,0.7763923524522028,187,17,california_law_review_indeterminacy-separation
"6. See M ANIN , supra note 5, at 72; T ULIS & M ELLOW , supra note 5, at 4-6.",body_text,footnote,0.7682119205298014,188,18,california_law_review_indeterminacy-separation
"Third, under a Political theory approach, superordinate moral values transcended any individual sovereign order and could be codified as constitutional principles by enlightened judges. This approach has come to be known as the General Law and is, somewhat ironically, now associated with modern positive law theorists. 8 In reality, this mode of constitutional interpretation blended reason, custom, and religion. 9 Judges reasoned their way to the correct scientific constitutional theory based on a body of general and universally applicable rules that often appealed to anachronistic understandings of divine providence. 10",body_text,text,0.9928400954653938,6,20,california_law_review_indeterminacy-separation
"Fourth, a Social Science theory discerned constitutional limits through technocratic and economic reasoning. In this view, the meaning of the Constitution changed based on evolving practical considerations. For example, within a four-decade period in the nineteenth century, concern about the effectiveness of the civil service was used to justify both presidential removal of civil servants and Congress's role in regulating removal. Initially, corruption in the civil service justified heightened removal powers and a rotation-in-office system. 11 Then, a decade later, concern about the government's inability to retain expert administrators caused the tide to shift toward more robust removal protections. 12 These were thought not to reflect incompatible theories of the executive power, but rather an understanding that constitutional principles should evolve with changing economic and political circumstances. 13 Cases from this fourth category have been marshaled to support different theories of departmental limits, many of which have continued relevance in modern formalist and functionalist debates. However, this category was based on a wholly different constitutional cast of mind: one in which structural limitations followed from a political-scientific inquiry that could be answered through both philosophical reasoning and political empirics.",body_text,text,0.9952293577981651,7,21,california_law_review_indeterminacy-separation
"9. See James Q. Whitman, Why Did the Revolutionary Lawyers Confuse Custom and Reason? , 58 U. C HI . L. R EV . 1321, 1326-27 (1991).",body_text,footnote,0.9348659003831418,191,24,california_law_review_indeterminacy-separation
"15. For a related argument about indeterminacy at the founding, see William B. Gwyn, The Indeterminacy of the Separation of Powers in the Age of the Framers , 30 W M . & M ARY L. R EV . 263, 263-64 (1989) ('From the time when the idea of separation of powers first became popular in North America, much disagreement prevailed as to what institutional arrangements would satisfy the doctrine.').",body_text,footnote,0.9489795918367347,197,30,california_law_review_indeterminacy-separation
"Although these alternative theories have faded from our legal imagination, they continue to exert a significant, albeit indirect, influence on U.S. constitutional law. 17 Consider a few examples:",body_text,text,0.9923273657289002,9,32,california_law_review_indeterminacy-separation
"Last term, in Loper Bright Enterprises v. Raimondo , 18 the Supreme Court cited the public utility case Saint Joseph Stock Yards v. United States to argue that judicial deference to agency legal determinations violates the separation of powers. 19 The Court used Saint Joseph to suggest that agencies have discretion to make findings of fact but not of law. Yet the Saint Joseph Court was not concerned that a nonlegislative actor exercised legislative power or that a nonjudicial actor exercised judicial power, at least not in the modern sense. It was instead considering when deference to administrative agencies interfered with individual property protections. 20 Though courts are now relying on century-old deference cases to reinvigorate a formalist separation of powers, these cases were originally about administrative discretion to regulate public utilities. 21",body_text,list_item,0.9908466819221968,10,33,california_law_review_indeterminacy-separation
"Recently the Supreme Court has invoked a public-private distinction to narrow administrative authority to adjudicate claims. 22 Relying on mid-nineteenth-century cases, the Court has held that non-Article III tribunals should have only limited authority to decide property and contract disputes among private parties. 23 This precisely flips the logic courts used in the early twentieth century when, under something called the 'filed rate doctrine,' courts held that agencies, not courts, must adjudicate contract, tort, and antitrust disputes, at least so long as the claim touched on a rate set by a public utility regulator. 24",body_text,list_item,0.9873817034700315,11,34,california_law_review_indeterminacy-separation
"19. Id. at 387 (citing St. Joseph Stock Yards Co. v. United States, 298 U.S. 38, 51 (1936)).",body_text,footnote,0.989247311827957,201,39,california_law_review_indeterminacy-separation
"20. See 298 U.S. at 51 ('[T]he Constitution fixes limits to the rate-making power by prohibiting the deprivation of property without due process of law or the taking of private property for public use without just compensation. When the Legislature acts directly, its action is subject to judicial scrutiny and determination in order to prevent the transgression of these limits of power. The Legislature cannot preclude that scrutiny or determination by any declaration or legislative finding.').",body_text,footnote,0.9939759036144579,202,40,california_law_review_indeterminacy-separation
"22. See SEC v. Jarkesy, 603 U.S. 109, 127-28 (2024); Commodity Futures Trading Comm'n v. Schor, 478 U.S. 833, 853 (1986); Stern v. Marshall, 564 U.S. 462, 477 (2011); N. Pipeline Constr. Co. v. Marathon Pipe Line Co . , 458 U.S. 50, 70 (1982).",body_text,footnote,0.9711934156378601,204,42,california_law_review_indeterminacy-separation
"of 1789' as evidence that the executive power conveys a presidential right to fire inferior administrative officials for any reason. 25 The Decision of 1789 stands for the idea that this structural question was settled by the first Congress. Yet in the early 1800s, in response to concerns about administrative corruption, consecutive Senate reports urged that the Decision of 1789 be 'reconsidered by Congress whenever experience should demonstrate the necessity of interposing to arrest the abuse of the power by a less scrupulous and more ambitious Executive.' 26",body_text,text,0.9303482587064676,12,45,california_law_review_indeterminacy-separation
"These examples draw attention to jurisprudential puzzles that underlie modern separation-of-powers debates. It is not clear, for example, how to decide which period is relevant in settling debates about the constitutionality of adjudication or deference, or why the structural reasoning that underlies the Decision of 1789 has more contemporary purchase than the prudential reasoning that led many of the same constitutional actors to question that earlier settlement.",body_text,text,1.0,13,46,california_law_review_indeterminacy-separation
"There exists no conflict-of-law principle for deciding among competing separation-of-powers theories, especially when courts draw from conflicting theoretical frameworks to resolve modern separation-of-powers controversies. Different theories have risen and fallen, but no one theory has been fixed or liquidated through custom or historical practice. 27 Indeed, the same styles of legal reasoning-arguments based on text and structure and history-have supported different constitutional theories. The General Law theory, for example, expressly subordinates questions about ambiguous constitutional terms in order to consult customary practices that reflect exogenous patterns of our political, electoral, and economic lives. The persistence of pluralism in separation-of-powers debates does not suggest that constitutional theory is a confused muddle that cannot be resolved, but rather that the Constitution's indeterminacy leaves apparent separation-of-powers settlements open to reinterpretation and reinvention. 28",body_text,text,0.9941176470588236,14,47,california_law_review_indeterminacy-separation
"See C ONG . G LOBE , 38th Cong., 1st Sess. 1121 (1864).",body_text,list_item,0.7857142857142857,208,50,california_law_review_indeterminacy-separation
"27. For an analysis of widely reviled cases, see Jamal Greene, The Anticanon , 125 H ARV . L. R EV . 379, 386 (2011) (describing a 'set of legal materials so wrongly decided that their errors . . . we would not willingly let die'); cf. William Baude, Constitutional Liquidation , 71 S TAN . L. R EV . 1, 9 (2019) (arguing that the Constitution's 'indeterminacies could and would be settled by subsequent practice').",body_text,footnote,0.9318734793187348,209,51,california_law_review_indeterminacy-separation
"28. For an argument celebrating the Constitution's commitment to an evolving separation of powers, see Jon D. Michaels, An Enduring, Evolving Separation of Powers , 115 C OLUM . L. R EV . 515, 517 (2015); J ON D. M ICHAELS , C ONSTITUTIONAL C OUP 9 (2017) (arguing that developments in twentieth-century administrative law promote separation-of-powers values); Gillian E. Metzger, Foreword: 1930s Redux: The Administrative State Under Siege , 131 H ARV . L. R EV . 1, 7 (2017).",body_text,footnote,0.8841657810839533,210,52,california_law_review_indeterminacy-separation
"powers in a single branch. Legal reasoning is deductive, and the judiciary plays a central role in expounding constitutional meaning. Part II provides an overview of four alternative separation-of-powers theories. Part III analyzes modern constitutional controversies that continue to draw from and co-opt doctrines from older episodes. Our goal, however, is not purely deconstructive. Instead, understanding how and why these alternative theories moved from plausible to implausible over time begins to fill out a more authentic view of the development of our constitutional tradition.",body_text,text,0.7892255892255893,15,53,california_law_review_indeterminacy-separation
"Today most scholars identify with one of two separation-of-powers camps. One, known as formalism, insists that clear, judicially managed distinctions separate the different powers. The other, known as functionalism, accepts that interbranch relations can overlap so long as each branch retains a 'core' set of (typically undefined) powers. 29 Yet the two agree on a great deal. 30",body_text,text,0.9763779527559056,16,56,california_law_review_indeterminacy-separation
"The Constitution, we are told, divides power among three federal branches to preserve individual liberty and facilitate good government. That axiom may be true in an abstract sense, but it tells us little about how to resolve actual interbranch disputes that arise when the Constitution's text does not produce obvious answers. To do this, one needs a theory that yields concrete answers when the branches come into conflict. The most popular modern candidates are formalism and functionalism.",body_text,text,0.9979716024340771,17,58,california_law_review_indeterminacy-separation
"29. See, e.g. , Peter L. Strauss, The Place of Agencies in Government: Separation of Powers and the Fourth Branch , 84 C OLUM . L. R EV . 573, 579 (1984) ('The continued achievement of the intended balance and interaction among the three named actors at the top of government, with each continuing to have effective responsibility for its unique core function, depends on the existence of relationships between each of these actors and each agency within which that function can find voice.').",body_text,footnote,0.9714867617107943,211,60,california_law_review_indeterminacy-separation
"30. See Bijal Shah, A Critical Analysis of Separation-of-Powers Functionalism , 85 O HIO S T . L.J. 1007, 1010 (2024) (critiquing both formalism and functionalism for the lack of a 'moral philosophy' that can be 'coherently applied'); Rebecca L. Brown, Separated Powers and Ordered Liberty , 139 U. P A . L. R EV . 1513, 1518 (1991).",body_text,footnote,0.9438543247344461,212,61,california_law_review_indeterminacy-separation
