text,html_label,docling_label,similarity,html_index,pdf_index,document
"For over thirty years, the Americans with Disabilities Act (ADA) has been the main federal protection against discrimination for disabled people. Although ADA protections are ensured in the federal legislative branch and in state courthouses, this pivotal disability rights statute does not cover the federal judiciary. ADA claims are consequently litigated in federal courthouses that may be inaccessible to disabled people, yet there is little scholarship on the topic. This Note aims to fill this gap by exploring the implications of the lack of accessibility in the federal judiciary. Without ADA protections, disabled people do not have recourse when faced with discrimination and inaccessible spaces. This lack of protection threatens disabled people's access to justice, access to the workplace, and representation both on juries and within the federal judiciary. This Note consequently argues that the federal judiciary should adopt ADA protections to provide equal access to the federal court system and ensure that the federal judiciary reflects the diverse public it serves. It is time to have an informed conversation with all relevant constituencies about applying ADA protections to the federal judiciary.",body_text,text,0.9991796554552912,0,2,california_law_review_judiciary-ada
"* J.D., 2024, University of California, Berkeley, School of Law. I am grateful to Professor Amanda Tyler for her guidance and thoughtful feedback. I would also like to thank my amazing community for all their support and encouragement.",body_text,footnote,0.9416498993963782,65,5,california_law_review_judiciary-ada
"Eight years after the passage of the Americans with Disabilities Act (ADA), George Lane arrived at the Polk County Courthouse in Tennessee only to find that there was no elevator for him to reach its second floor. A wheelchair user, Lane had no choice but to attempt to crawl up two flights of stairs to appear in court. 1 As he struggled, the judge and other courthouse employees stood by and laughed. 2 When Lane refused to go through the demoralizing and painful experience of crawling up the stairs again after the court took a lunch break, he was arrested and jailed for failing to appear. 3",body_text,text,0.9924686192468619,2,8,california_law_review_judiciary-ada
"When Lane, joined by court reporter and fellow wheelchair user Beverly Jones, sued the state for discrimination, the law was on their side. The ADA protects disabled people from discrimination in many areas of public life, and the U.S. Supreme Court found that this included state courthouses. 4",body_text,text,0.9949238578680203,3,9,california_law_review_judiciary-ada
"But if Lane and Jones had been trying to access a federal courthouse, the case would not have been decided in their favor. While the ADA applies to the legislative branch, 5 it does not cover the executive branch or the federal judiciary. 6 ADA claims are consequently litigated in courthouses that disabled people 7 may be unable to enter.",body_text,text,0.986822840409956,4,10,california_law_review_judiciary-ada
"Adam Cohen, Editorial Observer; Can Disabled People Be Forced to Crawl up the Courthouse Steps? , N.Y. T IMES (Jan. 11, 2004), https://www.nytimes.com/2004/01/11/opinion/editorial-observer-can-disabled-people-be-forcedcrawl-up-courthouse-steps.html [https://perma.cc/S7Y6-E5LG].",body_text,list_item,0.9714285714285714,67,12,california_law_review_judiciary-ada
"Congressional Accountability Act of 1995, Pub. L. No. 104-1, 109 Stat. 3 (1995).",body_text,list_item,0.9696969696969697,70,15,california_law_review_judiciary-ada
"See 42 U.S.C. § 12131(1) (defining 'public entity' as 'any State or local government,' 'any department, agency, special purpose district, or other instrumentality of a State or States or local government,' or 'the National Railroad Passenger Corporation, and any other commuter authority').",body_text,list_item,0.9333333333333333,71,16,california_law_review_judiciary-ada
"7. Individuals have different preferences on person-first (e.g. 'people with disabilities') versus identity-first (e.g. 'disabled people') language when describing the disability community. Jennifer Safstrom & Joseph Mead, Developing Inclusive Language Competency in Clinical Teaching , 29 C LINICAL L. R EV . 349, 362 (2023) ('Different groups within the disability community have very different views on person-first versus identity-first approaches.'); see also Dana S. Dunn & Erin E. Andrews, Person-First and Identity-First Language: Developing Psychologists' Cultural Competence Using Disability Language , 70 A M . P SYCH . 255, 262 (2015) ('[R]esearchers in disability studies encourage the use of identity-first language. Some disabled people choose one over the other, whereas",body_text,text,0.8193163320672816,72,17,california_law_review_judiciary-ada
"More than one in every four adults in the United States has a disability, 8 and it is the only minority group one can join at any time. Yet, disabled people have few protections against discrimination when accessing, litigating, and working in the federal courts, 9 which excludes a large part of the population from fully participating in the justice system. 10",body_text,text,0.9876203576341128,5,18,california_law_review_judiciary-ada
