text,html_label,docling_label,similarity,html_index,pdf_index,document
"In a term filled with high-profile cases, Department of State v. Muñoz 1 did not receive high-profile treatment. But the case was a critically important successor to Dobbs v. Jackson Women's Health Organization. 2 In Muñoz, the Court continued efforts, launched in Dobbs, to shrink the protective force of the Due Process Clause. Even more significantly, in Muñoz, the Court launched another attack on the equality principle undergirding Loving v. Virginia, 3 Lawrence v. Texas, 4 United States v. Windsor, 5 and Obergefell v. Hodges. 6 Those cases embodied what Laurence Tribe once dubbed a 'double helix' of due process and equal protection principles. 7 They show the Court's effort (albeit imperfect) to weave together liberty guarantees and equality principles to better protect human dignity. 8 Muñoz made clear that the Court's post -Dobbs reordering of constitutional principles is taking direct aim at both strands of the double helix. Through its rejection of substantive due process protections, the Court is intentionally weakening a broad swath of antidiscrimination protections and procedural due process rights.",body_text,text,0.9791943337760071,0,2,california_law_review_loving-borders
"Bruce Tyson Mitchell Professor of Law, Stanford Law School. I would like to thank all of the participants in the 2024 California Law Review ' Equality Besieged: A Critical Analysis of Supreme Court Jurisprudence ' Symposium, and especially the organizers, Jonathan D. Glater and Russell Robinson, and Dean Erwin Chemerinsky. I would also like to thank the many people who engaged with this piece at various stages of completion, including Natalia Anguiano, Matthew Boaz, Linus Chen, Colleen Chien, Jack Chin, Jill Hasday, Eisha Jain, Jonathan Shaub, Liliana Zaragoza, and the many other student and faculty participants at workshops at the University of Minnesota, the University of Kentucky Rosenberg College of Law, and the North Carolina Law Review Symposium Justice in the Age of Criminal Records.",body_text,list_item,0.9737324373854612,42,4,california_law_review_loving-borders
1 . See generally 602 U.S. 899 (2024) (holding that a U.S. citizen has no constitutional right to reside in the United States with her noncitizen spouse).,body_text,list_item,0.9902912621359223,43,5,california_law_review_loving-borders
2 . See generally 597 U.S. 215 (2022) (holding that the Constitution does not protect a right to abortion).,body_text,list_item,0.986046511627907,44,6,california_law_review_loving-borders
3 . See generally 388 U.S. 1 (1967) (holding that the Constitution protects the right to marry and live as married with a person of a different race).,body_text,list_item,0.9900332225913622,45,7,california_law_review_loving-borders
4 . See generally 539 U.S. 558 (2003) (holding that the Constitution protects the right of consenting adults to engage in same-sex sexual activity).,body_text,list_item,0.98989898989899,46,8,california_law_review_loving-borders
5 . See generally 570 U.S. 744 (2013) (holding that the Constitution protects the right of married same-sex couples to all of the federal benefits of marriage).,body_text,list_item,0.9906542056074766,47,9,california_law_review_loving-borders
"6 . See generally 576 U.S. 644 (2015) (holding that the Constitution protects the right of samesex couples to marry and live as married). For discussions of the role of the equality principle in the cases leading up to Windsor and Obergefell , see Laurence H. Tribe, Lawrence v. Texas : The ' Fundamental Right ' That Dare Not Speak Its Name , 117 HARV. L. REV. 1893, 1897 -98 (2004) ( ' Lawrence . . . both presupposed and advanced an explicitly equality-based and relationally situated theory of substantive liberty. ' ); Rebecca L. Brown, Liberty, the New Equality , 77 N.Y.U. L. REV. 1491, 1506 -09 (2002) (discussing the liberty-protective work of equal protection jurisprudence in Loving and other cases); William N. Eskridge, Jr., Destabilizing Due Process and Evolutive Equal Protection , 47 UCLA L. REV. 1183, 1195 (2000) ( ' The Court has applied the right to marry with attention to the Fourteenth Amendment ' s overall goals and without regard to the particular [due process or equal protection] constitutional provision invoked. ' ); Kenneth L. Karst, The Liberties of Equal Citizens: Groups and the Due Process Clause , 55 UCLA L. REV. 99, 99 (2007) ( ' The Fourteenth Amendment ' s guarantee of equal citizenship includes a generous measure of equal liberties. True, the right of equal citizenship usually is realized in the name of the Equal Protection Clause. But, it has also found notable expression in substantive liberties protected by the Due Process Clause. ' ).",body_text,footnote,0.9708078750848609,48,10,california_law_review_loving-borders
"8 . See id. ; see also Kenji Yoshino, The New Equal Protection , 124 HARV. L. REV. 747, 749 (2011) (arguing that expansive interpretations of due process rights partly compensated for the diminishing rights protections arising out of the Supreme Court ' s limiting interpretations of the equal protection clause).",body_text,text,0.9534510433386838,50,12,california_law_review_loving-borders
"This Essay explores the implications of the Muñoz decision. Part I summarizes the litigation and the resulting Supreme Court opinion. The Court took an unnecessarily maximalist approach in Muñoz, undermining the practical value of the right to marriage for individuals married to noncitizens. Part II argues that the Court did so through one of its frequently used moves: namely, denying rights protections to a U.S. resident (here, a citizen by birth and resident of California) through a sleight of hand that r educed Muñoz's constitutional rights and interests to those of a constitutional 'outsider.' 9 This aspect of the case foreshadows the continued erosion of constitutional protections for the members of historically subordinated groups. Part III explains how the decision rewrote five decades of constitutional case law by denying courts a role in reviewing immigrant admissions decisions of the political branches. Part IV excavates the racially discriminatory reasoning that implicitly undergirded the Court's substantive due process analysis in Muñoz. 10 Invidious discrimination drove, and was manifested in, the Court's reading of both founding-era history and its own precedent. Part V critiques the historical errors of the Court's purportedly originalist account and its selected level of generality. The Essay concludes by highlighting the troubling implications of Muñoz for the Constitution's promise of equal protection. Muñoz 's limited reading of the 'right to marriage' obviously shrinks the protective scope of the Constitution's due process protections. But in so doing, it also legitimates familiar patterns of subordination along lines of race, gender, sexual orientation, and citizenship.",body_text,text,0.9278650378126818,1,13,california_law_review_loving-borders
"9. This portion of the Essay contends that Department of State v. Muñoz is a new example of this phenomenon, which I first described in my 2020 Supreme Court Review article. See Jennifer M. Chacón, The Inside-Out Constitution: Department of Commerce v. New York, 2019 SUP. CT. REV. 231, 235 (2020).",body_text,footnote,0.9698996655518395,51,15,california_law_review_loving-borders
"10. This portion of the Essay reflects back on, builds upon, and offers some correctives to my 2007 article. See generally Jennifer M. Chacón, Loving Across Borders: Immigration Law and the Limits of Loving, 2007 WIS. L. REV. 345 (2007) (analyzing the ways that federal immigration restrictions infringe on the right to marry).",body_text,footnote,0.9847560975609756,52,16,california_law_review_loving-borders
"Sandra Muñoz, a U.S. citizen by birth, a workers' rights lawyer, and a resident of Los Angeles, 11 filed a lawsuit when her husband, Luis AsencioCordero, was denied entry into the United States after he traveled to El Salvador. 12 Prior to his trip to El Salvador, Asencio-Cordero had been residing in the United States without documentation. 13 Several years after his marriage to Muñoz made him eligible for a family-based immigrant visa, he applied for his visa. Because the law required him to travel to El Salvador to process his visa, 14 Asencio-Cordero also applied for and received from the Department of Homeland Security a waiver of the unlawful presence bar that would otherwise have prevented him from returning to the United States for ten years. 15 Armed with that waiver, he left the United States to complete his visa application process in El Salvador. 16 Unfortunately, when he then sought to return to the United States, the State Department's consular officials working in the embassy in El Salvador denied his visa application. 17 In justifying the visa denial, the government offered no formal explanation beyond a citation to a statutory provision: 8 U.S.C. § 1182(a)(3)(A)(ii). This provision bars the admission of a noncitizen whom the officer 'knows, or has reasonable ground to be lieve, seeks to enter the United States to engage solely, principally, or incidentally in' certain specified offenses or 'any other unlawful activity.' 18",body_text,text,0.965893587994543,3,18,california_law_review_loving-borders
"Muñoz argued that the U.S. Constitution protects the right to marriage and that her right to marriage was infringed by the government's denial, without adequate explanation, of her husband's entry into the United States. 19 She asked",body_text,text,0.7849829351535836,4,19,california_law_review_loving-borders
"11. Dep ' t of State v. Muñoz, 602 U.S. 899, 927 (2024) (Sotomayor, J., dissenting).",body_text,footnote,0.9642857142857143,53,20,california_law_review_loving-borders
"15 . See 8 U.S.C. § 1182(a)(9)(B)(i)(II). This bar was enacted as part of the Illegal Immigration Reform and Immigrant Responsibility Act (IIRIRA) of 1996. In 2019, the Migration Policy Institute issued a report estimating that ' roughly 1.2 million spouses of U.S. citizens or green-card holders are effectively blocked by the ten-year bar from obtaining green cards for which they might otherwise be eligible. ' DORIS MEISSNER & JULIA GELATT, MIGRATION POL ' Y INST., EIGHT KEY U.S. IMMIGRATION POLICY ISSUES: STATE OF PLAY AND UNANSWERED QUESTIONS 16 (2019), https://www.migrationpolicy.org/sites/default/files/publications/ImmigrationIssues2019_Final_WEB.p df [https://perma.cc/568H-Z79N].",body_text,footnote,0.8060781476121563,57,24,california_law_review_loving-borders
"18. 8 U.S.C. § 1182(a)(3)(A)(ii). The statute generally requires that individuals be provided with a ' timely written notice ' that states the government ' s determination and cites applicable law but contains an exception for individuals excluded on crime and security related grounds. Prior to this decision, the Court had found that a citation to the statutory grounds of exclusion would satisfy the constitutional claims of a family member of an excluded noncitizen. See Kerry v. Din, 576 U.S. 86, 104 (2015) (Kennedy, J., concurring). After Muñoz , even a statutory citation is unnecessary unless Congress requires it.",body_text,footnote,0.9895414320193081,60,27,california_law_review_loving-borders
"Ordinarily, where the fundamental right to marriage is infringed, strict scrutiny is the appropriate level of judicial scrutiny for the government's infringing action. 20 Justice Barrett's opinion for the Court's majority acknowledged that the government's infringement upon a fundamental right triggers strict scrutiny. 21 But this case also involved the government's imposition of an immigration restriction. The Court previously held in Kleindienst v. Mandel , 22 and reaffirmed quite recently in Trump v. Hawaii , 23 that the government's national security interests in immigration regulation require courts to tread more lightly when reviewing such regulations. 24",body_text,text,0.9485458612975392,5,30,california_law_review_loving-borders
"Accepting this earlier precedent, Muñoz conceded in litigation that the government was only required to provide a 'facially legitimate and bona fide reason' for its denial of her husband's visa. 25 Nevertheless, she argued that the government's mere citation to a broad and vague statutory bar did not meet this standard. The government's failure to provide her with a sufficient reason for the visa denial thereby unconstitutionally infringed on her right to marry. 26 The government provided her with additional information later, but this information",body_text,text,0.9062240663900415,6,31,california_law_review_loving-borders
"20 . See, e.g. , Zablocki v. Redhail, 434 U.S. 374, 381, 384, 388 (1978) ( ' Although Loving arose in the context of racial discrimination, prior and subsequent decisions of this Court confirm that the right to marry is of fundamental importance for all individuals . . . . When a statutory classification significantly interferes with the exercise of a fundamental right, it cannot be upheld unless it is supported by sufficiently important state interests and is closely tailored to effectuate only those interests. ' ).",body_text,footnote,0.9884615384615385,62,32,california_law_review_loving-borders
"21 . Muñoz , 602 U.S. at 910. Justice Barrett ' s framing of the issue is notable because several of the justices who signed on to the opinion have previously raised questions about the continued viability of the tiers of scrutiny approach. See, e.g. , Whole Woman ' s Health v. Hellerstedt, 579 U.S. 582, 638 -41 (2016) (Thomas, J., dissenting) (criticizing the Court ' s reliance on ' made-up tests ' that displace the country ' s ' longstanding national traditions ' in determining what the Constitution means); United States v. Rahimi, 602 U.S. 680, 731 -32 (2024) (Kavanaugh, J., concurring) ( ' I am challenging the notion that those tests are the ordinary approach to constitutional interpretation. And I am arguing against extending those tests to new areas . . . . ' ). Indeed, recent Second Amendment cases rely solely on historical tests rather than on an articulation of heightened scrutiny for the right. See, e.g. , N.Y. State Rifle & Pistol Ass ' n, Inc. v. Bruen, 597 U.S. 1, 24 (2022) (finding that, to survive constitutional review, the government must show that a gun control measure ' is consistent with the Nation ' s historical tradition of firearm regulation ' ).",body_text,footnote,0.9321961620469084,63,33,california_law_review_loving-borders
"22 . See generally 408 U.S. 753 (1972) (affirming the exclusion of a Belgian journalist from the United States on security grounds, notwithstanding the imposition on the First Amendment rights of U.S. citizens, where the government provided a facially legitimate and bona fide reason for the exclusion).",body_text,footnote,0.9950576606260296,64,34,california_law_review_loving-borders
"23. 585 U.S. 667, 702 -03 (2018) ( ' For more than a century, this Court has recognized that the admission and exclusion of foreign nationals is a ' fundamental sovereign attribute exercised by the Government ' s political departments largely immune from judicial control ' . . . . Nonetheless, although foreign nationals seeking admission have no constitutional right to entry, this Court has engaged in a circumscribed judicial inquiry when the denial of a visa allegedly burdens the constitutional rights of a U.S. citizen. ' ) (internal citations omitted).",body_text,footnote,0.9793351302785265,65,35,california_law_review_loving-borders
"25 . See Muñoz , 602 U.S. at 907 n.2; id. at 920 (Gorsuch, J., concurring); see also id. at 921 (Sotomayor, J., dissenting).",body_text,footnote,0.9838709677419355,67,37,california_law_review_loving-borders
"The Court could have focused, as Justice Gorsuch's concurring opinion did, 28 on the question of whether the government's explanation for the visa denial was constitutionally sufficient. Precedential decisions on that question had set the bar very, very low, 29 and it was plausible to conclude that the government met that bar. This was particularly the case since the government eventually did provide a more detailed reason for its exclusion of Asencio-Cordero. 30",body_text,text,0.9861259338313767,7,40,california_law_review_loving-borders
"But rather than narrowly hold that the government's explanations in this case complied with the Constitution's requirement, 31 Justice Barrett's majority opinion went significantly further than it needed to go in denying the claim. The majority concluded that Sandra Muñoz had no constitutional right at stake at all. 32 Instead of affirming that the fundamental right to marriage was implicated, but this infringement was constitutionally justified, the Court wrote that Muñoz was claiming 'the right to bring her noncitizen spouse to the United States' 33 and concluded that such a constitutional right does not exist. 34 According to the Court, the government therefore owed Muñoz nothing beyond what Congress required when it barred her husband indefinitely from returning home to her. There is no constitutional right at stake when her husband is denied entry into the United States and therefore no constitutional floor for the procedures and justifications relating to the denial.",body_text,text,0.9888776541961577,8,41,california_law_review_loving-borders
"The majority's opinion began: 'Luis Asencio -Cordero seeks to enter the United States to live with Sandra Muñoz, his wife.' 35 The first line is misdirection. Although Asencio-Cordero was indeed a party to the lawsuit, it was Sandra Muñoz, a U.S. citizen, whose constitutional rights claim was before the Court. She sought information to help her better respond to the government's denial of her husband's admission to the United States.",body_text,text,0.9839816933638444,9,44,california_law_review_loving-borders
"27 . Id. at 929 (Sotomayor, J., dissenting) (discussing the Ninth Circuit ' s opinion adopting this argument).",body_text,footnote,0.9680365296803652,69,45,california_law_review_loving-borders
"29. In Kerry v. Din , for example, Justice Kennedy ' s necessary concurrence assumed without deciding that the visa denial infringed upon the right to marry, but found the government had sufficiently justified this infringement by offering a facially legitimate and bona fide reason for the denial in the form of a citation to a different, more descriptive, statutory provision than the one at issue in Muñoz . 576 U.S. 86, 105 (2015) (Kennedy, J., concurring).",body_text,footnote,0.991304347826087,71,47,california_law_review_loving-borders
