text,html_label,docling_label,similarity,html_index,pdf_index,document
"California has a housing crisis. Despite the state government's best efforts to build more homes, local governments and local voters are finding new ways to circumvent those requirements. One such loophole allows California voters to propose non-compliant housing plans through the ballot initiative process or effectively veto their local governments' housing allocation decisions through a referendum. Although voters rarely use this loophole, the California Supreme Court should step in and prevent it from growing in popularity. The court can do so by simply making a small change to a legal test that determines when local initiatives and referenda are preempted by state law.",body_text,text,0.9970631424375918,0,3,california_law_review_morgan-democracy
"* J.D., 2025, University of California, Berkeley, School of Law. I'd like to thank Professor David Carrillo for sparking my interest in the California State Constitution and for correcting many previous versions of this Note. I'd also like to thank Professors Abhay Aneja and Russell Robinson for reviewing this Note in their workshop. I am extremely grateful for the hard work that the California Law Review editors put into making this Note better. Last, and certainly not least, I would like to thank my friends and family for putting up with my obsession with housing policy for the last five to seven years.",body_text,text,0.973621103117506,54,6,california_law_review_morgan-democracy
"California is in the midst of a decades-long housing crisis caused in part by a drastic housing shortage. 1 It is abundantly clear that the cost of renting or owning a home in California is too expensive and continues to increase. 2 The high cost of housing directly contributes to California's high rate of homelessness. 3 And even for folks who can afford housing, high costs cause overcrowding and longer commutes for Golden State residents. 4",body_text,text,0.984375,2,9,california_law_review_morgan-democracy
"1. See, e.g. , M AC T AYLOR , L EGIS . A NALYST ' S O FF ., C ALIFORNIA ' S H IGH H OUSING C OSTS : C AUSES AND C ONSEQUENCES 20-21 (2015), https://lao.ca.gov/reports/2015/finance/housingcosts/housing-costs.pdf [https://perma.cc/DYZ6-TM6U] (describing California's housing shortage as attributable, at least in part, to the slow rate of housing development in California as compared to other states); Conor Dougherty, Twilight of the NIMBY , N.Y. T IMES (June 5, 2022), https://www.nytimes.com/2022/06/05/business/economy/california-housing-crisis-nimby.html [https://perma.cc/YPV3-HHSX] (explaining how local politics contributes to the housing shortage in California).",body_text,footnote,0.8493565480696442,55,11,california_law_review_morgan-democracy
"2. See, e.g. , Travis Schlepp, Median Home Price Hits 15-Month High in California , KTLA 5 (Sept. 18, 2023), https://ktla.com/news/california/median-home-price-hits-15-month-high-in-california/ [https://perma.cc/6Z3T-RKZ4] (reporting that housing prices in California have continued to rise as affordability has continued to drop with the average price of a single-family home reaching $858,800 in August 2023); Lynn La, Rent Drives up California's Cost of Living , C AL M ATTERS (Aug. 2, 2024), https://calmatters.org/newsletter/california-cost-of-living-rent-increases/ [https://perma.cc/9H73J8YU] ('36% of California adults surveyed said that the cost of living, economy and inflation are the state's most pressing issues . . . .'); see also Ben Christopher & Manuela Tobias, Californians: Here's Why Your Housing Costs Are So High , C AL M ATTERS (Jan. 16, 2024), https://calmatters.org/explainers/california-housing-costs-explainer/ [https://perma.cc/YZP7-XWLF] (summarizing the reasons behind California housing costs being so high, including the housing shortage, low wages, high rent, expensive land, and more).",body_text,footnote,0.9484536082474226,56,12,california_law_review_morgan-democracy
"3. See, e.g. , Sam Levin, Who's Unhoused in California? Largest Study in Decades Upends Myths , G UARDIAN (June 20, 2023), https://www.theguardian.com/us-news/2023/jun/20/californiaaffordable-housing-crisis-homelessness-study-myths-older-black-residents [https://perma.cc/BD3LQDDW] (characterizing the homelessness crisis as a 'public health catastrophe' directly caused by high rent and housing costs).",body_text,footnote,0.966542750929368,57,13,california_law_review_morgan-democracy
"4. See, e.g. , T AYLOR , supra note 1, at 29-33 (finding that 'a 10 percent increase in a metro's median rent is associated with a 4.5 percent increase in individual commute times' and that California households are four times more likely to be considered 'crowded,' which housing experts define as more than one adult per room in a household).",body_text,footnote,0.9606986899563319,58,14,california_law_review_morgan-democracy
"target,' California is 'nowhere close to closing' the gap between production and demand. 6 To close that gap, California passed a flurry of bills to encourage housing production. 7 Most importantly for this Note, the legislature enacted a number of statutes that limit the power of local governments to prevent or delay the construction of housing. 8 The state now requires every local government 9 to adopt a 'general plan' that describes the municipality's 'development policies and objectives' relating to the urban environment. 10 General plans have a few constituent elements, one of which is the 'housing element.' 11 Housing elements require cities to plan for a certain amount of housing. 12 Housing elements are also the subject of numerous high-profile political fights between the state and local governments, as California increasingly tries to 'compel local governments to approve more housing.' 13 Even if local governments don't resist, their voters sometimes act independently to stop new developments. 14 Housing element laws, as well as other pro-development policies, show that there is a clear and growing consensus from the state government that it disfavors localism in housing development and planning.",body_text,text,0.8027506333695259,3,16,california_law_review_morgan-democracy
"A local government, for the purposes of housing elements, is defined as a city, city and county, or county. C AL . G OV ' T C ODE § 65582(d) (West 2025). I use the term in the same way in this Note.",body_text,list_item,0.9265822784810127,63,21,california_law_review_morgan-democracy
"Lesher Commc'ns, Inc. v. City of Walnut Creek, 802 P.2d 317, 319 (Cal. 1990).",body_text,list_item,0.95,64,22,california_law_review_morgan-democracy
