text,html_label,docling_label,similarity,html_index,pdf_index,document
"Environmental law has an animal problem. It lacks an account of whether and how animals' interests matter. Case in point: The agencies tasked with protecting wild animals cannot stop killing them. The National Oceanic and Atmospheric Administration slays sea lions to reduce predation on endangered salmon. The Fish and Wildlife Service shoots barred owls to curb competition with northern spotted owls. These widespread 'removals' reflect a tension between safeguarding ecological collectives, such as species and ecosystems, and protecting individual animals.",body_text,text,0.9946524064171123,0,2,california_law_review_new-conservationism
"Wild animals' uncertain status destabilizes conservation law, the branch of environmental law aimed at protecting natural resources, land, and wildlife. Yet the topic has received little attention from environmental legal scholars. This Article steps into that gap. First, it traces the development of competing reasons to protect wildlifepreserving ecological collectives and safeguarding individual animals-and explains how marquee conservation statutes, such as the Marine Mammal Protection Act and the Wild Free-Roaming Horses and Burros Act, contain both intuitions. Such statutes, however, say little about what to do when the two goals conflict. Resolving this tension falls to administrative agencies' discretion.",body_text,text,0.9951489951489951,1,3,california_law_review_new-conservationism
"* Assistant Professor at University of San Diego School of Law. Many thanks to Nicholas Almendares, William Boyd, Adam Cox, Alex Erwin, Raffael Fasel, Sheila Foster, Robert Fischman, Barry Friedman, Michael Gerrard, Daniel Hemel, Piper Hoffman, Emma Kaufman, Adam Kern, Michael Livermore, Liam Murphy, Richard Revesz, Jeff Sebo, Catherine Sharkey, Peter Singer, Michael Vandenbergh, Daniel Waltz, Delcianna Winders, and Katrina Wyman. The Sabin Colloquium on Innovative Environmental Law Scholarship, Furman Academic Seminar, the Harvard/Yale/Standord Junior Faculty Forum, and my students in NYU's Natural Resources Law seminar also provided valuable feedback. I am also grateful to faculties at Charleston School of Law, Indiana University Maurer School of Law, the Southern Methodist University Dedman School of Law, the University of Connecticut School of Law, University of Houston Law Center, University of San Diego School of Law, University of South Carolina School of Law, Vermont Law and Graduate School, and William & Mary Law School.",body_text,text,0.9825718323127649,209,5,california_law_review_new-conservationism
"The Article next offers the first account of how agencies navigate these competing commitments by using animal removals as a window into agency thinking. The investigation draws on a novel analysis of more than one hundred National Environmental Policy Act reviews compiled through database searches and Freedom of Information Act requests. What emerges from this research is a thicket of incoherent agency attempts to incorporate individual animals' inherent value into removals. Agencies may: (a) express no concern for individual animals; (b) recognize only negative duties toward animals (such as avoiding the infliction of suffering); or (c) observe positive duties toward animals (such as rescuing animals from harsh ecological conditions). Approaches vary across and within agencies, and even within individual agency decisions. Such variation is difficult to defend normatively and exposes agencies to litigation.",body_text,text,0.998914223669924,2,6,california_law_review_new-conservationism
"To address these problems, the Article begins to craft a new conservationism, offering a range of possible agency approaches to incorporate individual animals' inherent worth into wildlife management. The Article also recommends short-term changes to conservation-based removals that would improve the status quo under a variety of ethical frameworks. By excavating conservation-based removals, this Article contributes to an interdisciplinary reconceptualization of conservation law that treats animal interests seriously and systematically.",body_text,text,0.9981549815498155,3,7,california_law_review_new-conservationism
"Among the victims of climate change, deforestation, and other environmental crises are trillions of wild animals. 1 Yet the role of animal wellbeing in American environmental law remains in doubt. To those who equate safeguarding nature with protecting wildlife, this uncertainty may sound strange-like asking what role sandwiches should play in a deli. After all, actions that protect the environment frequently protect fauna and vice versa. But environmental goals are sometimes achieved at the expense of animals. Nowhere is this clearer than in conservationism, the branch of environmentalism that seeks to protect natural resources, wildlife, and land.",body_text,text,0.9954407294832827,5,11,california_law_review_new-conservationism
"Consider the U.S. Fish and Wildlife Service's (FWS) decision in 2013 to enter a war among owls. 2 The woods of Washington, Oregon, and California had long been home to a federally listed species threatened with extinction: the northern spotted owl, a brown blimp of a bird with white speckles and saucers for eyes. 3 In recent decades, a slightly larger raptor had moved in: the barred owl, a migrant from the eastern United States, that elbowed spotted owls out of their habitat. 4 Alarmed by the East Coast arrivistes, FWS resolved to halt the barred owl takeover-by shooting roughly 3,600 of them. 5 The slaughter proved effective at stabilizing northern spotted owl numbers. 6 So much so that in 2024, FWS announced plans to continue the job by killing roughly 450,000 more. 7",body_text,text,0.9859514687100894,6,13,california_law_review_new-conservationism
"Such 'removal' decisions, the government term for capturing or killing wild animals en masse, 8 pervade federal conservation efforts and expose the tension between protecting species and ensuring individual animals' well-being. According to a traditional conservationist view, individual animals have value only to the extent they make up part of a greater whole that needs protection. 9 Humans, therefore, must avoid harming-and perhaps should affirmatively protect-members of endangered plant and animal species but need not worry about members of abundant species. Killing eastern gray squirrels, for example, poses no conservation problem, no matter how inhumane the method, because the supply of gray squirrels runs high. In fact, if eastern gray squirrels posed a threat to an endangered species, then conservationist principles might require killing them. Traditional conservationism thus entails indifference, if not animosity, toward individual animals in abundant populations. Flagship federal statutes, such as the National Park Service Organic Act, Marine Mammal Protection Act, and the Wild Free-Roaming Horses and Burros Act, expressly",body_text,text,0.9489966555183946,7,14,california_law_review_new-conservationism
"2. See generally 2013 Barred Owl EIS (describing the FWS's war among owls). Because of the volume of environmental analyses cited, this Article uses short titles for documents in the analyzed NEPA set from 2002 to 2022, which can be found with bibliographic information in Appendix B.",body_text,footnote,0.9894736842105263,211,15,california_law_review_new-conservationism
"3. See id. at 53, 77, 104, and 107 (describing study areas by state); Northern Spotted Owl , W ASH . D EP ' T OF F ISH & W ILDLIFE , https://wdfw.wa.gov/species-habitats/species/strix-occidentaliscaurina#desc-range [https://perma.cc/AZ8W-69YY] (describing spotted owls).",body_text,footnote,0.898876404494382,212,16,california_law_review_new-conservationism
"4. See 2013 Barred Owl EIS at 117 (discussing barred owl arrival to the western United States and Canada); Northern Spotted Owl , supra note 3 (comparing owl sizes and listing barred owl competition under 'Conservation Threats and Actions Needed').",body_text,footnote,0.9859154929577465,213,17,california_law_review_new-conservationism
"5. 2013 Barred Owl EIS at 124. Although the original EIS set a goal of 3,603 owls, for budget reasons, FWS has since lowered the target to 1,600 owls. Friends of Animals v. U.S. Fish & Wildlife Serv., 879 F.3d 1000, 1002 (9th Cir. 2018).",body_text,footnote,0.9957983193277311,214,18,california_law_review_new-conservationism
"8. See, e.g. , id. at 13 (referring to 'lethal removal of barred owls').",body_text,text,0.9517241379310345,217,21,california_law_review_new-conservationism
"9. See infra Part I.A. 'Individual animal' in this Article signifies 'a single animal' as distinct from a population. The term does not refer to particular animals as distinct from one another. Theoretically, government agencies could tailor management to particular animals' idiosyncratic preferences, but this Article analyzes the more fundamental question of whether agencies consider animals' experiences intrinsically significant.",body_text,text,0.9495412844036697,218,22,california_law_review_new-conservationism
"Environmental legal scholars, for their part, have directed their energy toward protecting ecological collectives, such as species or ecosystems, rather than protecting individual animals for their own sakes. 10 To find discussion of individual animals' inherent worth, one must look to the field of animal law. 11",body_text,text,0.9873015873015873,8,24,california_law_review_new-conservationism
"According to animal law scholars and advocates, animals' sentience-their ability to feel pleasure and pain-requires that we avoid harming (and perhaps affirmatively protect) individual animals. 12 This view casts doubt on the conservationist practice of killing many animals from abundant populations to save relatively few members of endangered species. Killing animals to save plants seems even more dubious. Because animal law has prioritized domesticated and captive animals, however, the role of wild animals' inherent value in conservation law remains undertheorized. 13",body_text,text,0.9705372616984402,9,25,california_law_review_new-conservationism
"10. See K AREN B RADSHAW , W ILDLIFE AS P ROPERTY O WNERS : A N EW C ONCEPTION OF A NIMAL R IGHTS 15 (2020) ('Although environmental and natural resources law scholars have long studied wildlife, they have only recently begun situating wildlife concerns in the animal law conversation.'). This is not to say that legal scholars have neglected the tension between holism and individuals completely. See, e.g. , E RIC T. F REYFOGLE , J USTICE AND THE E ARTH : I MAGES FOR O UR P LANETARY S URVIVAL 80-84 (1993). This debate has deeper roots in non-legal disciplines. See, e.g. , D ALE J AMIESON , E THICS AND THE E NVIRONMENT : A N I NTRODUCTION 169-80 (2008) (discussing tradeoffs between animal interests and conservation based interests); G ARY E. V ARNER , I N N ATURE ' S I NTERESTS ?: I NTERESTS , A NIMAL R IGHTS , AND E NVIRONMENTAL E THICS 98-120 (1998) (attempting to reconcile animal interests with conservation-based culling); see also generally Kristy M. Ferraro, Anthony L. Ferraro, A.Z. Andis Arietta & Nathalie R. Sommer, Revisiting Two Dogmas of Conservation Science , 37 C ONSERVATION B IO . 1, (2023) (challenging the dogma that individuals are unimportant to conservation science); Holmes Rolston III, Respect for Life: Counting What Singer Finds of No Account , in S INGER AND H IS C RITICS (Dale Jamieson ed., 1999) (advocating for moral concern for nature beyond individual sentient beings).",body_text,footnote,0.7564056297365572,219,27,california_law_review_new-conservationism
"11. See, e.g. , Joyce Tischler & Bruce Myers, Animal Protection and Environmentalism: The Time Has Come to Be More Than Just Friends , in W HAT C AN A NIMAL L AW L EARN F ROM E NVIRONMENTAL L AW ? 679, 680-82, 700-06 (Randall S. Abate ed., 2020) (explaining the different foci of animal law and environmental law, including the former's focus on individual animals); Kristen Stilt, Rights of Nature, Rights of Animals , 134 H ARV . L. R EV . F. 276, 267 (2021) (same).",body_text,footnote,0.8655097613882863,220,28,california_law_review_new-conservationism
"13. See B RADSHAW , supra note 10, at 11-12 ('[A]nimal law focus[es] on animals in captivity and [has] largely overlooked wildlife interests.').",body_text,footnote,0.9166666666666666,222,30,california_law_review_new-conservationism
"Removals reveal legal and practical reasons to incorporate individual animals' inherent worth into conservation law. Intentionally or not, in multiple statutes, Congress commingles traditional conservationism with recognition of animals' inherent value. By doing so, Congress places discordant pressures on agencies. Understanding conservation law as conflicted about, rather than opposed to, inherent animal value challenges agencies and environmental scholars to consider the issue more deeply.",body_text,text,0.9959677419354839,11,33,california_law_review_new-conservationism
"Practically speaking, removals illustrate how questions about individual animals' well-being frequently entangle agencies. Each year, FWS, the National Park Service, and Bureau of Land Management (BLM), among others, capture or kill thousands of native wild animals in service of conservation goals. To conserve saplings, shrubs, and salmon, agencies ambush deer by night, herd horses by helicopter, and lug away sea lions by barge. 16 At present, agencies use an ad hoc approach to incorporating individual animal well-being into decisionmaking. This variation is difficult to defend on normative grounds and creates vulnerability to litigation. 17 To replace the traditional conservationism that metes out protections only to animals in valued populations, agencies need a new conservationism that incorporates individual animals' inherent value in a coherent way.",body_text,text,0.9936599423631124,12,34,california_law_review_new-conservationism
Part I sketches brief histories of traditional conservationism and the animal advocacy movement. This account explains how the two movements' goals overlap and diverge.,body_text,text,0.9940476190476191,14,36,california_law_review_new-conservationism
"ecosystems. (Although barred owls were not so designated at the time of their removal, FWS now considers them 'invasive.') Compare 2013 Barred Owl EIS at 321, with Draft EIS for the Barred Owl, supra note 6, at 10. Invasive species management raises similar challenges as native removals but differs enough to merit separate treatment.",body_text,footnote,0.7681660899653979,223,38,california_law_review_new-conservationism
"15. This likely remains the case even after the elimination of the Chevron doctrine in Loper Bright Enters. v. Raimondo , 603 U.S. 369 (2024); see infra Part II.",body_text,footnote,0.9907120743034056,224,39,california_law_review_new-conservationism
16. See 2011 Rock Creek Park Deer EIS at 63; 2017 Antelope & Triple B EA at 19-21; 2020 Sea Lion EA at 20.,body_text,footnote,0.9813084112149533,225,40,california_law_review_new-conservationism
"Part III investigates for the first time how agencies are thinking through these competing values, revealing haphazard approaches that vary across and within agencies, and even within agency decisions. To evaluate agency reasoning, I compiled a unique set of removal-related documents through Freedom of Information Act (FOIA) requests and database searches. The set includes more than one hundred National Environmental Policy Act analyses conducted by agencies associated with removal decisions. What emerges from this investigation is a slew of agency approaches to animals' inherent worth, ranging from having no concern for individual animals to recognizing only negative duties towards animals (e.g., avoiding inflicting physical or psychological stress on animals) to owing positive duties towards animals (e.g., rescuing animals from difficult ecological conditions). Agencies seem to value individual animals for their own sake but have failed to develop a coherent theoretical framework for doing so.",body_text,text,0.999009900990099,16,43,california_law_review_new-conservationism
